MVPTREE,EUCLIDEAN,HFI,2,4015,239462
k,time,count,disk
5,48600429,24711,175
5,41607246,23158,164
5,44369786,22594,160
5,17178903,10182,72
5,20708107,11453,81
5,10835669,6815,48
5,10813716,6923,49
5,9743119,6228,44
5,38228191,20906,148
5,38375814,21467,152
5,31254274,17672,125
5,945947,294,2
5,26799217,14836,105
5,44250094,23866,169
5,49035036,26407,187
5,37912350,20902,148
5,47331536,26408,187
5,46593639,25982,184
5,33018047,18650,132
5,19021510,11314,80
5,47003221,24144,171
5,33974600,19349,137
5,8728584,5520,39
5,50516907,25841,183
5,47879668,26689,189
5,39773553,22452,159
5,38897569,21884,155
5,32661916,17939,127
5,37729748,21324,151
5,46629340,26264,186
5,20775546,12735,90
5,34455389,17099,121
5,55932833,30637,217
5,9133066,5385,38
5,39673531,20197,143
5,53450888,29650,210
5,9295363,5808,41
5,23640003,13285,94
5,3751457,2426,17
5,16936207,10317,73
5,5195962,3414,24
5,40817923,22172,157
5,45979708,25841,183
5,53322906,28943,205
5,32511103,18505,131
5,51210036,28944,205
5,48820163,27394,194
5,31220564,17674,125
5,258603,150,1
5,48460359,25558,181
5,26711697,15970,113
5,40939102,22875,162
5,40285275,22454,159
5,33174849,16683,118
5,34494020,17237,122
5,40282784,22315,158
5,27995977,15259,108
5,2720962,1845,13
5,41413977,22173,157
5,31326663,17663,125
5,48463921,27392,194
5,37026276,21043,149
5,22736976,13706,97
5,34296425,19631,139
5,32573146,18225,129
5,43894244,24854,176
5,37747937,20901,148
5,19318221,11581,82
5,50941647,28662,203
5,14264622,8476,60
5,749632,150,1
5,37385355,19067,135
5,2920898,1703,12
5,26220680,14556,103
5,49400302,26685,189
5,46229954,25274,179
5,29918908,16949,120
5,46445609,26407,187
5,30118476,16822,119
5,14650213,8632,61
5,8288930,5379,38
5,30550883,17094,121
5,47522557,24571,174
5,10171775,6102,43
5,23206932,12869,91
5,38897519,21043,149
5,41732513,23585,167
5,45234451,25416,180
5,19429838,11592,82
5,25192144,15120,107
5,8496401,5100,36
5,37938916,19069,135
5,22062762,13281,94
5,22900912,14129,100
5,54725063,30211,214
5,12510143,7785,55
5,2808738,1564,11
5,47185597,24288,172
5,37784849,21467,152
5,44277725,22732,161
5,45918194,25557,181
5,10067286,6381,45
5,16981724,8899,63
5,10804810,6924,49
5,51976754,27672,196
5,35227300,19921,141
5,21777324,13143,93
5,24012613,14843,105
5,20801934,12588,89
5,41483150,23585,167
5,35557273,19359,137
5,3100081,1718,12
5,12572149,7517,53
5,45311376,24004,170
5,2620039,1420,10
5,43859832,22451,159
5,49041588,27532,195
5,9634313,5677,40
5,26371819,14847,105
5,45682204,24426,173
5,14553618,8637,61
5,5840346,3977,28
5,23822116,13009,92
5,2084703,1417,10
5,43884477,23304,165
5,14857950,8756,62
5,23366004,14001,99
5,38822485,22172,157
5,55120634,28095,199
5,28970458,16387,116
5,29359595,16669,118
5,800325,150,1
5,23937947,13295,94
5,16906786,10042,71
5,15402362,9337,66
5,38309767,20617,146
5,41195784,23297,165
5,39626837,21891,155
5,53209254,26976,191
5,40271664,22742,161
5,827218,150,1
5,36405570,18650,132
5,768507,150,1
5,33787257,17103,121
5,45067155,25003,177
5,20745574,12306,87
5,20392149,12438,88
5,1407563,575,4
5,54550175,27115,192
5,31623086,17807,126
5,24644674,14846,105
5,45183335,25138,178
5,45095363,25417,180
5,33536243,19068,135
5,15161371,9195,65
5,2967634,2001,14
5,34218848,17099,121
5,53345981,29509,209
5,44817744,24854,176
5,46253625,23161,164
5,28538981,15832,112
5,35175602,19075,135
5,47793362,26686,189
5,8842020,5515,39
5,10866112,5942,42
5,7054922,4384,31
5,15801063,9052,64
5,7489930,4668,33
5,50029776,27109,192
5,2722708,1420,10
5,21848890,12161,86
5,22213639,13435,95
5,2101731,1418,10
5,38936890,21328,151
5,39705417,22449,159
5,23384158,14141,100
5,19198806,11593,82
5,24093768,14831,105
5,48892243,27534,195
5,37006228,20617,146
5,59152030,30073,213
5,34154164,19350,137
5,39433865,22171,157
5,38916661,18927,134
5,27301669,16262,115
