MVPTREE,EUCLIDEAN,IS,2,4015,474318
k,time,count,disk
5,43397288,22451,159
5,50125958,27956,198
5,54066650,29792,211
5,15611206,9465,67
5,35025261,19775,140
5,13824162,8227,58
5,44299742,25135,178
5,14092706,8489,60
5,17520231,10598,75
5,50796775,25993,184
5,36200581,20348,144
5,3417419,2001,14
5,40748276,20905,148
5,53278109,29650,210
5,54325549,30214,214
5,41853217,23592,167
5,48809804,27536,195
5,44414999,24996,177
5,38297370,21607,153
5,21126254,12723,90
5,40629234,22873,162
5,48946195,27538,195
5,12293004,7785,55
5,54362123,29936,212
5,53043117,29656,210
5,24058277,14544,103
5,45439992,25708,182
5,39774173,22315,158
5,22858656,13702,97
5,50734141,28249,200
5,33234355,18789,133
5,32932676,18655,132
5,57588666,32047,227
5,11922416,7648,54
5,44964248,25560,181
5,54822351,30355,215
5,10711298,6511,46
5,28296999,15975,113
5,9107433,5818,41
5,26297861,16118,114
5,5315033,3548,25
5,54149418,29087,206
5,56175926,31201,221
5,57413729,31907,226
5,40705407,23027,163
5,59049109,32750,232
5,55519178,31059,220
5,35404408,20067,142
5,705022,150,1
5,53541014,27955,198
5,20926479,12432,88
5,57638897,29228,207
5,50192977,28101,199
5,41254984,20918,148
5,41020512,23028,163
5,44986627,25142,178
5,39394487,22311,158
5,8431892,4536,32
5,52328905,27678,196
5,38958712,21901,155
5,56171075,31206,221
5,44468445,25001,177
5,34319601,19357,137
5,20537921,12432,88
5,34829899,17373,123
5,57825418,30215,214
5,45311837,25430,180
5,34898749,19776,140
5,62336943,32186,228
5,54345878,30503,216
5,712059,150,1
5,45572635,23732,168
5,10864959,6805,48
5,16545101,10168,72
5,50823169,28530,202
5,43522477,24568,174
5,34607720,19649,139
5,20244678,11579,82
5,41561642,23450,166
5,16916804,10032,71
5,9244068,5381,38
5,33037977,17238,122
5,50355205,28106,199
5,14672692,8795,62
5,32212905,18367,130
5,47606555,26830,190
5,48227698,27115,192
5,53904033,29933,212
5,26539935,15969,113
5,38012680,21472,152
5,14464083,8775,62
5,36446855,20628,146
5,28717412,16526,117
5,29479092,16534,117
5,61915893,32185,228
5,19042657,11588,82
5,5760995,3822,27
5,54577910,28103,199
5,34742946,19498,138
5,53402982,27394,194
5,51959587,28809,204
5,16916231,10199,72
5,23733191,14424,102
5,39203755,22178,157
5,53495881,29791,211
5,37098179,21050,149
5,18981482,11443,81
5,39739927,21901,155
5,18841516,11303,80
5,53514350,27815,197
5,43487868,24300,172
5,7710782,4828,34
5,18349341,9918,70
5,37506206,20196,143
5,11809309,7510,53
5,53243984,29648,210
5,55182753,30636,217
5,17778572,10482,74
5,43863818,22757,161
5,53140135,29374,208
5,28803144,16397,116
5,5947283,3402,24
5,35816436,18655,132
5,2187100,1417,10
5,48656511,25282,179
5,23402170,14125,100
5,30513913,17384,123
5,18086006,11018,78
5,58701854,32469,230
5,40695428,23021,163
5,36949700,20759,147
5,709515,150,1
5,9888721,5796,41
5,26717509,15405,109
5,16620655,10173,72
5,24865969,15108,107
5,56590048,30502,216
5,50456387,28100,199
5,52566647,29510,209
5,42610829,23448,166
5,702025,150,1
5,43397573,22325,158
5,687562,150,1
5,43168685,22329,158
5,40920213,22884,162
5,29840653,16823,119
5,28480043,15977,113
5,4156680,2704,19
5,53388722,28945,205
5,40292052,22743,161
5,28645438,16392,116
5,54980265,30638,217
5,42796403,24009,170
5,44067193,24711,175
5,23044308,13994,99
5,7493669,4404,31
5,38271064,19656,139
5,33575174,16941,120
5,45546457,23587,167
5,48253803,27115,192
5,30989953,17673,125
5,41933457,23731,168
5,54517989,30213,214
5,10173516,6499,46
5,12130524,6926,49
5,8238209,5230,37
5,19364385,11168,79
5,18717487,11315,80
5,49070728,26402,187
5,5702214,3418,24
5,41548860,21614,153
5,19657766,11866,84
5,5169170,2976,21
5,26554743,14266,101
5,52336700,28386,201
5,39375147,22329,158
5,12503841,7911,56
5,35108591,20055,142
5,56254773,31057,220
5,46772423,26263,186
5,56302443,31484,223
5,48910143,27534,195
5,35815608,20206,143
5,39878723,22329,158
5,21078723,12713,90
5,41845969,23581,167
5,35388596,18083,128
5,45668395,25566,181
5,43200640,24289,172
5,56193980,31058,220
5,51352479,28666,203
5,35077116,19913,141
5,38777195,19514,138
5,28321830,15687,111
5,49836235,26832,190
5,2417510,1280,9
5,16232571,8916,63
5,33006444,17528,124
5,49397101,25559,181
5,49888461,26982,191
5,50340196,28249,200
5,43932077,24719,175
5,53108477,29657,210
5,42894592,24294,172
5,11313592,7203,51
5,30920007,17661,125
5,26612104,15974,113
5,21821950,13277,94
5,30979673,17519,124
5,30965578,17671,125
5,41988579,23597,167
5,39636190,22328,158
5,48389160,24858,176
5,13966129,8339,59
5,15649680,8200,58
