MVPTREE,EUCLIDEAN,MAXVARIANCE,2,4015,279181
k,time,count,disk
5,57031209,26689,189
5,45565004,23304,165
5,50641020,25560,181
5,19162413,10470,74
5,30515837,15825,112
5,12072048,7226,51
5,40121922,20054,142
5,11895626,6944,49
5,23194801,11725,83
5,41160188,20331,144
5,37912603,17236,122
5,2858782,1564,11
5,37237674,17231,122
5,53462661,24989,177
5,53035316,26823,190
5,37347593,19204,136
5,57330265,26680,189
5,54699329,27669,196
5,26738235,14833,105
5,21806979,12153,86
5,48024212,24424,173
5,36123383,18794,133
5,5546356,3125,22
5,51394642,24423,173
5,41211799,21459,152
5,49853529,23007,163
5,50334844,23157,164
5,33350163,17231,122
5,29893274,16247,115
5,44692177,22879,162
5,28057275,15548,110
5,39498566,19631,139
5,63017350,31335,222
5,6055816,3827,27
5,44138687,20620,146
5,58654117,29507,209
5,8474127,5098,36
5,27584698,13993,99
5,4628951,2841,20
5,29126243,16255,115
5,920397,571,4
5,48546376,23579,167
5,51427704,26541,188
5,61237431,30210,214
5,28273938,15820,112
5,54058935,27951,198
5,57394041,29222,207
5,35941297,18645,132
5,774875,150,1
5,57350197,26543,188
5,26464056,14834,105
5,48732640,24710,175
5,45770585,23443,166
5,33927459,17802,126
5,34606276,17817,126
5,49420963,23014,163
5,36369450,16397,116
5,4936569,3135,22
5,42941444,21749,154
5,43631277,21895,155
5,58661258,27242,193
5,29031518,15815,112
5,25703838,14696,104
5,29253694,16240,115
5,34070240,17513,124
5,46646952,24008,170
5,37763623,17224,122
5,46815512,21609,153
5,54136221,27525,195
5,50214717,25552,181
5,812029,150,1
5,38868997,17802,126
5,7901923,4678,33
5,20671752,10468,74
5,48506908,23433,166
5,52546683,26545,188
5,35014743,18213,129
5,52602299,26963,191
5,38348139,19495,138
5,17921895,10181,72
5,8617133,4680,33
5,28265125,14128,100
5,45423260,22308,158
5,8236076,4403,31
5,26049263,13999,99
5,49122272,23855,169
5,39765988,20615,146
5,54474390,27105,192
5,21625252,11455,81
5,42879962,19490,138
5,18065095,8916,63
5,35019310,16812,119
5,27883347,15262,108
5,27011809,15261,108
5,61752533,30773,218
5,15499641,8634,61
5,6470257,3825,27
5,48100527,23009,163
5,40457653,20756,147
5,47313763,24140,171
5,52227982,24421,173
5,17040588,9623,68
5,27082611,13566,96
5,36402498,17649,125
5,59574211,27105,192
5,37122030,19490,138
5,26281501,14687,104
5,27019200,14972,106
5,12816439,7634,54
5,45225939,23156,164
5,37238081,19349,137
5,5536685,3120,22
5,17789247,9057,64
5,52747532,25843,183
5,9289622,5243,37
5,50231510,23436,166
5,55612722,28094,199
5,12899053,7507,53
5,21993520,12299,87
5,51458981,25552,181
5,21526054,12312,87
5,4971286,3124,22
5,27968778,13858,98
5,2224570,1419,10
5,47387853,23156,164
5,39412967,20476,145
5,25240532,14130,100
5,39547946,20477,145
5,55791762,27948,198
5,26371560,14704,104
5,34015737,17376,123
5,811770,150,1
5,16439371,8352,59
5,25540380,13709,97
5,17601038,9759,69
5,35335183,17089,121
5,52666152,26681,189
5,48086658,24844,176
5,52004685,26964,191
5,43130596,22321,158
5,794053,150,1
5,46040808,21323,151
5,794629,150,1
5,28050633,14265,101
5,49190178,24285,172
5,26413416,14705,104
5,18183805,10043,71
5,4176098,2411,17
5,51097772,24712,175
5,36839730,18792,133
5,33759791,17235,122
5,51418555,26270,186
5,52060869,25846,183
5,38448977,19492,138
5,23466779,11885,84
5,4927531,3120,22
5,27945273,15547,110
5,60666301,29365,208
5,46777100,23723,168
5,41749670,21744,154
5,26567791,13288,94
5,39663722,19629,139
5,53379789,27243,193
5,16868769,9480,67
5,9120039,5106,36
5,19323482,9756,69
5,18059467,10325,73
5,15758053,8629,61
5,57680890,28092,199
5,7802457,4541,32
5,29033793,15826,112
5,12524924,7496,53
5,4542078,2840,20
5,34474566,17649,125
5,51258316,23997,170
5,21327155,12015,85
5,21712378,11878,84
5,28121457,15683,111
5,54133990,27243,193
5,39823683,20336,144
5,60429279,30348,215
5,40479091,20766,147
5,42859545,21885,155
5,28418690,15683,111
5,31907848,16521,117
5,34403394,17238,122
5,31664106,16114,114
5,39974157,19768,140
5,41925338,21186,150
5,59414830,29930,212
5,44813367,23012,163
5,32552007,16817,119
5,26293642,12861,91
5,22206733,12311,87
5,40518554,19919,141
5,8502962,5103,36
5,18649084,9341,66
5,25590038,13859,98
5,47047798,22873,162
5,52078595,26685,189
5,43755963,22453,159
5,28689772,16107,114
5,52880762,27246,193
5,24436897,13559,96
5,21883461,12163,86
5,29949016,16389,116
5,22472711,12590,89
5,29911730,16387,116
5,37987832,17382,123
5,23458196,12996,92
5,38603485,19769,140
5,28170156,15401,109
5,44218517,22734,161
5,13762528,8058,57
5,20292249,11309,80
5,15040308,8631,61
5,46535508,23022,163
5,45822481,23576,167
5,29899346,16249,115
5,27342498,13581,96
5,26865716,14840,105
5,4679443,2982,21
5,29125555,16117,114
5,47839648,23438,166
5,43284565,22315,158
5,22153192,12304,87
5,18442928,9195,65
5,6997178,4111,29
5,25505579,14127,100
5,60065635,28943,205
5,47758920,24423,173
5,21084017,11736,83
5,49968050,25550,181
5,4584338,2552,18
5,56876980,26679,189
5,45317260,23156,164
5,18208049,10197,72
5,18463949,10470,74
5,25773406,14135,100
5,21001577,11741,83
5,45072143,23157,164
5,25059352,13859,98
5,29063856,16248,115
5,3292126,1714,12
5,22587031,11458,81
5,39532741,19071,135
5,26467559,14688,104
5,53845807,27384,194
5,45344007,23157,164
5,3063358,1575,11
5,39060271,17386,123
5,43179769,22165,157
5,21731945,12298,87
5,47430932,24431,173
5,26516177,14982,106
5,19455790,10749,76
5,44241197,22743,161
5,46158469,23435,166
5,51208713,26121,185
5,49502942,25130,178
5,18245825,10189,72
5,56217876,26118,185
5,53773667,27386,194
5,40277562,20759,147
5,17771917,8487,60
5,36663197,17653,125
5,56989360,28371,201
5,29093478,16111,114
5,32504154,16820,119
5,54106812,27387,194
5,17538129,10045,71
5,27282979,14976,106
5,18069304,10470,74
5,15564679,8492,60
5,40254897,18212,129
5,56715851,26682,189
5,5207111,2979,21
5,56063840,26265,186
5,46261337,23154,164
5,42112781,21178,150
5,37059674,16949,120
5,20487343,11437,81
5,32676681,16957,120
5,9287671,5233,37
5,45370635,21183,150
5,19433324,10749,76
5,20309120,11454,81
5,10201345,5658,40
5,24926343,13006,92
5,43147341,21039,149
5,23305454,13284,94
5,19600094,10887,77
5,24050160,13294,94
5,38508543,20055,142
5,17254326,9617,68
5,36803286,18920,134
5,56926620,26258,186
5,44536892,22593,160
5,24949500,14000,99
5,831104,150,1
5,43620555,20193,143
5,33851967,17651,125
5,52289300,26271,186
5,22313824,12303,87
5,29518956,16243,115
5,53617605,27104,192
5,2199401,1424,10
5,42941931,21889,155
5,48313608,24568,174
5,40262029,20621,146
5,52327054,26117,185
5,40894634,21184,150
5,21449893,12164,86
5,28271010,15396,109
5,48669303,24848,176
5,27055665,15122,107
5,18767783,10470,74
5,34573895,17664,125
5,40286518,21051,149
5,45634337,23290,165
5,27232080,15128,107
5,19691625,11031,78
5,10666700,6087,43
5,36712000,16814,119
5,53770315,26824,190
5,36024284,18507,131
5,48456379,22595,160
5,25199916,13709,97
5,46731275,24006,170
5,20970472,11864,84
5,48996239,25137,178
5,36486650,18508,131
5,51604324,25976,184
5,49414926,25552,181
5,5023034,2837,20
5,9342559,5099,36
5,35246857,16808,119
5,748066,150,1
5,210877,150,1
5,48470104,22730,161
5,28450518,15969,113
5,51412644,25271,179
5,24873348,13571,96
5,41962153,21750,154
5,811598,150,1
5,5514660,3123,22
5,39396773,18363,130
5,24854948,12728,90
5,44704986,22027,156
5,38929697,19775,140
5,52837578,24569,174
5,15593524,8774,62
5,47867701,24431,173
5,23688740,13431,95
5,30360978,16384,116
5,21330090,11887,84
5,14612871,8204,58
5,53183862,24714,175
5,29137125,15965,113
5,46280182,23577,167
5,34664000,17937,127
5,13229927,8073,57
5,65798966,30348,215
5,52693481,26686,189
5,45526123,23296,165
5,18045409,9906,70
5,28748671,14690,104
5,44673890,21741,154
5,54122608,27386,194
5,20070247,11312,80
5,38491040,17660,125
5,3237879,1721,12
5,16404826,8348,59
5,36946174,17237,122
5,48129220,24422,173
5,51443241,26259,186
5,26379427,14414,102
5,50647149,26262,186
5,17315585,9198,65
5,65238858,30772,218
5,20669546,11743,83
5,12618433,7637,54
5,52221898,26403,187
5,49183887,25129,178
5,32792511,16532,117
5,39417895,18085,128
5,48911184,24987,177
5,34987526,18358,130
5,46960113,21326,151
5,13229514,8062,57
5,26431654,14421,102
5,41520289,21460,152
5,27628059,13707,97
5,22288985,12293,87
5,21675064,12300,87
5,22782225,12715,90
5,13037316,7925,56
5,57147440,27677,196
5,32162864,16538,117
5,37636429,17371,123
5,52203833,24146,171
5,56723460,27950,198
5,25894793,14408,102
5,38476914,19773,140
5,51208774,26548,188
5,40782915,21321,151
5,53305102,26965,191
5,29061012,16241,115
5,42640246,22031,156
5,28135475,14133,100
5,25750971,14128,100
5,58688363,28662,203
5,60929179,30631,217
5,35108795,17942,127
5,42971069,22027,156
5,10136941,5658,40
5,27438481,14413,102
5,47697234,23297,165
5,36135919,18364,130
5,22534581,12439,88
5,39236017,17794,126
5,44526479,20760,147
5,22569226,12581,89
5,41206343,19061,135
5,10436181,5806,41
5,38358048,17796,126
5,44232649,22879,162
5,36404708,18786,133
5,24121623,13436,95
5,42646491,21185,150
5,29487158,16106,114
5,36347022,19209,136
5,15008809,8481,60
5,25786534,14139,100
5,50025817,25417,180
5,28318591,15832,112
5,11689340,6944,49
5,33252237,17231,122
5,47294955,21746,154
5,27308939,14976,106
5,49205753,25416,180
5,36760229,18779,133
5,38266927,19772,140
5,50731327,25977,184
5,20395521,11454,81
5,58814573,29502,209
5,3426905,1846,13
5,36799797,16677,118
5,42307119,19624,139
5,19003256,10612,75
5,51729965,26114,185
5,38753753,19631,139
5,38272234,20196,143
5,53328120,25127,178
5,60736965,30774,218
5,53728422,27666,196
5,3029282,1579,11
5,49383294,22728,161
5,43794362,20047,142
5,1002246,290,2
5,22337800,11452,81
5,37716882,18502,131
5,22438237,12588,89
5,53913353,27384,194
5,39183408,19777,140
5,45290974,21049,149
5,25859579,14001,99
5,38145275,19769,140
5,38163246,17664,125
5,51957001,24429,173
5,23124115,12853,91
5,24837512,13570,96
5,48419460,24706,175
5,44816548,22868,162
5,60474185,30913,219
5,19602124,11028,78
5,54638439,27960,198
5,50289038,25695,182
5,16329510,9057,64
5,55507352,28238,200
5,15377948,8625,61
5,44434756,22449,159
5,51901381,26400,187
5,11747432,6525,46
5,57834025,27388,194
5,40403327,20049,142
5,40629213,20895,148
5,27364964,15260,108
5,18858730,10618,75
5,33170392,17102,121
5,8078309,4812,34
5,39806630,20615,146
5,5817545,3124,22
5,20828667,10612,75
5,7378846,4400,31
5,23053914,13152,93
5,57203988,28377,201
5,39476598,20056,142
5,23109684,13000,92
5,53683082,27669,196
5,25763076,14421,102
5,18368333,10317,73
5,58848739,27243,193
5,51418737,26550,188
5,25316035,13989,99
5,16367053,9330,66
5,12094102,7076,50
5,21888587,12295,87
5,1469550,579,4
5,32106830,16375,116
5,53279220,26258,186
5,27814491,15543,110
5,27569416,14842,105
5,46072349,23722,168
5,32971141,16951,120
5,27254063,14985,106
5,25204517,14001,99
5,3541375,2000,14
5,51195532,24282,172
5,35650816,17800,126
5,13560298,7225,51
5,46105837,21747,154
5,41432499,21322,151
5,44121249,22451,159
5,10593554,6367,45
5,29060173,15966,113
5,61409650,30772,218
5,48760238,24706,175
5,55234217,28089,199
5,21232680,11868,84
5,31770147,16814,119
5,2872193,1296,9
5,43561442,20765,147
5,48233465,24424,173
5,7871953,4684,33
5,40705451,20763,147
5,8290219,4959,35
5,43693530,22876,162
5,24115727,13569,96
5,25364412,14002,99
5,48664712,24988,177
5,38515199,19909,141
5,20628770,10322,73
5,5130709,3267,23
5,44246014,21323,151
5,60284395,30489,216
5,58684371,29931,212
5,21841540,12165,86
5,44497415,22592,160
5,58790632,29509,209
5,24720905,13716,97
5,48373699,24706,175
5,14897850,8210,58
5,44450126,20615,146
5,22863588,12722,90
5,54611543,27384,194
5,41829388,21318,151
5,48916175,24985,177
5,19222988,10606,75
5,38840779,17937,127
5,10089636,5519,39
5,62790228,29927,212
5,23464589,13009,92
5,31225411,15833,112
5,42898147,21043,149
5,36731607,18788,133
5,60126218,29928,212
5,23177336,13004,92
5,15372316,8206,58
5,27200283,14137,100
5,56446354,27390,194
5,32438453,16669,118
5,40278312,20901,148
5,41097796,19071,135
5,21926842,12026,85
5,36228402,18789,133
5,42677972,19631,139
5,44769229,22449,159
5,6783195,4108,29
5,27360764,14976,106
5,8392529,4694,33
5,8031328,4248,30
5,53042188,25408,180
5,42153719,21615,153
5,1041445,293,2
5,41156099,19354,137
5,37229751,18929,134
5,49020111,25126,178
5,26687421,14694,104
5,31563436,15681,111
5,476454,290,2
5,20613935,11732,83
5,28122518,15556,110
5,19700935,11031,78
5,48870769,23720,168
5,38089276,17234,122
5,36079353,18360,130
5,24231444,13717,97
5,19763303,10893,77
5,40545110,20758,147
5,15349618,8630,61
5,39958396,20342,144
5,20749585,11449,81
5,25571558,13279,94
5,36412319,17932,127
5,12517700,6786,48
5,51790565,24844,176
5,50263585,25973,184
5,32992178,17088,121
5,48237793,22452,159
5,34683857,17653,125
5,62411270,28653,203
5,32658110,16808,119
5,56122309,28512,202
5,42083861,21460,152
5,37273775,16672,118
5,30373663,15261,108
5,20474536,11578,82
5,54606532,26681,189
5,42909886,21892,155
5,19184149,10886,77
5,42314182,22167,157
5,4246986,2272,16
5,57109837,27108,192
5,54431378,27948,198
5,37997251,19626,139
5,22261506,12159,86
5,51288331,23717,168
5,2831705,1424,10
5,30565011,15681,111
5,28682987,15835,112
5,34403269,16953,120
5,18457905,9037,64
5,45763389,22030,156
5,52831350,26681,189
5,12930555,7645,54
5,47113598,23580,167
5,31232849,16398,116
5,21628418,11860,84
5,14865870,8340,59
5,39222375,17515,124
5,42853573,19904,141
5,52871874,26823,190
5,29090832,16247,115
