MVPTREE,EUCLIDEAN,PCA,2,4015,476741
k,time,count,disk
5,59206435,27396,194
5,51629471,25993,184
5,55740701,27965,198
5,37578710,19083,135
5,40605976,18514,131
5,2497084,1563,11
5,50645305,23878,169
5,21357434,11882,84
5,45164624,20920,148
5,52819152,25993,184
5,21275706,12150,86
5,2027667,1279,9
5,34972792,17386,123
5,54611656,27393,194
5,54275233,26547,188
5,52657645,26273,186
5,53715501,26967,191
5,62128900,31065,220
5,45381485,23306,165
5,33968537,17387,123
5,62612682,31353,222
5,45466175,23591,167
5,17243865,9629,68
5,59334308,29939,212
5,61290466,30923,219
5,53451202,27543,195
5,52518144,26553,188
5,43196070,21620,153
5,41321957,21624,153
5,27709986,15389,109
5,40430267,20634,146
5,46731156,24017,170
5,63500857,32050,227
5,19624656,11033,78
5,45929132,23451,166
5,55685612,28251,200
5,22653896,12160,86
5,38947889,20211,143
5,16185662,9198,65
5,29183423,16251,115
5,14526467,8217,58
5,60900210,29232,207
5,58339044,29797,211
5,63816763,32608,231
5,49701024,25850,183
5,62944897,32050,227
5,60627309,30922,219
5,49971069,25991,184
5,1431552,575,4
5,61191411,28957,205
5,33794677,18092,128
5,63437423,30217,214
5,57489741,29515,209
5,50860366,25145,178
5,36962667,18653,132
5,48885206,24298,172
5,33468870,16815,119
5,3632384,1995,14
5,60381597,27681,196
5,45129330,22462,159
5,62586623,30642,217
5,49652668,24426,173
5,44931437,22603,160
5,52978384,25990,184
5,43689561,21758,154
5,61283499,30214,214
5,58376560,28665,203
5,41000155,20627,146
5,64608210,31767,225
5,56544594,28104,199
5,1244985,435,3
5,40999448,18375,130
5,11615058,6228,44
5,43881153,20214,143
5,58307896,28669,203
5,62245892,30920,219
5,40906224,20493,145
5,54026729,27253,193
5,46254599,23166,164
5,23642092,13014,92
5,9295462,5385,38
5,53230850,24025,170
5,62295357,30080,213
5,19145219,10612,75
5,32259898,16679,118
5,58994280,26826,190
5,47568693,24160,171
5,63991674,31771,225
5,34204190,17120,121
5,36822095,18798,133
5,21218736,11736,83
5,35892628,18234,129
5,40062786,20205,143
5,42171612,19362,137
5,63178089,31204,221
5,20499345,11452,81
5,4369474,2123,15
5,60517834,28241,200
5,52405726,26271,186
5,53661177,27114,192
5,57589020,29089,206
5,4205093,2687,19
5,28089679,13860,98
5,44734826,21621,153
5,66498514,31064,220
5,52271001,26839,190
5,47919662,23876,169
5,24319591,12857,91
5,17376338,9333,66
5,60770296,27817,197
5,53318598,26979,191
5,15727360,8914,63
5,26694482,13573,96
5,63441937,30226,214
5,9765372,5520,39
5,61846201,28807,204
5,61911172,31209,221
5,4872035,2687,19
5,23221360,11866,84
5,59227229,28952,205
5,28356919,15408,109
5,16583890,9345,66
5,40222376,20635,146
5,8018072,4825,34
5,60115128,27964,198
5,39850038,20481,145
5,16016118,8902,63
5,54836074,25423,180
5,60573120,30213,214
5,32916382,16952,120
5,44414600,20771,147
5,1188762,435,3
5,28899649,14984,106
5,25460519,14146,100
5,22642206,12732,90
5,27109173,14973,106
5,61327027,29233,207
5,57201475,28809,204
5,61335576,30924,219
5,50574755,25568,181
5,1007457,292,2
5,42688075,19773,140
5,1149108,435,3
5,53881025,25285,179
5,28737064,16095,114
5,32605392,16818,119
5,32389861,16668,118
5,4019138,2275,16
5,60461119,28801,204
5,42696029,21618,153
5,42413164,21619,153
5,46978991,24152,171
5,51852415,25986,184
5,46181944,23869,169
5,25665169,14425,102
5,10836050,6531,46
5,46447122,23740,168
5,31906852,16660,118
5,50678751,25848,183
5,45469304,23312,165
5,47749794,24295,172
5,42282395,21755,154
5,62729432,30779,218
5,32674550,16548,117
5,18489111,9475,67
5,24807013,13719,97
5,20996346,12011,85
5,15268176,8632,61
5,66533845,32614,231
5,6285177,3982,28
5,42586905,19645,139
5,32868478,17114,121
5,3360521,1852,13
5,56498277,27108,192
5,53926832,27960,198
5,21030584,11446,81
5,43154843,20213,143
5,40567054,21061,149
5,64709065,32611,231
5,52220434,26979,191
5,54628924,27955,198
5,48827933,25569,181
5,54700147,28106,199
5,48169932,25008,177
5,22471770,12993,92
5,47636799,25004,177
5,41711158,21901,155
5,50079568,26128,185
5,56847687,28387,201
5,59595490,30645,217
5,54343168,28243,200
5,48809327,25283,179
5,33594189,17816,126
5,30466546,16113,114
5,50799932,24726,175
5,7872699,4257,30
5,24590633,11877,84
5,38873580,17958,127
5,59213450,27959,198
5,59168874,28248,200
5,53938463,24152,171
5,21987381,11865,84
5,72085366,32048,227
5,43261195,21338,151
5,33434207,16400,116
5,33431850,16256,115
5,35787828,16673,118
5,26700641,13982,99
5,18590822,9895,70
5,43039147,20915,148
5,58838383,28383,201
5,49959887,24442,173
5,58584311,27690,196
5,19566085,10758,76
5,27906871,13429,95
5,25342088,13714,97
5,59709442,27966,198
5,61866120,29939,212
5,45327347,22041,156
5,26439388,13997,99
5,17960654,9607,68
5,2461540,1141,8
5,11198260,5937,42
5,64580468,29651,210
5,27001530,14403,102
5,34809694,17399,123
5,29896269,15848,112
5,15177133,8204,58
5,50630994,22605,160
5,52709482,25982,184
5,62939162,30779,218
5,20275886,11030,78
5,69996451,31767,225
5,12776440,7370,52
5,62405690,30360,215
5,55295918,27397,194
5,29080203,15840,112
5,23189718,12729,90
5,39058248,19502,138
5,40511542,20498,145
5,49476710,24160,171
5,4208723,2126,15
5,42556983,19508,138
5,2548350,1286,9
5,40243538,18230,129
5,50468870,24995,177
5,55587314,27822,197
5,53458471,26689,189
5,46754947,23445,166
5,2576261,1286,9
5,40962633,18512,131
5,22921407,11725,83
5,41111368,19793,140
5,57473030,26685,189
5,45055060,23038,163
5,19748378,10758,76
5,53111631,24580,174
5,57952746,29228,207
5,56722718,28809,204
5,59490668,27683,196
5,23039278,12730,90
5,60201489,30218,214
5,58054234,29519,209
5,55668979,28105,199
5,27821734,15417,109
5,55973499,27963,198
5,61919090,31343,222
5,26272856,14564,103
5,39361722,20916,148
5,65029737,30216,214
5,32889276,17532,124
5,33023421,17522,124
5,24765756,13856,98
5,23663802,13432,95
5,39969920,20912,148
5,58314175,27677,196
5,10805555,6667,47
5,58733726,29521,209
5,58568146,29238,207
5,48703885,24438,173
5,24738761,13417,95
5,19534689,10880,77
5,22043135,12005,85
5,24131966,13426,95
5,41827467,21055,149
5,26343055,14573,103
5,22924679,12578,89
5,21967311,12158,86
5,32515802,16683,118
5,51390364,23448,166
5,28272745,15424,109
5,36159694,18378,130
5,3973791,2126,15
5,43020301,19069,135
5,38580403,17379,123
5,56181613,26131,185
5,63629116,31627,224
5,48814923,24440,173
5,35711409,18232,129
5,2976241,1569,11
5,56742794,26413,187
5,54037003,27544,195
5,59427534,29795,211
5,35802034,18237,129
5,51673481,26559,188
5,55733366,28239,200
5,1686529,717,5
5,53822956,25281,179
5,58639289,29374,208
5,50496900,25710,182
5,31646024,16518,117
5,48416595,25004,177
5,23092767,12864,91
5,45923554,23737,168
5,53848134,27678,196
5,40974687,21204,150
5,24082710,13870,98
5,46754555,23591,167
5,46824356,24586,174
5,47624972,24710,175
5,46701804,24720,175
5,22116451,12434,88
5,14224976,8066,57
5,35577361,17667,125
5,63962614,30636,217
5,49150317,24020,170
5,56860824,27822,197
5,21625787,11441,81
5,63577419,28528,202
5,34739782,17107,121
5,52348554,25985,184
5,55942512,27684,196
5,54198898,26689,189
5,52625029,25839,183
5,2368443,1141,8
5,27872282,14152,100
5,52635328,25146,178
5,1045771,292,2
5,409296,292,2
5,50339294,22741,161
5,43183717,21344,151
5,66401059,29796,211
5,34749764,16672,118
5,48867469,22178,157
5,1008216,292,2
5,2145674,1286,9
5,44183442,19922,141
5,25857357,12582,89
