MVPTREE,EUCLIDEAN,RANDOM,2,4015,159020
k,time,count,disk
5,64111099,30077,213
5,46743792,24157,171
5,51556858,26123,185
5,16498474,9044,64
5,27149854,14981,106
5,11689864,6659,47
5,53722131,24856,176
5,19774803,10895,77
5,32239395,16536,117
5,53464147,24713,175
5,34172123,17245,122
5,2277701,1135,8
5,36909842,16674,118
5,62724480,28668,203
5,60997945,29795,211
5,49300898,24144,171
5,54044082,26830,190
5,60026557,29796,211
5,26522723,14412,102
5,30433830,16256,115
5,61280548,30356,215
5,53250951,26836,190
5,17355319,9343,66
5,57910178,28665,203
5,52935722,25698,182
5,48826785,24294,172
5,53240020,26263,186
5,43554798,22174,157
5,28815185,15532,110
5,49413162,24719,175
5,32388752,16394,116
5,39074969,19213,136
5,64998394,31908,226
5,18018354,9904,70
5,48096695,23865,169
5,56399419,27956,198
5,10138985,5801,41
5,42550732,19357,137
5,8568287,4815,34
5,30057452,15402,109
5,7456535,4391,31
5,56650352,27255,193
5,53794659,26832,190
5,63998175,31906,226
5,37072244,18792,133
5,68341481,31625,224
5,62024804,30636,217
5,42765917,21756,154
5,2439883,1135,8
5,58730720,27253,193
5,34257231,17240,122
5,64366807,30074,213
5,56173780,28527,202
5,41923019,21193,150
5,50223831,25427,180
5,44955098,23302,165
5,32690225,16816,119
5,4174696,2264,16
5,54037617,25000,177
5,38466066,19641,139
5,46146451,23725,168
5,38538666,19630,139
5,34190868,17797,126
5,32854735,16668,118
5,40704592,21048,149
5,59862032,28389,201
5,39514076,20337,144
5,27228630,14125,100
5,66714263,32045,227
5,55888851,27393,194
5,974991,290,2
5,50971401,22887,162
5,12059262,6656,47
5,27603648,13429,95
5,54535599,25417,180
5,59246668,28527,202
5,24933432,13001,92
5,55344921,26973,191
5,40387322,19924,141
5,22224666,10748,76
5,8441725,4819,34
5,50004088,23170,164
5,60213093,28950,205
5,16225388,8644,61
5,36337550,17803,126
5,55848991,25131,178
5,59098866,28948,205
5,61514370,30358,215
5,35117701,17659,125
5,36195963,17803,126
5,22214620,12018,85
5,11902631,6920,49
5,36972817,18647,132
5,48560026,24166,171
5,64557302,31481,223
5,21815195,11879,84
5,5505562,3113,22
5,58498380,26830,190
5,49800573,24580,174
5,51177934,25416,180
5,59308000,28523,202
5,23178745,12300,87
5,10675508,5512,39
5,38971683,18077,128
5,64279730,31061,220
5,47812317,23867,169
5,29039447,15970,113
5,40056776,19637,139
5,29284317,14692,104
5,55747411,26408,187
5,50499478,25284,179
5,9802979,5372,38
5,20964275,10330,73
5,62521332,29656,210
5,14000207,8065,57
5,55899671,27532,195
5,61356812,29795,211
5,20334637,11029,78
5,38402000,19214,136
5,57847349,26122,185
5,25240969,13576,96
5,10974898,6103,43
5,41004256,18649,132
5,6724563,3692,26
5,56328815,26127,185
5,20777375,11156,79
5,20587880,11166,79
5,27412475,13414,95
5,65279089,30214,214
5,44453753,22178,157
5,36746897,18505,131
5,1441408,571,4
5,14529217,7926,56
5,18984203,9759,69
5,21004719,11597,82
5,42159565,20342,144
5,50964253,24998,177
5,53926673,26687,189
5,62008681,30218,214
5,46472948,23321,165
5,829822,148,1
5,44925407,20627,146
5,988966,290,2
5,45346311,20482,145
5,49060678,24572,174
5,35373903,17665,125
5,28858271,14277,101
5,4963363,3118,22
5,63163057,30218,214
5,38700698,19216,136
5,28108805,15122,107
5,58032543,28808,204
5,56159715,27968,198
5,47291267,24008,170
5,29099952,15689,111
5,7407029,4386,31
5,46462697,20764,147
5,47724583,23727,168
5,54958979,25422,180
5,34130228,17092,121
5,38354168,19211,136
5,34738902,17381,123
5,59750619,29933,212
5,8391633,4529,32
5,10430174,5654,40
5,9271111,5385,38
5,21164414,11172,79
5,12782878,7504,53
5,65517300,31062,220
5,4098938,2131,15
5,31711973,16115,114
5,17239568,9466,67
5,1574368,997,7
5,37140587,18078,128
5,42905612,21743,154
5,33381524,16957,120
5,22328968,12162,86
5,33056691,16810,119
5,62554666,30779,218
5,48289646,24287,172
5,54988841,27673,196
5,50610689,25563,181
5,50444179,25417,180
5,39557721,20344,144
5,37178407,19071,135
5,49450866,24997,177
5,39956661,19778,140
5,49895855,25274,179
5,53956733,27539,195
5,63320987,31482,223
5,52269284,26548,188
5,39245105,19923,141
5,24211640,13563,96
5,25443606,14002,99
5,43036272,21761,154
5,8273458,4106,29
5,22886540,12299,87
5,37760790,18377,130
5,51960154,25698,182
5,45876062,23443,166
5,59411502,27822,197
5,27317374,15117,107
5,49128487,24710,175
5,27885955,15550,110
5,18735020,10322,73
5,30301345,15262,108
5,33235095,16535,117
5,36935770,18928,134
5,21572105,12156,86
5,29038472,15824,112
5,51816613,24149,171
5,27888772,15681,111
5,27957667,15250,108
5,11079232,6787,48
5,13287403,7211,51
5,22416287,11596,82
5,53947359,25705,182
5,51987552,26551,188
5,33365323,17100,121
5,43810690,20349,144
5,20217405,11172,79
5,6156702,3558,25
5,41211960,18369,130
5,65102222,28382,201
5,40663224,19500,138
5,16618320,8766,62
5,9920455,5373,38
5,10876744,5655,40
5,49434660,22038,156
5,49127710,23442,166
5,59231976,28099,199
5,18039688,9334,66
5,68265080,30217,214
5,6835186,3834,27
5,68030733,30076,213
5,53369662,25701,182
5,13408346,7498,53
5,12777022,6511,46
5,39900724,17667,125
5,17753791,9186,65
5,25230708,13418,95
5,39705537,17098,121
5,19334242,9889,70
5,3954896,2147,15
5,24754206,12019,85
5,55878936,25565,181
5,38455926,18364,130
5,63146551,30497,216
5,45842828,21892,155
5,4399974,2286,16
5,55351842,24582,174
5,38706237,18785,133
5,30708029,16248,115
5,62018485,29658,210
5,31314588,16250,115
5,22891940,12299,87
5,55343319,26847,190
5,57285963,27533,195
5,53606319,25561,181
5,55475810,26690,189
5,23592756,12592,89
5,56927551,27677,196
5,56237480,27673,196
5,55925830,27117,192
5,22381591,12158,86
5,44486309,21605,153
5,55892440,27249,193
5,38080306,18796,133
5,44221612,19779,140
5,55601591,26968,191
5,25330496,13439,95
5,18836518,10324,73
5,12548378,6511,46
5,26446201,13429,95
5,30442292,16102,114
5,59806812,28246,200
5,6208688,3399,24
5,63974315,29372,208
5,57442253,28670,203
5,47910415,24004,170
5,36536767,17937,127
5,28761893,15687,111
5,39683055,20341,144
5,23141914,12303,87
5,51335915,23301,165
5,21121797,11453,81
5,20880658,10035,71
5,15770566,8635,61
5,22979424,12585,89
5,36694391,17517,124
5,21690810,12015,85
5,34381554,17245,122
5,23998728,13295,94
5,29630330,16111,114
5,26851533,14838,105
5,36487839,18078,128
5,62009130,28806,204
5,46208221,23301,165
5,35675616,17804,126
5,2591658,1566,11
5,56926983,25837,183
5,39535592,20052,142
5,59355648,27398,194
5,28024624,15688,111
5,36706802,18650,132
5,56362795,28391,201
5,1256295,430,3
5,47997552,22600,160
5,56514771,28670,203
5,48430286,25002,177
5,44129613,23022,163
5,45278008,22881,162
5,26928994,14287,101
5,40791564,20342,144
5,53144775,26122,185
5,27819850,14842,105
5,21021367,11590,82
5,43182670,21609,153
5,57315070,27960,198
5,49559937,24566,174
5,41791484,21045,149
5,39012400,17239,122
5,9668236,5382,38
5,32063991,16108,114
5,64720183,30494,216
5,44842886,21893,155
5,55839140,27534,195
5,25111965,13573,96
5,53156549,26551,188
5,20974406,11312,80
5,61841410,30640,217
5,42648719,21622,153
5,57064357,28391,201
5,53547912,26690,189
5,5903197,3275,23
5,23298961,11877,84
5,45993137,21757,154
5,1449586,571,4
5,869084,571,4
5,56206876,25849,183
5,20474512,11300,80
5,57679720,28799,204
5,28422118,15269,108
5,45104716,22876,162
5,1508849,571,4
5,5043801,2852,20
5,40863169,19211,136
5,26858921,13289,94
5,49684063,24289,172
5,45166975,22882,162
5,65986958,30362,215
5,9839601,5523,39
5,58350110,27681,196
5,35558885,17520,124
5,35194171,17940,127
5,21045063,12022,85
5,22151225,11020,78
5,60215307,29236,207
5,34320742,17802,126
5,56443292,27119,192
5,47064426,22600,160
5,19664664,10747,76
5,57307479,27675,196
5,57910512,27964,198
5,51688200,25139,178
5,25853821,13576,96
5,26436119,13848,98
5,51919847,25559,181
5,61707534,30219,214
5,20938783,11022,78
5,41804448,20630,146
5,3288259,1991,14
5,14145078,8065,57
5,49753253,24577,174
5,57180419,28095,199
5,60301317,29369,208
5,32986440,16534,117
5,63185583,30782,218
5,26440063,13993,99
5,67958822,32329,229
5,24746275,13152,93
5,16071837,8918,63
5,60843318,29652,210
5,59966248,29364,208
5,23078046,12435,88
5,39150521,19498,138
5,59058317,26403,187
5,36043970,18079,128
5,48934863,24011,170
5,13659336,7775,55
5,30212473,16252,115
5,49360375,24291,172
5,36149333,18082,128
5,17635777,8340,59
5,24130647,13007,92
5,28551505,14981,106
5,19904276,10895,77
5,55454319,26271,186
5,34961086,17952,127
5,37688665,16949,120
5,47377689,23581,167
5,46995460,23720,168
5,35725093,18223,129
5,52001538,23587,167
5,57903892,28807,204
5,51042456,24995,177
5,62223299,30639,217
5,42894994,21612,153
5,51462884,26269,186
5,29764679,16247,115
5,23678147,13139,93
5,59531621,29799,211
5,60901324,30639,217
5,28975487,15684,111
5,46201482,23585,167
5,24233165,13302,94
5,31990539,16532,117
5,46814426,21465,152
5,46049638,23171,164
5,23642810,13141,93
5,23357676,12990,92
5,40808439,20909,148
5,35247039,18223,129
