MVPTREE,EUCLIDEAN,SELECTION,2,4015,250654
k,time,count,disk
5,29933520,16375,116
5,51851194,26971,191
5,52064560,27812,197
5,21475122,12581,89
5,33590857,17797,126
5,12751513,8081,57
5,48858903,26406,187
5,15845203,9202,65
5,41876708,23028,163
5,46082561,24996,177
5,44874039,24022,170
5,908213,578,4
5,35307585,19065,135
5,53308080,28659,203
5,56346801,29083,206
5,45434282,24433,173
5,56600602,30489,216
5,57008813,30492,216
5,38272849,21048,149
5,18355574,10452,74
5,58735487,30776,218
5,36934800,20623,146
5,11226243,6944,49
5,54676406,29367,208
5,50096111,27108,192
5,51912469,27678,196
5,49212828,26686,189
5,33014744,17659,125
5,34652626,19495,138
5,52785064,28098,199
5,37922116,20341,144
5,46473655,24720,175
5,60211692,31479,223
5,11686912,7225,51
5,48349379,25984,184
5,48728042,25983,184
5,11274730,7082,50
5,36081123,19351,137
5,10383741,6380,45
5,33178119,17374,123
5,8892014,5539,39
5,51959703,28098,199
5,52366513,27955,198
5,58621055,31338,222
5,42965706,23165,164
5,58628166,31476,223
5,57020486,30208,214
5,43683631,23456,166
5,481819,290,2
5,42806655,23437,166
5,40462299,21895,155
5,54862655,28941,205
5,54915655,29086,206
5,44161161,23730,168
5,31470729,16953,120
5,49203059,26263,186
5,38013006,20769,147
5,3396682,2137,15
5,51431284,27251,193
5,42181224,22876,162
5,53636280,28803,204
5,47332001,25845,183
5,34902272,19358,137
5,44182490,23589,167
5,43353144,23024,163
5,41512622,22313,158
5,47757099,25418,180
5,3553040,2266,16
5,53966990,28942,205
5,48295354,26547,188
5,475732,290,2
5,33163518,18222,129
5,6840774,4243,30
5,24641972,14416,102
5,45966756,25277,179
5,54523525,29367,208
5,31362076,17104,121
5,43516533,24149,171
5,41041528,22170,157
5,17098906,10040,71
5,7006580,4249,30
5,21248239,12711,90
5,49947522,26829,190
5,15908881,9484,67
5,32721350,17794,126
5,55890800,28938,205
5,36005907,19066,135
5,57143019,30350,215
5,2580922,1701,12
5,39121983,20759,147
5,21165307,12589,89
5,10526679,6495,46
5,34799883,18792,133
5,31990124,17095,121
5,58918017,31476,223
5,23256704,12585,89
5,5038225,3261,23
5,53836564,28376,201
5,45460530,24439,173
5,53044612,28376,201
5,55276260,29644,210
5,22768732,13431,95
5,6028420,3963,28
5,40104991,21749,154
5,58496397,30911,219
5,44052788,24155,171
5,44843993,24153,171
5,37612214,20351,144
5,20878477,12166,86
5,51565204,27392,194
5,53179708,27954,198
5,9247693,5818,41
5,24014755,14424,102
5,27732893,16095,114
5,7743578,4805,34
5,52321778,28379,201
5,57605529,30630,217
5,21634629,12867,91
5,39690709,21759,154
5,54049295,28800,204
5,33580234,18085,128
5,10746363,6804,48
5,38170532,21044,149
5,7560450,4672,33
5,53576747,28518,202
5,32306412,17660,125
5,40079612,21608,153
5,44211791,23867,169
5,57650471,30630,217
5,36895193,20340,144
5,38888270,21330,151
5,264419,148,1
5,31804259,17385,123
5,30696933,16529,117
5,16485820,9762,69
5,43914664,23588,167
5,56050136,29930,212
5,53483112,28658,203
5,54350907,29224,207
5,44912634,24154,171
5,272102,148,1
5,42275072,22308,158
5,265282,148,1
5,43475498,23731,168
5,47853311,26128,185
5,37306387,20622,146
5,22126763,13152,93
5,865515,578,4
5,56941005,30912,219
5,42536851,23017,163
5,42952231,23032,163
5,37450919,20620,146
5,37053183,20340,144
5,45978468,24147,171
5,30585145,16533,117
5,8528135,5397,38
5,40018995,21760,154
5,47470609,25700,182
5,33525146,18504,131
5,45773201,24991,177
5,37754992,20772,147
5,40437144,22035,156
