MVPTREE,EUCLIDEAN,SSS,2,4015,363927
k,time,count,disk
5,58096906,29661,210
5,53343651,29370,208
5,52794220,28809,204
5,16977152,9889,70
5,34922673,19506,138
5,8499071,5246,37
5,42270171,21335,151
5,16205470,9483,67
5,12700149,7060,50
5,44827436,23302,165
5,36899826,20351,144
5,870804,290,2
5,34805250,16953,120
5,50743164,27828,197
5,55834372,30500,216
5,40363577,22456,159
5,46617241,25703,182
5,57349271,31070,220
5,42335900,23018,163
5,36890241,19930,141
5,52326479,28394,201
5,49461426,26977,191
5,10150606,6232,44
5,57393885,31212,221
5,54992724,28945,205
5,44122716,24296,172
5,39328552,21608,153
5,35445017,19355,137
5,21849556,11582,82
5,50583179,26834,190
5,14824972,8619,61
5,41292481,22608,160
5,72011844,33740,239
5,20652493,11883,84
5,47701927,24717,175
5,57200524,29804,211
5,5102828,3256,23
5,32607833,17662,125
5,3272397,1842,13
5,37647435,17952,127
5,2468368,1280,9
5,53044788,26267,186
5,57092154,30077,213
5,71431097,33176,235
5,28402635,15953,113
5,75360507,34025,241
5,63258763,31209,221
5,34351655,18089,128
5,964734,290,2
5,63115545,30509,216
5,24303210,13840,98
5,58110986,29372,208
5,55338423,28812,204
5,33161629,17942,127
5,47875259,24996,177
5,37678168,19780,140
5,49996861,24011,170
5,7846073,4673,33
5,53007644,27679,196
5,35757583,18932,134
5,53642486,28381,201
5,25860532,14687,104
5,43029812,22315,158
5,28128141,14546,103
5,41948035,21616,153
5,60159868,31345,222
5,47434864,24999,177
5,44615901,23321,165
5,63893668,32755,232
5,51779520,27118,192
5,936762,290,2
5,48638796,23315,165
5,11268713,6081,43
5,22453428,11862,84
5,57659747,28804,204
5,63637993,31914,226
5,38320379,20065,142
5,54949979,28242,200
5,14932002,8616,61
5,13286936,7224,51
5,9580325,5812,41
5,27243675,14984,106
5,46442627,23302,165
5,16726006,8349,59
5,37089943,18797,133
5,31263665,16094,114
5,52413741,26843,190
5,59577100,30365,215
5,31549070,16548,117
5,38818942,18084,128
5,21868038,11180,79
5,43520949,21482,152
5,38949860,20347,144
5,35994124,19513,138
5,79679284,34727,246
5,22414203,12306,87
5,4888032,3121,22
5,47976370,23724,168
5,42550884,22175,157
5,54268491,27959,198
5,52752144,27817,197
5,21267709,11887,84
5,21857098,11443,81
5,38211959,18649,132
5,65315010,31346,222
5,31005927,16814,119
5,16308131,8899,63
5,41336471,19779,140
5,6825382,3961,28
5,61282838,29794,211
5,16289659,9324,66
5,9727533,5812,41
5,24532213,12730,90
5,55840823,28114,199
5,8848858,5375,38
5,64821647,31205,221
5,59056278,31069,220
5,20128225,11463,81
5,41413121,21896,155
5,61502085,32190,228
5,20899274,11734,83
5,8598420,5246,37
5,38169607,17949,127
5,4996978,2834,20
5,48222354,22458,159
5,26209848,14688,104
5,40368992,20776,147
5,32398247,16942,120
5,68282172,32753,232
5,46955181,24292,172
5,40068150,20762,147
5,1024168,290,2
5,9384368,5087,36
5,27888822,15264,108
5,8743619,5243,37
5,35288794,16945,120
5,32767699,17365,123
5,54825747,28242,200
5,55742054,29235,207
5,41457794,22040,156
5,988448,290,2
5,47869760,23303,165
5,977990,290,2
5,48073793,23447,166
5,48478209,25008,177
5,28444392,15974,113
5,26517379,15119,107
5,977612,290,2
5,61965383,29940,212
5,16473491,9182,65
5,38032948,17817,126
5,54635114,28105,199
5,58500067,30500,216
5,44979012,24153,171
5,23505985,13292,94
5,2605455,1700,12
5,36499251,19223,136
5,53949799,28103,199
5,53144606,27966,198
5,50243181,26271,186
5,40172844,21474,152
5,44101856,23590,167
