MVPTREE,EUCLIDEAN,WDR,2,4015,359261
k,time,count,disk
5,43454720,22451,159
5,49284010,27956,198
5,52670611,29792,211
5,15563069,9465,67
5,35387953,19775,140
5,13973460,8227,58
5,43369896,25135,178
5,13899995,8489,60
5,17133358,10598,75
5,50564934,25993,184
5,36064255,20348,144
5,3469513,2001,14
5,40904075,20905,148
5,52687953,29650,210
5,53039245,30214,214
5,41203007,23592,167
5,48352048,27536,195
5,45213999,24996,177
5,37833621,21607,153
5,23013469,12723,90
5,41880695,22873,162
5,49900354,27538,195
5,12071962,7785,55
5,53432812,29936,212
5,51710138,29656,210
5,23735748,14544,103
5,45486139,25708,182
5,39587848,22315,158
5,22433641,13702,97
5,50510698,28249,200
5,32710015,18789,133
5,32860428,18655,132
5,57450012,32047,227
5,11812579,7648,54
5,45074856,25560,181
5,54292969,30355,215
5,10144982,6511,46
5,28766698,15975,113
5,9135493,5818,41
5,26189814,16118,114
5,5242080,3548,25
5,54604510,29087,206
5,56227842,31201,221
5,56538672,31907,226
5,40933357,23027,163
5,58758603,32750,232
5,54756108,31059,220
5,35136903,20067,142
5,797177,150,1
5,52522309,27955,198
5,20827630,12432,88
5,55780580,29228,207
5,49124939,28101,199
5,40482559,20918,148
5,40206663,23028,163
5,44072206,25142,178
5,40279732,22311,158
5,8498511,4536,32
5,52502277,27678,196
5,38331009,21901,155
5,55111422,31206,221
5,44496056,25001,177
5,33321505,19357,137
5,20451933,12432,88
5,34511197,17373,123
5,56797390,30215,214
5,44441566,25430,180
5,34924187,19776,140
5,62273522,32186,228
5,53990600,30503,216
5,785313,150,1
5,45863380,23732,168
5,10735579,6805,48
5,16507479,10168,72
5,54638804,28530,202
5,44129534,24568,174
5,33834042,19649,139
5,19190154,11579,82
5,41385265,23450,166
5,16324527,10032,71
5,9538436,5381,38
5,32835063,17238,122
5,53463030,28106,199
5,15030155,8795,62
5,37118481,18367,130
5,51078566,26830,190
5,47704373,27115,192
5,53634699,29933,212
5,26308612,15969,113
5,38025589,21472,152
5,14889300,8775,62
5,40222834,20628,146
5,28824058,16526,117
5,29804518,16534,117
5,61314468,32185,228
5,18971817,11588,82
5,6256595,3822,27
5,54081619,28103,199
5,34230828,19498,138
5,53345786,27394,194
5,51069619,28809,204
5,17412906,10199,72
5,25015238,14424,102
5,41494674,22178,157
5,52999083,29791,211
5,36504342,21050,149
5,18742171,11443,81
5,37955196,21901,155
5,18576850,11303,80
5,48139834,27815,197
5,42613799,24300,172
5,8086172,4828,34
5,18086328,9918,70
5,37027266,20196,143
5,11783506,7510,53
5,52324637,29648,210
5,54497629,30636,217
5,17214310,10482,74
5,44770886,22757,161
5,51939209,29374,208
5,28774647,16397,116
5,5983208,3402,24
5,36212225,18655,132
5,2219243,1417,10
5,48025445,25282,179
5,23249613,14125,100
5,29965533,17384,123
5,18141244,11018,78
5,58442529,32469,230
5,39656981,23021,163
5,36328885,20759,147
5,742460,150,1
5,9839498,5796,41
5,26693839,15405,109
5,16459097,10173,72
5,24682912,15108,107
5,55275718,30502,216
5,50664751,28100,199
5,51918200,29510,209
5,40460520,23448,166
