OMNIKDTREE,EUCLIDEAN,CONVEX,2,4015,389592
k,time,count,disk
5,26537919,35821,126
5,21438800,30422,107
5,25096661,35539,125
5,14163774,20472,72
5,24639455,34972,123
5,10691056,15370,54
5,20300632,29001,102
5,21079720,30148,106
5,21074472,30139,106
5,3034203,4557,16
5,23267484,33264,117
5,4238320,6261,22
5,25435787,36106,127
5,25408230,36106,127
5,25655077,36387,128
5,25468549,36106,127
5,24584990,34969,123
5,25494603,36384,128
5,25660867,35823,126
5,15446810,22176,78
5,24674804,35253,124
5,25490355,36106,127
5,18760442,26451,93
5,25308817,36106,127
5,25620275,36388,128
5,21462553,30422,107
5,25592446,36106,127
5,24617212,34687,122
5,22501666,31276,110
5,25113306,35821,126
5,24637896,34688,122
5,25400579,36106,127
5,25858114,36384,128
5,19355182,27587,97
5,25496505,36106,127
5,21224434,30425,107
5,18255852,26168,92
5,24437012,34689,122
5,13875277,19918,70
5,25303927,35823,126
5,13513046,19350,68
5,24511822,34970,123
5,24113955,34115,120
5,25771099,36385,128
5,7068249,10240,36
5,25395742,36383,128
5,25639301,36384,128
5,23698743,33548,118
5,1503427,2283,8
5,23798857,34115,120
5,3139809,4557,16
5,25481537,36388,128
5,25085590,35538,125
5,23984647,34118,120
5,24998635,35538,125
5,25640321,36106,127
5,25467238,35823,126
5,7675112,11097,39
5,25210338,36106,127
5,25227011,35539,125
5,23715120,33832,119
5,22099697,31560,111
5,25543540,36106,127
5,17136015,24737,87
5,25514354,36106,127
5,10171819,14787,52
5,22616306,32696,115
5,16136323,23316,82
5,25784535,36387,128
5,22035412,31560,111
5,988180,1426,5
5,24937828,35538,125
5,19796302,27878,98
5,17567174,25305,89
5,20091432,28433,100
5,25321173,36106,127
5,17236756,24737,87
5,22928604,32982,116
5,25938956,35539,125
5,21220198,30148,106
5,16574829,23324,82
5,20224063,29001,102
5,21800108,31275,110
5,18543300,26172,92
5,25264263,35823,126
5,23693751,33832,119
5,25114102,35538,125
5,25735545,36385,128
5,25247202,35538,125
5,1747345,2570,9
5,21176791,30148,106
5,15225357,21892,77
5,25241203,36106,127
5,23135600,32981,116
5,25757872,36387,128
5,21940421,31287,110
5,12159458,17358,61
5,25333911,36106,127
5,24394810,34400,121
5,24922609,35537,125
5,25579136,36106,127
5,20895068,29867,105
5,8466957,11944,42
5,23255636,33549,118
5,25665031,36384,128
5,24772027,35254,124
5,21314486,30432,107
5,23898932,33549,118
5,12611796,18201,64
5,25512216,36106,127
5,24963283,35538,125
5,13873682,19917,70
5,20650001,29288,103
5,23309952,33264,117
5,18894430,26739,94
5,25525375,36384,128
5,23594761,32979,116
5,20919741,29580,104
5,22294553,31277,110
5,25503143,36386,128
5,24038609,34121,120
5,16815620,23894,84
5,24686543,35254,124
5,9344808,13382,47
5,25321882,36106,127
5,18818419,27015,95
5,4521640,5693,20
5,16841497,25020,88
5,25844673,36386,128
5,24928818,34970,123
5,25540421,35823,126
5,982737,1426,5
5,20617899,29286,103
5,16893810,23894,84
5,21301928,29864,105
5,22462306,32128,113
5,25027729,35538,125
5,25987069,36388,128
5,25595022,36385,128
5,23857283,33832,119
5,603507,860,3
5,25445605,35823,126
5,998140,1426,5
5,23679359,33549,118
5,24704526,34970,123
5,24515078,34689,122
5,22948742,32421,114
5,7442122,10812,38
5,25371314,35821,126
5,25042543,35538,125
5,23237975,32981,116
5,25549954,36106,127
5,25581945,36106,127
5,25862017,36106,127
5,23871735,33836,119
5,12089357,17072,60
5,24905758,35538,125
5,22588679,32128,113
5,23992853,33832,119
5,22088656,31277,110
5,25613887,36106,127
