OMNIKDTREE,EUCLIDEAN,FFT,2,4015,281794
k,time,count,disk
5,25806650,34969,123
5,25477137,36106,127
5,25456522,36106,127
5,22984894,32419,114
5,4738417,7111,25
5,14223844,20485,72
5,24836139,35257,124
5,22967329,32415,114
5,24937065,35257,124
5,3536346,5125,18
5,24652553,34970,123
5,7969160,11668,41
5,2324480,3420,12
5,17602491,25594,90
5,5454962,7964,28
5,25742795,36106,127
5,5338710,7964,28
5,23643280,33549,118
5,25187254,35257,124
5,24923539,34691,122
5,25835330,36106,127
5,25895523,36106,127
5,22180171,30999,109
5,17712331,25027,88
5,25808468,36106,127
5,17700098,25027,88
5,25907838,36106,127
5,26215209,36106,127
5,24539825,34401,121
5,25936707,36106,127
5,24821570,34691,122
5,25404687,35257,124
5,26193880,36384,128
5,22879853,31848,112
5,26020390,36106,127
5,23929302,33547,118
5,21490581,29865,105
5,25278629,34974,123
5,19983742,27871,98
5,25693364,34691,122
5,18108449,25029,88
5,25946904,36106,127
5,7567526,10807,38
5,26006799,36385,128
5,7978730,11376,40
5,25784961,36106,127
5,25874256,36106,127
5,25181974,34970,123
5,2210651,3134,11
5,25698401,36106,127
5,3611214,5125,18
5,26066274,36105,127
5,25872125,36106,127
5,25142610,34970,123
5,25382984,35257,124
5,25958344,36106,127
5,26208452,36106,127
5,10973494,15363,54
5,18150781,25310,89
5,25261238,35257,124
5,24100518,33549,118
5,4599465,6545,23
5,25855417,36105,127
5,25433717,35257,124
5,25062537,34691,122
5,11613506,16493,58
5,25705665,35822,126
5,19160799,26730,94
5,26150193,36386,128
5,26098247,36106,127
5,1051536,1427,5
5,25570257,35822,126
5,19998744,27585,97
5,24170997,33555,118
5,25821811,36106,127
5,26086635,36105,127
5,24953185,34691,122
5,7277902,10240,36
5,25270634,35257,124
5,20802027,28719,101
5,20429818,28436,100
5,25385002,35538,125
5,22722120,31560,111
5,21447692,29859,105
5,25104944,34691,122
5,5628413,7964,28
5,25872224,36106,127
5,26057631,36105,127
5,25121022,34691,122
5,3916864,4557,16
5,24025572,33555,118
5,24415606,33837,119
5,25421848,35257,124
5,22207218,30990,109
5,26150706,36106,127
5,24415407,33555,118
5,2218349,3134,11
5,25781831,36106,127
5,24577332,34117,120
5,25239079,35253,124
5,26342214,36385,128
5,23744320,32988,116
5,4579991,6543,23
5,25538597,35257,124
5,26207444,36384,128
5,25936990,36106,127
5,20274052,28434,100
5,23650496,32982,116
5,17451436,24462,86
5,24269931,33549,118
5,25825074,36106,127
5,19260034,26729,94
5,22784763,31850,112
5,25942608,36106,127
5,20305861,28153,99
5,26261404,36384,128
5,26146152,36386,128
5,24382884,33555,118
5,25281846,35257,124
5,26200126,36385,128
5,23715490,32985,116
5,20093215,27876,98
5,24820685,34689,122
5,14183479,19628,69
5,25820657,36106,127
5,21944191,30706,108
5,24806402,34408,121
5,8100216,11374,40
5,25994587,36386,128
5,26012189,36106,127
5,26454412,36106,127
5,1832211,2566,9
5,22120804,31000,109
5,25360250,34691,122
5,16858206,23603,83
5,24079968,32699,115
5,21660026,30422,107
5,5165031,7395,26
5,15845153,22183,78
5,23946669,33551,118
5,678048,860,3
5,26051677,36106,127
5,1066147,1427,5
5,25394400,35257,124
5,16578339,23319,82
5,25001567,34691,122
5,25080892,34691,122
5,11172473,15931,56
5,21701998,30422,107
5,25103354,34969,123
5,24116833,33552,118
5,26093824,36106,127
5,22726103,31841,112
5,26157677,36106,127
5,24191700,33555,118
5,17504661,24462,86
5,25393340,35257,124
5,22361679,31273,110
5,19620111,27297,96
5,26046419,36106,127
5,26135481,36106,127
5,25641347,35257,124
5,4787199,6829,24
5,21766697,30429,107
5,22674767,31284,110
5,21961814,30431,107
5,21933011,30146,106
5,4770676,6828,24
5,25850236,36388,128
5,14424126,20198,71
5,26194963,36106,127
5,10415436,14788,52
5,12200665,17063,60
5,12057052,17060,60
5,23700750,33265,117
5,24275072,33839,119
5,24949925,34408,121
5,26080960,36106,127
5,26316452,36386,128
5,25990646,36106,127
5,22475232,31273,110
5,25964606,36106,127
5,26124990,36106,127
5,25962316,36106,127
5,8834453,12515,44
5,25805159,36106,127
5,26391266,35257,124
5,24169705,33547,118
5,25932366,36106,127
5,26009735,36106,127
5,25962447,36105,127
5,26146560,36106,127
5,23395427,32702,115
5,24094669,33555,118
5,26095884,36106,127
5,2234023,3132,11
5,24187760,33555,118
5,22951575,32132,113
5,26188799,36106,127
5,25050953,34970,123
5,25890652,36106,127
5,25025080,34691,122
5,25994279,36106,127
5,25103007,34691,122
5,24312567,33555,118
5,24280969,33555,118
5,24710429,34408,121
5,25480721,35538,125
5,25116519,34691,122
5,21895454,30422,107
5,25436545,35538,125
5,24119522,33555,118
5,25978664,36106,127
5,24488013,33555,118
5,24490327,33841,119
5,25549768,35257,124
5,26063695,36106,127
5,25162199,34968,123
5,26225045,36106,127
5,17786965,24744,87
5,24430256,34123,120
5,12939147,18204,64
5,24906486,34691,122
5,26277644,36106,127
5,25516603,35538,125
5,24776609,34408,121
5,15211506,21334,75
5,20454276,28437,100
5,25338330,35257,124
5,19066304,25594,90
5,22241982,30989,109
5,23126181,31848,112
5,21057323,29569,104
5,17792256,24747,87
5,11549993,16491,58
5,12059931,17060,60
5,21898620,30711,108
5,22482235,30999,109
5,25465531,35257,124
5,23664332,32988,116
5,26017378,36106,127
5,24996660,34691,122
5,25168617,34691,122
5,11255389,15931,56
5,24223459,33555,118
5,24753779,34685,122
5,24948445,34685,122
5,26097284,36106,127
5,26152416,36106,127
5,10064757,14222,50
5,25897141,36106,127
5,26070052,36106,127
5,25187626,34691,122
5,25648687,35821,126
5,20735242,29003,102
5,24613281,33555,118
5,17731485,25027,88
5,26122661,36388,128
5,26246546,36106,127
5,25682559,35821,126
5,23191342,32135,113
5,25877830,36106,127
5,26072998,36106,127
5,25842832,36106,127
5,26206553,36106,127
5,25908154,36106,127
5,26289316,36386,128
5,25754851,35539,125
5,24862983,34691,122
5,26167804,36387,128
5,23615183,32986,116
5,25126236,34691,122
5,23049646,31565,111
5,24507459,32985,116
5,24992777,34691,122
5,6812208,9673,34
5,14893117,21044,74
5,26221373,36388,128
5,17948611,25310,89
5,26225707,36106,127
5,25703211,35257,124
5,25280825,35257,124
5,26107782,36106,127
5,23930608,33271,117
5,25998790,36106,127
5,25036571,34691,122
5,16210156,22749,80
5,24061918,33271,117
5,1881420,2570,9
5,25965504,36106,127
5,23185490,32132,113
5,23041908,32133,113
5,24113829,33555,118
5,20498145,28437,100
5,26164713,36106,127
5,24447910,34121,120
5,12189430,17061,60
5,26030559,36106,127
5,23931418,33266,117
5,7984536,11389,40
5,25437302,35538,125
5,26086632,36106,127
5,26078479,36106,127
5,25086741,34691,122
5,25434610,35538,125
5,3615607,5123,18
5,5255308,7678,27
5,25414501,35257,124
5,22671288,31841,112
5,26119093,36106,127
5,22011748,30989,109
5,25784348,36106,127
5,25138087,34691,122
5,25018105,34973,123
5,26251335,36388,128
5,20937094,29286,103
5,25153210,34691,122
5,26042371,36106,127
5,26150990,36106,127
5,5185260,7395,26
5,25902879,35257,124
5,24343729,34120,120
5,23216986,32137,113
5,26168675,36106,127
5,26331456,36383,128
5,3224720,4557,16
5,25992019,36106,127
5,24574554,34407,121
5,23529693,32982,116
5,23076875,32133,113
5,26067259,36386,128
5,24956652,34685,122
5,3607956,5123,18
5,4575703,6828,24
5,12208751,17350,61
5,24269731,33555,118
5,25842878,36106,127
5,489170,575,2
5,277647,575,2
5,1763622,2570,9
5,23976652,33555,118
5,26011618,36106,127
5,25135687,34973,123
5,26087303,36106,127
5,482510,575,2
5,14861575,21043,74
5,24790950,34691,122
5,21669695,34687,122
5,21723112,36385,128
5,21436124,36106,127
5,21413438,36386,128
5,18599915,30716,108
5,24036768,36106,127
5,22201700,34691,122
5,2605422,4557,16
5,20121538,32415,114
5,18638865,30706,108
5,19306449,31560,111
5,21565493,35257,124
5,1845880,3420,12
5,22666328,36106,127
5,20104717,31848,112
5,12123760,20480,72
5,22083657,36386,128
5,22067359,35257,124
5,22049603,34691,122
5,22783832,36106,127
5,14499821,23886,84
5,21795490,35821,126
5,20241626,32415,114
5,22470068,36106,127
5,7778940,12515,44
5,21811863,35257,124
5,21870105,35257,124
5,22749570,36106,127
5,2530917,4557,16
5,18788634,29007,102
5,12987920,20474,72
5,19311315,32415,114
5,22350358,36106,127
5,22059609,34974,123
5,19891761,31283,110
5,24272689,36385,128
5,23530902,34970,123
5,21519009,31854,112
5,22348455,33832,119
5,24307926,36106,127
5,24919269,36387,128
5,24574508,36106,127
5,4270407,7112,25
5,23269466,34691,122
5,4064706,6545,23
5,23588527,34691,122
5,5907842,9390,33
5,22042342,33271,117
5,24098126,35257,124
5,21628638,31848,112
5,23925855,36106,127
5,22791468,33551,118
5,22901180,33832,119
5,24297012,36106,127
5,24800733,36383,128
5,22674589,33555,118
5,23680193,34691,122
5,24260190,36106,127
5,3325833,5125,18
5,24117442,36106,127
5,24458322,36106,127
5,24617722,36106,127
5,23888615,35257,124
5,23557861,34973,123
5,23993783,35538,125
5,7360674,11091,39
5,23818933,35257,124
5,24688667,36106,127
5,19399194,29007,102
5,23577232,34691,122
5,24414596,36106,127
5,24681386,36106,127
5,23846037,34974,123
5,16641873,25310,89
5,4794365,7395,26
5,23466402,34973,123
5,14803405,22183,78
5,13254788,19628,69
5,24050112,36106,127
5,24632026,36106,127
5,25076076,36106,127
5,22444600,32985,116
5,23933941,35257,124
5,23949374,35257,124
5,24268108,36106,127
5,7189255,10809,38
5,22124531,32415,114
5,22339837,33832,119
5,22618683,33555,118
5,18443288,27306,96
5,23630314,35257,124
5,19692729,29286,103
5,21041265,31279,110
5,15342950,23319,82
5,23662687,34691,122
5,24614850,36106,127
5,24352013,36384,128
5,23521554,34691,122
5,24429980,36383,128
5,7561914,11664,41
5,23386913,34691,122
5,24373035,36106,127
5,8923215,13370,47
5,23716413,36106,127
5,23762956,35257,124
5,22628902,33835,119
5,24446724,36106,127
5,24386654,36106,127
5,24310257,36106,127
5,9099518,13652,48
5,23608687,35257,124
5,24147938,35257,124
5,7026586,10527,37
5,22348427,33555,118
5,19944432,30139,106
5,20735738,30713,108
5,24388288,36386,128
5,24532942,36106,127
5,23209147,34402,121
5,23558796,34691,122
5,24748466,36106,127
5,22599768,33551,118
5,24631921,36106,127
5,17933541,26738,94
5,23783249,35257,124
5,24337895,36385,128
5,24092859,35252,124
5,25020799,36106,127
5,22495441,33271,117
5,24038204,35538,125
5,24613904,36106,127
5,22366010,32986,116
5,22331108,33549,118
5,22877007,33838,119
5,23137072,34968,123
5,17418192,26156,92
5,17007037,25597,90
5,24242000,36106,127
5,19145220,28434,100
5,24169426,36106,127
5,24090022,35257,124
5,21845553,32419,114
5,23594006,34691,122
5,21377926,31849,112
5,24318702,36106,127
5,17447768,26164,92
5,20180804,30429,107
5,8146311,12515,44
5,22529717,33838,119
5,24299929,36106,127
5,24736960,36383,128
5,24328623,36106,127
5,24125193,35821,126
5,21730933,32412,114
5,23435651,34691,122
5,24372255,36384,128
5,24750634,36106,127
5,23535697,34691,122
5,23731795,34691,122
5,22853959,33555,118
5,23697994,34691,122
5,11571935,17067,60
5,21873504,32698,115
5,24433544,36388,128
5,22453426,33265,117
5,20782783,30996,109
5,17382984,26161,92
5,24347049,36106,127
5,24833299,36106,127
5,22839209,33838,119
5,12792191,19338,68
5,6151761,9389,33
5,23165965,34689,122
5,21134988,31281,110
5,24367279,36106,127
5,25074349,36106,127
5,2599442,3987,14
5,18313853,27301,96
5,24668296,36106,127
5,24493569,36106,127
5,24450588,36386,128
5,11341059,17060,60
5,22986122,34691,122
5,23829291,35257,124
5,4348280,6545,23
5,22828947,34118,120
5,24509398,36106,127
5,20284350,29865,105
5,23973699,35257,124
5,22084917,32418,114
5,23907537,36105,127
5,20374395,30430,107
5,23511790,34691,122
5,24549786,36106,127
5,4361864,6829,24
5,19790444,29857,105
5,14734898,22179,78
5,23387458,35257,124
5,7468079,11376,40
5,23656410,36386,128
5,23448333,34691,122
5,24447352,36106,127
5,14294537,21610,76
5,23263113,34691,122
5,21630333,32982,116
5,14784906,21899,77
5,24315565,36106,127
5,21109950,31558,111
5,24504136,36383,128
5,7440335,11376,40
5,16308328,25588,90
5,16374487,24744,87
5,22943019,34121,120
5,23465469,34691,122
5,24463414,36106,127
5,24103301,35257,124
5,23577248,34691,122
5,24900494,36106,127
5,23823309,35822,126
5,24600722,36386,128
5,23786112,35257,124
5,19885721,29854,105
5,23225287,34408,121
5,24272163,36106,127
5,11945512,18195,64
5,24464327,36106,127
5,23876580,35257,124
5,21324061,31566,111
5,23781417,35257,124
5,4730896,7395,26
5,2795687,4557,16
5,19872366,30430,107
5,23860976,35257,124
5,20120244,29865,105
5,20535887,30711,108
5,24425565,36386,128
5,24352923,36106,127
5,12002630,17915,63
5,23129470,34691,122
5,23431808,34691,122
5,24480437,36106,127
5,24046869,35257,124
5,23824109,34691,122
5,14327671,21053,74
5,15614321,23605,83
5,23576916,35257,124
5,24547753,36106,127
5,23220565,34685,122
5,9068054,13653,48
5,23691799,34691,122
5,23564970,35257,124
5,23720306,34691,122
5,21880200,32982,116
5,18597884,27873,98
5,24114200,36106,127
5,9345396,14220,50
5,23192342,34691,122
5,24525107,36106,127
5,2617686,3989,14
5,24684251,36106,127
5,23718054,35822,126
5,21345727,31558,111
5,24234255,36106,127
5,24555821,36106,127
5,24660994,36387,128
5,1259238,2286,8
5,14329140,22183,78
5,24325130,36106,127
5,23516924,34968,123
5,24457028,36106,127
5,24069814,35538,125
5,19631495,29569,104
5,24216074,36106,127
5,7299807,11091,39
5,23427423,36106,127
5,12616363,19340,68
5,25057364,36106,127
5,18185864,27009,95
5,18231578,27581,97
5,23048240,34124,120
5,2065161,3420,12
5,11999672,17638,62
5,21032969,31558,111
5,23322495,34405,121
5,23401449,34691,122
5,19029135,28437,100
5,24380508,36106,127
5,6209386,9673,34
5,15812957,24463,86
5,11091177,17061,60
5,22610449,33555,118
5,23580511,35254,124
5,22003618,32415,114
5,23879234,36105,127
5,17896896,26730,94
5,24312894,36105,127
5,7164679,10807,38
5,21567649,32419,114
5,24420159,36106,127
5,24307982,36106,127
5,24715881,36388,128
5,21704251,32415,114
5,23613461,34691,122
5,24476672,36386,128
5,21846686,32132,113
5,20042919,29858,105
5,22654832,33555,118
5,21887212,32132,113
5,22199692,33549,118
5,24456048,36106,127
5,15768963,23886,84
5,24237525,36106,127
5,18599221,27870,98
5,23291812,34691,122
5,24503752,36106,127
5,24331032,36106,127
5,21269719,31841,112
5,24387114,36106,127
5,23732517,34691,122
5,24524488,36106,127
5,23717642,35821,126
5,9060435,13653,48
5,7637947,12515,44
5,4681000,7964,28
5,20822409,32411,114
5,24216646,36106,127
5,24571402,36383,128
5,21002868,31273,110
5,4407327,6829,24
5,25399900,36388,128
5,24564914,36106,127
5,24562652,36106,127
5,24371163,36106,127
5,24113662,35821,126
5,19957471,29865,105
5,23482861,34970,123
5,19734008,29286,103
5,9790189,14787,52
5,17447781,27014,95
5,24263639,36106,127
5,24446960,36386,128
5,24275410,35821,126
5,6816021,10240,36
5,24060847,36106,127
5,24537906,36106,127
5,23926183,35257,124
5,22579198,33552,118
5,24059926,35257,124
5,18017142,26731,94
5,23314508,34691,122
5,24433456,36106,127
5,18306375,27305,96
5,23748341,36106,127
5,22970623,33835,119
5,24544444,36384,128
5,22726158,33551,118
5,23825291,35257,124
5,23925601,35257,124
