OMNIKDTREE,EUCLIDEAN,GNAT,2,4015,280837
k,time,count,disk
5,23221978,31843,112
5,25493144,36387,128
5,25283374,36387,128
5,22507361,32418,114
5,25050512,36106,127
5,6049771,9105,32
5,24885686,36106,127
5,23308646,33553,118
5,25252878,36106,127
5,3168916,4554,16
5,9072237,13648,48
5,2239114,3706,13
5,25387838,36106,127
5,20301346,29569,104
5,25183562,36383,128
5,24981046,35821,126
5,24747331,35537,125
5,10926872,15925,56
5,24520114,34972,123
5,18689972,27009,95
5,25569118,36385,128
5,23628067,33832,119
5,20929863,30148,106
5,23619331,34115,120
5,20614347,29569,104
5,25030192,36106,127
5,7732763,11376,40
5,25358334,36106,127
5,21816011,31560,111
5,22041094,31843,112
5,18244370,26441,93
5,14999963,21610,76
5,25715177,35821,126
5,20779719,28720,101
5,9391316,13648,48
5,20708287,30708,108
5,19534737,28441,100
5,6464301,9672,34
5,6548244,10244,36
5,23514434,33838,119
5,12093794,17642,62
5,7635653,11376,40
5,24499996,35821,126
5,25193826,36385,128
5,6967795,10240,36
5,24599099,36383,128
5,25239759,36383,128
5,4613124,6829,24
5,755075,1146,4
5,23856982,35253,124
5,3097929,4554,16
5,25037306,36387,128
5,17913788,26156,92
5,11773672,17346,61
5,24918251,36106,127
5,25068168,36106,127
5,25321326,36106,127
5,9081700,13083,46
5,23431003,34115,120
5,25026449,36106,127
5,21034421,30705,108
5,22944207,33264,117
5,24962783,36106,127
5,21905201,31560,111
5,3087566,4557,16
5,9747960,14787,52
5,24772262,36106,127
5,21297076,30997,109
5,25381077,36383,128
5,25063131,36384,128
5,579359,860,3
5,24519986,35538,125
5,15550650,22753,80
5,23108765,33270,117
5,25092374,36386,128
5,25189317,36383,128
5,18377759,26739,94
5,22039223,32412,114
5,21929480,31560,111
5,21630442,31277,110
5,15498303,22755,80
5,20889204,30422,107
5,21434281,30990,109
5,9862247,14510,51
5,20673297,30422,107
5,25076508,36384,128
5,24821726,35821,126
5,21843070,31843,112
5,25131242,36106,127
5,1523688,2286,8
5,18230896,26726,94
5,21920055,31560,111
5,4543576,6829,24
5,22813980,32982,116
5,25235021,36385,128
5,4579640,6829,24
5,12481683,18204,64
5,21319622,30705,108
5,21057444,30705,108
5,24332314,35252,124
5,18694864,27009,95
5,15944825,23316,82
5,13408438,19904,70
