OMNIKDTREE,EUCLIDEAN,HFI,2,4015,218953
k,time,count,disk
5,8343784,11945,42
5,12089122,19345,68
5,13843280,22191,78
5,8775623,13951,49
5,11308261,18774,66
5,4237207,6842,24
5,11112709,18205,64
5,7704011,13100,46
5,10585010,17074,60
5,12932750,21614,76
5,10852872,17074,60
5,931440,1712,6
5,11995954,19914,70
5,13377002,21903,77
5,15775132,24746,87
5,13979569,22190,78
5,13818544,22188,78
5,15456925,24180,85
5,11064351,18207,64
5,4825440,8254,29
5,9366652,15646,55
5,12260147,20761,73
5,7557153,12251,43
5,13436487,21898,77
5,15267152,23892,84
5,11647579,18775,66
5,14217972,22756,80
5,12926365,20195,71
5,10639441,17067,60
5,12360220,20759,73
5,9235702,14798,52
5,11236113,19064,67
5,16468402,26165,92
5,7093099,12251,43
5,14156007,23044,81
5,10646060,17065,60
5,7313985,11665,41
5,10357916,17072,60
5,4071864,7113,25
5,9992031,16790,59
5,3375771,5691,20
5,14232302,23037,81
5,14009681,22188,78
5,19258543,29860,105
5,11116114,17066,60
5,15987413,26171,92
5,16228983,25594,90
5,12391339,19055,67
5,148892,290,1
5,8728114,14793,52
5,9050555,15079,53
5,15337305,25602,90
5,13036558,20761,73
5,11977549,18780,66
5,10780941,18206,64
5,12443163,19921,70
5,12344423,19921,70
5,3310869,5692,20
5,13978743,22752,80
5,11081798,17638,62
5,13788163,22471,79
5,10781886,17072,60
5,13829366,22181,78
5,12446378,18771,66
5,11544260,18774,66
5,14063180,22471,79
5,11882231,19346,68
5,1443454,2568,9
5,17409419,27307,96
5,13488548,21048,74
5,185145,290,1
5,10386108,17070,60
5,3707895,6265,22
5,8668039,13951,49
5,12971532,21905,77
5,15034924,23605,83
5,10031896,15940,56
5,12009498,19913,70
5,11479238,18490,65
5,7906711,13100,46
5,6379497,11104,39
5,6796542,11380,40
5,13297161,22188,78
5,5671347,9686,34
5,11047207,18211,64
5,13006891,21613,76
5,9006375,14510,51
5,14958139,24463,86
5,1704997,2851,10
5,13910133,21626,76
5,8183262,13671,48
5,2292889,3987,14
5,10852017,17642,62
5,6232982,10536,37
5,18029431,29009,102
5,8598801,14237,50
5,4812807,7967,28
5,13777673,21898,77
5,12529288,19908,70
5,16364002,26445,93
5,16092228,25028,88
5,7529887,11959,42
5,1168546,2000,7
5,11143592,18213,64
5,15765462,25598,90
5,12843967,20195,71
5,9903475,15939,56
5,9159667,15653,55
5,6570802,11112,39
5,14392143,23888,84
5,11761286,18489,65
5,3974798,7113,25
5,6792071,11672,41
5,4848209,8252,29
5,2033388,3707,13
5,17542162,28154,99
5,16366179,25602,90
5,7245738,11959,42
5,10639343,17073,60
5,15183034,24745,87
5,8721716,13378,47
5,3906635,7397,26
5,9410689,16506,58
5,1911834,3417,12
5,12899990,21054,74
