OMNIKDTREE,EUCLIDEAN,IS,2,4015,80437
k,time,count,disk
5,16022333,22744,80
5,14376591,24172,85
5,16577918,27298,96
5,8001489,13373,47
5,12805430,21614,76
5,3779453,6833,24
5,12973162,21897,77
5,6041861,10816,38
5,9133585,15927,56
5,14674369,25023,88
5,12122399,20474,72
5,2040981,3423,12
5,12884367,21609,76
5,14412165,23882,84
5,15068356,25590,90
5,14083692,23601,83
5,14774891,25303,89
5,15462378,25872,91
5,12775030,21330,75
5,9492721,16494,58
5,14547948,24168,85
5,14380692,24452,86
5,4133641,7396,26
5,16993416,27865,98
5,15998897,26724,94
5,13867993,23036,81
5,11673380,20476,72
5,13485061,22757,80
5,12041644,20762,73
5,15705529,26440,93
5,8821597,15083,53
5,11006354,19345,68
5,16034776,26727,94
5,5818987,10526,37
5,13818469,23318,82
5,10511475,18199,64
5,4716792,7971,28
5,6621153,11951,42
5,3935368,7396,26
5,10335747,18496,65
5,3276327,5976,21
5,14091764,23884,84
5,14879351,24735,87
5,19131533,31841,112
5,9749738,16213,57
5,17227594,29283,103
5,18839086,30992,109
5,9174657,15646,55
5,325715,574,2
5,11893825,20473,72
5,7486762,13658,48
5,18557074,30711,108
5,14500753,24166,85
5,12157935,21043,74
5,7621802,13654,48
5,14438276,24171,85
5,12192509,20759,73
5,3399379,6270,22
5,16218222,26724,94
5,11376219,19343,68
5,14013507,23601,83
5,12776900,21898,77
5,11512313,19343,68
5,13367200,22468,79
5,11128058,19345,68
5,14371241,24457,86
5,13666526,23038,81
5,10711994,18487,65
5,16101477,27580,97
5,13570579,22744,80
5,348138,574,2
5,7636105,13363,47
5,6623382,11101,39
5,8166764,14223,50
5,15427012,26159,92
5,18739695,30705,108
5,11632746,19059,67
5,12671809,21608,76
5,11241366,19062,67
5,4404476,7964,28
5,6018743,10810,38
5,13189560,22185,78
5,14728173,25020,88
5,4119793,7683,27
5,10017196,17635,62
5,15708008,26448,93
5,9118505,15922,56
5,16305864,27299,96
5,13319564,21616,76
5,14558199,22468,79
5,7422945,13085,46
5,9899051,16209,57
5,8867288,15367,54
5,7352298,12227,43
5,18675154,31273,110
5,6088686,10818,38
5,5322529,8533,30
5,14011415,23320,82
5,12733619,21610,76
5,15340202,26161,92
5,18846193,30993,109
