OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,4015,331601
k,time,count,disk
5,17985645,24452,86
5,19078132,27018,95
5,21417335,30145,106
5,3167465,4556,16
5,13199751,19070,67
5,3300739,4846,17
5,8336789,12236,43
5,8989262,13096,46
5,10566431,15358,54
5,16868647,24176,85
5,12721908,18211,64
5,1344823,1996,7
5,15453322,21902,77
5,17841391,25594,90
5,21255749,30138,106
5,19547521,27872,98
5,14806663,21043,74
5,18293543,26162,92
5,14180126,20191,71
5,11293042,16223,57
5,16979924,24457,86
5,18342423,26165,92
5,7878043,11386,40
5,19139531,27298,96
5,17844750,25594,90
5,6230765,9102,32
5,19191298,27589,97
5,17044213,23898,84
5,3712464,5691,20
5,15689302,22747,80
5,11881187,17064,60
5,16927969,24177,85
5,21595689,30706,108
5,6913095,9965,35
5,20139443,28724,101
5,11884331,17062,60
5,9774792,14239,50
5,13063046,18790,66
5,5049719,7405,26
5,11231491,16506,58
5,3922875,5697,20
5,19738406,28433,100
5,17512508,25026,88
5,25499675,35252,124
5,9476060,13658,48
5,21049442,30138,106
5,23392585,32698,115
5,10989218,15924,56
5,778758,1141,4
5,14520299,21046,74
5,8469734,12238,43
5,22309109,31850,112
5,18313634,26162,92
5,16138981,23037,81
5,16646363,23613,83
5,17646988,25314,89
5,15097655,21344,75
5,2256213,3420,12
5,19334183,27585,97
5,15293758,21905,77
5,13385684,19337,68
5,6796017,9958,35
5,18550124,26176,92
5,7988513,11662,41
5,16361572,23614,83
5,19963989,28433,100
5,13204594,19060,67
5,8762519,12518,44
5,21789004,31276,110
5,8712292,11661,41
5,389324,573,2
5,15398191,22190,78
5,3270275,4841,17
5,3824174,5691,20
5,15111283,22179,78
5,21023510,29857,105
5,7220220,10239,36
5,8936226,13084,46
5,14843781,21618,76
5,9278881,13379,47
5,5465641,7975,28
5,14800755,21330,75
5,17181547,24452,86
5,6522881,9396,33
5,12336450,17926,63
5,13218310,19056,67
5,16682902,23603,83
5,19291875,27581,97
5,12280163,17353,61
5,16230779,23323,82
5,7711326,11105,39
