OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,4015,314418
k,time,count,disk
5,25781141,34968,123
5,25706557,36387,128
5,25727705,36386,128
5,23614170,32987,116
5,5571756,7966,28
5,14347155,20481,72
5,25962987,36385,128
5,24002277,33555,118
5,25845903,36385,128
5,2971143,4271,15
5,25165528,35821,126
5,8342320,11953,42
5,3149961,4557,16
5,18090746,26156,92
5,6333042,9104,32
5,26019631,36384,128
5,6131865,9104,32
5,23886250,34115,120
5,26036466,36387,128
5,25254919,35255,124
5,25819806,36383,128
5,25929671,36383,128
5,22553633,31567,111
5,18388096,26156,92
5,25854651,36383,128
5,17969263,25588,90
5,25790572,36384,128
5,26156309,36388,128
5,24286802,34117,120
5,25390012,35821,126
5,25080873,35255,124
5,25901884,36387,128
5,25858002,36383,128
5,23497045,32706,115
5,26779608,36387,128
5,22964957,32699,115
5,22591863,31567,111
5,25899022,36388,128
5,20724013,29010,102
5,25105170,35255,124
5,17963998,25314,89
5,25620258,36383,128
5,8319589,11944,42
5,25535294,36385,128
5,7963482,11374,40
5,25593226,36383,128
5,25838949,36383,128
5,24899988,34968,123
5,1505077,2287,8
5,25587715,36385,128
5,2985590,4271,15
5,25680456,36388,128
5,26049095,36384,128
5,24408034,34401,121
5,26070394,36386,128
5,25825488,36387,128
5,26282444,36386,128
5,10782899,15361,54
5,18357712,26156,92
5,25766580,36388,128
5,24063561,34115,120
5,5510829,7966,28
5,25691651,36388,128
5,26037727,36385,128
5,25468406,35822,126
5,9892617,14220,50
5,25798755,36388,128
5,18896252,27009,95
5,25907743,36384,128
5,25659582,36384,128
5,1390984,2004,7
5,25492592,35821,126
5,19762037,27867,98
5,24232872,34120,120
5,25906716,36385,128
5,25759691,36388,128
5,25173912,35254,124
5,8049511,11661,41
5,25952579,36388,128
5,20351750,28720,101
5,20214438,28439,100
5,25512644,35821,126
5,22042882,31274,110
5,22161024,30147,106
5,25160105,35255,124
5,6323934,9104,32
5,25509721,35821,126
5,25669165,36385,128
5,25803183,35822,126
5,1590743,2286,8
5,23981669,33555,118
5,24767651,34968,123
5,25870715,36386,128
5,22462817,31560,111
5,25912554,36385,128
5,24426701,34121,120
5,3520653,5125,18
5,25663984,36384,128
5,24132441,34117,120
5,24881746,34968,123
5,26010968,36383,128
5,23721691,33553,118
5,4918800,7115,25
5,25957768,36388,128
5,25751783,36383,128
5,25424011,35821,126
5,20617591,29286,103
5,24131040,34115,120
5,18035914,25307,89
5,24420599,34115,120
5,25704446,36388,128
5,19753657,27871,98
5,22228039,31283,110
5,25834547,36386,128
5,19781938,27871,98
5,25809010,36384,128
5,25940636,36383,128
5,23852544,33555,118
5,25876995,36386,128
5,25725594,36385,128
5,24259136,33555,118
5,20933844,29293,103
5,25587347,35821,126
5,13452429,18775,66
5,25670806,36385,128
5,21011765,29854,105
5,24360374,34122,120
5,8296488,11944,42
5,25472861,36383,128
5,26561085,36384,128
5,26174130,36388,128
5,1620461,2287,8
5,22390589,31279,110
5,25024820,34688,122
5,17347446,24454,86
5,23918628,33547,118
5,21724485,30705,108
5,5511904,7966,28
5,16277854,23314,82
5,24058860,33831,119
5,622748,862,3
5,25900681,36106,127
5,1405261,2004,7
5,25922966,36387,128
5,17220068,24452,86
5,25209059,35255,124
5,25731219,35822,126
5,11005465,15359,54
5,21939984,30705,108
5,25520109,35821,126
5,24252473,34117,120
5,26006573,36385,128
5,22993419,32411,114
5,26168588,36385,128
5,23974432,33553,118
5,17158323,24178,85
5,25827503,36386,128
5,22652868,31843,112
5,19303552,27292,96
5,26302267,36386,128
5,26194412,36384,128
5,26301868,36388,128
5,3943151,5692,20
5,21836367,30712,108
5,23237067,32423,114
5,22524866,31567,111
5,21986679,30711,108
5,5560423,7966,28
5,25811144,36383,128
5,13457953,19057,67
5,26218120,36386,128
5,11288370,15926,56
5,12292890,17353,61
5,13484150,19335,68
5,24270646,34115,120
5,24955399,34970,123
5,24995208,34688,122
5,26153713,36383,128
5,26000242,36385,128
5,26078349,36383,128
5,23200644,31843,112
5,25999824,36385,128
5,26153543,36384,128
5,26003531,36383,128
5,10013806,14221,50
5,26037907,36383,128
5,26215417,36387,128
5,23414521,32699,115
5,26031382,36384,128
5,26170460,36383,128
5,26091458,36387,128
5,26216449,36386,128
5,23295084,32700,115
5,23737326,32987,116
5,25938851,36383,128
5,1807023,2567,9
5,23957489,33555,118
5,23430362,32696,115
5,26172564,36383,128
5,25349620,35821,126
5,25893907,36386,128
5,25549146,35822,126
5,26161657,36386,128
5,25324546,35255,124
5,24037346,33555,118
5,24327848,33555,118
5,24502706,34404,121
5,25607125,35821,126
5,24784596,34687,122
5,21776156,30422,107
5,25474893,35821,126
5,24129529,33834,119
5,26003498,36384,128
5,24172750,33555,118
5,24626870,33839,119
5,25811645,35823,126
5,26404076,36383,128
5,25023542,35253,124
5,26390434,36387,128
5,18587763,26156,92
5,23831515,33270,117
5,12868526,18206,64
5,25170432,35255,124
5,26834166,36384,128
5,25516753,35821,126
5,25160606,34688,122
5,16117073,22750,80
5,20667579,29010,102
5,26008646,36385,128
5,19135086,26724,94
5,21801833,30705,108
5,23034470,31850,112
5,21241547,30137,106
5,17186824,24180,85
5,12561995,17629,62
5,13628420,19335,68
5,22398183,31567,111
5,22660494,31567,111
5,26246557,36388,128
5,24040931,33553,118
5,26119813,36386,128
5,25123145,34972,123
5,25856470,35822,126
5,10642073,15083,53
5,24000771,33555,118
5,25081886,35253,124
5,25286040,35253,124
5,26371028,36383,128
5,26137497,36386,128
5,9619846,13659,48
5,25711899,36105,127
5,26284840,36385,128
5,25279919,35255,124
5,25597117,35821,126
5,20171641,28433,100
5,25040999,34688,122
5,18041140,25588,90
5,25672645,35821,126
5,26224712,36383,128
5,25543733,35821,126
5,22998662,32134,113
5,26102717,36384,128
5,26115678,36388,128
5,25960764,36388,128
5,26063623,36106,127
5,26009880,36387,128
5,26268432,36384,128
5,26852727,36387,128
5,25095035,35255,124
5,26025318,36384,128
5,23434084,32983,116
5,25255378,34689,122
5,22803378,31850,112
5,24135670,33555,118
5,25294712,35255,124
5,7811025,10808,38
5,15177320,21612,76
5,25957657,36388,128
5,18478889,26156,92
5,26111542,36384,128
5,26579624,36386,128
5,25999769,36387,128
5,25928745,36384,128
5,24242803,33556,118
5,25968527,36383,128
5,25439070,35256,124
5,16643661,23600,83
5,23921022,33273,117
5,3206102,4557,16
5,26071173,36383,128
5,23300801,32699,115
5,23000380,32415,114
5,24160839,33555,118
5,19993636,28149,99
5,25883634,35823,126
5,24688322,34685,122
5,11621733,16491,58
5,26413593,36384,128
5,24336485,34115,120
5,8138202,11664,41
5,25551929,35821,126
5,26105394,36383,128
5,26278580,36383,128
5,25227793,35255,124
5,25714873,35821,126
5,4708584,6829,24
5,4915876,7117,25
5,26013217,36387,128
5,22662708,31843,112
5,26064735,36385,128
5,21724370,30705,108
5,26050585,36388,128
5,24874333,34689,122
5,25717300,35821,126
5,26695513,36383,128
5,21424828,30137,106
5,25538798,35255,124
5,26082582,36385,128
5,26102041,36385,128
5,5480970,7966,28
5,26207767,36385,128
5,25387946,35537,125
5,23682785,32990,116
5,26261707,36386,128
5,26330153,36383,128
5,1993345,2853,10
5,26034109,36383,128
5,25108945,35254,124
5,23985165,33547,118
5,24169257,33548,118
5,25933176,36386,128
5,24896512,34969,123
5,4773296,6829,24
5,5325948,7966,28
5,12610063,17920,63
5,24475804,33838,119
5,25461846,35821,126
5,598780,862,3
5,446093,862,3
5,3126220,4557,16
5,25100128,35254,124
5,26398382,36384,128
5,25646173,35821,126
5,26173537,36383,128
5,624866,862,3
5,15684547,22182,78
5,25313543,35255,124
5,24933765,34968,123
5,26112143,36385,128
5,26047187,36383,128
5,25972682,36383,128
5,22858039,31850,112
5,26060893,36383,128
5,24792694,34687,122
5,1603929,2286,8
5,24233710,33555,118
5,21083220,29854,105
5,21981416,30990,109
5,26454747,36388,128
5,3096331,4557,16
5,25877744,36383,128
5,23071668,32133,113
5,14825739,21041,74
5,26205636,36384,128
5,26021447,36386,128
5,26827685,35822,126
5,26191475,36384,128
5,17744410,25020,88
5,25516647,35821,126
5,23255981,32699,115
5,26355520,36385,128
5,8001277,11386,40
5,25632683,35823,126
5,25973003,36387,128
5,26449114,36383,128
5,1608000,2286,8
5,19859965,28435,100
5,12756108,18195,64
5,23358676,32699,115
5,25959594,36383,128
5,25978973,35823,126
5,23244770,32416,114
5,25923534,36385,128
5,24910639,34968,123
5,23818976,32990,116
5,23755570,33266,117
5,25725316,35821,126
5,26128034,36386,128
5,26429178,36384,128
5,5123234,7398,26
5,25341001,35255,124
5,5491808,7966,28
5,25299067,35255,124
5,7179871,10241,36
5,23543012,33267,117
5,26136485,36388,128
5,23127734,32133,113
5,25957460,36387,128
5,24429316,34115,120
