OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,4015,371272
k,time,count,disk
5,14404224,19622,69
5,13488312,19621,69
5,15688665,22466,79
5,8160498,11945,42
5,12572692,18484,65
5,3985470,5978,21
5,11211178,16495,58
5,8190807,12231,43
5,9988486,15071,53
5,13536415,19623,69
5,10273865,15071,53
5,3060068,4556,16
5,13377540,19620,69
5,13379558,19335,68
5,14867928,21610,76
5,14884679,21327,75
5,13136974,19054,67
5,14458449,21042,74
5,13102364,19054,67
5,9966367,14504,51
5,13668242,20187,71
5,12925540,18484,65
5,7807271,11659,41
5,14094779,20760,73
5,15088591,21896,77
5,11568829,16780,59
5,14383579,21041,74
5,13038542,18485,65
5,10064551,14788,52
5,13275556,19337,68
5,9694114,14219,50
5,11272216,16494,58
5,16709710,24457,86
5,7621497,11092,39
5,15036185,22182,78
5,13034705,19055,67
5,9348161,13651,48
5,10570700,15923,56
5,5608015,8250,29
5,11474296,17065,60
5,4435769,6544,23
5,14352503,21046,74
5,13918273,20188,71
5,19705806,28152,99
5,10178209,14788,52
5,16124450,23601,83
5,16500967,23887,84
5,11720669,16497,58
5,961642,1427,5
5,12826658,18768,66
5,8709797,12800,45
5,15791080,23033,81
5,13284361,19337,68
5,11308497,16498,58
5,11099346,16210,57
5,12525464,18768,66
5,13324838,19335,68
5,6884086,10242,36
5,13658881,20191,71
5,11067776,16212,57
5,13449585,19621,69
5,10292184,15071,53
5,15328580,22464,79
5,11231066,16497,58
5,12382636,17917,63
5,13908321,20474,72
5,12118416,17628,62
5,8441329,12518,44
5,16873276,25023,88
5,12775730,18197,64
5,577518,859,3
5,10419998,15360,54
5,8613989,12796,45
5,8530424,13085,46
5,13590098,19905,70
5,15501760,22466,79
5,9538551,13936,49
5,12492828,17347,61
5,12100947,17917,63
5,8729341,12800,45
5,5982578,9104,32
5,10608279,15928,56
5,13855730,20190,71
5,6114012,9104,32
5,11766345,17348,61
5,13391677,19621,69
5,11506830,16494,58
5,14794986,21609,76
5,11714695,17064,60
5,14177145,20758,73
5,8901527,13084,46
5,9134090,13370,47
5,12142473,17633,62
5,8810739,13085,46
5,18473323,27011,95
5,10149848,14787,52
5,9786465,14786,52
5,14350284,20760,73
5,12283208,17916,63
5,17383399,25021,88
5,16879879,24172,85
5,8202521,11947,42
5,6701710,9960,35
5,11522178,17345,61
5,16409362,23886,84
5,11981478,17347,61
5,9469757,13936,49
5,9854704,14504,51
5,6957587,10239,36
5,14866108,22181,78
5,11482244,16775,59
5,5316706,7966,28
