OMNIKDTREE,EUCLIDEAN,PCA,2,4015,139317
k,time,count,disk
5,17052111,22748,80
5,15164861,21334,75
5,18294597,25593,90
5,8373520,11954,42
5,14152787,20193,71
5,3467906,5123,18
5,13143975,19336,68
5,9685355,13941,49
5,10484301,15645,55
5,15057001,21331,75
5,11342772,16213,57
5,2986838,4551,16
5,15136962,21899,77
5,15470557,21895,77
5,17518726,24735,87
5,16814810,23602,83
5,15639115,22181,78
5,17722833,25023,88
5,13705806,19627,69
5,10689712,15074,53
5,16866676,24170,85
5,14997639,21045,74
5,8219786,11946,42
5,15889566,23034,81
5,17267320,24455,86
5,13767785,19339,68
5,15843330,22468,79
5,14018569,19906,70
5,11070409,15924,56
5,14550641,20480,72
5,11225971,15927,56
5,12988345,18486,65
5,19490412,27863,98
5,8619208,11950,42
5,18041997,24741,87
5,15803634,22744,80
5,9940348,14220,50
5,11338964,16778,59
5,5989358,8537,30
5,11946844,17631,62
5,4921905,7115,25
5,15808724,22754,80
5,16487762,23032,81
5,23531223,32698,115
5,11515285,16215,57
5,18785727,26726,94
5,20218893,28150,99
5,13139789,18488,65
5,793576,1143,4
5,15538358,22176,78
5,10220318,14509,51
5,18133099,25880,91
5,15508880,21897,77
5,13244775,18767,66
5,12433573,17636,62
5,13917110,19625,69
5,14494035,20478,72
5,6818190,9956,35
5,15501931,21899,77
5,11785212,16783,59
5,16450004,23317,82
5,11807025,16783,59
5,16803083,23887,84
5,12774988,18486,65
5,13499340,19338,68
5,16745122,23889,84
5,12774545,17635,62
5,8722377,12800,45
5,20569038,29288,103
5,15358157,21612,76
5,788428,1143,4
5,12860886,18201,64
5,8500492,12517,44
5,9492185,13941,49
5,14692823,21329,75
5,17238767,24453,86
5,10871140,15360,54
5,14161661,20474,72
5,13951497,19620,69
5,8527778,12233,43
5,6686600,9957,35
5,12731011,18200,64
5,15596382,22181,78
5,6850341,9959,35
5,12672163,18487,65
5,15598074,22178,78
5,13432754,19058,67
5,16948568,23605,83
5,12850211,18200,64
5,14925328,21612,76
5,9609709,13654,48
5,10306649,14788,52
5,13396611,19055,67
5,10199841,15080,53
5,22559622,31562,111
5,11025274,15640,55
5,8166094,11662,41
5,15814857,22467,79
5,14551512,20475,72
5,19420744,27583,97
5,18700391,26159,92
5,8994143,12802,45
5,6968473,10240,36
5,12982700,18487,65
5,19657951,27865,98
5,13208048,18767,66
5,10634184,15072,53
5,11171063,16211,57
5,7352205,10525,37
5,16298449,23323,82
5,12436997,17631,62
5,5504873,8253,29
5,8245607,12229,43
5,14848167,20471,72
5,8045617,11950,42
5,20171965,29005,102
5,19760510,27298,96
5,9020648,12797,45
5,11373015,16498,58
5,18412235,26158,92
5,10009039,14223,50
5,6327041,8820,31
5,11551635,16781,59
5,3891506,6258,22
5,14882311,21043,74
5,11520459,17060,60
5,8938151,12799,45
5,13267778,19337,68
5,18035681,25590,90
5,11928212,16783,59
5,15999080,23034,81
5,1175671,1710,6
5,6864750,9955,35
5,13937247,19620,69
5,8998645,12802,45
5,13470369,19055,67
5,15838950,22467,79
5,18440971,25879,91
5,14414965,20471,72
5,13025600,18484,65
5,205196,290,1
5,16460471,23032,81
5,206014,290,1
5,11411055,16494,58
5,14981017,21328,75
5,11568620,16496,58
5,12968136,18484,65
5,3511183,5123,18
5,16838891,23882,84
5,11810682,16779,59
5,10572072,15077,53
5,15673055,22464,79
5,15686407,22181,78
5,17306762,24453,86
5,10251452,14503,51
5,5178269,7684,27
5,12254439,17636,62
5,14492070,20471,72
5,13807216,19335,68
5,13724242,19621,69
5,13574028,19337,68
5,14448260,20472,72
5,19134569,26728,94
5,7635183,10814,38
5,12169562,17633,62
5,8536345,12235,43
5,8051663,11949,42
5,11717608,16778,59
5,20087564,28433,100
5,2981894,4278,15
5,13862671,20474,72
5,8944881,12804,45
5,6455737,9105,32
5,13252460,18769,66
5,13886859,19905,70
5,10647003,15076,53
5,8671159,13084,46
5,15399278,21897,77
5,20582149,29000,102
5,18557371,25880,91
5,17476311,24734,87
5,15250333,21614,76
5,15666333,21896,77
5,13437495,19058,67
5,10796327,15358,54
5,13510454,19338,68
5,14240583,20472,72
5,15900586,22186,78
5,15699856,22182,78
5,18376973,25878,91
5,17404851,24457,86
5,13020459,18487,65
5,8754909,12236,43
5,9073652,13368,47
5,13021424,19058,67
5,2348984,3417,12
5,10127591,13654,48
5,9657709,13938,49
5,19369500,27867,98
5,14478819,20478,72
5,14402569,20471,72
5,11112255,15928,56
5,15538233,22178,78
5,11925958,17062,60
5,9206365,13085,46
5,10910275,15927,56
5,9916707,14224,50
5,13025188,18770,66
5,10726994,15356,54
5,10948795,15647,55
5,14537284,21043,74
5,11625377,16498,58
5,13078520,18770,66
5,11799711,16209,57
5,12258122,17919,63
5,12585965,17918,63
5,15757075,22755,80
5,14962188,21046,74
5,14687565,21043,74
5,10963793,15643,55
5,8659415,12515,44
5,3057705,4844,17
5,10482195,15646,55
5,20546241,28721,101
5,13851344,19627,69
5,10015974,14225,50
5,6243472,9672,34
5,8177479,11947,42
5,12623070,18485,65
5,14535139,20473,72
5,21375115,30139,106
5,12025707,17059,60
5,18719601,26446,93
5,5325182,7683,27
5,16840539,23883,84
5,19801248,27864,98
5,8097858,11374,40
5,8376907,12518,44
5,12789170,18203,64
5,8706743,12516,44
5,13557026,19904,70
5,11325269,16496,58
5,10673981,15356,54
5,2486302,3986,14
5,9911737,14787,52
5,12544901,17920,63
5,12518027,17917,63
5,20022124,28153,99
5,15149536,21332,75
5,2985530,4269,15
5,13585875,19339,68
5,14451810,20472,72
5,13229191,18767,66
5,15085659,21612,76
5,10719458,15362,54
5,12231719,17059,60
5,13016204,18484,65
5,19378143,27584,97
5,20223833,28438,100
5,16074165,22464,79
5,8657603,12230,43
5,16923994,24451,86
5,15934479,22467,79
5,15515856,21902,77
5,14433424,20476,72
5,12581385,18200,64
5,21143587,29568,104
5,11414607,15928,56
5,12389076,17350,61
5,18728962,26162,92
5,9254255,13084,46
5,12156046,17634,62
5,9247759,13086,46
5,11212547,16211,57
5,12827786,18201,64
5,16397730,22464,79
5,5510329,7967,28
5,14930783,21041,74
5,15310552,21611,76
5,15710100,22181,78
5,15199450,22179,78
5,11543066,16778,59
5,12601847,17916,63
5,11148060,15646,55
5,14329596,20197,71
5,14084140,19905,70
5,9440443,13084,46
5,11942835,16783,59
5,15337970,21611,76
5,12817201,17922,63
5,9181185,13085,46
5,9341360,13373,47
5,9775382,14222,50
5,14776522,20763,73
5,14981841,21044,74
5,13049489,18486,65
5,18334449,25309,89
5,19108061,26727,94
5,12801552,17917,63
5,2448782,3703,13
5,15580548,21901,77
5,14399004,20189,71
5,17792194,24451,86
5,12706265,17922,63
5,13758243,19621,69
5,17055309,23882,84
5,1908788,2847,10
5,15180413,21328,75
5,16094103,22472,79
5,14587102,20480,72
5,13748538,19337,68
5,14000844,19622,69
5,11075215,15644,55
5,10733007,15356,54
5,22318828,30706,108
5,10274431,14509,51
5,14684797,20760,73
5,14408859,20188,71
5,14466411,20471,72
5,15710366,22187,78
5,15058635,21040,74
5,10635851,15076,53
5,11919289,16778,59
5,16470593,22751,80
5,23374787,32415,114
5,14458012,20187,71
5,16890507,23606,83
5,9893818,13935,49
5,14864012,21329,75
5,9697047,13652,48
5,16828707,23889,84
5,12974979,17629,62
5,15844033,22465,79
5,14452894,20191,71
5,3114857,4844,17
5,10729952,15927,56
5,14725520,20758,73
5,373783,574,2
5,296160,574,2
5,15253628,21046,74
5,10401272,14790,52
5,21261759,29576,104
5,10148336,14225,50
5,16837136,23883,84
5,401349,574,2
5,4585483,6548,23
5,13553488,19625,69
5,12414711,17350,61
5,18005076,25307,89
5,14774014,20474,72
5,17675117,24736,87
5,7393203,10524,37
5,14477612,20471,72
5,10431274,14792,52
5,16831711,23032,81
5,9331329,13083,46
5,9646378,13368,47
5,14002254,19904,70
5,13066616,18486,65
5,15659205,21898,77
5,15450427,21615,76
5,9038976,12802,45
5,17642493,24453,86
5,15422967,21612,76
5,14906346,21044,74
5,12753034,17917,63
5,12730814,17916,63
5,15993500,22468,79
5,17292751,23882,84
5,10303798,14507,51
5,15311606,21614,76
5,1387809,2002,7
5,13790299,19341,68
5,12160286,17636,62
5,17951069,25023,88
5,15653832,21895,77
5,11321419,15641,55
5,18650962,26158,92
5,10749640,15078,53
5,19383147,27583,97
5,13798079,19338,68
5,9218794,13081,46
5,19703307,27583,97
5,19839544,27580,97
5,13774132,19338,68
5,11157553,15356,54
5,14663744,21043,74
5,16969734,23883,84
5,20671649,28719,101
5,7480472,10530,37
5,10737785,15641,55
5,16832101,23602,83
5,14008037,19337,68
5,8233673,11664,41
5,9236855,13367,47
5,12665589,17919,63
5,9072782,12801,45
5,14720340,20758,73
5,9813839,13942,49
5,12611923,17918,63
5,16539479,23321,82
5,19434637,26728,94
5,12149436,17064,60
5,12899076,18201,64
5,14743560,21042,74
5,12529583,17634,62
5,19494668,27299,96
5,12531676,17636,62
5,15143996,21328,75
5,12718392,17919,63
5,11927059,16779,59
5,9514064,13647,48
5,19466553,27296,96
5,14972234,21044,74
5,14197337,19909,70
5,8007490,11377,40
5,12746855,17632,62
5,15234962,21619,76
5,14008490,19624,69
5,11043875,15644,55
5,13448099,19053,67
5,16964665,23886,84
5,11476981,16212,57
5,12275240,17351,61
5,5122849,7400,26
5,13499125,19341,68
5,11269652,15922,56
5,13305062,18770,66
5,8660512,12512,44
5,15196462,21325,75
5,13525324,19058,67
5,14771171,19908,70
5,9182474,13084,46
5,9230320,13080,46
5,14451902,20471,72
5,10097982,13937,49
5,5689221,8253,29
5,11773922,17059,60
5,16489851,23317,82
5,8571867,12233,43
5,13056023,18768,66
5,14444072,20479,72
5,18940125,26163,92
5,19206171,26728,94
5,10746170,15077,53
5,24754353,33832,119
5,3238252,4556,16
5,11039656,15650,55
5,15004886,21043,74
5,7417366,10528,37
5,12139689,17636,62
5,13166060,18485,65
5,14923652,20758,73
5,20797411,29000,102
5,17215776,24167,85
5,17284016,23884,84
5,6638681,9102,32
5,16419160,23032,81
5,17889511,25025,88
5,2404514,3415,12
5,9838439,13937,49
5,11098317,16213,57
5,9069233,13084,46
5,17377819,24736,87
5,14042492,19621,69
5,12554220,18201,64
5,13845298,19623,69
5,17630874,24456,86
5,10780620,15362,54
5,17873127,25024,88
5,6648883,9390,33
5,10790589,15643,55
5,17883449,25022,88
5,17087665,23883,84
5,16413986,23031,81
5,10139321,13658,48
5,12225320,17627,62
5,21678686,30140,106
5,8309857,11666,41
5,16071620,23031,81
5,15384939,21615,76
5,16165641,22468,79
5,22974930,31846,112
5,5236133,7402,26
5,15004304,21042,74
5,12563543,17631,62
5,13677667,19337,68
5,13098233,18488,65
5,8018548,11374,40
5,13523319,19335,68
5,9904236,13938,49
5,14878285,20762,73
5,6798773,9669,34
5,6678551,9672,34
5,6705336,9670,34
5,9107911,13368,47
5,16288127,22750,80
5,17318979,24452,86
5,11985078,16785,59
5,17482247,24457,86
5,10460021,14792,52
5,10801737,15363,54
5,18785258,26161,92
5,18906162,26443,93
5,11394037,15929,56
5,14678833,20757,73
5,9528911,13373,47
5,16471165,23317,82
5,3631158,5123,18
5,13000388,17627,62
5,18478078,25591,90
5,10730823,15078,53
5,8148553,11667,41
5,15689470,22465,79
5,16833532,23602,83
5,17479372,24456,86
5,11591272,15926,56
5,6717702,9673,34
5,17364440,24168,85
5,11509752,16211,57
5,8283852,11949,42
5,12735593,18201,64
5,18287504,25593,90
5,17583486,24452,86
5,7257511,10240,36
5,16590094,23318,82
5,18177420,25303,89
5,18533244,25878,91
5,20468625,28432,100
5,11135247,15643,55
5,12383454,17630,62
5,1190892,1719,6
5,15376191,21897,77
5,17769808,24453,86
5,6433023,9108,32
5,13645540,19626,69
5,9500639,13369,47
5,16645770,23890,84
5,8872562,12522,44
5,11417757,16210,57
5,18509986,25879,91
5,14151302,19624,69
5,8807939,12518,44
5,6362460,9387,33
5,13061708,18768,66
5,17305929,24450,86
5,16480841,22744,80
5,11433957,16207,57
5,17413118,24452,86
5,15053131,21325,75
5,13343202,18770,66
5,17634859,24743,87
5,7442455,10529,37
5,18586976,26447,93
5,11529899,16213,57
5,24323945,33550,118
5,16474708,23038,81
5,19858281,27585,97
5,8467068,11944,42
5,9755926,13941,49
5,11002514,15643,55
5,17860245,25018,88
5,13027870,18200,64
5,11886137,16782,59
5,17620136,24452,86
5,14863895,20760,73
5,17465614,24734,87
5,13007662,18201,64
5,9465674,13373,47
5,9990052,14506,51
5,18353130,25878,91
5,17208778,23884,84
5,12682156,17922,63
5,14289582,19906,70
5,6935270,9955,35
5,13639397,19338,68
5,18111589,25307,89
5,15311274,21330,75
5,9240101,13086,46
5,13288623,18768,66
5,7499207,10806,38
5,8682504,12234,43
5,20393731,28438,100
5,14932249,21045,74
5,3802455,5410,19
5,12802335,17355,61
5,11452518,16213,57
5,19272857,27015,95
5,16163229,22467,79
5,15934553,21898,77
5,4999770,7111,25
5,8599003,12234,43
5,12251353,17348,61
5,14435972,20476,72
5,18541402,25879,91
5,13031018,18202,64
