OMNIKDTREE,EUCLIDEAN,RANDOM,2,4015,465292
k,time,count,disk
5,17698448,25304,89
5,18151449,26725,94
5,20536211,30144,106
5,9564952,14230,50
5,14293377,22189,78
5,1428050,2565,9
5,15296313,23323,82
5,5754237,9396,33
5,9451120,15366,54
5,17581079,26450,93
5,13294112,19344,68
5,620360,1143,4
5,14055250,20492,72
5,16454230,24452,86
5,20456389,29569,104
5,15239444,22186,78
5,17006865,24452,86
5,18684822,26724,94
5,16063478,23049,81
5,12664529,18213,64
5,17459560,25023,88
5,16187110,23316,82
5,7968706,11673,41
5,18427761,26732,94
5,9301127,13649,48
5,16935029,24171,85
5,19614492,27869,98
5,16727247,23892,84
5,13575216,19627,69
5,18935494,27018,95
5,12783833,18503,65
5,12630729,18209,64
5,21672293,30705,108
5,3500547,5125,18
5,19290745,28441,100
5,12230265,17634,62
5,10874310,15936,56
5,15076530,21618,76
5,1431281,2278,8
5,7615744,11666,41
5,1528547,2278,8
5,20157679,28718,101
5,16661368,23885,84
5,24554966,34687,122
5,13841843,19911,70
5,21836634,31275,110
5,22488187,31843,112
5,10337695,15074,53
5,307844,576,2
5,11494992,16782,59
5,11576369,16788,59
5,19013419,27292,96
5,17283441,24452,86
5,10759413,15647,55
5,16072008,23318,82
5,14332485,20765,73
5,16891774,24182,85
5,4357318,6548,23
5,20074503,28437,100
5,11813175,17075,60
5,18987447,27292,96
5,13719486,18775,66
5,18879540,27021,95
5,16101784,22751,80
5,16068953,23043,81
5,19013277,27292,96
5,10997773,15931,56
5,11801480,17064,60
5,23095358,32979,116
5,17769469,25588,90
5,387869,576,2
5,15614263,22467,79
5,8003245,11672,41
5,10467287,15366,54
5,4843643,7397,26
5,20744720,29860,105
5,11704401,16786,59
5,13939249,20472,72
5,14268273,20483,72
5,9517191,13654,48
5,6170326,9110,32
5,1350510,2002,7
5,15478871,22744,80
5,2265120,3417,12
5,16445744,23328,82
5,19999728,28435,100
5,16776301,24170,85
5,20782829,29569,104
5,15039678,21617,76
5,16760049,23897,84
5,3929447,5979,21
5,8861238,13085,46
5,15853621,22762,80
5,12812950,18493,65
5,24213096,34685,122
5,12360365,17636,62
5,6020146,8825,31
5,19963157,28435,100
5,14565798,21043,74
5,21478381,30713,108
5,22147676,31282,110
5,4708131,6826,24
5,3723401,5691,20
5,14321605,20766,73
5,20834500,29854,105
5,10992286,15927,56
5,12938187,18775,66
5,10722761,15647,55
5,8809623,12523,44
5,19707566,28438,100
5,15404458,22182,78
5,2262327,3135,11
5,1370301,2278,8
5,13072779,19336,68
5,7666559,11104,39
5,23678382,34120,120
5,15624569,22468,79
5,4660559,6826,24
5,8707950,13365,47
5,13602068,19910,70
5,11260275,16230,57
5,2252331,3417,12
5,12892243,19065,67
5,4783408,7117,25
5,18369230,26450,93
5,10775617,15642,55
5,6763725,10245,36
5,14638956,21043,74
5,19646334,28147,99
5,16328586,23316,82
5,20423523,29004,102
5,403891,576,2
5,8596908,12521,44
5,10834937,15934,56
5,10920158,15652,55
