OMNIKDTREE,EUCLIDEAN,SELECTION,2,4015,392850
k,time,count,disk
5,9532716,13650,48
5,14848708,24738,87
5,14301552,25021,88
5,18071888,29287,103
5,20485609,31559,111
5,15071568,21329,75
5,21067256,30708,108
5,19966828,29285,103
5,18802086,28432,100
5,22435211,32982,116
5,20497605,30139,106
5,5998731,9957,35
5,21185595,31842,112
5,18545127,28147,99
5,22781300,33833,119
5,21972822,32697,115
5,22564736,32412,114
5,22944211,33549,118
5,21394521,30992,109
5,6025644,9100,32
5,10584381,16492,58
5,21430451,31561,111
5,19579577,28433,100
5,22457868,32980,116
5,22853769,33549,118
5,22137822,32129,113
5,22650872,32980,116
5,22389836,32413,114
5,20640404,30139,106
5,22448959,32980,116
5,21481678,31275,110
5,22118343,32129,113
5,23450566,34403,121
5,19630155,28435,100
5,22659612,32697,115
5,14641443,21612,76
5,19113827,27865,98
5,21735651,31846,112
5,16999782,24738,87
5,22612383,31275,110
5,15232182,22179,78
5,22626306,33265,117
5,22941779,33265,117
5,23247440,33833,119
5,19845271,29002,102
5,23011613,33551,118
5,19482833,28434,100
5,21381351,30992,109
5,1799648,3134,11
5,11421804,17065,60
5,17945500,26444,93
5,23129074,33549,118
5,22128740,32412,114
5,21951075,32129,113
5,20809846,30424,107
5,22338667,32413,114
5,22376506,32130,113
5,10995605,16210,57
5,22674127,33266,117
5,21838555,31559,111
5,22547640,33265,117
5,21166962,30993,109
5,22340777,32413,114
5,21801470,31846,112
5,22132784,32130,113
5,22952970,33549,118
5,22161379,32129,113
5,2248938,3417,12
5,23112329,33833,119
5,21924168,31561,111
5,1185580,1997,7
5,17555190,25876,91
5,5780312,8536,30
5,20556899,30140,106
5,21060174,30991,109
5,23001014,33549,118
5,20991425,30424,107
5,21160946,31275,110
5,21958301,31559,111
5,20458661,29569,104
5,17537372,25591,90
5,10785246,15922,56
5,21550552,31274,110
5,18156361,26445,93
5,21901282,31559,111
5,22647188,32980,116
5,12815582,18768,66
5,22275715,32695,115
5,1467771,2278,8
5,22228081,32130,113
5,20892587,30139,106
5,3696432,5688,20
5,22344290,32130,113
5,10854448,16495,58
5,23354263,34403,121
5,22051783,30992,109
5,10764404,15926,56
5,22743631,32980,116
5,21942903,32129,113
5,23166428,33549,118
5,23075005,33549,118
5,20328602,29569,104
5,1687990,2564,9
5,21562936,31275,110
5,22985979,33833,119
5,21787258,31843,112
5,21030912,30707,108
5,21303005,30705,108
5,17394908,25592,90
5,22216359,32413,114
5,21901814,32129,113
5,16373800,23885,84
5,18497808,27297,96
5,6280684,9386,33
5,2534936,4270,15
5,23135267,33833,119
5,18453702,27297,96
5,20177687,29571,104
5,21508078,31278,110
5,22866897,33549,118
5,21063788,30422,107
5,17645771,25588,90
5,21695752,31846,112
5,8817179,13082,46
5,22385085,32697,115
5,13832030,20475,72
5,10709203,15644,55
5,14170105,21043,74
5,23043155,33833,119
5,18763875,27296,96
5,22195256,32413,114
5,1702568,2565,9
5,19223561,28149,99
5,22802575,32982,116
5,20472961,29572,104
5,21782812,31845,112
5,22441513,32697,115
5,23090226,33549,118
5,22300999,32412,114
5,19310786,28149,99
5,580562,861,3
5,21728457,31559,111
5,1518028,2282,8
5,21566882,31558,111
5,22274918,32698,115
5,21466439,31275,110
5,21814978,31275,110
5,9126588,13368,47
5,21902911,32128,113
5,21517757,31562,111
5,20660057,30137,106
5,23484833,32981,116
5,21405013,31275,110
5,22885123,32980,116
5,21071879,30707,108
5,14353234,21043,74
5,21714307,31845,112
5,21786512,31559,111
5,16423976,24168,85
5,22504893,32698,115
5,22272177,32413,114
5,22647812,32980,116
5,23362843,33833,119
5,19155826,27864,98
5,20277014,29569,104
5,18847417,27299,96
5,19992083,29002,102
5,20912748,29856,105
5,22899470,34116,120
5,889090,1426,5
5,12897630,19340,68
5,17219459,25589,90
5,10202249,14786,52
5,21692752,31843,112
5,22614126,32980,116
5,20348101,29568,104
5,20921377,30422,107
5,12670643,18771,66
5,23358260,34403,121
5,23126030,33832,119
5,23173539,33264,117
5,22014373,32128,113
5,22683039,32980,116
5,21961597,32129,113
5,19869041,29003,102
5,21738917,31275,110
5,22237887,32130,113
5,22815870,33266,117
5,22941007,33549,118
5,17433437,25593,90
5,22567988,32980,116
5,22386869,32130,113
5,19758520,28718,101
5,20078968,29285,103
5,20583597,30141,106
5,7713561,11377,40
5,21549455,30706,108
5,13482854,19621,69
5,23155662,32980,116
5,19984677,29288,103
5,21256991,30991,109
5,21528631,31274,110
5,23339094,32696,115
5,21772073,31559,111
5,20679193,29856,105
5,20648919,30139,106
5,21126030,30991,109
5,22278517,31560,111
5,20967937,30421,107
5,21906101,31274,110
5,22560906,32696,115
5,21601857,31278,110
5,3603460,5405,19
5,21246487,30423,107
5,20691571,29569,104
5,21240326,30423,107
5,21438473,31274,110
5,21049088,30423,107
5,21546554,31274,110
5,20750554,29855,105
5,10723049,15644,55
5,1316008,1995,7
5,21515971,31275,110
5,23456321,33549,118
5,22532134,32698,115
5,1171252,1710,6
5,16153851,23602,83
5,18433124,26726,94
5,22269946,32130,113
5,19714574,28431,100
5,23341592,33549,118
5,19510737,27865,98
5,23088175,33264,117
5,12876763,18770,66
5,23116026,33266,117
5,23321133,33549,118
5,19745258,28149,99
5,19920119,28719,101
5,8452875,12514,44
5,20288656,29287,103
5,3102083,4554,16
5,21656503,31275,110
5,3254300,4838,17
5,1045847,1996,7
