OMNIKDTREE,EUCLIDEAN,SSS,2,4015,151762
k,time,count,disk
5,20842444,29289,103
5,13178654,19908,70
5,19733355,30424,107
5,14038984,21333,75
5,21385051,30999,109
5,7097268,10248,36
5,20463161,29855,105
5,14766192,21620,76
5,18042410,26447,93
5,22438726,32414,114
5,17952910,25310,89
5,2742610,3986,14
5,19667201,28440,100
5,22712113,32415,114
5,22188068,31561,111
5,23743252,33267,117
5,22403828,31848,112
5,21675672,30995,109
5,22618284,31848,112
5,17277745,24748,87
5,23194759,32983,116
5,2860269,4270,15
5,13545406,19346,68
5,22997177,32983,116
5,22394490,31850,112
5,19623559,28154,99
5,23893355,33550,118
5,4611413,6826,24
5,16375081,23606,83
5,20022516,28722,101
5,19259402,27304,96
5,21899125,30993,109
5,20607892,29571,104
5,11965194,17356,61
5,23104240,32699,115
5,21578586,30712,108
5,7411769,10810,38
5,20268965,29006,102
5,8260842,11958,42
5,14898056,21330,75
5,7196175,10537,37
5,23117413,32983,116
5,18568470,26449,93
5,22264559,31847,112
5,17096311,24172,85
5,24386918,34689,122
5,25305741,34689,122
5,20302772,29005,102
5,782559,1142,4
5,12382454,17917,63
5,14372392,20480,72
5,15214626,22180,78
5,16556211,23606,83
5,21633307,30709,108
5,1176317,1709,6
5,22671363,32131,113
5,12090065,17634,62
5,2943107,4272,15
5,23049596,32983,116
5,21725205,30427,107
5,20748969,29859,105
5,18725129,26732,94
5,22274438,31563,111
5,19755057,28156,99
5,21765016,30995,109
5,5619021,7963,28
5,20488114,29290,103
5,13053644,19054,67
5,24896152,35257,124
5,18887582,27018,95
5,386646,573,2
5,9539551,13942,49
5,15817786,22754,80
5,17707697,25028,88
5,22815149,32699,115
5,24069699,34121,120
5,18915232,26733,94
5,16528293,23890,84
5,20970888,29858,105
5,14668429,20772,73
5,2141467,3136,11
5,19403684,27869,98
5,22228625,31847,112
5,11854363,17069,60
5,18459016,26171,92
5,22630108,32415,114
5,13371597,19343,68
5,21983455,31279,110
5,21304692,30146,106
5,22515268,31848,112
5,15348448,21616,76
5,15779049,22474,79
5,21514096,30712,108
5,3898119,5693,20
5,25219291,35540,125
5,15086413,21616,76
5,4314651,6261,22
5,23317113,32982,116
5,21236369,30423,107
5,24508836,34689,122
5,24458489,34689,122
5,13869982,19914,70
5,12467545,17927,63
5,19564888,27872,98
5,24591686,34406,121
5,19460593,27865,98
5,16784244,23039,81
5,17843749,25313,89
5,9627191,13940,49
5,22965961,32698,115
5,20452372,29289,103
5,10263743,14793,52
5,14938001,21625,76
5,21732455,30995,109
5,11074740,15937,56
5,24313433,34689,122
5,24030280,34121,120
5,14637792,20765,73
5,18543393,26447,93
5,19555230,27866,98
5,18826005,26735,94
5,8502129,12238,43
5,18754444,27303,96
5,8143749,11671,41
5,22077122,31843,112
5,14220313,20481,72
5,17038511,24460,86
5,13980959,20196,71
5,23052988,32981,116
5,6103151,8822,31
5,9943512,14787,52
5,580147,858,3
5,14180938,20488,72
5,21712743,30717,108
5,15175513,21621,76
5,16342158,23323,82
5,19853636,28438,100
5,24675135,34689,122
5,15567023,22467,79
5,10274367,14794,52
5,389984,573,2
5,23656956,33267,117
5,407454,573,2
5,19719749,28154,99
5,21083896,30144,106
5,19876001,28440,100
5,18972123,27023,95
5,3725712,5410,19
5,23156437,32983,116
5,20647056,29574,104
5,18239993,26165,92
5,6052128,8820,31
5,8507635,12518,44
5,22363212,32131,113
5,17410688,24468,86
5,6279406,9116,32
5,21394893,30709,108
5,13625400,19626,69
5,11717844,17068,60
5,22809804,31847,112
5,22787192,32131,113
5,19534618,27869,98
5,24513173,34689,122
5,12320636,17646,62
5,10894499,15927,56
5,16154992,23325,82
5,11327943,16221,57
5,14015041,20196,71
5,23366995,32983,116
5,5532218,7974,28
5,22320665,31560,111
5,10111142,14507,51
5,4656413,6827,24
5,20358317,29007,102
5,23104719,32701,115
5,17144826,24172,85
5,18583088,26448,93
5,21147563,29856,105
5,24462132,34404,121
5,24043045,33550,118
5,20402474,29002,102
5,10708736,15362,54
5,22815847,32414,114
5,21370042,30144,106
5,12662483,18203,64
5,21756640,30993,109
5,22378833,31280,110
5,23306093,32982,116
5,18742304,26733,94
5,24410766,34121,120
5,23824075,33550,118
5,21661134,30710,108
5,14792828,21050,74
5,17983413,25603,90
5,10657174,15363,54
5,3918889,5700,20
5,15036648,21616,76
5,4703164,6832,24
5,24014815,33550,118
5,19691013,28156,99
5,9519029,13372,47
5,19754684,28154,99
5,22165186,31563,111
5,10626330,15363,54
5,20542757,29006,102
5,16286539,23036,81
5,18173592,25883,91
5,17773039,25311,89
5,18822067,26735,94
5,18699456,26732,94
5,22955571,32414,114
5,18380987,26165,92
5,15616455,22182,78
5,13353033,19059,67
5,11541922,16498,58
5,15625237,22184,78
5,13990001,20192,71
5,22154239,31564,111
5,21409375,30424,107
5,2332019,3414,12
