OMNIKDTREE,EUCLIDEAN,WDR,2,4015,29247
k,time,count,disk
5,17582214,24736,87
5,14428115,22178,78
5,14054313,22178,78
5,3850137,6547,23
5,12839777,19918,70
5,4511880,7401,26
5,13854173,22464,79
5,7928450,12520,44
5,7263363,11095,39
5,16264590,25314,89
5,4178206,6826,24
5,1747621,2851,10
5,12600529,19910,70
5,14503699,22755,80
5,20156063,30996,109
5,17052256,25886,91
5,15577869,24174,85
5,17279380,26724,94
5,9997352,15927,56
5,9887914,15928,56
5,15661719,25023,88
5,17453064,27292,96
5,7363632,11664,41
5,17872544,27008,95
5,19276955,29860,105
5,11389450,18204,64
5,16063673,24753,87
5,16416006,25031,88
5,9878080,15923,56
5,8641216,14218,50
5,1600495,2850,10
5,14999143,23602,83
5,18304564,28718,101
5,6563889,11103,39
5,16353168,25888,91
5,16560185,26159,92
5,7063737,11091,39
5,8783611,13943,49
5,4399502,7684,27
5,10135055,16218,57
5,3139580,5695,20
5,17811030,28153,99
5,18822005,28431,100
5,22800753,34115,120
5,8915264,14218,50
5,15402715,25023,88
5,20494578,31849,112
5,13104496,19906,70
5,723838,1142,4
5,14526574,22744,80
5,7441964,11945,42
5,20141696,31275,110
5,14531763,22744,80
5,10149546,16214,57
5,12214366,19627,69
5,9932028,15927,56
5,14955710,23318,82
5,2291901,3985,14
5,14795255,23317,82
5,5280021,8538,30
5,16130784,25588,90
5,9242943,14792,52
5,14820967,22755,80
5,10054387,15927,56
5,13656354,21328,75
5,17546791,27292,96
5,11920405,18486,65
5,8891460,14506,51
5,22359911,34115,120
5,14398148,21610,76
5,359926,574,2
5,13203565,20764,73
5,2701920,4554,16
5,6122176,10240,36
5,15732602,24735,87
5,18803187,29571,104
5,10754414,16507,58
5,13479524,21608,76
5,1036428,1716,6
5,8942602,13659,48
5,4661188,8256,29
5,13638010,21053,74
5,17733241,27292,96
5,4421000,7687,27
5,6990838,11390,40
5,15173021,24459,86
5,14690608,23043,81
5,16210005,25591,90
5,12402243,19345,68
5,17230206,26731,94
5,9479753,14799,52
5,11266903,17922,63
5,13303419,21047,74
5,11793014,19058,67
5,22893404,35253,124
5,7771920,11949,42
5,5106353,7967,28
5,16144589,24740,87
5,16860462,25312,89
5,18702447,29007,102
5,20430536,31280,110
5,6934840,10539,37
5,6528664,10526,37
5,13093306,20199,71
5,17965228,28154,99
5,12367189,19338,68
5,4615311,7686,27
5,10496256,16790,59
5,7696600,12520,44
5,16232088,26442,93
5,3754685,5979,21
5,4024567,6548,23
5,7209422,11946,42
5,16255563,25304,89
5,2723412,4554,16
5,18539085,29003,102
5,20847621,31560,111
5,7949000,12243,43
5,12832175,20193,71
5,20028543,31279,110
5,1765134,3132,11
5,4404631,6831,24
5,4828530,7964,28
5,1777901,3416,12
5,4245700,7397,26
5,7347709,12514,44
5,5255006,9105,32
5,8745553,14785,52
5,16210975,26442,93
5,13756602,21048,74
5,17548880,27306,96
5,702010,1142,4
5,3500793,5978,21
5,12508923,19345,68
5,7818382,12514,44
5,7524432,11663,41
5,10353089,17343,61
5,20340897,30706,108
5,14978508,23601,83
5,4879434,7963,28
5,364949,574,2
5,17647939,27021,95
5,522194,859,3
5,13829537,21048,74
5,13750147,22177,78
5,4167473,6826,24
5,12543693,19337,68
5,2331343,3991,14
5,15729155,24457,86
5,2912979,4555,16
5,7232705,11948,42
5,15848778,25020,88
5,15585672,23882,84
5,16366586,25031,88
5,3991863,6831,24
5,3815811,5979,21
5,11710282,18778,66
5,12994830,20474,72
5,15159792,24456,86
5,15428519,23886,84
5,14104072,21906,77
5,15279239,23885,84
5,20347553,31562,111
5,6206809,9958,35
5,9074234,13938,49
5,6060512,9394,33
5,8279049,12807,45
5,9951497,16217,57
5,20592568,31843,112
5,2478655,3994,14
5,14954757,23322,82
5,6437919,10529,37
5,5901541,9103,32
5,9445952,14788,52
5,15873709,24740,87
5,12159399,18776,66
5,4691527,7965,28
5,12799389,19630,69
5,20933203,32416,114
5,17801129,26735,94
5,19001673,29567,104
5,18312033,27586,97
5,16846063,25597,90
5,13662901,20772,73
5,4121042,6829,24
5,8158823,13649,48
5,8308264,13656,48
5,17383424,27587,97
5,17684217,27580,97
5,19811260,30137,106
5,19425221,29575,104
5,3368104,5691,20
5,9617036,14798,52
5,1018180,1711,6
5,14309746,23034,81
5,2551638,4276,15
5,9155064,14229,50
5,9821801,15934,56
5,17628066,27872,98
5,8796276,14224,50
5,14471504,23315,82
5,2583816,4557,16
5,14172342,22744,80
5,8916738,14506,51
5,6022792,9963,35
5,11017413,16785,59
5,4126438,6831,24
5,8886279,14792,52
5,2061228,3704,13
5,12011210,19910,70
5,13285345,21045,74
5,11563437,18496,65
5,11746066,18198,64
5,10645350,16498,58
5,8378470,13371,47
5,11441372,19343,68
5,13960853,21610,76
5,15325737,24456,86
5,16517168,25595,90
5,13236331,20487,72
5,3482024,5979,21
5,3827446,5984,21
5,1571311,2847,10
5,20899424,32983,116
5,2638445,4554,16
5,9676105,14512,51
5,1016761,1716,6
5,6892533,10812,38
5,15544233,23887,84
5,7845207,13083,46
5,21652873,32984,116
5,8609541,13372,47
5,20102049,30705,108
5,2830469,4557,16
5,18698378,28431,100
5,21457429,32985,116
5,5378363,8823,31
5,3976686,7404,26
5,12575733,19629,69
5,3877370,6829,24
5,12748424,19904,70
5,2412733,4274,15
5,10512265,16500,58
5,2324296,3992,14
5,7642446,12527,44
5,8235136,13651,48
5,9355909,15927,56
5,22135280,33553,118
5,12091511,19061,67
5,1944763,3424,12
