PMTREE,EUCLIDEAN,CONVEX,2,4015,54207
k,time,count,disk
5,84127612,37210,178
5,79239814,36333,172
5,78193969,35953,172
5,74040365,34317,163
5,64200595,33722,157
5,54795125,30534,141
5,75175290,36322,172
5,56497163,30273,138
5,73474034,35570,168
5,76271355,35661,162
5,80790038,36365,172
5,39722457,20997,92
5,77400369,35169,165
5,80474083,37146,177
5,81513633,37116,176
5,80106097,36201,169
5,80923859,37116,176
5,80542380,37116,176
5,73864958,34264,164
5,74733258,33992,158
5,81984335,37180,177
5,82383459,37141,176
5,56465581,29381,133
5,78668502,36817,175
5,79045292,37116,176
5,81880725,36564,174
5,79387822,36664,173
5,80267230,35844,168
5,81569522,36665,174
5,79735787,36776,174
5,73640018,34416,161
5,79101455,35684,168
5,80741942,37116,176
5,57150507,29595,136
5,75989538,36160,169
5,78465805,37116,176
5,54042759,28540,130
5,70729460,34603,161
5,52714294,27728,128
5,60665065,33558,157
5,49538478,27818,125
5,79212764,37116,176
5,79721731,36963,175
5,80462075,37116,176
5,77820402,35732,170
5,81919876,37146,177
5,80805727,37180,177
5,80837281,36858,175
5,37516853,19263,83
5,82726546,37180,177
5,77192908,34817,159
5,82012760,37067,175
5,81048676,37077,175
5,77804813,36072,171
5,80471670,36383,171
5,79274695,36510,173
5,75529731,34526,162
5,37990123,20878,90
5,81421832,36623,173
5,79775977,35184,166
5,82280273,37116,176
5,81980676,36625,173
5,76922274,35685,168
5,79606592,36431,171
5,79191911,35807,166
5,82799793,37116,176
5,81782388,36518,173
5,80249341,36695,175
5,82566880,36922,174
5,81691898,37116,176
5,35135031,18448,79
5,78943505,36690,172
5,50167293,26248,116
5,75870637,34501,164
5,79862620,36817,175
5,80026660,36817,175
5,77072336,34126,160
5,82808806,37116,176
5,77620512,35072,164
5,58532515,30439,140
5,51406316,28484,131
5,79327738,36283,173
5,81930656,37116,176
5,57659970,30366,141
5,71118851,34343,159
5,79163330,36665,174
5,79895256,36731,173
5,81241050,37116,176
5,77730014,36101,170
5,28470083,17269,76
5,56992988,31066,143
5,75815666,36031,169
5,74490295,35270,165
5,79793209,36731,173
5,81128553,37146,177
5,60468233,31060,143
5,29953648,17573,77
5,80684684,36665,174
5,79757469,37116,176
5,80633144,36553,170
5,79683631,36682,173
5,63073146,32701,151
5,73889338,35369,168
5,77896596,35442,167
5,80855378,37116,176
5,78500227,36559,174
5,77779215,34838,166
5,79401972,36330,172
5,74496820,34639,162
5,79021288,36124,172
5,78728616,36559,174
5,52099990,27275,123
5,63263106,33254,155
5,77177950,37180,177
5,50669540,27488,122
5,79071828,37116,176
5,81309334,37180,177
5,64263277,32233,149
5,77239158,36031,170
5,81872021,37116,176
5,62083259,32297,149
5,53570891,28636,131
5,76567205,35130,164
5,46511045,23560,105
5,82960141,36559,174
5,84358290,37116,176
5,56357480,28945,129
5,78781995,36923,175
5,83150502,37116,176
5,82854127,36875,173
5,78538796,35173,167
5,35408843,18895,81
5,64617967,32381,152
5,62504362,32947,150
5,56765872,30500,140
5,78240116,36665,174
5,81236884,37116,176
5,82407011,36963,175
5,82544255,37116,176
5,82490739,37075,175
5,29865160,17423,75
5,77062270,35104,164
5,36078420,18704,79
5,82372505,36285,171
5,82461715,37116,176
5,76514411,34590,161
5,63940897,33312,155
5,39438805,22190,99
5,83078793,37146,177
5,78144639,35541,167
5,78828513,35460,167
5,81357101,36923,175
5,81953935,36884,174
5,81371924,36923,175
5,66006019,33432,156
5,47092669,26467,118
5,81000698,36219,169
5,81083651,37116,176
5,83548848,36924,174
5,80681991,36031,168
5,77127062,35736,167
5,74973619,34515,162
5,80523669,36757,171
5,64427928,32815,153
5,51234740,28202,128
5,52973701,29129,132
5,51773823,28731,134
5,53593006,28063,130
5,79739887,37116,176
5,52930577,27456,122
5,74461593,34626,162
5,80015597,35845,168
5,35107442,18611,83
5,82635004,36665,174
5,80747649,36665,174
5,79969346,36075,169
5,66660476,33815,159
5,75496776,36148,170
5,82375762,37116,176
5,81005345,36705,174
5,83426005,37146,177
5,81914039,36884,174
5,80806098,36664,173
5,82942228,36923,174
5,80100588,36081,172
5,83049032,36809,174
5,79110509,35409,165
5,81132531,36705,174
5,81503477,36535,171
5,81921081,37146,177
5,81427806,36858,175
5,77946193,35480,166
5,75980324,34427,162
5,63853618,32930,153
5,79796993,36731,173
5,64474350,33260,151
5,56686848,30934,142
5,77217457,36288,171
5,79895465,36380,173
5,82327273,37116,176
5,81863981,37116,176
5,79849297,35859,170
5,84202061,37116,176
5,75751962,34573,162
5,61941560,32406,152
5,60387834,32634,153
5,63020549,33608,156
5,77240122,36817,174
5,79462040,35454,168
5,78175928,36009,170
5,80850565,36858,175
5,81139672,36167,169
5,81279704,36911,177
5,58049627,29462,133
5,55346752,30118,136
5,57057992,30895,143
5,78174658,36432,172
5,80531975,36963,175
5,77659997,35045,167
5,80263261,36383,171
5,57610979,29517,132
5,42934686,24030,106
5,74724741,34494,160
5,82546268,36819,174
5,81897230,36817,175
5,77170753,34740,165
5,65292994,32918,153
5,50062152,27892,127
5,75693929,35805,168
5,81197928,37116,176
5,82051779,36575,174
5,57037106,29302,134
5,79292566,37146,177
5,51130321,26519,118
5,81893063,36858,175
5,81884733,37028,174
5,64407482,32759,153
5,56961991,30933,142
5,73594159,35112,165
5,77122938,34651,163
5,82299563,37171,177
5,74642180,33956,157
5,76967336,34958,165
5,42728715,22140,99
5,65891344,33381,156
5,75961653,36264,170
5,81332027,36738,172
5,82988427,37075,175
5,78201812,35682,169
5,41953196,21459,95
5,81038601,36874,174
5,79821605,36139,169
5,79569505,35223,168
5,81519042,37116,176
5,79059322,36325,172
5,57473397,29450,137
5,79750670,37116,176
5,80360147,37116,176
5,82663801,36911,177
5,79776946,36435,173
5,67786518,33848,157
5,77149499,36922,174
5,81896022,37180,177
5,83578793,36822,175
5,64600438,32780,152
5,78400747,36809,174
5,81250034,37116,176
5,80705974,36557,170
5,78610595,35130,164
5,82784168,37116,176
5,77309005,34356,161
5,65735971,33305,156
5,60371489,32279,150
5,56686697,30793,141
5,75571847,35871,167
5,81409150,36817,175
5,44866629,23130,103
5,83117339,37146,177
5,83947401,37180,177
5,79795361,36322,172
5,64702004,32251,154
5,75511760,35768,169
5,79714952,36009,170
5,58653669,30542,142
5,77771368,36874,174
5,62852596,32614,153
5,78148166,36366,173
5,57965438,30192,140
5,63365971,33763,161
5,75097823,34851,166
5,64290820,32267,153
