PMTREE,EUCLIDEAN,FFT,2,4015,33672
k,time,count,disk
5,66514470,36975,170
5,66529796,36719,166
5,65833556,36662,165
5,64971294,36060,161
5,64166204,35550,155
5,60692545,33879,145
5,64002552,36301,163
5,61603015,34147,148
5,63251220,35615,160
5,63580756,35550,160
5,65290907,36307,163
5,33585170,21703,90
5,50211300,32958,144
5,61880907,36851,169
5,65852960,36942,169
5,65705908,36527,167
5,66493738,36971,169
5,66899283,37160,172
5,63792403,35482,157
5,62973925,34971,153
5,65828851,37079,171
5,65107934,36900,169
5,49838535,32653,139
5,63467285,36803,171
5,65691433,37004,170
5,65511336,36488,166
5,65344550,36423,166
5,65735282,36379,165
5,65333922,36374,164
5,66370341,36867,168
5,64429214,35855,158
5,65202717,36285,164
5,66699021,37160,172
5,52033244,33729,145
5,61244455,36446,166
5,65639900,37079,171
5,49400433,31998,136
5,62130936,35835,160
5,47124290,31356,132
5,60014553,35751,158
5,46464833,30486,128
5,62416967,36970,169
5,66292141,37099,172
5,67117230,37160,172
5,65296985,36265,164
5,66503236,37079,171
5,66895446,37079,171
5,65695519,36521,167
5,30672498,19666,79
5,66144547,37079,171
5,63367778,35274,156
5,65423938,36947,169
5,66120803,36914,168
5,65238787,36446,166
5,65470453,36390,165
5,65270100,36294,164
5,65343926,36252,162
5,34900765,22322,91
5,65566422,36975,170
5,64815727,36187,162
5,66641154,37160,172
5,64838561,35954,160
5,64579904,36015,162
5,65918715,36641,167
5,64407086,35827,160
5,66474976,36861,168
5,65707475,36526,166
5,66097327,36835,167
5,66793614,37160,172
5,66427971,37004,170
5,30005297,19135,77
5,65158112,36734,167
5,44177304,28757,117
5,61114181,36060,161
5,65815415,37004,170
5,65858430,36975,170
5,63457234,35290,159
5,66735271,37079,171
5,64530820,35863,159
5,49990060,32787,143
5,41370854,29700,124
5,61503701,36793,167
5,65610515,37085,171
5,61823827,34295,147
5,64877438,35868,159
5,65549587,36346,164
5,66477787,36975,170
5,66572008,37046,170
5,64330903,35747,158
5,33579224,21253,87
5,61347693,34753,151
5,65228072,36268,163
5,64314549,35853,158
5,66574221,36483,165
5,66383331,37004,170
5,61575891,34093,147
5,32821640,21250,90
5,64215573,36533,168
5,65820700,36685,169
5,66642389,36878,169
5,65863260,36867,168
5,63352145,35188,154
5,65208640,36200,162
5,63721241,35472,157
5,66785684,37085,171
5,66082853,36708,169
5,65114432,35922,159
5,65291849,36239,164
5,64258448,35767,159
5,66014547,36521,166
5,65265191,36375,166
5,44345187,28858,119
5,59781728,35641,157
5,65683184,36941,169
5,43555981,28586,118
5,62107951,37056,171
5,65676700,36975,170
5,62068048,34622,150
5,63835922,36296,164
5,65442208,37004,170
5,62779310,35076,153
5,49102485,32779,139
5,60192271,35928,161
5,40162408,26301,109
5,64005960,36480,167
5,66211290,36970,169
5,63651414,35538,156
5,66341729,36901,169
5,66552301,37004,170
5,65777921,36620,165
5,64923332,36085,162
5,29417161,19485,78
5,50925638,33473,147
5,58885413,33926,148
5,50099199,32787,143
5,61188648,36538,166
5,65595271,37085,171
5,66891560,36828,167
5,66737039,37079,171
5,66919884,36867,168
5,29754645,18973,76
5,63491089,36095,160
5,28767838,19135,77
5,64284453,36296,164
5,66179971,37004,170
5,64288759,35855,158
5,63693978,35650,156
5,36875786,23789,98
5,65350461,37079,171
5,65254793,36362,164
5,64651768,36211,162
5,66170825,36900,169
5,65851129,36797,168
5,64765186,36138,164
5,64124457,35658,156
5,43877499,28655,119
5,60925882,36057,163
5,65509973,36900,169
5,65667022,36900,169
5,65070064,36089,161
5,64601508,36059,163
5,63427540,35283,157
5,65690366,36942,169
5,61914786,35033,155
5,44975285,28974,120
5,45990387,32161,139
5,46292598,31455,138
5,46322740,30862,134
5,61985592,37079,171
5,44621470,29089,120
5,63568136,35879,158
5,65116580,36299,163
5,31082971,20076,84
5,64553447,36605,168
5,66116350,36418,166
5,65213982,36296,164
5,64548938,35985,160
5,64937202,35974,160
5,66403188,36926,170
5,65964211,36788,168
5,66657274,37004,170
5,65791491,36551,165
5,65694370,36651,168
5,65159381,36354,166
5,65424099,36385,165
5,65078588,36333,164
5,64593381,35935,160
