PMTREE,EUCLIDEAN,GNAT,2,4015,494077
k,time,count,disk
5,80646603,37091,172
5,78457941,36391,168
5,79719720,36698,169
5,75219472,35352,159
5,76426786,35008,158
5,61138561,32566,146
5,74330340,36396,168
5,57248630,31979,144
5,72798305,35958,164
5,77314823,36367,163
5,78661407,36996,170
5,40625611,22143,88
5,76139189,35430,160
5,80873282,37180,173
5,79657923,36882,171
5,78048841,36899,169
5,78936569,37091,172
5,79201045,37180,173
5,75003007,34876,157
5,65604068,33738,153
5,76532918,37091,172
5,78477803,36698,171
5,54603548,29493,131
5,76859719,37016,171
5,80074614,37180,173
5,80035342,36827,170
5,79177731,36723,169
5,76559525,35266,160
5,79159404,36752,169
5,79333898,37016,171
5,77392351,36086,165
5,79744201,36837,170
5,81529805,37091,172
5,59923003,31205,138
5,76221673,36743,170
5,79554310,37091,172
5,53310582,28326,122
5,73456735,35536,162
5,54765052,29483,128
5,71072258,34856,159
5,51365182,28211,122
5,75837870,37071,171
5,80149044,37180,173
5,80493161,37091,172
5,76685296,36508,167
5,79684316,37091,172
5,79381316,37091,172
5,74215303,34638,157
5,34746628,18357,72
5,80024747,37180,173
5,77576636,35641,159
5,81195803,37180,173
5,81667346,37180,173
5,80786499,37016,171
5,78063042,36479,168
5,78727065,36625,168
5,76673870,35407,161
5,40096610,21340,88
5,79626969,37091,172
5,77460309,36485,166
5,81157948,37091,172
5,81279693,36819,170
5,77655509,36326,168
5,78397611,36268,167
5,57741339,30733,137
5,76318293,36971,172
5,77972830,36689,168
5,78753920,36669,169
5,78892276,37091,172
5,79849416,36882,171
5,33604809,17617,69
5,77762472,36114,165
5,50585214,26859,110
5,72942030,35406,160
5,78303831,36807,170
5,79005659,37091,172
5,74649090,34923,157
5,80736795,36882,171
5,77171682,35540,161
5,60100917,31039,140
5,52196948,29286,129
5,78262269,36807,170
5,78175014,36882,171
5,61584301,32264,143
5,70328505,34643,159
5,78877005,36882,171
5,77389995,36376,168
5,80325879,37180,173
5,74607451,34338,156
5,28240866,17046,68
5,63319975,33339,152
5,73974046,35958,164
5,72321350,33938,154
5,76799873,36368,167
5,77872681,37091,172
5,61570965,32468,147
5,31977847,19388,76
5,80401109,37091,172
5,78942394,37091,172
5,78336069,36640,169
5,78732064,37006,171
5,72375120,34133,155
5,77135184,36013,164
5,73868136,34769,157
5,80552448,37091,172
5,79747922,36752,169
5,75725374,35702,162
5,77336750,36394,167
5,78231456,36202,166
5,77373828,36563,168
5,79807106,37071,171
5,53995984,28515,123
5,71022115,35069,160
5,78204091,37091,172
5,50282990,26600,110
5,78738756,37091,172
5,80808475,37091,172
5,66469624,33596,151
5,76092079,36268,167
5,79529701,37180,173
5,74255490,34440,158
5,58275823,30394,135
5,75476626,36220,167
5,52044774,28142,120
5,81016248,36996,170
5,81581228,36882,171
5,76735588,35668,162
5,81223441,36882,171
5,82433133,37180,173
5,80126698,36145,168
5,78213562,35905,162
5,33799106,18372,72
5,65114598,33301,149
5,72261449,34055,154
5,59299576,31252,140
5,77566881,36827,170
5,80629638,36971,172
5,82169556,37091,172
5,81688429,37180,173
5,81193809,36807,170
5,28553094,17199,67
5,76784969,35278,162
5,33376616,17919,70
5,79937770,36213,166
5,80900934,37091,172
5,77578407,36003,165
5,76306721,34630,159
5,44551081,24045,101
5,81715755,37180,173
5,80826722,36570,167
5,80918596,36858,169
5,80731733,36971,172
5,80284596,36882,171
5,78528801,36100,167
5,75372137,34721,160
5,50612794,26554,113
5,79275695,35835,166
5,80448170,36882,171
5,80571216,36882,171
5,78214015,35958,164
5,77276335,35614,164
5,78946306,35376,160
5,80404665,36656,168
5,75339953,34521,155
5,52861095,28063,122
5,57736904,31911,139
5,55016298,30305,136
5,56578998,29459,128
5,77811739,37180,173
5,52564766,27567,113
5,79167221,35729,162
5,78607992,36486,167
5,22043002,13832,59
5,79921882,36882,171
5,81204462,36882,171
5,79759989,36202,166
5,76064659,35212,159
5,78211546,35339,161
5,81183928,36971,172
5,81844301,36933,171
5,81412045,37180,173
5,81039960,36669,169
5,81120606,36996,170
5,80199412,37016,171
5,81266714,36882,171
5,79464450,36637,170
5,77163311,35692,164
5,80080073,36882,171
5,80932781,36837,170
5,80026388,36882,171
5,80549928,37091,172
5,80606937,36749,169
5,76861152,35197,160
5,75022327,34747,158
5,80060848,36453,168
5,75883043,35034,157
5,63849824,32849,150
5,75312740,36020,165
5,79038943,37091,172
5,81482166,37091,172
5,82052920,37180,173
5,80637691,36236,166
5,80737792,36882,171
5,77600838,35688,162
5,63912170,33757,152
5,60831058,33541,150
5,58023489,31802,144
5,76777489,36807,170
5,75718353,35840,164
5,78641566,36397,167
5,80620496,36752,169
5,77577381,36362,166
5,80059212,36882,171
5,57144616,29957,137
5,51127810,28645,129
5,63855283,33279,150
5,77255213,36752,169
5,78362254,37071,171
5,76389980,35086,159
5,81482555,36428,168
5,78323833,36129,165
5,47641427,24724,106
5,77423943,35243,161
5,81284524,37180,173
5,78973551,36882,171
5,74876090,34629,158
5,75048358,34008,153
5,56002032,29322,125
5,74926099,36298,167
5,79868169,37091,172
5,82914041,37180,173
5,59292330,30747,134
5,77574750,36971,172
5,55786624,29374,127
5,77455575,36882,171
5,80812790,37180,173
5,74733363,33828,152
5,63985423,33226,148
5,73787676,34638,157
5,77167365,35698,164
5,79889374,36882,171
5,75911124,34721,159
5,77750252,35405,161
5,44475616,23152,98
5,76438889,34860,157
5,81272347,36807,170
5,80639716,36931,170
5,80662342,36953,170
5,78582487,36625,168
5,44766256,23697,100
5,80124192,36643,170
5,80438129,36752,169
5,73258025,34046,155
5,80422460,37180,173
5,79029624,36531,167
5,61356187,31990,145
5,77243637,36971,172
5,80384607,37091,172
5,81673612,36898,171
5,80684477,36827,170
5,74903820,35142,161
5,80908635,37016,171
5,81971966,36882,171
5,79978783,36933,171
5,65271544,33127,148
5,76465417,36743,170
5,79138574,36971,172
5,77493013,35896,165
5,79165633,35814,165
5,81423769,37180,173
5,77922180,35165,160
5,76961371,34351,156
5,64197192,33425,149
5,59710580,32745,151
5,73712867,35102,159
5,80652580,37091,172
5,48519504,25419,108
5,80705578,36882,171
5,80649379,37091,172
5,79285247,35832,166
5,64895230,33572,156
5,75333410,36213,166
5,77518871,36743,170
5,62190421,32633,148
5,76885014,36916,171
5,65132670,33308,150
5,77570205,36752,169
5,59837330,31441,141
5,72671172,34648,155
5,78265677,35970,163
5,62312257,32477,146
5,75428300,36089,166
5,73995661,34150,156
5,74916646,34642,156
5,74685507,34348,156
5,79523839,36479,168
5,80106935,36882,171
5,80529417,37016,171
5,81521709,36758,170
5,45080208,23335,96
5,81427539,36882,171
5,79620274,36534,169
5,79909368,36971,172
5,76080054,35016,161
5,80498757,36752,169
5,80118679,37091,172
5,37203971,19458,77
5,80665776,36570,167
5,80733329,37071,171
5,79178412,36807,170
5,79745071,37091,172
5,79094124,37016,171
5,76377116,34710,156
5,81262770,36449,168
5,79397786,36896,171
5,80093493,36350,165
5,65138375,33105,147
5,77431575,36807,170
5,77093010,35953,165
5,78484850,36819,170
5,76857621,36406,168
5,77863928,36257,167
5,51635659,26891,116
5,76037047,36075,166
5,80562554,36828,170
5,75762773,34711,152
5,80174688,37091,172
5,63923502,33031,149
5,78621665,37180,173
5,75332612,34770,157
5,82575405,37091,172
5,81510121,37016,171
5,79936798,36882,171
5,80834039,37091,172
5,48285814,24966,107
5,62047187,32750,145
5,76515744,36807,170
5,27033612,17202,66
5,26779525,17202,66
5,80294503,36882,171
5,79983883,36236,166
5,82908023,37091,172
5,63832811,32458,144
5,76739450,36635,170
5,27103265,17419,67
5,47248307,25739,111
5,77137685,35157,162
5,76727266,35119,161
5,81243660,37091,172
5,38211012,20718,96
5,79380697,36882,171
5,63604455,32376,145
5,76629345,36648,169
5,77666455,35998,165
5,4479700,4173,13
5,64641162,33664,153
5,76164583,36722,169
5,80264558,37091,172
5,77624179,35709,162
5,81720133,37091,172
5,80610048,37016,171
5,64403776,32704,145
5,77892498,36971,172
5,79866383,36971,172
5,78732041,36235,167
5,76215171,34904,158
5,66072348,33736,151
5,76799924,36689,168
5,79298547,37091,172
5,76783664,35864,164
5,79308872,35942,166
5,49760158,25736,108
5,62202162,31871,141
5,76793237,36723,169
5,81229659,37091,172
5,59071507,30407,129
5,75509042,36207,165
5,80670678,37180,173
5,77566414,35160,162
5,83066665,37091,172
5,64560044,33113,147
5,46451428,25826,115
5,81208965,36971,172
5,79499005,37091,172
5,63686489,32312,146
5,77912418,36752,169
5,79990886,36689,168
5,80307289,36583,168
5,81095953,37091,172
5,78513153,36260,166
5,77934720,35120,161
5,79470583,36374,168
5,75240182,34457,156
5,81013432,36742,169
5,77167224,35703,162
5,77698291,35683,163
5,61506855,32418,146
5,77994413,36971,172
5,80700382,36270,167
5,80554195,36290,167
5,79641159,36882,171
5,80746507,36971,172
5,80107081,36025,165
5,79714054,36277,166
5,80627659,36916,171
5,78795768,36233,163
5,82587578,37091,172
5,80370312,36534,169
5,79997389,36835,170
5,79018851,36394,167
5,78741104,36202,166
5,83132502,37180,173
5,81744137,36971,172
5,78797494,35418,163
5,80149342,36380,165
5,76398745,34294,156
5,78443641,35698,164
5,79894343,36435,166
5,79293062,36173,165
5,65049714,33522,154
5,76892422,36827,170
5,78350256,35913,165
5,79048358,36076,166
5,79595966,35802,164
5,53306629,27793,117
5,60984545,32847,149
5,76686028,36698,171
5,78237597,36882,171
5,75014381,34599,157
5,78415630,36004,164
5,73711494,34180,155
5,82044566,37016,171
5,80424284,36752,169
5,74628049,34772,156
5,81174145,36752,169
5,79634906,36236,166
5,57793502,30514,137
5,75968978,36544,168
5,78518139,36571,168
5,64440912,33617,152
5,77693656,37091,172
5,75255681,35009,159
5,78755460,36146,165
5,79168879,36882,171
5,76650703,35028,159
