PMTREE,EUCLIDEAN,HFI,2,4015,439908
k,time,count,disk
5,59890130,33705,153
5,56437551,32996,148
5,55132943,32301,148
5,22857025,16239,64
5,47868302,28417,120
5,41168607,24535,98
5,46083193,28110,122
5,41614569,25073,102
5,52447279,30545,135
5,53727384,32220,148
5,54563135,31691,143
5,16003469,11711,43
5,48981246,29189,126
5,56969239,33560,152
5,58205175,33731,154
5,52159207,31305,139
5,55209084,33310,153
5,56266828,33078,152
5,49109488,29460,128
5,50143559,30012,130
5,65849602,33877,155
5,56861237,33030,147
5,33542326,21390,88
5,54944762,32850,152
5,53288742,33378,154
5,47511795,29956,131
5,51511117,31705,144
5,49900672,31187,135
5,45287132,28471,123
5,55023403,33036,153
5,48495343,30443,134
5,51366997,31319,139
5,65890115,35180,162
5,35197399,21909,90
5,49152558,30874,134
5,54585508,33593,152
5,27509222,18553,76
5,46129263,29063,125
5,28357027,18662,73
5,45771327,28811,123
5,27776939,18620,76
5,54396921,32760,151
5,54259819,33637,153
5,64646664,34253,158
5,52321937,31286,138
5,64352160,33998,157
5,66317148,33942,156
5,55352533,32276,147
5,14359430,10458,37
5,62427186,33994,153
5,52256220,30082,130
5,53882475,33278,151
5,53383059,33225,152
5,50357983,31463,141
5,52299999,32495,143
5,50532037,31562,142
5,50144049,30820,134
5,16733062,12282,46
5,53300036,32420,147
5,49438347,30991,136
5,64179913,33840,155
5,51787220,30977,136
5,47142300,29330,128
5,49802191,30170,131
5,47491586,30232,132
5,54437758,33615,152
5,51072499,32020,145
5,49620161,31388,139
5,63943181,33858,156
5,53312239,31513,139
5,13445676,9892,34
5,49255504,31566,137
5,29539329,19758,81
5,24724050,16999,67
5,53422093,33629,154
5,53311872,33124,153
5,45823951,29098,122
5,52343054,32999,149
5,46835608,29450,128
5,36840177,23984,99
5,30577989,20260,81
5,53073446,32372,146
5,55504944,33367,153
5,39277210,24985,102
5,44623260,28452,119
5,50998379,31587,141
5,51589405,32382,141
5,54218813,33603,153
5,46554003,29299,126
5,47382912,29947,130
5,40625432,26019,109
5,49610805,30977,134
5,46433902,29338,126
5,48407301,30461,133
5,64319203,34403,158
5,40877835,25221,104
5,14545266,10578,40
5,53042831,32652,150
5,51623577,32787,151
5,53282688,32408,144
5,52942719,32464,149
5,42217988,27020,111
5,47988065,30154,130
5,45849213,29007,124
5,54500783,33356,154
5,52665699,32306,148
5,46264997,29463,128
5,46994299,29799,129
5,45763265,28759,119
5,52024403,32315,147
5,52305615,31790,143
5,27543190,17772,72
5,42272800,27340,116
5,54769698,33593,152
5,32057417,20826,84
5,55229434,33235,153
5,55361883,33732,155
5,41385318,26545,110
5,48025624,30734,138
5,54625425,33450,154
5,45402151,28627,120
5,31199694,20956,85
5,48700748,30077,130
5,23132387,16447,66
5,51621370,31927,145
5,48581701,30926,135
5,48060053,29864,126
5,49898042,30978,135
5,64578171,34212,156
5,55607629,32133,141
5,51604768,31428,138
5,13730763,10112,35
5,39999921,26066,111
5,43461253,27099,114
5,35836399,23256,96
5,49133453,30336,131
5,53911982,32960,151
5,52328529,32646,146
5,64286832,33934,154
5,54041504,32322,145
5,13492116,9892,34
5,46765380,29692,130
5,13661204,9892,34
5,47224612,30220,133
5,53856873,33332,153
5,47604279,29521,126
5,44223048,27320,114
5,16775645,12363,47
5,62765444,33896,155
5,53606880,31025,136
5,49161844,30862,136
5,62273296,34012,153
5,55581180,33060,147
5,52495154,32689,147
5,44718711,28264,119
5,23003310,16521,67
5,50190930,31230,138
5,55582336,33516,151
5,52210577,32450,144
5,51008201,31953,140
5,48247720,30608,134
5,48809268,30996,138
5,64389801,33958,156
5,18031704,12867,49
5,31204819,18809,75
5,39240663,25436,107
5,36789028,23882,97
5,29457184,19110,75
5,64613731,34302,158
5,33420238,20232,81
5,49392154,30784,135
5,43919595,27338,116
5,14890853,10538,42
5,51230130,31119,137
5,50635868,31032,137
5,47390089,29957,131
5,24656708,17085,70
5,47404286,30053,128
5,65528842,34176,156
5,55394954,32059,142
5,65631839,34052,155
5,54885082,33026,149
5,51058282,31853,146
5,51606694,31713,141
5,48209558,30484,134
5,50211895,31579,142
5,47653558,29834,128
5,52170758,31958,145
5,53807176,33043,151
5,63535046,33956,155
5,55161153,32680,151
5,49239034,30732,136
5,44925001,28053,116
5,46169176,29255,124
5,51688312,31911,142
5,45117169,27865,114
5,39958357,25433,106
5,47239680,30342,131
5,50141617,31759,145
5,50033934,31301,138
5,53688778,33619,155
5,48063066,30442,132
5,53977592,33208,152
5,49549740,30900,138
5,40331185,26053,113
5,41110148,26350,110
5,42865135,27805,117
5,49452817,30759,136
5,49009477,30691,134
5,49325431,30886,138
5,52524809,32843,152
5,45625258,27789,119
5,53962944,33016,148
5,33613504,21514,89
