PMTREE,EUCLIDEAN,IS,2,4015,28643
k,time,count,disk
5,67758485,34604,160
5,54235597,32569,150
5,52361891,33124,152
5,32072127,21425,96
5,40084748,26485,117
5,38538272,25384,109
5,48714999,32024,148
5,36694884,24014,102
5,43976854,29045,130
5,49782887,31921,148
5,47638645,31033,142
5,16438356,12222,45
5,40507720,27085,120
5,52841424,33369,154
5,63073867,34260,161
5,49735350,30600,141
5,51904206,33710,158
5,52393150,33445,157
5,43938498,28165,125
5,40542662,27107,120
5,53013617,33739,158
5,51758607,32555,150
5,32675767,22437,95
5,50815436,32217,150
5,52424562,33777,157
5,51361415,32473,150
5,48644061,31107,144
5,45294689,29534,136
5,47854354,31324,141
5,50529326,32912,153
5,43256686,27902,125
5,45708819,29626,136
5,64674378,35716,168
5,35213608,22374,94
5,46112415,29557,135
5,63828019,35162,164
5,31636876,20317,86
5,42944550,27888,125
5,29857146,20636,85
5,40917869,26614,116
5,28128476,19398,79
5,50892797,32049,148
5,62212445,33851,159
5,65292103,34749,162
5,50229061,31311,140
5,63900861,34979,163
5,64838821,34593,161
5,52372400,31670,146
5,14453849,11102,39
5,63254010,34852,163
5,48482251,29302,131
5,51989658,33302,156
5,50920194,33151,155
5,47476193,30365,138
5,50050092,32013,148
5,46639596,30570,140
5,44081369,28394,126
5,13961146,10775,43
5,48809486,31110,144
5,45837476,29639,135
5,61030707,33941,159
5,49920264,30975,139
5,44318284,29080,130
5,48393541,30668,137
5,43203234,28686,130
5,52501110,33646,157
5,50338081,31815,145
5,50740639,32664,149
5,61285077,34021,160
5,51808837,32161,144
5,13945045,10537,37
5,49468199,31693,146
5,26308508,17855,73
5,38083329,25590,116
5,54224534,33824,158
5,51618104,32976,155
5,45513147,28928,132
5,51853975,33555,158
5,45077743,28675,131
5,33616068,22878,98
5,6910199,6000,21
5,48985423,31505,145
5,53651539,33589,156
5,36757171,25075,108
5,39735923,25774,115
5,51710875,32688,152
5,50079922,32782,149
5,52604337,33711,158
5,44514506,28409,126
5,43128079,28633,129
5,36246462,23880,100
5,48999563,31565,145
5,41693550,27777,125
5,47352600,30023,134
5,64871045,35285,165
5,34217392,22047,95
5,11626419,9223,35
5,49730233,32436,150
5,50177499,32186,150
5,49959563,32027,151
5,51386113,32826,152
5,38321992,25219,109
5,43521372,28802,128
5,46211236,29308,132
5,52687473,33695,158
5,50143166,32818,152
5,46482341,30161,133
5,48441314,30902,140
5,45122715,29733,132
5,50088193,32040,147
5,49350021,30999,143
5,27627227,19298,78
5,39271415,26414,114
5,53090601,33534,156
5,27172023,18554,77
5,53106917,32828,154
5,53835009,33651,157
5,36610952,24463,104
5,46216142,30403,139
5,53183473,33413,156
5,36921917,24818,109
5,32325428,21817,92
5,43546494,28607,129
5,19452154,14600,61
5,49598959,31444,144
5,51708603,32970,151
5,42021389,27961,126
5,61679013,34125,158
5,65189128,34360,162
5,53040984,31859,147
5,43731100,28800,126
5,14320729,10799,38
5,36188445,24413,109
5,38004103,24940,110
5,34147693,22561,97
5,46300024,30519,139
5,52641240,33301,155
5,51300766,32825,153
5,63199230,34422,161
5,54696951,32826,153
5,13279707,10241,36
5,46698405,29324,131
5,13743988,10537,37
5,48209548,31299,141
5,50869004,32896,154
5,41708955,27283,123
5,41174801,27119,119
5,17846078,13573,52
5,63322910,34879,162
5,47441229,29680,134
5,45442652,29490,135
5,52620234,33816,157
5,53205524,33748,157
5,41351440,26560,117
5,38698375,26040,116
5,27240493,18359,74
5,44905446,29683,137
5,62831576,34870,161
5,53787540,32377,147
5,47992310,31058,142
5,43164526,28676,130
5,45533153,29065,134
5,51736376,33224,156
5,31738485,21630,97
5,18019102,13784,58
5,37110821,24967,109
5,34835995,22836,97
5,27755773,19087,79
5,63025554,34486,163
5,31521615,19109,79
5,44863406,28968,131
5,45805352,29268,131
5,14196755,10835,41
5,48808854,31738,144
5,50163434,32825,153
5,46748996,30182,138
5,29252758,19916,90
5,41895134,27420,122
5,64413259,34874,163
5,52667301,31648,144
5,64250236,35195,163
5,35224745,22445,98
5,50095015,30758,142
5,47595515,30903,142
5,47039208,31041,141
5,48572034,31140,144
5,43703457,28078,128
5,47798352,31352,145
5,49516607,31510,146
5,64899404,35293,164
5,52424183,31762,146
5,43419498,28878,131
5,45225660,29156,131
5,38923586,25763,117
5,34048726,22961,100
5,41330058,27056,117
5,35546820,24015,101
5,39807002,25883,114
5,48521073,31753,148
5,52235827,33387,155
5,61915652,33914,161
5,51251242,30653,138
5,61139204,34021,160
5,47129443,29280,133
5,36758348,24003,107
5,39428398,26018,114
5,38079137,25297,113
5,50100051,31625,143
5,44544320,29210,133
5,45795461,30034,136
5,50654278,31904,147
5,46632786,30522,139
5,52538823,33260,154
5,28295733,19493,80
5,33176043,21938,94
5,36211412,24488,101
5,51502607,32456,149
5,50193638,32380,150
5,44208642,29173,130
5,48073442,30516,140
5,44394958,28866,129
5,24130764,17372,66
5,42015363,27687,124
5,52300986,32840,153
5,51395092,32881,152
5,44274560,29254,128
5,37735341,24489,108
5,29771672,20653,85
5,48218390,30836,140
5,64001718,34874,161
5,53783115,32657,153
5,34942940,23578,103
5,62322715,34231,158
5,23870052,17055,73
5,54407540,33625,158
5,50632750,31829,148
5,35335511,23681,105
5,33332966,22378,100
5,44432622,28986,131
5,30373326,20229,91
5,53235572,33548,156
5,40110530,26960,121
5,44920058,29198,133
5,20725280,15477,59
5,37237058,24389,110
5,49372449,32036,148
5,47421333,30975,139
5,53813769,33808,160
5,47534110,30210,139
5,21112762,15768,60
5,49771868,31927,148
5,48531633,31878,146
5,44547082,28776,128
5,62274665,34259,162
5,40266297,25620,117
5,32183724,21279,89
5,51346717,33315,155
5,49948107,32118,151
5,53432562,33340,156
5,51550150,33202,154
5,41183240,27425,121
5,52301342,33002,154
5,64451824,35023,163
5,51022608,31227,140
5,15952397,12031,47
5,48869302,31703,143
5,61889037,34174,161
5,50746569,30817,143
5,42837135,28493,127
5,53283801,33736,159
5,41821977,27146,117
5,41335410,27661,122
5,36298587,23602,106
5,31987885,21939,94
5,44680538,29449,136
5,52234679,33644,158
5,21524270,15575,60
5,62913169,34490,160
5,64310807,33929,158
5,49079029,30655,141
5,40306932,26096,115
5,46555813,30032,136
5,46089479,30470,140
5,38090398,24684,105
5,50066671,32466,151
5,39692618,26489,112
5,45042156,28826,129
5,32517251,22298,94
5,37790014,24464,106
5,46526758,30495,137
5,38208277,25375,110
5,43471887,28430,128
5,38228829,25504,114
5,41856117,27682,125
5,41640693,26900,116
5,48963625,32012,146
5,52301318,33496,156
5,49317352,31130,144
5,38317086,25713,112
5,20602463,14894,57
5,48075756,31677,146
5,48061744,31234,141
5,52843959,33110,155
5,39167211,26157,116
5,48853526,31753,143
5,53792787,33644,158
5,14516536,11261,40
5,48825359,30589,140
5,51870988,32887,152
5,48277268,31608,146
5,52027057,33625,158
5,47262052,30647,141
5,40458819,26228,114
5,47224904,31013,142
5,49359297,32220,149
5,40839251,26599,121
5,39985903,26352,114
5,45322326,29950,135
5,50974718,32239,149
5,50840075,32205,149
5,44840673,29784,136
5,45655032,30200,138
5,26689108,17791,71
5,41825438,27776,123
5,53016488,33619,156
5,47832968,30375,138
5,48798364,31920,148
5,44770221,29307,130
5,43132435,27550,122
5,41348457,27608,122
5,62090803,34259,162
5,50575652,30623,140
5,53814044,33495,157
5,61280663,33884,159
5,24496749,17372,66
5,39127818,25034,108
5,47523976,31120,144
5,12912276,9790,34
5,12638469,9790,34
5,47622985,31308,144
5,45406186,29198,130
5,54331662,33653,155
5,40831152,27324,121
5,50978456,32542,149
5,12723909,9790,34
5,23518932,17077,65
5,40911245,27227,123
5,40839593,26406,116
5,47341618,30967,143
5,45343403,29622,132
5,63486151,34687,163
5,36287673,22590,101
5,52352152,33762,155
5,40606433,26118,119
5,44107157,28965,129
5,37179057,24824,110
5,44741435,29343,132
5,54069844,33779,156
5,44746509,29677,134
5,50204981,32562,152
5,47953161,30503,141
5,33975351,23254,97
5,62994975,34795,163
5,65778851,34890,162
5,51108666,30836,141
5,32635360,22181,94
5,43538250,28325,125
5,50103986,31560,146
5,62513459,34422,160
5,46986964,29374,133
5,39153640,25339,111
5,22141305,16510,67
5,16288104,12229,48
5,47839378,31015,142
5,50553124,31793,148
5,52136949,33473,156
5,36605978,24646,112
5,61862944,34217,163
5,43666316,26796,117
5,64526268,34975,163
5,41544879,25929,113
5,27556903,19164,80
5,52752975,33377,156
5,53926959,33665,158
5,37273604,25107,107
5,45531391,29449,133
5,52262702,33001,153
5,46497589,30688,138
5,46748653,30274,138
5,44096313,28310,127
5,41826381,27978,126
5,47817741,30593,141
5,45219898,29447,133
5,45840291,29343,132
5,41244400,27460,118
5,44299604,29139,131
5,37535218,24657,105
5,35622296,23961,104
5,48684574,30830,142
5,46731320,30595,138
5,48883234,31945,150
5,61685211,34094,160
5,49738916,30813,138
5,46519549,29521,134
5,63038853,34353,160
5,47375233,29679,132
5,52153958,33543,158
5,48621439,31730,146
5,49106688,31070,142
5,43538791,28743,129
5,46219893,30147,137
5,51056063,33340,152
5,62465120,34390,160
5,46624565,28122,125
5,45668562,29844,136
5,38163095,25653,110
5,45718977,29396,133
5,47785499,30267,139
5,46469608,30545,140
5,37344408,24407,104
5,50626670,32295,150
5,44699082,29346,132
5,48121700,30525,139
5,46208032,29468,135
5,25487999,17651,73
5,39146259,25728,111
5,49147241,32185,146
5,50630874,32404,148
5,39219274,25584,112
5,46857453,30716,141
5,43275351,27800,125
5,46644269,29841,136
5,47001274,30996,139
5,41246088,26668,118
5,51773600,32838,153
5,43296100,28760,129
5,36429864,23700,102
5,45624985,29634,135
5,47829381,31029,139
5,44445163,28050,124
5,50890926,33066,154
5,44860591,29541,134
5,44760356,29273,134
5,53689540,33654,156
5,40983347,26954,117
5,63236442,34845,164
5,15567667,11241,41
5,50312939,31522,146
5,50768419,32754,151
5,43831014,28824,127
5,52147428,32765,153
5,49636383,31767,145
5,50468798,33078,154
5,61796269,33918,158
5,65150318,34647,162
5,56084326,33625,158
5,13028126,9972,39
5,49464633,31271,145
5,47861990,31163,145
5,16977302,12820,47
5,37870281,25878,117
5,46132059,29872,136
5,28727485,19504,88
5,52342146,33805,158
5,47176142,30909,142
5,50391494,32691,152
5,41728719,26876,119
5,46799917,30311,137
5,48034434,31454,142
5,51622209,33034,153
5,42028749,27182,122
5,42706867,28433,128
5,64480620,35543,166
5,54265344,32727,151
5,65253299,35455,165
5,50247017,30793,141
5,61906461,34351,160
5,53130897,33023,153
5,43419455,28131,128
5,63977463,34793,164
5,40817370,25809,111
5,45996096,29668,138
5,51721747,32446,151
5,33918832,23090,103
5,61596730,34062,158
5,52318416,31640,139
5,49544469,31515,143
5,43849461,29165,131
5,21587423,15557,68
5,41591435,27844,125
5,37626868,24366,103
5,49949862,32320,151
5,23341294,17065,70
5,25528634,17995,81
5,13399755,10402,40
5,32039735,21630,97
5,61985580,34263,158
5,49365126,30457,139
5,45672529,30220,138
5,52267497,32952,154
5,36157643,24005,109
5,41308117,27460,122
5,62449774,34286,160
5,55584910,33449,155
5,43739751,28921,131
5,41765432,27159,117
5,37571812,25337,110
5,37520483,24237,102
5,17856336,13641,55
5,49737821,32012,146
5,51988744,33750,157
5,48351926,31465,144
5,46785478,29815,131
5,50733134,32926,152
5,42671879,28300,129
5,45852915,29248,134
5,41341415,27726,122
5,14325099,10904,43
5,61772527,34097,160
5,51873046,32200,145
5,38539653,25835,111
5,49939487,31635,145
5,52227729,33362,157
5,47790138,31302,144
5,21057956,15268,62
5,45374175,29902,136
5,63808735,35005,164
5,53817545,33402,157
5,62119754,34118,161
5,48592991,29600,135
5,44980497,29313,135
5,21197716,15799,62
5,52353465,33604,157
5,49673033,32575,152
5,27237718,18882,78
5,44421023,28462,130
5,32800489,22359,98
5,50377940,32406,151
5,46982308,29206,127
5,39339241,26543,118
5,49530673,31746,149
5,49570769,32361,149
5,42907721,28678,130
5,22519346,16104,65
5,44926826,29721,135
5,62395093,34437,162
5,65784287,34580,160
5,43840396,27800,125
5,49419336,31601,146
5,62547081,34115,160
5,40779558,25581,114
5,51561632,33320,155
5,31627239,20805,92
5,49861925,32459,152
5,39194109,26193,120
5,62502155,34083,161
5,53693012,33020,156
5,52317954,32856,155
5,42643529,28346,128
5,48557794,31578,141
5,39476141,25167,108
5,62986006,34901,162
5,47086872,29524,132
5,45075374,28992,132
5,45645311,29492,133
5,46192005,30243,138
5,63899900,35262,165
5,47087732,28675,129
5,44302232,29056,131
5,40075816,26760,117
5,63272649,34666,163
5,46392058,27910,124
5,44873367,29527,134
5,46836529,30260,139
5,37377064,24724,112
5,44204468,28916,128
5,46336084,30263,140
5,48094192,31301,142
5,33347509,21872,91
5,46356353,30692,142
5,31442964,20785,87
5,42800400,28537,124
5,51999100,33538,156
5,63100765,34365,161
5,28349950,17820,73
5,44347452,28970,130
5,45442689,29763,136
5,62635375,34174,160
5,50104847,29903,136
5,39590957,26439,115
5,21285520,15545,60
5,41321786,27684,126
5,49559294,31443,144
5,41878345,27475,120
5,62157391,34372,163
5,43723720,27457,128
5,41429372,26846,122
5,43210515,28789,129
5,41462641,26851,122
5,51290589,33152,154
5,40392722,27118,120
5,46548324,30470,140
5,45648248,29717,136
5,45588908,28949,128
5,43498913,28874,129
5,24452455,17188,72
5,51785908,33516,157
5,50067228,32444,148
5,47560491,30337,136
5,48815679,31520,145
5,47118727,31110,143
5,62769882,34484,162
5,47785384,28774,129
5,63286889,34466,162
5,50428611,31319,144
5,42760393,28142,124
5,44412805,28484,129
5,48897434,31908,146
5,50576417,32485,152
5,49878920,31637,145
5,44332407,29390,130
5,47659880,31201,143
5,13321997,10196,37
5,51159369,32844,149
5,62190945,34013,160
5,50777629,30964,141
5,38239844,25812,110
5,51278450,32580,153
5,12422893,9428,36
5,47584973,30505,136
5,48033793,31222,143
5,43390895,28762,130
