PMTREE,EUCLIDEAN,KMEDOIDS,2,4015,20274
k,time,count,disk
5,59718642,32342,149
5,60989224,33417,153
5,59932808,32956,152
5,50480082,28869,127
5,49913193,27892,124
5,44062160,24764,103
5,52962023,30421,138
5,43724644,25043,107
5,54187496,30195,138
5,59220906,32275,150
5,51202551,29677,133
5,17568166,12349,48
5,48894024,28408,125
5,59188194,32372,147
5,61589265,33451,156
5,57167026,31550,146
5,57639726,32236,149
5,59809041,33704,158
5,54153455,30438,139
5,54193947,29881,132
5,58429821,32546,149
5,58790060,32519,147
5,37508587,21939,93
5,57985709,32709,153
5,70915395,33867,158
5,54216428,30345,138
5,54275258,31621,147
5,52038680,30538,138
5,49022112,29551,134
5,55341104,32358,149
5,51021543,29738,130
5,51453619,30680,140
5,69111922,34947,165
5,37335042,22074,94
5,51749881,30588,140
5,51308124,30630,139
5,31254559,19234,81
5,48993927,29337,127
5,31548821,19574,84
5,48956581,28957,127
5,30181966,18917,80
5,56821464,32530,151
5,56866931,33256,154
5,57704935,33813,158
5,51989434,30531,139
5,67251286,34137,160
5,60286593,33489,156
5,52666798,30983,141
5,14119621,10372,41
5,54156488,31166,140
5,49600846,29668,132
5,56491316,32766,151
5,57393260,32921,151
5,53953785,31072,141
5,53244305,31687,145
5,53068634,31082,143
5,51530307,30342,134
5,14606749,10736,38
5,53142951,31234,144
5,51557869,30459,138
5,57583800,33111,154
5,50963171,29475,132
5,50287223,29570,132
5,51137171,30574,142
5,50731181,29916,133
5,59751713,33743,157
5,53604846,31792,146
5,45000580,27090,119
5,66910241,34017,161
5,57010566,30821,139
5,13646597,10151,40
5,55217763,31693,141
5,31379023,19879,81
5,51077986,29141,130
5,57726921,33283,154
5,55981466,32938,153
5,49620369,29452,132
5,50354755,29682,134
5,51004191,30444,134
5,40215200,24445,103
5,31008147,19263,77
5,54082349,31497,142
5,57879874,33752,158
5,41325630,25523,109
5,49685897,28597,125
5,53690771,31599,145
5,53844775,31340,142
5,56350965,32816,151
5,49963796,29537,128
5,50117160,29749,133
5,40625691,24115,101
5,50732716,29590,131
5,48654952,29263,128
5,51207643,30381,134
5,68015358,34326,161
5,42396376,23679,94
5,10163896,8229,28
5,55614471,32073,148
5,54093349,31735,146
5,55358639,32340,148
5,56696515,32846,152
5,44260007,26770,115
5,42721821,25719,112
5,49511886,29110,131
5,58749226,33828,159
5,53924926,31731,145
5,51172789,29924,135
5,52437354,30704,138
5,48454064,28701,125
5,52586827,31053,144
5,54667255,30732,139
5,30208011,18747,80
5,48054723,28486,123
5,52438962,31540,144
5,34655668,20660,85
5,55426093,32626,152
5,66519617,33889,159
5,44010442,25744,108
5,52513966,30877,142
5,66750104,33842,158
5,47539971,27524,117
5,34441708,21215,92
5,50457720,29931,133
5,32489643,19964,85
5,53914225,31577,145
5,39955384,24615,110
5,49952536,29269,127
5,49568919,28700,129
5,67350270,33898,159
5,56435357,31611,141
5,53109282,30763,137
5,14015847,10372,41
5,45886560,27399,120
5,44869278,26454,111
5,40207527,24487,104
5,51221061,30258,136
5,54841419,32463,149
5,54986568,31978,147
5,56097399,32949,153
5,53811202,30777,138
5,12922862,9640,37
5,52116736,30248,139
5,13621757,10151,40
5,51758335,30392,138
5,54003510,32063,148
5,48972497,29119,126
5,45816787,27364,119
5,20189929,13973,57
5,56588757,32689,151
5,51924595,30561,138
5,49892482,29639,132
5,57658746,33303,153
5,55459029,32406,149
5,54946618,31556,143
5,48282913,28612,123
5,29058053,18260,77
5,52323476,30754,139
5,53593059,31287,141
5,53262730,31155,140
5,52831208,30887,139
5,51537260,30681,139
5,51552105,30140,136
5,57467101,33170,155
5,46740646,28159,122
5,29733186,18788,74
5,42530898,25161,110
5,37881951,22981,95
5,31671798,19595,79
5,69407575,34821,163
5,36647076,21494,90
5,51584140,30567,136
5,48837060,28491,128
5,13881084,10259,36
5,52302807,30918,141
5,55047708,31872,146
5,51496177,30248,137
5,49928185,29648,133
5,51744745,30524,137
5,67327697,34042,160
5,55940000,31431,143
5,59113382,33676,157
5,56883899,32800,150
5,55131898,31748,147
5,53773085,31656,147
5,51394752,30110,136
5,52235714,30792,138
5,50454105,29677,129
5,54221161,31438,146
5,58370381,32732,151
5,56722607,33240,154
5,54589459,31983,149
5,51804116,30150,134
5,48234433,28569,126
5,46446146,28154,120
5,51634602,31096,141
5,41148645,23863,102
5,39522211,23991,100
5,50736458,29678,130
5,55492976,32073,148
5,51813843,30257,135
5,57082583,33207,154
5,50881325,30335,137
5,54212438,31992,147
5,51448067,30369,137
5,48140231,28517,127
5,45358530,27164,116
5,48318001,28609,122
5,52341901,30313,139
5,50439942,30194,135
5,53090161,31530,146
5,55494676,32021,150
5,51507436,30098,135
5,56532272,32598,149
5,30502711,19568,79
5,37071832,22352,91
5,40060818,24936,109
5,56905707,32927,150
5,55866083,31975,147
5,50899174,30600,136
5,50068948,30300,134
5,49570784,28796,126
5,30039403,18922,76
5,48019481,29178,127
5,56597951,32510,151
5,53447803,31120,142
5,49525400,29428,128
5,46694965,27747,120
5,31241552,19366,82
5,53901203,31418,146
5,53660818,31051,141
5,59551060,32880,154
5,37915887,23660,100
5,58341850,33376,154
5,37555981,22541,96
5,56086962,33010,154
5,55877074,33012,151
5,48042755,28170,125
5,44562587,26914,119
5,52072456,30815,137
5,48873530,28818,128
5,54959965,32440,147
5,49099982,28671,125
5,52823772,31098,138
5,23245301,15261,60
5,50996552,29932,133
5,54289714,31961,145
5,53274962,31388,145
5,57263368,33426,156
5,52168234,30963,141
5,22875031,15620,62
5,54233541,32181,149
5,53843315,31432,146
5,51262313,30119,132
5,58134999,33331,155
5,46676203,28150,127
5,37314420,22465,94
5,53045279,31123,141
5,57465756,33044,152
5,57647412,33748,156
5,56222943,32136,149
5,47051665,28530,124
5,55822666,32336,150
5,56519920,32867,151
5,55027136,31891,146
5,39825190,24378,101
5,53239510,30754,141
5,66388042,33851,158
5,54387367,30955,137
5,50488596,29946,134
5,67223761,33900,159
5,51318810,28958,126
5,48772922,28942,129
5,46813752,27343,121
5,38527288,23717,95
5,52181138,30520,138
5,56105353,32944,152
5,21818250,14670,61
5,55867682,32768,152
5,52393595,31153,141
5,52077539,30320,138
5,47197993,27804,121
5,51621783,30452,139
5,53341892,31186,144
5,41071232,24875,107
5,55968674,32482,148
5,47234031,28465,121
5,40261612,24451,108
5,35460787,21889,92
5,45925112,27352,118
5,51066131,30764,140
5,45584581,26889,114
5,50136820,29517,131
5,46578730,28252,121
5,49942903,29071,132
5,46058841,27529,120
5,50849519,30546,137
5,56578920,32790,153
5,53700544,31250,144
5,52961115,31206,140
5,19413403,13376,55
5,54530468,31936,149
5,52346627,31345,145
5,57751544,33209,153
5,47404047,28197,120
5,54149018,31353,144
5,55698622,32852,152
5,13933928,10152,38
5,52477848,31390,145
5,55944418,32408,148
5,56610906,33034,150
5,51250816,30201,136
5,51610814,30836,141
5,48000366,27408,116
5,51715203,30059,136
5,57273978,33172,155
5,51070402,30274,139
5,46480192,27601,118
5,52397224,30488,138
5,54147702,32371,145
5,52634899,31096,144
5,52940461,30976,139
5,52190257,30547,137
5,25290168,17026,65
5,50317086,29193,129
5,57081237,33391,157
5,52783178,30843,141
5,53947788,31730,148
5,52253370,30313,137
5,55332943,32331,146
5,48017293,28840,128
5,57193261,33820,158
5,52016420,30624,140
5,54345152,31991,148
5,52608787,30468,137
5,31263746,18710,75
5,43341085,25763,107
5,55591864,32212,149
5,13239965,9678,37
5,11625480,9254,35
5,54091166,31717,147
5,48752439,28793,130
5,55871990,33103,154
5,49976066,29263,128
5,56159281,32562,149
5,12945438,9678,37
5,30348664,18814,76
5,50725118,29509,129
5,48567040,28322,122
5,52348260,31250,144
5,51062739,30184,133
5,66892998,33848,158
5,47647031,26559,114
5,56569939,32947,150
5,49586667,30017,136
5,50158871,30068,134
5,44152799,26440,112
5,48351032,28809,129
5,53720095,30956,142
5,53168284,31006,142
5,57462904,32145,149
5,53377796,31339,146
5,37471378,22663,95
5,56226294,32998,152
5,57579520,33558,155
5,52907288,30987,141
5,51097439,29563,131
5,49907331,29782,133
5,53001742,31015,143
5,56148006,32440,149
5,50711219,30084,136
5,54226421,32197,144
5,29079748,18019,68
