PMTREE,EUCLIDEAN,MAXSEPARETED,2,4015,109178
k,time,count,disk
5,74578424,36966,170
5,73358466,36562,167
5,72235501,36495,167
5,68318681,34711,156
5,68886753,34807,156
5,49983872,29738,131
5,67479864,36038,165
5,49495301,30159,132
5,64857709,35114,155
5,69906168,36007,164
5,73104590,35982,163
5,33519504,18708,77
5,71301267,34488,156
5,75947023,37090,171
5,76471614,37174,172
5,72952793,36095,166
5,76010927,36919,171
5,74101680,36579,168
5,70233830,34653,153
5,69409846,34096,150
5,74757189,36966,170
5,76159940,36746,168
5,49037521,28423,122
5,69997753,36360,168
5,74815929,36795,170
5,75039440,36559,168
5,71646889,35443,162
5,69939137,34523,157
5,71834571,36066,164
5,73424670,36236,167
5,70604763,34206,152
5,71998039,35639,160
5,75139961,37050,171
5,50818949,29125,126
5,68603354,35476,159
5,74188819,37050,171
5,49830568,28396,122
5,55796065,33728,153
5,45592415,27410,119
5,70078016,33822,150
5,49751223,27574,118
5,70339296,36272,166
5,74717015,36919,171
5,75878962,36766,170
5,73882432,35873,163
5,77329274,37050,171
5,76547372,36966,170
5,70892625,34411,154
5,25555165,17045,69
5,73082919,36966,170
5,71796618,35576,159
5,72507916,36766,170
5,73056151,36455,168
5,73370233,35933,164
5,74439251,35886,164
5,73342459,35586,161
5,70329052,34517,152
5,37014327,20588,84
5,74092751,36427,168
5,71650163,34524,154
5,75175709,37050,171
5,73322690,35839,165
5,71191750,35003,159
5,72297780,36134,166
5,52281197,29073,129
5,71521155,36711,169
5,72618211,36113,165
5,76757589,36898,169
5,76072924,36919,171
5,75801774,36966,170
5,24956963,16303,65
5,72686746,36198,165
5,49294525,28056,120
5,67644710,34772,157
5,74152468,37050,171
5,74174138,36375,167
5,72439273,35227,158
5,75324758,36919,171
5,71140998,34895,157
5,52282981,29860,130
5,47684978,28561,127
5,73443939,36096,164
5,73640830,36387,168
5,53838126,30309,133
5,56290609,33644,152
5,69765898,36511,169
5,73177776,36814,169
5,73870012,37050,171
5,71522963,35039,159
5,33169443,18646,73
5,54703747,31300,138
5,67754673,35556,161
5,57062968,33207,146
5,69719645,36517,167
5,75068858,36711,169
5,54169507,30034,132
5,29186778,17660,73
5,75843608,36271,168
5,75798883,36539,169
5,75062969,36279,166
5,76073504,36387,168
5,60104391,32823,145
5,69013312,35219,159
5,72143072,35116,158
5,76355999,37050,171
5,75890984,36307,167
5,72846873,34794,155
5,74250753,35999,164
5,71132669,35357,160
5,73228446,35680,162
5,76016178,36272,166
5,48611513,27467,118
5,59185069,32866,144
5,73088531,36966,170
5,47773610,27253,118
5,73592466,36918,171
5,76703951,36966,170
5,58694611,32115,141
5,71844605,35678,162
5,75682169,36643,169
5,57367964,32053,143
5,48663532,28293,122
5,72578612,35010,158
5,42330913,23549,98
5,75005369,36133,164
5,77521082,36711,169
5,71050560,34418,155
5,77471652,37090,171
5,77640014,37050,171
5,75932213,35995,164
5,72000676,34641,154
5,25253820,16818,67
5,59454147,33010,145
5,54833256,32055,142
5,50426386,29714,129
5,72120214,36408,167
5,76353190,36795,170
5,75827476,36538,169
5,77044443,36919,171
5,76800733,36455,168
5,25182114,15842,63
5,71017945,34598,156
5,25335595,16655,66
5,73447846,35964,163
5,76370793,36795,170
5,62458584,33677,151
5,55974860,32916,147
5,33223649,20494,85
5,76977203,37174,172
5,73634627,35485,161
5,73001154,35462,158
5,75585213,36711,169
5,76736354,36711,169
5,74158835,35728,163
5,61779426,33501,151
5,43403826,26125,110
5,73458248,35426,160
5,76344854,36795,170
5,75733250,36966,170
5,74230213,35389,161
5,71568871,34335,154
5,73734063,35317,160
5,75932802,36764,168
5,71530435,34094,152
5,52288331,28738,126
5,51408665,30165,130
5,52042616,30680,132
5,45904829,27592,119
5,77718670,37050,171
5,49288626,27360,117
5,69819856,35169,156
5,73530882,35749,163
5,17954955,12110,49
5,74679068,36795,170
5,76032023,36158,167
5,74304775,35552,161
5,73836930,34736,155
5,72765202,35624,162
5,76357152,37174,172
5,75409961,36015,164
5,77484903,37174,172
5,76016650,36288,166
5,75722288,36033,164
5,74716068,36116,165
5,76737362,36332,167
5,74391005,35738,164
5,71936654,34316,154
5,73905814,36387,168
5,73599809,36303,167
5,76923617,36966,170
5,76499138,36201,166
5,74066721,35522,162
5,73560175,35362,159
5,58857581,32803,147
5,70809169,36074,166
5,71110840,34218,149
5,56905068,31300,138
5,73269827,35792,163
5,74477751,36042,167
5,77203299,36898,170
5,77479795,37050,171
5,72525105,35365,161
5,77738690,36795,170
5,72565346,35127,156
5,61892585,33551,147
5,56679339,32909,146
5,49911627,29417,130
5,71296648,36387,168
5,73727633,35633,162
5,75036273,35596,159
5,75961388,36333,167
5,74930907,35669,163
5,77559654,36966,170
5,53948696,29502,128
5,49190918,29567,130
5,53402938,31493,137
5,72568223,36100,166
5,75888207,36595,167
5,74561131,35414,161
5,75453189,35696,163
5,71628795,34418,155
5,48950245,26428,107
5,70261359,34113,154
5,74936721,36539,169
5,74458289,36303,167
5,71822913,34708,158
5,69544857,34021,150
5,47486948,26736,117
5,74173402,35694,162
5,76821557,36814,169
5,77223038,36621,168
5,52992422,29083,126
5,73462061,37174,172
5,46689069,26379,112
5,73136105,36919,171
5,75815886,36511,169
5,60444753,33131,143
5,51647610,30650,137
5,67333169,34462,155
5,71904435,34909,155
5,77184685,36966,170
5,61204137,33117,150
5,69492552,35395,158
5,42922456,23988,97
5,70108499,33873,150
5,75825640,36303,167
5,73434089,35982,163
5,75849472,37050,171
5,73386302,35361,158
5,43849120,24220,98
5,75825618,36100,166
5,75140952,36337,167
5,73743533,34920,159
5,76646033,36898,170
5,75046626,35850,162
5,54494832,29977,130
5,71459546,36387,168
5,74617520,36782,170
5,76717182,36630,168
5,75881258,36387,168
5,62170608,33681,148
5,71424553,36158,167
5,75392069,36814,169
5,76373545,36643,168
5,59903009,32578,148
5,71244703,36053,163
5,75040761,37050,171
5,74736043,35748,163
5,71837440,34433,153
5,76942832,36795,170
5,69908081,33984,149
5,59892441,33220,147
5,52684056,30977,138
5,52623973,31363,141
5,69068854,34269,155
5,75522898,37090,171
5,40769354,22893,95
5,76106582,36966,170
5,76891691,36966,170
5,75929214,35681,164
