PMTREE,EUCLIDEAN,PCA,2,4015,312925
k,time,count,disk
5,73329590,35319,165
5,71076309,34456,164
5,70536235,34106,158
5,54489228,30890,140
5,50201415,30773,138
5,44407456,24618,107
5,60002772,33322,155
5,43199543,27541,119
5,55505400,31390,142
5,55122107,32578,151
5,56762070,33574,154
5,24666379,17415,71
5,55359629,30949,139
5,65714059,34172,159
5,70598917,34728,163
5,58734976,32384,148
5,67274840,34479,160
5,70572121,34647,162
5,54287133,30630,139
5,50037123,30474,135
5,70514856,35362,166
5,68847446,34312,161
5,43202100,24487,102
5,69077672,33911,159
5,68214385,34355,160
5,57935333,32877,153
5,54633336,32970,152
5,52191081,31728,143
5,53942623,32394,151
5,66272402,34106,159
5,53115674,30940,140
5,56377415,33278,152
5,68215630,35675,167
5,43997275,25501,108
5,53021446,31990,143
5,69273784,35883,168
5,40831337,23626,100
5,54953430,31238,141
5,36343345,22856,96
5,49246490,29850,131
5,33939620,21492,90
5,66338001,34300,160
5,70067596,34789,165
5,71159235,34879,167
5,59024710,33023,153
5,68204709,35328,165
5,71914534,35879,168
5,60467153,33121,153
5,21873653,15688,63
5,71839948,35373,165
5,57827975,32242,147
5,66946109,34594,162
5,70340824,34878,163
5,54905678,31210,141
5,55362122,33231,154
5,54133875,32272,148
5,52623488,31925,143
5,20996991,14628,57
5,60410379,33806,157
5,51496616,31068,141
5,65612178,33993,160
5,56023753,32176,147
5,51570057,31730,146
5,55808146,32110,147
5,52229391,31273,139
5,70576251,34610,163
5,58008834,32752,151
5,53107141,31380,146
5,66497440,35052,165
5,67818581,34110,160
5,24179106,15384,61
5,57536852,33697,157
5,35033107,21457,90
5,54692195,30916,141
5,55699005,33641,157
5,66243693,34601,162
5,53979348,31295,141
5,65101633,33856,158
5,54291078,31063,140
5,41326925,26403,115
5,37914559,23221,99
5,45740165,28413,124
5,55743110,33641,157
5,42824179,26715,116
5,52198867,29690,132
5,57754126,33602,156
5,70035720,34157,160
5,70175102,34665,161
5,56740741,31691,144
5,52291748,31015,139
5,46572355,27195,118
5,53986800,32912,151
5,51496429,31596,141
5,54856295,32744,153
5,67165254,35245,165
5,45417125,26602,117
5,17207687,12069,49
5,53368940,31064,143
5,50599162,31263,145
5,55086936,33144,152
5,66725688,34213,158
5,46885400,26715,118
5,50724010,30380,139
5,53728676,31531,143
5,68287826,34879,164
5,59016868,32954,152
5,53060115,31338,144
5,53316861,30902,142
5,49240042,29287,133
5,57992176,32192,148
5,55967476,33129,151
5,36840185,22236,94
5,38093437,21875,89
5,71490060,35320,166
5,42269014,22994,97
5,71427122,34601,162
5,73758791,35334,167
5,47089344,26895,117
5,53035954,31590,144
5,67985655,34444,161
5,51772434,29020,131
5,38354473,24017,101
5,51167140,30956,139
5,34059036,20738,86
5,62640048,33380,153
5,54387432,32137,150
5,52672532,31145,138
5,67049368,34121,159
5,69274672,34516,163
5,59783318,33800,157
5,55100957,32183,146
5,22352866,15384,61
5,52527941,28815,129
5,55993159,30180,133
5,45186238,26963,117
5,60780970,33397,155
5,58357401,33806,158
5,66347224,33898,159
5,71310201,34837,164
5,72033603,34176,159
5,22619649,15001,58
5,56143398,31660,144
5,22123931,15262,60
5,58746040,32123,146
5,57598200,33228,153
5,51915603,30726,139
5,49187949,29449,135
5,29411069,18529,75
5,72143021,34971,163
5,57611978,32074,145
5,55161056,32347,146
5,69066456,34916,163
5,70016818,34699,163
5,60698002,33548,157
5,51073366,30219,133
5,34834371,21817,90
5,59728539,32184,148
5,69086945,35037,163
5,68943148,33879,159
5,60145598,32430,145
5,55051906,31657,143
5,54137885,31816,144
5,68379185,34728,163
5,52922066,30035,135
5,38289004,23032,97
5,44903720,25948,112
5,47742169,25870,115
5,42531856,23582,100
5,72932577,35205,166
5,43844017,24302,103
5,60378901,32574,147
5,50556539,30118,136
5,20053589,13446,55
5,60129948,32704,153
5,57285431,33692,157
5,49594349,29544,135
5,56237250,31083,141
5,55185554,32271,147
5,68464270,34881,166
5,70551096,34077,158
5,74540992,35139,166
5,71785784,34368,162
5,61715332,33835,156
5,51870727,30736,143
5,56983170,31569,143
5,65691502,33859,156
5,55301729,31266,141
5,55483229,31698,148
5,67027271,34040,158
5,73138846,35582,167
5,60691039,33297,155
5,53738311,31523,143
5,50623137,30352,136
5,50988078,29611,134
5,61197746,33615,157
5,33155783,20303,83
5,48736726,27033,117
5,59145223,32170,148
5,57036702,32866,152
5,67346515,34326,160
5,59493398,33062,155
5,55160641,32350,147
5,57546309,33790,158
5,54242261,31507,142
5,52992484,29115,131
5,48287372,28770,129
5,54792898,29900,132
5,56903880,33012,153
5,54500592,32129,145
5,54985582,31767,144
5,60414158,33267,153
5,55287641,32114,146
5,69157537,34980,166
5,42805820,23884,103
5,45449235,25453,109
5,50133792,27559,121
5,68550275,34113,159
5,70314643,34498,160
5,59579022,33090,152
5,55091352,32719,150
5,52698272,31229,139
5,33992524,20637,86
5,56369703,31040,142
5,67578328,34622,160
5,69743137,34017,158
5,58320852,32320,147
5,50948433,29573,130
5,43072396,24211,101
5,56053498,31394,141
5,67702873,34651,161
5,70334891,34512,161
5,43875182,24861,107
5,71067331,34427,162
5,38930881,21958,93
5,70305733,34078,160
5,70736427,34249,161
5,52833345,29753,133
5,46498859,27727,123
5,60641362,32656,147
5,53594711,31609,142
5,67708253,34916,167
5,53038301,30140,137
5,56524449,32929,149
5,31461885,19111,81
5,55864472,30587,137
5,66928421,34278,159
5,57460772,31921,146
5,68103319,34491,162
5,56826346,31771,145
5,35184863,19111,81
5,70350408,33861,158
5,58911081,32701,151
5,54353843,32203,148
5,66614098,34699,163
5,56647500,32351,148
5,43307856,25986,112
5,58621349,33613,159
5,71453270,33906,158
5,73068261,34937,166
5,62642339,33821,158
5,46450111,27987,124
5,71843380,34439,161
5,71427119,34728,163
5,70700887,34272,160
5,50217749,27840,125
5,56302519,33126,152
5,68300487,34787,165
5,57626262,32668,152
5,52873333,30707,138
5,67803965,34491,162
5,35308163,20641,84
5,53874348,30058,135
5,46842353,28204,126
5,49451634,27228,121
