PMTREE,EUCLIDEAN,RANDOM,2,4015,93234
k,time,count,disk
5,73998971,35034,165
5,73011945,34301,160
5,72837610,34003,155
5,57727736,31316,139
5,24294976,15764,63
5,49198653,27556,120
5,67596442,34088,157
5,48093624,27093,119
5,61314978,32171,144
5,66801677,34226,158
5,61461378,33470,152
5,25545340,17407,75
5,56273427,30721,138
5,69761827,34722,163
5,72409796,35312,166
5,62290483,33670,154
5,68942643,34496,161
5,72009257,34508,161
5,58223092,31269,138
5,52196377,31031,136
5,69425466,34864,163
5,53850435,29326,129
5,40954195,25084,110
5,56475152,32682,148
5,68529758,34447,161
5,71600229,34031,157
5,62122590,33787,156
5,58080863,33358,153
5,62335634,33461,154
5,67545796,33992,158
5,54625762,30514,136
5,56559072,32552,146
5,71073215,35311,166
5,43960890,25105,111
5,60961247,32875,150
5,70445399,35291,165
5,40355896,22630,100
5,56630071,30520,139
5,37767476,23017,100
5,50673922,29423,130
5,37783556,22783,98
5,68504784,34298,158
5,60983006,33643,155
5,70652839,34904,163
5,59836987,33440,151
5,69219305,34841,162
5,73211293,35311,165
5,62122335,33691,155
5,22046663,14950,64
5,75012969,35470,168
5,60566869,33346,150
5,69110816,34725,161
5,72137952,34564,161
5,61611954,32980,149
5,39594403,24106,101
5,61500536,32998,149
5,57991767,32791,148
5,28578797,17881,71
5,71863172,34126,157
5,58426306,31595,142
5,70135802,34564,161
5,60349037,32849,151
5,55635497,32287,147
5,57324832,33202,152
5,55674582,32073,143
5,53256372,30772,138
5,56670108,33076,151
5,66717899,33876,157
5,72040994,34678,162
5,74820746,35208,165
5,21487514,13986,59
5,57199932,31932,141
5,38149853,23060,93
5,55065330,31451,140
5,70591295,34445,160
5,71574946,34170,158
5,56059779,30844,139
5,58919504,33221,151
5,53251155,30805,137
5,44422531,26241,116
5,38136986,20974,89
5,70959925,33850,155
5,72963995,34741,163
5,49528328,27342,121
5,55291883,30111,135
5,67366403,34116,158
5,70789817,34407,159
5,71359825,34496,161
5,57912497,31689,143
5,54406782,31668,141
5,51352615,27867,123
5,58031068,33220,151
5,51948714,30568,135
5,45285872,26953,116
5,73526106,35215,165
5,49282956,26781,115
5,11683158,8903,34
5,61961727,33518,155
5,68174058,34254,159
5,70479397,34428,159
5,70164170,34296,159
5,49952293,28296,125
5,55583528,32435,144
5,55122321,31723,146
5,71156470,34592,162
5,69337797,33866,157
5,58994304,31999,143
5,56345990,32719,150
5,53870089,31665,143
5,59070320,33468,151
5,57694820,33252,152
5,35888274,22065,95
5,55019288,29611,131
5,70024340,34999,164
5,43075445,24433,99
5,73912048,34755,162
5,72950755,34999,164
5,52618881,27898,122
5,56190307,32710,149
5,67277810,34312,160
5,52087141,28903,126
5,40776187,24990,110
5,52959980,30798,138
5,36799251,22336,91
5,61297421,33300,153
5,68811263,34645,162
5,57708482,31469,141
5,71130893,34496,161
5,72262006,34619,162
5,72322083,34015,155
5,60368033,32837,147
5,21979822,14827,63
5,54768425,29777,129
5,49518218,28794,124
5,49599871,26518,116
5,61798412,33795,156
5,67602758,34221,159
5,70614242,34611,160
5,72566960,34722,163
5,72205007,34420,159
5,20262463,13986,59
5,55258693,31228,139
5,20998673,14343,60
5,60411600,32794,149
5,67664720,34221,159
5,53678013,29684,133
5,51464862,29854,134
5,33649691,17787,77
5,74641068,35017,164
5,60770135,32114,144
5,55547696,31958,143
