PMTREE,EUCLIDEAN,SELECTION,2,4015,60656
k,time,count,disk
5,70272762,33879,145
5,72631304,35990,154
5,69290608,35690,152
5,67636540,34744,148
5,66573778,33935,144
5,50437145,30053,126
5,67450600,35752,153
5,51220509,30620,128
5,65951838,35124,150
5,68918526,35644,153
5,40344230,24145,101
5,32781448,20382,82
5,67124621,34718,147
5,70212636,34726,148
5,72606104,36157,155
5,70509022,35406,152
5,70641416,35685,153
5,68101407,33879,145
5,68890287,34757,148
5,68697138,34270,146
5,71611016,34726,148
5,72163739,35990,154
5,50864465,29169,120
5,69245960,35406,152
5,71193233,35752,153
5,71753674,35752,153
5,71019082,35406,152
5,71118141,35485,152
5,71650220,35406,152
5,71313284,35406,152
5,56541067,32047,136
5,36384607,22203,90
5,71365737,36496,156
5,50609323,28894,119
5,68786870,35045,150
5,70795262,35990,154
5,47012352,26932,112
5,55133270,32060,136
5,45480351,27935,115
5,55697257,32692,138
5,44516720,27452,113
5,66798399,34582,148
5,71411885,35752,153
5,73155046,36211,156
5,71326794,35326,151
5,72118734,35752,153
5,72718640,35990,154
5,40613822,23271,96
5,29728361,18931,74
5,67717403,34783,148
5,70568297,35326,151
5,71795149,35928,153
5,68371803,34189,146
5,68946706,34392,147
5,71506146,35928,153
5,71402925,35344,151
5,70957697,35626,153
5,39311688,22774,90
5,68785152,35344,151
5,68769139,34684,148
5,70797735,35990,154
5,72161724,35406,152
5,58035130,33662,144
5,68235240,35406,152
5,48281664,28327,121
5,70276852,35990,154
5,71578212,35406,152
5,69561692,34726,148
5,71992557,36157,155
5,70998207,35752,153
5,31668851,18677,73
5,70074425,35809,153
5,47967950,27779,113
5,67354666,34744,148
5,71150620,35752,153
5,70908381,35465,152
5,69196641,34678,148
5,72390273,35752,153
5,68473688,34413,147
5,52844979,29801,123
5,48718885,29517,120
5,56434088,33605,144
5,69489323,35990,154
5,54364778,30887,129
5,64665620,33766,144
5,72001726,35752,153
5,72553323,35990,154
5,59173086,33641,144
5,66945203,34728,147
5,71110341,35073,150
5,51163682,29971,125
5,68197477,35752,153
5,46908720,27144,115
5,68660663,35156,150
5,71363243,36211,156
5,48799880,28816,120
5,28650326,17596,67
5,68032585,35406,152
5,59176823,33605,144
5,71478537,36211,156
5,73025509,35573,153
5,56201425,31349,132
5,59380959,33620,143
5,69412316,35326,151
5,73237324,35685,153
5,72784719,35752,153
5,71007573,35045,150
5,71523426,35326,151
5,70150547,34172,146
5,72482318,35406,152
5,70358050,34380,147
5,48848300,27541,112
