PMTREE,EUCLIDEAN,SSS,2,4015,312852
k,time,count,disk
5,73081544,34689,163
5,61741401,33098,152
5,57277610,32950,151
5,53890432,30799,139
5,48331472,28247,125
5,42485543,25393,105
5,56481542,32160,147
5,42953519,25804,108
5,52898404,31024,140
5,58605960,33641,155
5,54196706,31943,148
5,24130628,15955,61
5,49743952,29348,133
5,58563955,33368,155
5,69464829,34301,160
5,59597194,32794,151
5,69900435,34610,160
5,72436496,34729,162
5,53894570,29949,131
5,49324802,29183,126
5,69938248,34749,163
5,62186646,33475,154
5,37333111,23316,96
5,58909014,33513,157
5,69026912,34401,160
5,60939524,33200,154
5,57817264,32801,153
5,52938943,30886,138
5,57262972,32814,148
5,58105120,33734,157
5,51857840,30126,133
5,54214235,31174,142
5,69784607,35339,165
5,41491122,23363,97
5,54685490,31346,142
5,69671462,34857,161
5,37985851,21842,89
5,50544090,29630,132
5,35967779,21696,88
5,45833071,27350,118
5,35090494,21241,86
5,57635308,33013,153
5,68737595,34283,161
5,72678674,34755,162
5,58335812,32074,145
5,72156031,35543,165
5,71898704,34824,162
5,61077436,33188,153
5,18888914,13308,50
5,69620641,34757,162
5,50481691,28405,123
5,57606032,33420,154
5,67623524,34002,158
5,58117457,32397,148
5,56283330,32613,148
5,57950165,32746,148
5,51427596,30270,136
5,20222940,13647,52
5,54493156,31995,149
5,53033800,31024,138
5,70370263,35076,164
5,60686743,32984,151
5,51316535,30436,141
5,58103494,33039,153
5,51324231,29933,137
5,68833378,34477,159
5,60263361,33099,154
5,57975953,33109,153
5,70543030,35342,165
5,71225562,34477,159
5,18643597,12403,46
5,58071240,32504,148
5,34242259,20351,81
5,52431591,30768,138
5,68480750,34544,162
5,61087228,33599,157
5,53097979,30894,141
5,70810573,35311,164
5,55491068,30790,136
5,40790729,24392,102
5,36245199,21640,89
5,58068720,33328,155
5,69078420,34467,161
5,45693646,25771,108
5,49420517,28548,125
5,58700858,33531,156
5,59135577,33523,156
5,58940335,33694,157
5,51416994,30135,137
5,52057955,29822,129
5,42609019,25780,107
5,56266957,31748,147
5,50404572,29158,130
5,55621211,32370,147
5,71332574,35168,164
5,41210226,23893,100
5,15014615,10489,37
5,58818378,33811,158
5,57735185,33399,155
5,58288276,33629,156
5,59360482,33432,155
5,45910653,27103,115
5,55109227,32062,147
5,52857051,30150,137
5,70453170,34703,162
5,61364020,33813,155
5,53375462,31006,139
5,56656309,33051,151
5,54870263,32244,145
5,55873904,32002,146
5,58004917,32977,150
5,32706696,20509,83
5,47424607,28059,120
5,68538876,34213,161
5,37842713,21891,87
5,57571496,33278,155
5,69181287,34451,162
5,45547160,25761,108
5,57382282,33326,153
5,67575200,33865,158
5,49502746,27513,117
5,36537691,22686,92
5,52236588,29965,133
5,36128169,22458,88
5,57074462,32972,151
5,69102265,34498,158
5,53829495,29930,133
5,58112059,33650,153
5,68964128,34479,162
5,59402870,32489,149
5,52869791,30886,139
5,20062976,13308,50
5,45499379,27688,118
5,44204666,25497,105
5,39934673,24300,102
5,58549003,33715,158
5,68074730,34336,159
5,60972444,33220,155
