VPTREE,EUCLIDEAN,CONVEX,1,4015,432881
k,time,count,disk
5,25218889,26920,95
5,26837390,26923,95
5,41668441,33718,119
5,20783094,18994,67
5,27001914,26358,93
5,2967043,2843,10
5,31653691,32585,115
5,17255455,18447,65
5,26294885,30888,109
5,13603549,16434,58
5,20416303,22671,80
5,2402175,2557,9
5,25787070,28912,102
5,23505991,27200,96
5,36814063,33998,120
5,31615415,32867,116
5,25400935,30601,108
5,24765578,29750,105
5,27004583,32589,115
5,11772457,12197,43
5,21857843,25501,90
5,20954255,23808,84
5,11436689,14199,50
5,35996841,33150,117
5,27741595,30031,106
5,24699521,30037,106
5,22556981,26071,92
5,18231642,19558,69
5,16830621,18146,64
5,36360794,33432,118
5,21374498,20981,74
5,20267627,22109,78
5,37728493,34847,123
5,8801414,9375,33
5,23847503,24089,85
5,25482442,28333,100
5,11930931,13350,47
5,21260251,22114,78
5,6621326,7956,28
5,25226446,27222,96
5,6414312,6822,24
5,23370842,24652,87
5,27509090,31735,112
5,40148490,35696,126
5,14912182,16150,57
5,40866648,34280,121
5,31614461,32865,116
5,21696039,22672,80
5,312065,289,1
5,23397218,26069,92
5,13125677,14450,51
5,28037384,31732,112
5,25248358,28050,99
5,23255749,24938,88
5,21177161,20979,74
5,28600130,32872,116
5,24206143,26362,93
5,5443864,6250,22
5,27975171,32015,113
5,27753424,31177,110
5,37663312,33433,118
5,28311579,29188,103
5,25755442,29195,103
5,23268089,24933,88
5,21059397,21830,77
5,10690280,11618,41
5,27325383,31168,110
5,10544285,11340,40
5,42855496,35979,127
5,31283675,29750,105
5,346174,289,1
5,21183264,22673,80
5,9674986,10228,36
5,19245659,19278,68
5,37767238,33431,118
5,40504815,33714,119
5,22498940,20978,74
5,22411660,24090,85
5,28040966,31175,110
5,17868700,17311,61
5,6528120,7674,27
5,4745127,5113,18
5,38353971,34565,122
5,8597643,9088,32
5,25735549,26086,92
5,42301738,34847,123
5,23784846,21539,76
5,27059978,30031,106
5,19037079,19280,68
5,13714002,15020,53
5,14902509,16453,58
5,12012946,12758,45
5,21529854,20982,74
5,17651458,16724,59
5,42453532,33997,120
5,14739986,15038,53
5,6220767,6821,24
5,44185550,34283,121
5,30135020,28339,100
5,24663194,25217,89
5,30255145,30599,108
5,13296371,13624,48
5,5958915,5963,21
5,28677483,28063,99
5,28582947,28332,100
5,28741638,29184,103
5,23033861,21543,76
5,25723841,24376,86
5,19683916,17292,61
5,45482120,35132,124
5,31455858,27201,96
5,10663388,10504,37
5,11618273,11352,40
5,23886489,22386,79
5,9762460,9090,32
5,45529478,35413,125
5,30277863,26918,95
5,11679147,11071,39
5,26858763,25505,90
5,32753282,31734,112
5,21613232,19290,68
5,7739253,7955,28
5,29483479,28626,101
5,6784867,6820,24
5,30370850,28615,101
5,25113258,23239,82
5,19364659,17296,61
5,23238496,21536,76
5,45674523,35979,127
5,28939578,25227,89
5,22026149,20406,72
5,308119,289,1
5,23755688,22399,79
5,19527611,18445,65
5,16372611,16178,57
5,29631748,28905,102
5,32464255,31167,110
5,44683427,34281,121
5,34057365,30598,108
5,23990559,22960,81
5,310409,289,1
5,30797619,29478,104
5,309657,289,1
5,28602020,28057,99
5,29916464,29184,103
5,25640761,23812,84
5,24200708,22680,80
5,4808708,4829,17
5,43435785,33997,120
5,32154259,28626,101
5,22324223,20695,73
5,25675241,24369,86
5,31278356,30602,108
5,32643019,30885,109
5,23036091,20983,74
5,7408508,7673,27
5,25822089,24374,86
5,31541742,30601,108
5,26052606,24654,87
5,30617805,30327,107
5,26217923,24374,86
5,25232050,23241,82
5,19271507,17848,63
5,19766987,17580,62
5,12702170,13058,46
5,23319110,21563,76
5,15235542,14766,52
5,15597266,15607,55
5,30046138,28617,101
5,1337784,1430,5
5,18568620,16727,59
5,23243452,21538,76
5,2299425,2281,8
5,31589412,30603,108
5,44411884,34847,123
5,25977080,21824,77
5,28007319,26643,94
5,20713237,18427,65
5,45262462,35130,124
5,30670485,26351,93
5,44792580,35130,124
5,33987840,30602,108
5,25841941,23522,83
5,28883526,27206,96
5,20747400,18988,67
5,29728079,27767,98
5,26705538,24660,87
5,31641814,32303,114
5,27175950,25217,89
5,32258340,31166,110
5,44552759,34848,123
5,30886314,26638,94
5,14018753,13900,49
5,24461326,22682,80
5,25248706,23524,83
5,3769085,3978,14
5,19705276,17586,62
5,12742559,12194,43
5,45097449,34850,123
5,30469110,26351,93
5,28933798,27492,97
5,31563834,30605,108
5,33131414,32583,115
5,32086805,30324,107
5,26724921,24664,87
5,23179849,22403,79
5,23794582,21832,77
5,25855992,24650,87
5,28916176,28342,100
5,28956912,27771,98
5,31188292,30318,107
5,29931035,28624,101
5,20039684,18138,64
5,14433809,14773,52
5,18447031,16750,59
5,23078485,21275,75
5,31899256,30604,108
5,25326248,23520,83
5,27731305,27213,96
5,23638311,21829,77
5,16648067,16164,57
5,838794,860,3
5,26710711,24948,88
5,45392732,35697,126
5,35525294,31733,112
5,9649926,9076,32
5,16494016,16450,58
5,12092191,11934,42
5,32684908,32020,113
5,31737675,31732,112
5,44195918,34281,121
5,21490437,16741,59
5,45503023,34847,123
5,12001234,11355,40
5,45445839,33431,118
5,48272952,35696,126
5,23577565,19570,69
5,10611999,10223,36
5,25881192,23532,83
5,22381294,20408,72
5,14071567,13888,49
5,24390316,22401,79
5,27235640,25511,90
5,1624630,1715,6
5,20830573,18713,66
5,28982660,28338,100
5,28456670,27769,98
5,26574726,24934,88
5,42088956,33437,118
5,884961,860,3
5,26843916,22677,80
5,25353822,23521,83
5,7953482,8232,29
5,33257667,32585,115
5,26394346,24941,88
5,15247706,15610,55
5,21613836,20128,71
5,43476808,34849,123
5,45188266,33432,118
5,36512521,32867,116
5,19862452,18158,64
5,29533549,27767,98
5,29434693,28619,101
5,29121642,28621,101
5,24058809,22122,78
5,29363698,28051,99
5,46038709,35979,127
5,26968429,22960,81
5,23935340,22400,79
5,32848623,31449,111
5,13221902,12769,45
5,20998883,19282,68
5,12347019,12209,43
5,19557691,17587,62
5,24219490,22392,79
5,26851221,26068,92
5,6565351,6542,23
5,20900103,18986,67
5,13147828,12755,45
5,43737628,33717,119
5,31208443,26369,93
5,27302257,25506,90
5,26137977,24092,85
5,19075906,17586,62
5,23185713,21264,75
5,11831108,10784,38
5,13976173,13605,48
5,16028392,16173,57
5,27637185,25804,91
5,33618774,32022,113
5,21079021,19011,67
5,12522080,11914,42
5,26132319,24667,87
5,31140497,30040,106
5,24804028,23530,83
5,31052830,29757,105
5,20155076,18131,64
5,32605513,31449,111
5,23083112,21260,75
5,2754317,2838,10
5,32512098,31454,111
5,33437099,32584,115
5,43629866,33717,119
5,26757025,22114,78
5,33427906,32016,113
5,28592872,27202,96
5,1336838,1422,5
5,33682685,32870,116
5,27779686,25783,91
5,28527906,27206,96
5,26049024,24655,87
5,22898793,20694,73
5,21283280,19858,70
5,27004553,25789,91
5,45636298,35697,126
5,29455866,25512,90
5,24884592,23255,82
5,33248752,32306,114
5,26690272,25509,90
5,45244295,35413,125
5,29847127,25789,91
5,25269171,23809,84
5,9591505,9374,33
5,29240282,27493,97
5,46548242,35979,127
5,21298615,17000,60
5,43705173,33149,117
5,23143744,18996,67
5,31718024,30319,107
5,27107927,25516,90
5,32547006,31736,112
5,24034497,22107,78
5,29179049,28052,99
5,30671248,30034,106
5,628025,577,2
5,5525519,5683,20
5,28157807,26920,95
5,317047,289,1
5,241249,289,1
5,43963724,33999,120
5,28091739,24085,85
5,30298553,28615,101
5,21381847,18997,67
5,33022550,31168,110
5,317083,289,1
5,3263085,3419,12
5,23606182,21547,76
5,26778471,26085,92
5,27683695,25784,91
5,28548910,26638,94
5,32675232,32300,114
5,16077186,16457,58
5,19969622,17571,62
5,27955482,26640,94
5,16140745,16152,57
5,20780132,18722,66
5,22113882,20121,71
5,29374629,27766,98
5,31612854,30608,108
5,27057621,25503,90
5,32177649,32019,113
5,20882835,19291,68
5,32880939,32299,114
5,29582633,29181,103
5,27822800,26353,93
5,26948312,25224,89
5,30045310,28064,99
5,45007360,35130,124
5,33118376,29466,104
5,24653327,23816,84
5,28305986,27491,97
5,1631485,1717,6
5,23161686,21281,75
5,29167544,27201,96
5,32637349,30882,109
5,15871550,16150,57
5,26187143,25791,91
5,19394123,17282,61
5,15064836,15035,53
5,43828472,33997,120
5,28820624,24953,88
5,11473719,11083,39
5,33788852,32583,115
5,44188788,35130,124
5,13665443,13057,46
5,29404492,26072,92
5,43650675,33715,119
5,47890636,35413,125
5,47496756,35132,124
5,9625824,8505,30
5,32069365,28063,99
5,45156518,34566,122
5,15802750,15033,53
5,12646357,12754,45
5,10668374,9932,35
5,33144828,30041,106
5,19173589,17316,61
5,31732315,30601,108
5,24619400,22960,81
5,29279660,27772,98
5,32091899,31167,110
5,44273862,34282,121
5,32290877,28342,100
5,24920662,22676,80
5,27106878,25504,90
5,14645190,14735,52
5,28032854,26349,93
5,25076728,23519,83
5,33346277,32019,113
5,23909640,21821,77
5,26052227,24661,87
