VPTREE,EUCLIDEAN,FFT,1,4015,83386
k,time,count,disk
5,23165425,26922,95
5,27284348,31732,112
5,27140758,31452,111
5,19083530,19282,68
5,4952500,6236,22
5,8787412,9658,34
5,21850569,24945,88
5,20196031,20975,74
5,23192502,25224,89
5,9095664,10207,36
5,22280948,25510,90
5,2224049,2568,9
5,2334676,2837,10
5,26453090,31448,111
5,9168575,9066,32
5,22766622,25504,90
5,8229851,9066,32
5,25629117,31731,112
5,23431076,30605,108
5,19335244,24094,85
5,22454826,29472,104
5,19096074,23809,84
5,15197552,18150,64
5,33636489,33998,120
5,23943723,27482,97
5,20322095,26357,93
5,21940635,28337,100
5,18540023,22685,80
5,16001942,19280,68
5,24382610,32300,114
5,18284234,22678,80
5,20929860,26642,94
5,24697700,32581,115
5,11536453,15327,54
5,21529154,28053,99
5,20328465,26349,93
5,16418811,20138,71
5,22813877,29758,105
5,10023725,12772,45
5,18626241,23527,83
5,9537523,11928,42
5,33145033,33149,117
5,17196996,18131,64
5,35759691,35696,126
5,11255458,13322,47
5,40157049,35695,126
5,37532935,33430,118
5,23403649,25221,89
5,1087084,1137,4
5,22421911,27487,97
5,9103449,10774,38
5,24033348,30315,107
5,25240892,31447,111
5,23183605,28621,101
5,21578119,26076,92
5,21381817,25506,90
5,23971698,29190,103
5,3694114,4266,15
5,33985446,34564,122
5,22746022,25790,91
5,24174001,32297,114
5,5664049,7368,26
5,24288283,32302,114
5,21022414,26924,95
5,22387256,28907,102
5,14160761,16723,59
5,19646414,25221,89
5,11722859,15598,55
5,34617726,35695,126
5,22356276,25221,89
5,753071,855,3
5,19334687,24661,87
5,10864990,14193,50
5,16163585,19848,70
5,23088021,30034,106
5,23312604,30601,108
5,17536075,21259,75
5,5629022,7651,27
5,21849137,28058,99
5,18169028,22401,79
5,8949177,10792,38
5,9359707,12196,43
5,23601012,31168,110
5,14888371,17301,61
5,22318706,28907,102
5,7273750,8500,30
5,20116666,24948,88
5,25750074,31731,112
5,15508956,18148,64
5,7458149,8795,31
5,16727413,20134,71
5,16278569,19564,69
5,23508422,28625,101
5,16198271,19565,69
5,35996998,35412,125
5,23329384,25230,89
5,585899,573,2
5,24836462,31448,111
5,21337443,25505,90
5,24351884,30883,109
5,34699282,33713,119
5,20640904,21547,76
5,2602470,3126,11
5,20787596,24944,88
5,34410099,33430,118
5,23986230,26921,95
5,20267202,24942,88
5,19389809,23810,84
5,17799898,21263,75
5,35169764,35131,124
5,24443605,27772,98
5,9728303,12209,43
5,17253254,21261,75
5,20402033,26074,92
5,9838652,12496,44
5,37382694,35695,126
5,27061114,30033,106
5,15282124,17587,62
5,21206843,25792,91
5,21983024,26636,94
5,18382961,21544,76
5,12210296,14474,51
5,22825529,26638,94
5,5454233,6536,23
5,26333803,30883,109
5,19857405,22392,79
5,19901458,22672,80
5,12918522,15866,56
5,26047721,30880,109
5,21390513,24379,86
5,20575094,23247,82
5,1114919,1137,4
5,20674978,22115,78
5,23502437,25232,89
5,21779676,22966,81
5,24126722,26073,92
5,24386249,26917,95
5,8390963,9066,32
5,26963403,30599,108
5,24082584,26071,92
5,791958,855,3
5,29095754,31740,112
5,823949,855,3
5,23132139,24942,88
5,26708151,29753,105
5,25699326,28340,100
5,27069141,29759,105
5,4294494,4552,16
5,29097250,31731,112
5,24665882,26355,93
5,24193090,25223,89
5,26148891,28055,99
5,23695110,24940,88
5,28433204,30324,107
5,25161425,26641,94
5,8261187,8521,30
5,25335579,27489,97
5,29760023,32301,114
5,25259030,27206,96
5,30254403,32305,114
5,28806587,30605,108
5,30156165,32307,114
5,13094839,14735,52
5,17276398,17301,61
5,13864745,15608,55
5,19376895,19850,70
5,18387551,19003,67
5,3954154,4257,15
5,25548656,27200,96
5,3234388,3707,13
5,28046168,31174,110
5,11610480,13605,48
5,4509747,5119,18
5,12793813,15301,54
5,25918466,30035,106
5,19391099,20976,74
5,19052451,20979,74
5,18373461,19842,70
5,40796920,35978,127
5,42663714,34563,122
5,29575605,29465,104
5,23602380,24944,88
5,26462607,28340,100
5,23766607,25787,91
5,6062352,7368,26
5,29617812,32018,113
5,29913714,32021,113
5,26176911,28335,100
5,29925191,32300,114
5,27532710,29754,105
5,38941139,33715,119
5,30042365,29755,105
5,13461497,15316,54
5,23298384,24942,88
5,20595734,21831,77
5,3246096,3695,13
5,21201350,22962,81
5,12920358,15035,53
5,38697537,33999,120
5,25546966,25787,91
5,25002959,27485,97
5,22904133,25225,89
5,28411585,32018,113
5,24237341,26643,94
5,21367427,23243,82
5,22803320,24097,85
5,24628431,26923,95
5,22426272,24944,88
5,23174968,25225,89
5,23610927,26639,94
5,23170696,26352,93
5,20016416,22109,78
5,22719873,25503,90
5,16873843,17880,63
5,22510628,25520,90
5,24669786,28065,99
5,38640078,34564,122
5,28501516,30035,106
5,26713313,30323,107
5,19398184,21263,75
5,16896049,17863,63
5,3291373,3706,13
5,24694866,28342,100
5,38388974,34279,121
5,29698252,31168,110
5,16661354,16731,59
5,17157852,17578,62
5,11007677,12490,44
5,23525974,25505,90
5,27132943,30033,106
5,39655333,35129,124
5,22524860,21836,77
5,28084002,30880,109
5,9085692,9935,35
5,16648353,17283,61
5,16971867,17849,63
5,16989904,17578,62
5,16954377,17023,60
5,25664534,28058,99
5,19959634,20981,74
5,21788009,23241,82
5,25937244,28057,99
5,22814512,23244,82
5,2865920,3141,11
5,22287590,22679,80
5,27400995,28904,102
5,23650188,24657,87
5,29471454,30882,109
5,29033125,31169,110
5,2868692,3142,11
5,23108302,24376,86
5,25560482,27209,96
5,19430345,19563,69
5,27488190,29466,104
5,19355067,19560,69
5,21586634,22683,80
5,19013448,20129,71
5,38537336,33146,117
5,42356441,33430,118
5,32124368,32016,113
5,21244055,22110,78
5,27145276,28615,101
5,23069090,24659,87
5,25972539,27209,96
5,23492624,24377,86
5,25460644,27205,96
5,29257948,31446,111
5,22308073,23530,83
5,22142109,22957,81
5,25026470,26637,94
5,21152965,21826,77
5,24752788,26077,92
5,18822641,19007,67
5,22852260,24097,85
5,22913503,24091,85
5,8316721,9066,32
5,4927910,5687,20
5,26392552,27766,98
5,20486923,20977,74
5,28503830,29755,105
5,39961455,33155,117
5,27818220,26357,93
5,26391455,27489,97
5,25219625,26085,92
5,21532542,22109,78
5,24544167,25232,89
5,19142304,19276,68
5,23522612,24107,85
5,2135371,2269,8
5,26552301,27492,97
5,20831584,20979,74
5,18840126,18711,66
5,25362499,26923,95
5,23064994,23525,83
5,28630593,30041,106
5,23648465,24372,86
5,19670823,19834,70
5,39926316,33150,117
5,21585047,19282,68
5,2377120,2568,9
5,27415452,28335,100
5,26653317,27493,97
5,29323491,30601,108
5,27314836,28342,100
5,27182888,28337,100
5,4301561,4534,16
5,1147642,1137,4
5,28332477,30040,106
5,39888600,33714,119
5,30268588,28620,101
5,25324543,26638,94
5,24433826,24939,88
5,23282086,23813,84
5,21965361,22674,80
5,29783803,30882,109
5,21045436,21545,76
5,24014282,24665,87
5,25178770,26070,92
5,22887252,23526,83
5,8308079,8784,31
