VPTREE,EUCLIDEAN,GNAT,1,4015,148414
k,time,count,disk
5,29074751,26918,95
5,32958480,29185,103
5,33449964,29470,104
5,25625654,21259,75
5,33057979,28343,100
5,5377821,5395,19
5,29715771,25507,90
5,24748078,19578,69
5,30740561,26076,92
5,27613372,22953,81
5,10510071,9352,33
5,2448849,2575,9
5,32417981,29193,103
5,33284589,30033,106
5,45718575,34281,121
5,31229349,28054,99
5,32802439,27482,97
5,23764902,17848,63
5,33141158,28906,102
5,15218882,13048,46
5,30966911,27766,98
5,33375019,27772,98
5,17206656,15335,54
5,33810443,32018,113
5,36451051,32297,114
5,30751483,25219,89
5,14684546,13034,46
5,27787198,23249,82
5,17009199,15594,55
5,31690712,30030,106
5,29105559,22961,81
5,26133312,21537,76
5,47996074,35978,127
5,10657682,9938,35
5,15574357,16151,57
5,32945092,30599,108
5,16481040,14767,52
5,7270492,7654,27
5,4712434,4825,17
5,25727064,21834,77
5,6668894,6824,24
5,13973753,13033,46
5,33648548,31735,112
5,43690899,35129,124
5,15628477,15308,54
5,32714151,30031,106
5,30862420,30596,108
5,9402430,9069,32
5,749234,863,3
5,26354841,26064,92
5,12840443,12756,45
5,31849912,32016,113
5,31421980,32867,116
5,14612355,15301,54
5,26343405,26078,92
5,28755658,28339,100
5,27245232,26925,95
5,5060736,5119,18
5,31632283,32868,116
5,26984727,26643,94
5,31456554,32581,115
5,22838844,22389,79
5,26573297,26925,95
5,25360879,25506,90
5,10933163,11052,39
5,24644463,24084,85
5,25773279,25503,90
5,18961304,17294,61
5,43503133,35696,126
5,30323845,28332,100
5,592375,577,2
5,20993710,19562,69
5,10818601,10516,37
5,22486180,22110,78
5,29932587,30317,107
5,30234477,29748,105
5,19465630,17867,63
5,25788840,25220,89
5,31592850,32588,115
5,13765945,14189,50
5,9631026,9371,33
5,4481582,4261,15
5,28807761,29183,103
5,7508787,8229,29
5,27475222,28340,100
5,31645913,32866,116
5,25583657,25221,89
5,29464116,30313,107
5,21276123,20411,72
5,23528638,22392,79
5,12687125,12765,45
5,22382429,20974,74
5,7532417,7937,28
5,18314925,16733,59
5,43938114,35696,126
5,4491709,4258,15
5,3143540,3418,12
5,33108595,31733,112
5,24930931,24652,87
5,28887725,29468,104
5,42632333,35412,125
5,15397315,16445,58
5,7737345,7948,28
5,29660584,27495,97
5,42373204,35130,124
5,28953833,26352,93
5,21426992,20129,71
5,19748702,18142,64
5,9052040,8787,31
5,42331291,33434,118
5,12920619,12751,45
5,6844617,7109,25
5,14978919,15313,54
5,29151207,26353,93
5,10548407,10233,36
5,31458776,30599,108
5,29703704,29465,104
5,13560836,13621,48
5,12895182,12753,45
5,30824506,30598,108
5,21255066,19568,69
5,4560998,4541,16
5,26713448,25790,91
5,6731172,6816,24
5,18727283,17282,61
5,24814379,23238,82
5,12722112,12191,43
5,25774395,24939,88
5,44281939,35696,126
5,25326565,21828,77
5,21987772,20135,71
5,812946,859,3
5,20781754,18714,66
5,20377816,18720,66
5,15500024,15606,55
5,25995080,24652,87
5,28187333,26350,93
5,44985580,34848,123
5,46334290,34562,122
5,25880756,22388,79
5,322251,289,1
5,42783081,33436,118
5,646265,577,2
5,27241585,23804,84
5,27857499,26633,94
5,25921642,25225,89
5,13426557,13609,48
5,4863774,4841,17
5,30040700,29182,103
5,24421622,22679,80
5,14009401,14169,50
5,30109845,28901,102
5,28468212,28052,99
5,32867196,31742,112
5,21268115,19561,69
5,6424712,6540,23
5,5832130,5953,21
5,32226906,31448,111
5,27985671,26917,95
5,31430600,30322,107
5,12370498,12185,43
5,33316655,32585,115
5,23183752,21250,75
5,22525436,20696,73
5,10551226,9936,35
5,19773844,17582,62
5,19665751,17593,62
5,14644871,14769,52
5,30284121,28897,102
5,1999939,1998,7
5,21135478,19274,68
5,15170191,15024,53
5,2579096,2566,9
5,26546409,25503,90
5,32478169,32017,113
5,21402175,19272,68
5,26772174,25225,89
5,26918123,25226,89
5,46116866,36261,128
5,21244090,17283,61
5,45882486,35696,126
5,35671372,32587,115
5,18560771,16717,59
5,15201983,15019,53
5,16210867,16438,58
5,16191959,16434,58
5,16107350,16436,58
5,30184266,29184,103
5,19195234,17283,61
5,33680711,32580,115
5,32817284,32299,114
5,32449466,32304,114
5,15716090,15601,55
5,20492118,18715,66
5,24657744,23239,82
5,3396465,3410,12
5,14079321,14461,51
5,16096934,16168,57
5,43827419,34847,123
5,28446733,25505,90
5,25336107,24369,86
5,26481453,25786,91
5,27848704,26633,94
5,29283703,29191,103
5,26241430,25796,91
5,24915043,24100,85
5,6739773,6806,24
5,23327481,22105,78
5,21757170,20122,71
5,24661753,23522,83
5,27021836,25784,91
5,24153519,23243,82
5,29243837,28336,100
5,19984343,18161,64
5,15941557,16467,58
5,19784218,18436,65
5,42711327,33718,119
5,11389354,10485,37
5,31514119,29191,103
5,23524281,22396,79
5,11266530,10774,38
5,2417510,2277,8
5,24940853,23522,83
5,44464111,35978,127
5,31150184,28617,101
5,15411728,15312,54
5,11645140,11066,39
5,12241175,11939,42
5,28164588,27203,96
5,31661811,31448,111
5,32940451,31729,112
5,21459456,19572,69
5,44998239,35978,127
5,12240730,11357,40
5,31647252,28616,101
5,44738500,35414,125
5,16294533,15600,55
5,23815837,20422,72
5,30418954,29192,103
5,24398773,23244,82
5,28746235,27771,98
5,24566484,23523,83
5,24210077,22676,80
5,1784538,1710,6
5,25796329,24946,88
5,31553285,31452,111
5,13208760,12751,45
5,30744347,30315,107
5,31359229,30602,108
5,1800852,1710,6
5,27663877,26358,93
5,28617571,27769,98
5,24654988,23529,83
5,32848381,32581,115
5,21270632,18710,66
5,21420273,20144,71
5,25152966,23806,84
5,42335513,33716,119
5,46866102,35414,125
5,33455722,30316,107
5,21523954,19560,69
5,32687598,32583,115
5,30720901,29749,105
5,28671802,26919,95
5,22163211,20135,71
5,29063849,28620,101
5,44861595,35696,126
5,27637795,23811,84
5,28181338,27493,97
5,42681343,33431,118
5,22392199,18148,64
5,27880383,26640,94
5,23598442,21838,77
5,9712993,9077,32
5,30678507,29758,105
5,32552197,32583,115
5,6553505,6542,23
5,42787077,34000,120
5,27629940,22672,80
5,44676255,33438,118
5,33384452,28342,100
5,28312830,25506,90
5,20087287,17289,61
5,10177188,9361,33
5,29167180,26073,92
5,22841931,19569,69
5,17033177,16443,58
5,10449180,9361,33
5,28547062,26079,92
5,33032056,30886,109
5,24203298,21838,77
5,20722630,17295,61
5,23113469,20412,72
5,33406300,31456,111
5,27596506,26643,94
5,28323749,25788,91
5,29936443,27196,96
5,32464710,30033,106
5,29030651,25790,91
5,3184713,3143,11
5,29524427,28902,102
5,30577398,28620,101
5,44319754,33433,118
5,16652573,15307,54
5,30901602,26352,93
5,34549084,32583,115
5,1233346,1145,4
5,45376885,34282,121
5,13746209,12184,43
5,33851882,30321,107
5,16489525,16150,57
5,10724887,10203,36
5,23042408,21266,75
5,23127858,20120,71
5,45440213,34283,121
5,25731509,20694,73
5,20632263,17863,63
5,32024603,29186,103
5,30960016,29188,103
5,34613029,32585,115
5,30139809,28053,99
5,13189649,12187,43
5,7043622,6540,23
5,31348932,28623,101
5,47195460,35414,125
5,13574342,11901,42
5,31318762,26352,93
5,7021641,6804,24
5,34874703,32582,115
5,23354037,20126,71
5,32596686,29750,105
5,21337122,18988,67
5,34280518,32583,115
5,33910663,31732,112
5,2029316,1994,7
5,16795845,16171,57
5,27538476,25220,89
5,344847,289,1
5,261221,289,1
5,34641966,32299,114
5,28225769,25795,91
5,20058530,16998,60
5,7891764,7654,27
5,33454666,30887,109
5,355868,289,1
5,3580094,3411,12
5,12003888,11053,39
5,22651392,20124,71
5,32385329,30315,107
5,12935185,11618,41
5,28945337,26071,92
5,22695258,19286,68
5,43896925,33435,118
5,26511343,21544,76
5,25649169,22394,79
5,21883091,19280,68
5,12265973,11338,40
5,44829064,33997,120
5,35314998,30613,108
5,27917320,25221,89
5,30742282,28900,102
5,20521627,17588,62
5,32519453,29747,105
5,44896273,33716,119
5,17710781,16433,58
5,31100763,26644,94
5,32197540,29758,105
5,34355009,32021,113
5,33692156,32014,113
5,23970802,20689,73
5,28710050,26074,92
5,1578114,1431,5
5,16984365,16460,58
5,8236710,7936,28
5,45209024,35130,124
5,30249384,24934,88
5,26511114,24378,86
5,27897271,24931,88
5,21458764,18708,66
5,45241588,33995,120
5,28480310,23530,83
5,6078797,5677,20
5,46720451,35129,124
5,36385049,31450,111
5,25451297,22404,79
5,26120096,23525,83
5,34448352,32585,115
5,44607188,33433,118
5,36757006,31729,112
5,8717190,8226,29
5,26325546,23238,82
5,33953608,31451,111
5,26872714,24093,85
5,14459347,13328,47
5,20843081,17577,62
5,32064263,29754,105
5,20789282,17593,62
5,31940579,28899,102
5,21309920,17861,63
5,26897881,23804,84
5,25387519,22385,79
5,34948962,32866,116
5,27813433,24943,88
5,30487135,26921,95
5,32180576,29184,103
5,26809869,23515,83
5,19897665,16716,59
5,23666396,20120,71
5,35040891,32585,115
5,27360956,24089,85
5,26997154,24090,85
5,30096207,26918,95
5,45160315,33997,120
5,8000170,7377,26
5,33323087,28338,100
5,14932946,13621,48
5,29352359,26922,95
5,45991744,34002,120
5,35774211,30887,109
5,12322798,11347,40
5,26928481,23805,84
5,32944039,30322,107
5,13619916,12471,44
5,11998178,10797,38
5,7431912,7098,25
5,28282621,25517,90
5,30087716,26922,95
5,26060542,22952,81
5,21196672,18149,64
5,31537777,28904,102
5,10659091,9353,33
5,13400351,12469,44
5,11692789,10495,37
5,16257776,15029,53
5,23287425,20127,71
5,24285202,20978,74
5,5005385,4554,16
5,14259921,13601,48
5,46221355,34849,123
5,13440604,11634,41
5,34607024,30318,107
5,32957646,30040,106
5,33376323,30319,107
5,47225191,35695,126
5,28884859,23526,83
5,47240270,35413,125
5,1824986,1716,6
5,26889119,21260,75
5,30563514,28052,99
5,10881055,9355,33
5,34671062,31448,111
5,31117574,28052,99
5,26440411,23519,83
5,47736273,35696,126
5,37330868,32297,114
5,33724984,30881,109
5,5430782,4837,17
5,35198200,32587,115
5,34895255,32301,114
5,1446541,1428,5
5,24216058,20693,73
5,23979494,21256,75
5,24646593,21540,76
5,34267848,32014,113
5,12984912,11901,42
5,28590282,25789,91
5,31659363,28632,101
5,34327863,31734,112
5,24698803,21540,76
5,44801746,33433,118
5,15319580,13623,48
5,8144359,7654,27
5,34438367,30314,107
5,35552143,32586,115
5,47320692,35978,127
5,16160794,14453,51
5,32285108,26921,95
5,46157571,34284,121
5,14865530,13322,47
5,33423412,28050,99
5,5623856,4826,17
5,33932134,30886,109
5,29134289,25784,91
5,7529232,7095,25
5,32119235,29184,103
5,27892477,24654,87
5,33444611,30885,109
5,30636424,26920,95
5,22501350,19563,69
5,12219026,10773,38
5,21637679,18440,65
5,29577153,26634,94
5,8150096,7955,28
5,22412182,19282,68
5,2052355,1995,7
5,27202863,24664,87
5,35799730,32580,115
5,13622957,12185,43
5,13089035,12186,43
5,19715724,16715,59
5,24916285,21824,77
5,15334454,14173,50
5,44709141,33430,118
5,38073138,32869,116
5,30292051,27490,97
5,22957107,19846,70
5,14938997,13622,48
5,20734707,17865,63
5,2014193,1999,7
5,28990096,25502,90
5,33040435,31446,111
5,11433993,10206,36
5,23665662,20418,72
5,31740855,29753,105
5,32682753,29752,105
5,34719140,31454,111
5,21832967,18143,64
5,6451105,5974,21
5,29575163,26352,93
5,26278499,22956,81
5,10317009,9077,32
5,10507536,9067,32
5,32287789,29184,103
5,34489533,31457,111
5,11716403,10214,36
5,32382824,29752,105
5,45100470,33147,117
5,14841578,13033,46
5,49683016,35695,126
5,29438740,24371,86
5,23921032,20124,71
5,403651,290,1
5,35796613,32867,116
5,33591457,30599,108
5,13814299,12215,43
5,28606740,25224,89
5,10854541,9643,34
5,34754270,32583,115
5,25269778,22676,80
5,11234054,10203,36
5,33475720,30315,107
5,26091005,22953,81
5,20898283,17293,61
5,6173976,5689,20
5,16605552,15880,56
5,30252537,26064,92
5,33554754,30315,107
5,22234884,18708,66
5,10070018,8501,30
5,30185477,26914,95
5,30510399,27490,97
5,34722285,32300,114
5,15191412,13902,49
5,35412213,32579,115
5,26803636,24091,85
5,47022152,35413,125
5,25608659,19833,70
5,25105657,21815,77
5,12395484,11338,40
5,26532807,23242,82
5,13705546,12756,45
5,48397287,36261,128
5,13126560,11340,40
5,28763677,23247,82
5,46487675,34849,123
5,10744765,8790,31
5,49762533,36261,128
5,30074730,24656,87
5,20351425,17008,60
5,14543010,13605,48
5,45628270,34280,121
5,38182846,32022,113
5,20499621,16999,60
5,32205585,29184,103
5,14923758,13615,48
5,33981879,30886,109
5,34566646,31457,111
5,26740450,23237,82
5,20330051,17311,61
5,33466707,30319,107
5,11029235,9942,35
5,15897881,14473,51
5,45110873,34279,121
5,34793498,29186,103
5,5459623,4840,17
5,30334331,27493,97
5,6760555,5953,21
5,35319755,32866,116
5,26684535,22956,81
5,26700067,23818,84
5,5366217,4842,17
5,22145094,18714,66
5,24669835,21259,75
5,29935262,27493,97
5,33718088,30600,108
5,28927774,26074,92
5,28578382,25795,91
5,28443405,25505,90
5,27740642,24388,86
5,15292932,14167,50
5,17199855,15882,56
5,11590822,10485,37
5,21439039,17859,63
5,26864552,22958,81
5,32168347,29474,104
5,12523544,11068,39
5,46812641,34848,123
5,36533353,31172,110
5,24571624,21545,76
5,30581151,28054,99
5,36013810,32583,115
5,34789979,32015,113
5,32249208,29475,104
5,35439953,32866,116
5,35570479,32585,115
5,12572631,10771,38
5,31132451,27489,97
5,16877707,15600,55
5,31122680,28336,100
5,19995974,17283,61
5,10495316,9073,32
5,31399664,28619,101
5,2037146,1997,7
5,46143541,34565,122
5,33268973,27196,96
5,32532445,29475,104
5,28591613,25795,91
5,34586080,31735,112
5,971352,862,3
5,27862056,24659,87
5,21656173,17865,63
5,26872253,23526,83
5,26161351,23238,82
5,20507807,17006,60
5,33983169,31166,110
5,12374436,11059,39
5,28941329,25220,89
5,24842227,21265,75
5,28069301,24653,87
5,6731199,6246,22
5,32084050,29466,104
5,28922296,25787,91
5,45588538,34280,121
5,37037751,31740,112
5,10999575,9640,34
5,32536478,29186,103
5,34145870,30883,109
5,46006015,33997,120
5,33479872,26920,95
5,29605243,26639,94
5,35314712,32582,115
5,3938201,3692,13
5,20475962,17297,61
5,29498322,26360,93
5,16214970,14468,51
5,31720669,28051,99
5,29712301,26920,95
5,28949809,25504,90
5,30576266,27487,97
5,10360537,8804,31
5,8070726,7654,27
5,31134356,27768,98
5,34468683,31450,111
5,33372756,30604,108
5,29470697,26357,93
5,29718723,26364,93
5,33182167,29755,105
5,30427190,27485,97
5,28570673,25502,90
5,23859094,20411,72
5,23283649,20143,71
5,45813638,33999,120
5,32811501,26633,94
5,48419015,35696,126
5,33857043,27484,97
5,28610252,24937,88
5,34198160,30885,109
5,35352108,31731,112
5,46549843,34845,123
5,37238450,31446,111
5,31209535,27767,98
5,11990387,10793,38
5,45759664,33435,118
5,16941525,14469,51
5,26704036,21824,77
5,24827777,20976,74
5,29262146,25509,90
5,32984127,29748,105
5,32992227,29753,105
5,28389653,24651,87
5,31283342,28058,99
5,31772690,28054,99
5,29721934,26075,92
5,25680117,22106,78
5,13174829,12469,44
5,15036084,13337,47
5,27708846,24370,86
5,28728171,24653,87
5,5347961,4550,16
5,14013526,12466,44
5,27127972,23239,82
5,35992860,32015,113
5,28878020,25506,90
5,26709118,23244,82
5,31187047,27491,97
5,32544175,28902,102
5,1472532,1427,5
5,32437059,29185,103
5,30064201,26351,93
5,30765852,27491,97
5,27402799,24379,86
5,12066914,10771,38
5,16332429,15041,53
5,12564940,11061,39
5,29311386,26073,92
5,14318500,12750,45
5,12428912,11357,40
5,35218817,32584,115
5,33676249,31732,112
5,4163975,3993,14
5,44311015,33148,117
5,38113335,32023,113
5,20364896,16716,59
5,28423869,24671,87
5,16642783,15583,55
5,31631927,28057,99
5,15610878,14176,50
5,45878157,34281,121
5,36458550,30032,106
5,12150824,10489,37
5,22534312,18998,67
5,13873249,12468,44
5,12509570,11620,41
5,25176471,21831,77
5,29208456,25791,91
5,27467859,23809,84
5,34329418,30886,109
5,45504531,33432,118
5,35748371,29465,104
5,35479314,32301,114
5,28614382,25509,90
5,5427845,4549,16
5,10755624,10202,36
