VPTREE,EUCLIDEAN,HFI,1,4015,110094
k,time,count,disk
5,26944176,24940,88
5,19821976,16733,59
5,22037858,19003,67
5,2710124,2840,10
5,11448985,11362,40
5,2224986,2280,8
5,14718885,16450,58
5,4133109,4263,15
5,9188527,9930,35
5,19457095,17865,63
5,10679797,10221,36
5,539851,574,2
5,10274098,11072,39
5,24688000,23817,84
5,27400894,25515,90
5,15252457,15881,56
5,26922791,26644,94
5,27680639,26077,92
5,6808184,7944,28
5,9604025,9384,33
5,24665263,23526,83
5,21000133,18152,64
5,3029649,3413,12
5,26384743,24100,85
5,26949303,24943,88
5,21011386,17860,63
5,19802736,16727,59
5,12709278,12486,44
5,8605086,9081,32
5,21672704,20408,72
5,4973304,5119,18
5,12250055,13051,46
5,30179106,29759,105
5,2600583,2847,10
5,14262035,15881,56
5,25814290,25792,91
5,3385258,3982,14
5,9192009,9370,33
5,2363437,2565,9
5,8187669,8804,31
5,2087004,2281,8
5,23740893,22971,81
5,26544770,25228,89
5,28929229,27783,98
5,12188957,13046,46
5,27326418,27208,96
5,26585425,25234,89
5,19335296,17019,60
5,286906,289,1
5,26374095,25221,89
5,10889613,11633,41
5,22708901,21834,77
5,23469375,22118,78
5,12581468,13335,47
5,12975356,14757,52
5,11545745,13043,46
5,11611844,13065,46
5,1066660,1145,4
5,20180487,18728,66
5,12025610,12477,44
5,26841914,26924,95
5,20206454,18149,64
5,12143245,12771,45
5,10881707,11906,42
5,10611981,11641,41
5,22240892,20698,73
5,20698371,18711,66
5,14879274,16168,57
5,27097519,26361,93
5,22204121,20121,71
5,313193,289,1
5,14824604,16174,57
5,2209218,2293,8
5,6245672,7094,25
5,22188539,21254,75
5,24697720,22687,80
5,10654192,10780,38
5,22544423,21536,76
5,12932397,13615,48
5,4499441,4831,17
5,2718054,3132,11
5,4919996,5399,19
5,21598450,20696,73
5,4418990,4557,16
5,10251053,10507,37
5,21086028,19560,69
5,19190377,16734,59
5,25684207,24380,86
5,9131221,9092,32
5,12582790,13628,48
5,4575543,4827,17
5,11471354,12776,45
5,10849256,11923,42
5,12473959,14188,50
5,29560140,29195,103
5,4449353,4545,16
5,710992,858,3
5,25751983,23533,83
5,19909583,17298,61
5,22941647,20990,74
5,26687218,25232,89
5,5866724,6533,23
5,5765494,6531,23
5,10461272,10786,38
5,26620262,26078,92
5,21740592,19838,70
5,10000071,9930,35
5,11203838,12480,44
5,6484859,7378,26
5,23164823,22121,78
5,15107739,16163,57
5,2222444,2282,8
5,5227463,5686,20
5,24727890,22959,81
5,3413331,3712,13
5,23540830,20983,74
5,28872348,26648,94
5,2674812,2846,10
5,11127995,11347,40
5,24859337,23251,82
5,6409826,7106,25
5,2528259,2845,10
5,10378177,10790,38
5,2220242,2278,8
5,22971537,21554,76
5,22040981,19554,69
5,9906811,9650,34
5,22505628,20970,74
5,27995942,26363,93
5,13886204,14474,51
5,6012276,6544,23
5,284648,289,1
5,1400517,1421,5
5,5930225,6543,23
5,4324124,4831,17
5,12569105,12754,45
5,23623516,21251,75
5,23616216,19857,70
5,30807014,28063,99
5,23887800,20689,73
5,305785,289,1
5,15543080,15888,56
5,296838,289,1
5,15362159,16449,58
5,25024614,22395,79
5,11600279,11071,39
5,11415511,11638,41
5,570901,574,2
5,26560113,24099,85
5,9201706,8514,30
5,9714868,9654,34
5,25725699,23250,82
5,25780541,22400,79
5,14484235,14470,51
5,8835155,8803,31
5,1735419,1997,7
5,12650666,13329,47
5,25560436,22954,81
5,22814089,19280,68
5,13423822,13339,47
5,12085699,12482,44
5,9686242,9930,35
5,24141601,21552,76
5,4449070,4265,15
5,2730862,2843,10
5,4177360,4264,15
5,4082225,4268,15
5,4460134,4548,16
5,29743632,26642,94
5,1633397,1722,6
5,12369858,12215,43
5,4947624,4825,17
5,540810,575,2
5,20217221,17003,60
5,23281367,19559,69
5,6957359,7378,26
5,1787943,1991,7
5,10568893,9934,35
5,28709420,25800,91
5,21656803,17870,63
5,29991275,26929,95
5,21246166,17586,62
5,21841955,18151,64
5,14980595,15026,53
5,9094026,8791,31
5,19503004,16743,59
5,13500384,13341,47
5,22702128,19847,70
5,24291252,20703,73
5,27319336,23530,83
5,26546339,22966,81
5,14145040,13907,49
5,5119705,5400,19
5,6450108,6814,24
5,15329761,16175,57
5,1096939,1137,4
5,4736992,4827,17
5,10002209,9941,35
5,22570842,19851,70
5,21910509,18139,64
5,28029917,24942,88
5,12443489,11923,42
5,24196135,21536,76
5,11339438,11064,39
5,3202713,3408,12
5,5028858,5115,18
5,8906004,8804,31
5,12396153,12472,44
5,9105010,8799,31
5,11333894,11625,41
5,20407315,17582,62
5,13000764,12759,45
5,24873670,21831,77
5,4715107,4836,17
5,5184215,5685,20
5,6875076,7671,27
5,24679695,21556,76
5,24631891,21273,75
5,13026058,12786,45
5,13273527,13908,49
5,7433614,8234,29
5,2412962,2568,9
5,10232548,10791,38
5,26832076,23816,84
5,14947437,15026,53
5,9556171,9658,34
5,2933815,3127,11
5,3233679,3696,13
5,9156663,8791,31
5,25444869,23237,82
5,27146767,23249,82
5,7259964,7684,27
5,26426706,23249,82
5,2319337,2278,8
5,28154462,24948,88
5,23660121,19853,70
5,3229994,3410,12
5,3464571,3691,13
5,9870158,9379,33
5,2179441,2276,8
5,23282755,20133,71
5,10969956,10507,37
5,13415605,13913,49
5,1758825,2000,7
5,5336629,5391,19
5,20868717,17873,63
5,11149943,10493,37
5,28550645,25797,91
5,22369868,18720,66
5,1820263,2000,7
5,16347576,16452,58
5,19387758,16720,59
5,6795104,7385,26
5,25448149,22109,78
5,5950876,6239,22
5,5113519,5400,19
