VPTREE,EUCLIDEAN,KMEDOIDS,1,4015,470310
k,time,count,disk
5,29001800,24374,86
5,24154715,18727,66
5,24575494,19010,67
5,6099817,5964,21
5,13020143,11924,42
5,3418841,3703,13
5,22127380,18439,65
5,11429751,10225,36
5,21610940,17306,61
5,26439602,21551,76
5,14019144,12766,45
5,1790116,1994,7
5,12387432,12499,44
5,27411385,23814,84
5,32437869,28068,99
5,27165232,22399,79
5,30773450,26929,95
5,31032483,26646,94
5,14777271,13913,49
5,7006288,7384,26
5,27789383,24095,85
5,26522976,21842,77
5,5603728,5683,20
5,29588292,24664,87
5,30498362,26079,92
5,13874505,12758,45
5,25777257,22116,78
5,14908602,13911,49
5,8042583,8231,29
5,27538476,24095,85
5,7684087,8239,29
5,23295629,18439,65
5,35731261,32023,113
5,5228321,5404,19
5,20001996,18440,65
5,25532490,25224,89
5,5053370,5119,18
5,13356117,13908,49
5,3560865,3986,14
5,10796414,10790,38
5,1529848,1708,6
5,25864808,25517,90
5,27416126,27215,96
5,28524813,28346,100
5,18525963,17024,60
5,29839990,30043,106
5,28687919,28913,102
5,20535856,19278,68
5,1133874,1143,4
5,26238441,25506,90
5,11370890,11063,39
5,24494469,23820,84
5,20546941,19279,68
5,21081948,20423,72
5,14924680,15323,54
5,15706465,16172,57
5,14381620,15040,53
5,2383023,2567,9
5,22642101,21835,77
5,11906688,11918,42
5,25569353,25231,89
5,20637015,19574,69
5,10652608,10511,37
5,20538854,19287,68
5,13005195,13342,47
5,26599521,26367,93
5,23203731,22117,78
5,11286804,11061,39
5,28768543,28345,100
5,15193561,15588,55
5,802622,861,3
5,14151887,14474,51
5,2986215,3130,11
5,5886249,5965,21
5,25094300,24947,88
5,26540863,26084,92
5,14865289,15047,53
5,10537344,9920,35
5,13633939,13906,49
5,5707372,5980,21
5,4651482,4840,17
5,5716867,5689,20
5,25073796,24952,88
5,5490800,5688,20
5,11848607,11924,42
5,23942367,22965,81
5,19251264,17597,62
5,27138315,26931,95
5,7672492,8237,29
5,12511216,12494,44
5,11423933,11358,40
5,13640441,13639,48
5,12229948,12208,43
5,12400348,12204,43
5,30221684,29479,104
5,7455269,7672,27
5,1099343,1145,4
5,24265471,23249,82
5,19743205,18147,64
5,21569101,20141,71
5,25935868,25232,89
5,12013965,11918,42
5,3120899,3127,11
5,13809266,14195,50
5,27532188,27212,96
5,22619915,22116,78
5,13128682,13064,46
5,18467860,17022,60
5,6804834,6808,24
5,21635215,20136,71
5,20171628,18719,66
5,3724774,3985,14
5,5292431,5401,19
5,24974024,24095,85
5,3444416,3695,13
5,25620409,24383,86
5,27626909,26931,95
5,9976427,9660,34
5,14669053,15040,53
5,26334393,25234,89
5,9698534,9375,33
5,1829966,1993,7
5,12233158,12490,44
5,1616288,1716,6
5,21538617,20418,72
5,11829264,11054,39
5,12149437,11922,42
5,14718501,13888,49
5,28373803,26928,95
5,15691698,15035,53
5,11571009,11077,39
5,1119549,1143,4
5,10143107,9371,33
5,6253052,6251,22
5,6669444,6828,24
5,12914960,12190,43
5,26655425,25513,90
5,23807843,21839,77
5,27578318,26648,94
5,21599854,19276,68
5,324214,289,1
5,15274155,15043,53
5,1165095,1143,4
5,21514207,19003,67
5,26493979,24945,88
5,13532036,13340,47
5,10297582,9659,34
5,1868056,1994,7
5,29745294,28910,102
5,10362649,9653,34
5,15668722,15606,55
5,28787466,27506,97
5,26859182,24668,87
5,19492551,17030,60
5,11257088,10793,38
5,3553025,3700,13
5,16085994,15602,55
5,28316120,26644,94
5,23611968,20981,74
5,15752778,15046,53
5,20444677,17875,63
5,16615630,16175,57
5,26904505,24961,88
5,10127086,9377,33
5,5053236,4840,17
5,6246585,6257,22
5,5307415,5126,18
