VPTREE,EUCLIDEAN,MAXSEPARETED,1,4015,99812
k,time,count,disk
5,27936124,25504,90
5,29295519,26072,92
5,44829863,34282,121
5,22564433,18428,65
5,23453659,19279,68
5,5408013,5108,18
5,31468560,27772,98
5,23504285,17861,63
5,30908546,26639,94
5,13056846,11336,40
5,27456624,24092,85
5,2728076,2843,10
5,25586688,20411,72
5,26179209,21533,76
5,29215081,24366,86
5,32340415,28337,100
5,28328596,22951,81
5,32915833,29748,105
5,37253056,32304,114
5,15515029,13332,47
5,33647720,30885,109
5,30335524,24940,88
5,23487160,17867,63
5,28301902,23233,82
5,34038278,30032,106
5,22802362,21254,75
5,26492887,25503,90
5,12919703,13041,46
5,20397076,18711,66
5,43012866,33713,119
5,24991691,20984,74
5,26454053,24371,86
5,43391873,33148,117
5,15391909,14465,51
5,29821241,26351,93
5,27206140,25786,91
5,15129407,15326,54
5,27528313,25792,91
5,13342903,12484,44
5,28694087,27215,96
5,12058522,11354,40
5,28193231,26919,95
5,22770819,20686,73
5,43150973,33431,118
5,16152167,15584,55
5,46573129,34846,123
5,37090181,32866,116
5,23763006,22107,78
5,831850,859,3
5,31054421,30321,107
5,13035742,12755,45
5,29764801,28619,101
5,30462811,29182,103
5,25103272,23235,82
5,28161264,26639,94
5,28912417,27487,97
5,32462404,31177,110
5,4434997,4264,15
5,24819272,22953,81
5,30316208,28907,102
5,32052230,31166,110
5,22315975,20687,73
5,26107157,24659,87
5,24928638,23234,82
5,26382108,24944,88
5,14923160,14732,52
5,29845834,29188,103
5,19785276,17862,63
5,45203815,35695,126
5,33790523,29472,104
5,829457,859,3
5,29879663,27774,98
5,11442770,11064,39
5,25671132,23813,84
5,28811745,27768,98
5,43881339,34282,121
5,25852133,21543,76
5,21240091,18989,67
5,32156904,30605,108
5,11605131,11064,39
5,8199589,8237,29
5,6717492,6530,23
5,26376701,25218,89
5,14738075,14182,50
5,25796353,23524,83
5,25689488,23802,84
5,29502975,28341,100
5,30703205,29466,104
5,25896807,24387,86
5,12046077,11339,40
5,19644896,17295,61
5,22545312,20132,71
5,24058380,22398,79
5,26509077,24946,88
5,44533783,35130,124
5,22610425,17871,63
5,1360847,1427,5
5,31419125,29752,105
5,23139210,21538,76
5,26307181,24932,88
5,44348213,34564,122
5,17107040,16164,57
5,11124182,10501,37
5,30248667,27212,96
5,31413469,30315,107
5,28273837,26641,94
5,20562627,18704,66
5,22119261,20691,73
5,9904179,9077,32
5,44428289,34849,123
5,29993026,25504,90
5,12071864,11634,41
5,12996758,12476,44
5,27370197,26070,92
5,7857828,7951,28
5,44017695,33429,118
5,45356027,33146,117
5,15558799,14184,50
5,24645482,20688,73
5,31661967,30033,106
5,22937901,20984,74
5,13260733,12764,45
5,27007537,25790,91
5,6789641,6537,23
5,27991123,26919,95
5,24981473,23525,83
5,16636166,16446,58
5,22848051,21538,76
5,43005685,33432,118
5,29382454,24947,88
5,20452101,18423,65
5,840949,859,3
5,20194164,18146,64
5,20377507,18152,64
5,10280584,9364,33
5,29080357,27771,98
5,29387455,28056,99
5,26427584,24084,85
5,23524163,21532,76
5,30356972,28622,101
5,366375,289,1
5,31189613,29759,105
5,625992,577,2
5,26458149,24939,88
5,23814313,22099,78
5,27388656,25506,90
