VPTREE,EUCLIDEAN,MAXVARIANCE,1,4015,412055
k,time,count,disk
5,24764465,21823,77
5,23861147,19860,70
5,25181096,20995,74
5,7658158,8237,29
5,10826096,10226,36
5,3144102,3419,12
5,24669095,20983,74
5,6894907,7387,26
5,13482574,13330,47
5,21406330,18435,65
5,12261137,11357,40
5,306155,289,1
5,9811977,10225,36
5,22653532,19570,69
5,29017642,25230,89
5,22361554,17872,63
5,28533465,24663,87
5,28341407,24662,87
5,12753308,12197,43
5,4940334,5116,18
5,28077440,26079,92
5,15905109,15602,55
5,3294303,3696,13
5,25816718,23252,82
5,29102334,25512,90
5,24946572,20698,73
5,22653395,18153,64
5,12356340,11637,41
5,12096134,12765,45
5,25188854,22684,80
5,5741618,5971,21
5,13797339,13624,48
5,31187589,28908,102
5,3075386,3413,12
5,15145796,15608,55
5,29467909,28345,100
5,2587268,2845,10
5,10599207,10515,37
5,2388271,2562,9
5,10343705,10517,37
5,2379131,2562,9
5,25354351,21838,77
5,29606450,25511,90
5,30299656,26076,92
5,22160715,17872,63
5,30644673,26926,95
5,29318975,25518,90
5,16453045,16168,57
5,311662,289,1
5,31371512,29195,103
5,16538793,16454,58
5,26282351,22972,81
5,24453893,20137,71
5,21559672,17021,60
5,13575347,13053,46
5,21388613,17872,63
5,11454871,10799,38
5,776690,863,3
5,22430089,18730,66
5,14948790,14480,51
5,29175123,26076,92
5,21812990,17579,62
5,12028353,11361,40
5,25524185,22114,78
5,12305887,11647,41
5,24202633,19844,70
5,22842706,18145,64
5,13985651,12762,45
5,29952286,25512,90
5,28231002,23525,83
5,311512,289,1
5,15787669,14761,52
5,3335233,3416,12
5,9927341,9368,33
5,25016004,20980,74
5,26554904,21554,76
5,14886567,14190,50
5,28656539,24663,87
5,14159462,13342,47
5,4848939,4837,17
5,2545592,2566,9
5,5461373,5396,19
5,27715009,23812,84
5,4791844,4550,16
5,9656908,8529,30
5,26426892,21832,77
5,22817312,17872,63
5,28903674,24099,85
5,7682888,7951,28
5,13896132,13065,46
5,7473959,7680,27
5,15420974,15316,54
5,11698427,11362,40
5,13352819,13056,46
5,33052821,28910,102
5,4448549,4269,15
5,542451,572,2
5,27157818,22403,79
5,23657737,18716,66
5,23028665,17885,63
5,29415439,24383,86
5,6934632,7112,25
5,5296945,5108,18
5,12838874,11635,41
5,29663323,25794,91
5,23080751,17863,63
5,13406119,12487,44
5,12269734,11918,42
5,6730834,6820,24
5,25953360,21556,76
5,16978930,16168,57
5,3050356,3131,11
5,5623458,5687,20
5,25104270,20975,74
5,3144293,3132,11
5,26383613,21556,76
5,29910497,24948,88
5,4755949,4560,16
5,11067149,9931,35
5,29235180,24948,88
5,5856522,5690,20
5,3030053,3131,11
5,11661126,10796,38
5,784622,856,3
5,22194919,18152,64
5,27085799,22392,79
5,10200458,9081,32
5,27456483,23242,82
5,30511938,25510,90
5,12420669,11071,39
5,7376071,7675,27
5,298299,289,1
5,7492723,7664,27
5,5680513,5696,20
5,3457366,3698,13
5,24462668,20696,73
5,27659292,22958,81
5,23854584,18443,65
5,28562207,23817,84
5,24974548,20420,72
5,302217,289,1
5,15346966,14470,51
5,298909,289,1
5,12730735,12482,44
5,27533211,23813,84
5,11043244,9947,35
5,9709403,9090,32
5,545705,576,2
5,26509945,22679,80
5,11797083,10797,38
5,13707467,13342,47
