VPTREE,EUCLIDEAN,PCA,1,4015,177017
k,time,count,disk
5,26143407,24654,87
5,25772505,22683,80
5,24664885,21262,75
5,6153432,6527,23
5,16326628,16458,58
5,1519140,1711,6
5,24053891,22110,78
5,9928323,9082,32
5,22557451,19861,70
5,26025225,22683,80
5,21695115,17869,63
5,3082345,3415,12
5,21608839,17315,61
5,30110294,27496,97
5,32668493,30330,107
5,25841560,23251,82
5,32158424,30042,106
5,31841022,30043,106
5,22913067,19581,69
5,7555612,7966,28
5,30904465,28628,101
5,22354810,18718,66
5,7129082,7954,28
5,29359326,26931,95
5,30240872,27208,96
5,14445263,14738,52
5,25073765,22968,81
5,14031875,14191,50
5,6947506,7659,27
5,29001732,28060,99
5,14103685,14769,52
5,23929099,22124,78
5,43440833,33721,119
5,6633997,7384,26
5,22940760,20698,73
5,28060005,29473,104
5,7052142,7950,28
5,17684412,17583,62
5,4965432,5403,19
5,11650772,12485,44
5,4478018,4837,17
5,24567737,25799,91
5,27342919,28629,101
5,29931721,31743,112
5,11795210,12759,45
5,30113376,32308,114
5,27985266,28912,102
5,17540943,17007,60
5,1118613,1144,4
5,24657036,24935,88
5,11236310,12195,43
5,22864695,23538,83
5,21641015,22112,78
5,21607466,22117,78
5,10933153,11349,40
5,17536162,17020,60
5,14163377,15616,55
5,1743996,1999,7
5,23317898,24391,86
5,19249066,19293,68
5,27367099,28624,101
5,21552719,22122,78
5,14545929,15885,56
5,21624475,21835,77
5,18530460,18156,64
5,23299783,23524,83
5,24324133,24950,88
5,4155996,4260,15
5,29693963,31177,110
5,17615274,17002,60
5,603857,576,2
5,12334159,13055,46
5,1792395,1994,7
5,5488629,5962,21
5,24717752,25796,91
5,27945277,29481,104
5,12987360,13902,49
5,17221696,16720,59
5,19940264,19862,70
5,8464137,8525,30
5,3165292,3706,13
5,8970654,9086,32
5,20797983,21260,75
5,6189621,6536,23
5,15081993,16457,58
5,25922602,27215,96
5,18020357,17305,61
5,28088471,29762,105
5,17403169,16743,59
5,19641966,19293,68
5,10665870,11074,39
5,13302209,14480,51
5,18319027,17588,62
5,12514047,13337,47
5,30177195,32026,113
5,10140176,10507,37
5,2339370,2564,9
5,24012105,24660,87
5,17943751,17294,61
5,25294143,26373,93
5,26716556,27211,96
5,11733973,12488,44
5,1324518,1421,5
5,15295384,16460,58
5,27545436,29194,103
5,21689491,22395,79
5,9524105,9928,35
5,8231103,8513,30
5,10540446,11348,40
5,25186389,26367,93
5,24166056,24944,88
5,4425822,4555,16
5,9063208,9371,33
5,26560479,28059,99
5,1313277,1426,5
5,27655930,29197,103
5,29623959,29758,105
5,11287820,11921,42
5,18924119,18712,66
5,27048103,28063,99
5,12019718,12780,45
5,5148385,5405,19
5,14867413,16175,57
5,4701057,4841,17
5,27766747,28063,99
5,18164811,17002,60
5,13788975,14485,51
5,17999086,17002,60
5,31034805,31175,110
5,12955924,13333,47
5,10291067,10516,37
5,797400,861,3
5,13073784,13913,49
5,10352660,10512,37
5,8744179,8525,30
5,13593023,14738,52
5,14598759,15588,55
5,26098748,25517,90
5,27953772,28347,100
5,19889985,18991,67
5,615982,576,2
5,19828881,18728,66
5,593221,576,2
5,21149669,20706,73
5,25203095,25227,89
5,17816467,16738,59
5,12892136,13615,48
5,3189338,3415,12
5,28478182,28910,102
5,18011153,17031,60
5,14119431,14755,52
5,23685140,23806,84
5,22465122,21823,77
5,21920104,21559,76
5,13456562,14193,50
5,4502002,4555,16
5,21429404,21267,75
5,25731631,26075,92
5,20567809,19844,70
5,21236658,20153,71
5,19149737,18145,64
5,21612352,21566,76
5,27077669,28350,100
5,5436439,5674,20
5,8434680,8526,30
5,10419252,10802,38
5,6125090,6823,24
5,7324562,8240,29
5,28666893,30608,108
5,1196168,1144,4
5,14193198,15617,55
5,9596697,9928,35
5,3016729,3419,12
5,20975983,21542,76
5,24999703,25512,90
5,12545547,13044,46
5,6943519,7376,26
5,18303929,17596,62
5,29564148,30614,108
5,24476429,23540,83
5,29113044,30324,107
5,21029035,20426,72
5,24756877,25231,89
5,23300337,23250,82
5,12198053,13046,46
5,22066446,22121,78
5,20181426,19005,67
5,23863716,24100,85
5,23657105,23819,84
5,28322516,29195,103
5,26707056,27498,97
5,21652115,21846,77
5,6036539,6531,23
5,14014307,15042,53
5,15227951,16454,58
5,1621593,1706,6
5,10682309,11074,39
5,10713356,11067,39
5,26955203,26645,94
5,18768947,17286,61
5,21929116,20403,72
5,22893051,21276,75
5,24999171,23804,84
5,15699352,15895,56
5,15248347,15340,54
5,11690194,11357,40
5,15668448,15606,55
5,20826425,19275,68
5,20733295,19296,68
5,19383965,17302,61
5,25504666,24386,86
5,20484796,18713,66
5,22397507,20408,72
5,6828350,7105,25
5,9414285,9082,32
5,9809046,9655,34
5,25794714,24952,88
5,26808520,25800,91
5,19601051,17312,61
5,15703824,15885,56
5,13415768,13350,47
5,816779,861,3
5,15272078,15608,55
5,28154902,27211,96
5,26693208,25796,91
5,11032149,10795,38
5,4466776,4260,15
5,7218335,7671,27
5,18824243,17013,60
5,25635715,24654,87
5,29592891,28067,99
5,6646739,6250,22
5,31163793,30611,108
5,6143641,6262,22
5,29448060,28345,100
5,27829165,26091,92
5,2362767,2274,8
5,10797626,10513,37
5,14091739,14190,50
5,7790342,7941,28
5,21840900,20126,71
5,14275559,13909,49
5,12093818,11644,41
5,1168523,1147,4
5,14826314,14761,52
5,20707179,19004,67
5,23767073,21834,77
5,27905767,26363,93
5,24849661,23536,83
5,835328,861,3
5,21302342,19283,68
5,25944300,24668,87
5,14239736,13911,49
5,24279703,22674,80
5,7968900,8227,29
5,11137987,10790,38
5,20012297,17856,63
5,29169696,27784,98
5,29334185,27781,98
5,23954199,22396,79
5,9519053,9087,32
5,27953123,26935,95
5,26701593,25231,89
5,23145775,21268,75
5,11771768,11645,41
5,14028340,14174,50
5,32002761,30608,108
5,13727992,13618,48
5,14502878,14471,51
5,30507723,29479,104
5,12925706,12492,44
5,15399763,15329,54
5,13347750,12777,45
5,11183649,10790,38
5,14982403,14758,52
5,24400169,22677,80
