VPTREE,EUCLIDEAN,RANDOM,1,4015,445294
k,time,count,disk
5,24520075,26641,94
5,22435528,22685,80
5,23442128,23817,84
5,8838743,8788,31
5,13216523,16187,57
5,1452003,1710,6
5,21322050,22401,79
5,5794513,7104,25
5,20804921,19580,69
5,23315442,22117,78
5,21483674,19853,70
5,637655,572,2
5,19054356,16750,59
5,24430554,24102,85
5,28488227,29481,104
5,14038314,16162,57
5,26251837,28631,101
5,27196136,28346,100
5,20524771,19300,68
5,8956890,9369,33
5,25469983,26646,94
5,20296576,18997,67
5,4941639,5970,21
5,26757410,27217,96
5,26362035,27213,96
5,11162613,12185,43
5,22839367,23535,83
5,13922048,16463,58
5,8727581,9641,34
5,24215688,25800,91
5,11752535,13061,46
5,20427221,20136,71
5,29694107,32025,113
5,4598380,5407,19
5,20682052,22694,80
5,25726776,30044,106
5,5270329,6546,23
5,13213025,16466,58
5,2685617,3419,12
5,9985166,11931,42
5,1258517,1432,5
5,24082059,27219,96
5,24653020,28065,99
5,28197244,30893,109
5,17550982,19291,68
5,26050311,31177,110
5,24074138,28351,100
5,19511579,22113,78
5,600155,572,2
5,23388747,27778,98
5,16914046,18442,65
5,22865639,26935,95
5,22720091,26650,94
5,18963145,21834,77
5,16938182,17865,63
5,16841658,18441,65
5,13042873,16181,57
5,3157586,3990,14
5,20813548,24108,85
5,13355653,16458,58
5,24278369,29474,104
5,10562461,12474,44
5,11590135,14472,51
5,18217211,20704,73
5,16164979,17311,61
5,20942554,23805,84
5,20092626,23256,82
5,18743982,20703,73
5,25427036,30327,107
5,23701181,29194,103
5,610765,572,2
5,16109186,17021,60
5,1646076,1996,7
5,8505007,9074,32
5,23264843,27778,98
5,21628153,24954,88
5,6507211,7937,28
5,11646128,14453,51
5,15946845,17314,61
5,6459994,7964,28
5,2233852,2562,9
5,5497539,6530,23
5,15813854,17012,60
5,2200586,2279,8
5,11574361,14199,50
5,15976611,17002,60
5,18510770,20415,72
5,23764317,28064,99
5,10487205,12493,44
5,17388209,18452,65
5,7967201,9095,32
5,17373117,18723,66
5,16852788,18730,66
5,13814474,15321,54
5,28523126,32025,113
5,7903547,8521,30
5,1500997,1713,6
5,23495163,25798,91
5,14768279,15877,56
5,25154003,25240,89
5,27736514,28352,100
5,7181215,7953,28
5,10130733,10213,36
5,19838830,19579,69
5,29625593,29482,104
5,24985532,24947,88
5,11804122,11349,40
5,10532161,10776,38
5,5761534,5671,20
5,25640746,24958,88
5,24474601,23825,84
5,2295359,2283,8
5,4547162,4549,16
5,27343198,27210,96
5,2205650,2278,8
5,25777721,25237,89
5,29783136,28916,102
5,3776379,3980,14
5,9819720,9360,33
5,24297009,23524,83
5,11914938,11935,42
5,1801341,1996,7
5,15174798,15898,56
5,5394722,5691,20
5,25712122,25520,90
5,10481117,10487,37
5,14835075,15040,53
5,13287582,13889,49
5,31419303,31461,111
5,19810293,18151,64
5,10763153,10795,38
5,599542,572,2
5,6730360,7100,25
5,9630867,9378,33
5,7639666,8253,29
5,10999144,11054,39
5,24270444,24379,86
5,26448712,25806,91
5,28030271,27779,98
5,23110131,22401,79
5,610525,572,2
5,22206120,20155,71
5,596587,572,2
5,18210749,17019,60
5,26848947,26929,95
5,15073069,15615,55
5,11771670,11926,42
5,1762318,1994,7
5,28304753,28344,100
5,13050840,12775,45
5,19496463,17874,63
5,23646014,22390,79
5,23633977,22392,79
5,16102472,15884,56
5,11801143,11932,42
5,2398424,2566,9
5,11893110,11912,42
5,24288033,24087,85
5,23188624,22110,78
5,21693830,20998,74
5,20174633,19572,69
5,22284856,21277,75
5,28734970,26938,95
5,8247703,8225,29
5,3234376,3412,12
5,11422154,10805,38
5,11314678,10786,38
5,5506680,5693,20
5,30041726,30609,108
5,1166919,1148,4
5,17759348,16740,59
5,6690751,6803,24
5,1762600,1993,7
5,12816126,13033,46
5,26886550,27500,97
5,5831800,5679,20
5,9784502,9358,33
5,18157992,16752,59
5,28972477,29196,103
5,24651497,23824,84
5,30443720,31463,111
5,20134244,18432,65
5,24879586,24387,86
5,20833825,20138,71
5,5989978,5952,21
5,23163891,22406,79
5,21230884,20146,71
5,21050053,20701,73
5,27753253,26087,92
5,27544988,26926,95
5,25692245,24951,88
5,19737393,18440,65
5,5607581,5394,19
5,12985498,13346,47
5,13041444,13334,47
5,1590829,1708,6
5,11530717,11075,39
5,11218241,11068,39
5,26148381,25235,89
5,24178202,24096,85
5,27090313,27210,96
5,19851908,19010,67
5,27495807,27490,97
5,21203143,20149,71
5,13180356,13915,49
5,14410650,15047,53
5,14348063,15047,53
5,11376333,11335,40
5,18931034,17307,61
