VPTREE,EUCLIDEAN,SELECTION,1,4015,78677
k,time,count,disk
5,28406029,29757,105
5,24203658,23257,82
5,24792390,23256,82
5,11459717,11635,41
5,13295576,15624,55
5,3921518,4271,15
5,22273989,21838,77
5,4901569,5402,19
5,20118412,18150,64
5,21876545,20127,71
5,11973226,12759,45
5,293771,289,1
5,19005316,17879,63
5,27995310,27210,96
5,31317302,31177,110
5,25641416,24949,88
5,29317493,29470,104
5,28961495,29192,103
5,20253507,17589,62
5,7694464,8241,29
5,30824113,30039,106
5,24532679,23257,82
5,4058892,4271,15
5,28349451,26934,95
5,31900841,31459,111
5,23010276,21828,77
5,26058347,26090,92
5,16412057,17602,62
5,8405309,8798,31
5,22278701,25230,89
5,9704373,10219,36
5,21411072,23251,82
5,39311228,33437,118
5,3326292,3984,14
5,23289693,21561,76
5,26273901,29186,103
5,6510381,7681,27
5,18306241,17882,63
5,2578010,2853,10
5,14019285,15336,54
5,2283920,2567,9
5,27327670,28349,100
5,27281966,28345,100
5,30140834,30607,108
5,19289630,18716,66
5,28415462,29757,105
5,31843362,32872,116
5,21458175,21547,76
5,307703,289,1
5,26383659,27488,97
5,18581579,17870,63
5,30071730,30896,109
5,28693071,30612,108
5,18500254,17860,63
5,19201464,20137,71
5,18808493,19571,69
5,12957830,15051,53
5,604719,575,2
5,24082622,26372,93
5,13784488,16169,57
5,25126210,27487,97
5,20210310,21546,76
5,11971476,14205,50
5,19125897,20129,71
5,17684443,18163,64
5,25925182,27777,98
5,18301639,19281,68
5,11878610,13323,47
5,29677321,32308,114
5,22903378,24939,88
5,308903,289,1
5,22325616,23259,82
5,3330485,3987,14
5,10700115,11637,41
5,22754133,24095,85
5,27759878,30331,107
5,6562242,7372,26
5,20894809,22391,79
5,13407516,15603,55
5,2971975,3418,12
5,4919887,5409,19
5,6819519,7668,27
5,22142234,23808,84
5,4544636,4835,17
5,13206884,15332,54
5,21524769,22961,81
5,24007861,25238,89
5,28806819,32024,113
5,16486676,17033,60
5,11853601,12765,45
5,12153997,13070,46
5,18561263,17876,63
5,15764715,16472,58
5,22760426,22411,79
5,31951339,32872,116
5,11043534,11656,41
5,1694829,2001,7
5,24814786,25516,90
5,13490207,14177,50
5,25799731,25803,91
5,27599916,28635,101
5,9459874,9938,35
5,6543311,7099,25
5,17880407,17027,60
5,30575808,32023,113
5,20482398,19847,70
5,14177654,15040,53
5,8718249,8518,30
5,9758086,10213,36
5,25043510,24951,88
5,22936636,23247,82
5,2633142,2850,10
5,6822612,7672,27
5,28307564,28343,100
5,3622590,3982,14
5,29455148,29200,103
5,31600808,31176,110
5,3374163,3693,13
5,15218491,15599,55
5,30842116,30617,108
5,11309076,11360,40
5,3191058,3418,12
5,19263225,18447,65
5,2509058,2560,9
5,22403898,21830,77
5,19966403,18705,66
5,10332431,9936,35
5,19188367,17855,63
5,30378477,30324,107
5,20362900,19002,67
5,14035307,14490,51
5,308203,289,1
5,10928718,10508,37
5,7806328,8256,29
5,2927037,3136,11
5,21240301,20129,71
5,18669643,16719,59
5,30933455,28354,100
5,28583415,27488,97
5,16267741,16440,58
5,319631,289,1
5,19901944,18167,64
5,303217,289,1
5,16649351,16170,57
5,20948275,19269,68
5,20215037,18164,64
5,12888474,13071,46
5,299493,289,1
5,24699325,24087,85
5,11281742,11066,39
5,12123105,11631,41
5,26711298,24943,88
5,27255263,25229,89
5,24200584,21843,77
5,9189797,8811,31
5,1741480,1999,7
5,16868450,16445,58
5,27773041,26355,93
5,29939931,28342,100
5,21502163,19289,68
5,20758999,19572,69
5,18263558,16744,59
5,26615102,24092,85
5,7597465,7662,27
5,5631853,5972,21
5,4658684,4549,16
5,6153886,6543,23
5,8778337,8535,30
5,33566673,32306,114
5,1652653,1716,6
5,15614779,15608,55
5,10690745,10211,36
5,1080966,1148,4
5,15444066,15590,55
5,24249033,22111,78
5,11725150,11348,40
5,14003808,13618,48
5,16094526,16180,57
5,33148068,31745,112
5,27075673,25246,89
5,30895826,29187,103
5,27444903,24959,88
5,14466187,13897,49
5,16734572,16445,58
5,8034295,8221,29
5,24212821,22687,80
5,20901516,19013,67
5,22375732,20411,72
5,29034184,27788,98
5,43290668,33154,117
5,14437195,13330,47
5,22300517,19280,68
5,5894580,5966,21
5,10846301,10501,37
5,27704829,25242,89
5,1672591,1707,6
5,13187027,13070,46
5,20201338,18167,64
5,28714789,27222,96
5,22702885,20408,72
5,27042148,25229,89
5,13303299,12760,45
5,28853094,27769,98
5,19125600,16738,59
5,12551116,12207,43
5,8859424,8520,30
5,14843479,15049,53
5,20610040,18995,67
5,10280316,9932,35
5,20140056,17862,63
5,20182956,18710,66
5,15002849,14748,52
5,23913530,20980,74
5,7044273,7402,26
5,9208249,8818,31
5,10557300,10522,37
5,24633887,22115,78
5,30669500,29200,103
5,16871974,16465,58
5,20449766,18444,65
5,10550033,9936,35
5,1137985,1145,4
5,13877431,13899,49
5,30893791,29767,105
5,26948953,25513,90
5,14123752,13915,49
5,6782321,6528,23
5,5313719,5690,20
5,18617277,16725,59
5,23333912,21537,76
5,31703878,30048,106
5,7065262,7109,25
5,33773018,32026,113
5,3356318,3409,12
5,28713372,26923,95
5,31827362,28921,102
5,11238477,10508,37
5,5301716,5111,18
5,19393609,17031,60
5,13165970,12480,44
5,23242299,20412,72
5,13793625,13341,47
5,15004563,14475,51
5,602302,573,2
