VPTREE,EUCLIDEAN,SSS,1,4015,145315
k,time,count,disk
5,30058082,31456,111
5,27145773,24667,87
5,29176905,26931,95
5,5147349,5671,20
5,13974149,14192,50
5,4869673,5127,18
5,11704596,12753,45
5,6297738,7393,26
5,12094669,12760,45
5,24773619,23253,82
5,22200435,18438,65
5,318436,289,1
5,22352322,18164,64
5,26503775,23808,84
5,31612211,30326,107
5,24297933,21272,75
5,28020154,26357,93
5,29211530,28064,99
5,15864975,16164,57
5,12639094,13620,48
5,29146221,29760,105
5,26072010,24099,85
5,5875333,6828,24
5,28698012,26930,95
5,27985882,25793,91
5,26246787,24378,86
5,24666204,21836,77
5,21243146,17588,62
5,4393487,4252,15
5,25288184,23244,82
5,10370040,10222,36
5,21182606,18436,65
5,32485372,32589,115
5,4776659,5125,18
5,20231272,20427,72
5,25058630,26355,93
5,5792929,6826,24
5,9641499,10228,36
5,2992927,3426,12
5,6146961,7384,26
5,2950127,3425,12
5,22540556,22963,81
5,21804580,21824,77
5,29233507,32023,113
5,14773630,16160,57
5,27570405,30890,109
5,28701241,31172,110
5,20907217,21266,75
5,309520,289,1
5,25711701,26075,92
5,14440497,15027,53
5,28845781,29198,103
5,23538648,23246,82
5,19204118,17590,62
5,20806381,19566,69
5,14512948,14747,52
5,20530826,19578,69
5,2856967,2848,10
5,21687042,20986,74
5,12720383,13050,46
5,27293195,28344,100
5,20369548,19274,68
5,10319269,10507,37
5,14775307,15306,54
5,14262251,14473,51
5,29380986,28907,102
5,22498606,20976,74
5,12301705,12192,43
5,31860587,31456,111
5,21856297,20405,72
5,336362,289,1
5,27320355,24385,86
5,5330902,5118,18
5,7443470,7369,26
5,25070978,22671,80
5,29878561,26934,95
5,19487090,17034,60
5,22088269,19271,68
5,12929001,12202,43
5,7279652,7397,26
5,2664906,2562,9
5,9848761,8802,31
5,29102024,26643,94
5,6595405,6542,23
5,10184812,9372,33
5,30918241,28625,101
5,26778519,24101,85
5,28264677,26073,92
5,16997293,16459,58
5,20654560,17588,62
5,6370853,6255,22
5,12092397,11061,39
5,13646378,13053,46
5,20963190,17584,62
5,34077836,32587,115
5,5381890,5120,18
5,1552601,1708,6
5,29245870,26365,93
5,26794161,23813,84
5,25581193,22965,81
5,29589379,26366,93
5,5617299,5416,19
5,7506414,7383,26
5,7785145,7662,27
5,28849545,25788,91
5,24483822,21821,77
5,12697132,12193,43
5,19395535,16728,59
5,11169014,9931,35
5,29443809,26366,93
5,20892681,17860,63
5,2350799,2281,8
5,8223609,8243,29
5,31134580,29189,103
5,6714233,6541,23
5,28183127,25232,89
5,31962432,28909,102
5,5106999,4843,17
5,22175860,19577,69
5,26140990,22956,81
5,8299417,8238,29
5,3530507,3709,13
5,14709381,13624,48
5,1389968,1425,5
5,21503059,18708,66
5,12615022,12468,44
5,10608337,9647,34
5,9410235,8500,30
5,26184695,23238,82
5,21995436,19285,68
5,10083271,9369,33
5,287050,289,1
5,6534169,6531,23
5,12347089,11647,41
5,7789538,8246,29
5,16139008,15870,56
5,23736217,22105,78
5,29469924,27217,96
5,28580370,26924,95
5,22152614,19846,70
5,319289,289,1
5,20864567,18166,64
5,311572,289,1
5,22946540,20410,72
5,23972764,22397,79
5,12610605,12208,43
5,13186934,12774,45
5,625250,577,2
5,29673064,28053,99
5,11743128,11350,40
5,15350300,14748,52
5,26959691,24947,88
5,29027714,27492,97
5,24292576,22127,78
5,9364469,8806,31
5,1302697,1432,5
5,21210720,19003,67
5,23927119,21820,77
5,28058803,26078,92
5,26087913,23544,83
5,21001351,18719,66
5,22187837,20140,71
5,31068784,29194,103
5,5355469,5104,18
5,5284316,5400,19
5,6189062,5969,21
5,3523351,3704,13
5,9116002,8530,30
5,32697931,30607,108
5,623733,572,2
5,15745741,15321,54
5,5990538,5955,21
5,799471,855,3
5,23005195,20971,74
5,30424346,28908,102
5,19614795,17591,62
5,10573629,9925,35
5,20140269,17877,63
5,33120273,30891,109
5,20915926,18437,65
5,32977877,31171,110
5,29653465,27213,96
5,24529488,22118,78
5,23489860,21268,75
5,8237716,7942,28
5,19654935,16739,59
5,13805233,13061,46
5,26694355,24103,85
5,24948910,21262,75
5,33268181,30607,108
5,29419380,26364,93
5,16035554,15326,54
5,5807005,5400,19
5,11828163,11069,39
5,28198357,25235,89
5,3222129,3125,11
5,6270761,6255,22
5,16750578,16175,57
5,28523431,25802,91
5,22601237,19837,70
5,26329488,23810,84
5,19620563,17016,60
5,30169635,28057,99
5,21845507,19007,67
5,11104939,9930,35
5,6055615,5969,21
5,10675468,9938,35
5,15999711,15304,54
5,14921033,14181,50
5,16000376,14455,51
5,26619367,23530,83
