OMNIKDTREE,EUCLIDEAN,FFT,2,4015,476266
k,time,count,disk
5,75191006,32128,113
5,82798730,36106,127
5,82876316,36106,127
5,70170517,31002,109
5,15099159,6830,24
5,17465069,7968,28
5,82669568,35823,126
5,69804080,30712,108
5,81786802,35823,126
5,76781901,33832,119
5,30232383,13648,48
5,19426990,8830,31
5,6128078,2853,10
5,54773478,24456,86
5,20111844,9099,32
5,78323574,35255,124
5,14332751,8532,30
5,28389506,15642,55
5,58945406,34973,123
5,39774107,24743,87
5,61572104,36106,127
5,57949467,33832,119
5,48072766,29571,104
5,43083305,25594,90
5,46638044,29001,102
5,43907281,24170,85
5,25033479,10808,38
5,84918819,36106,127
5,72609012,31277,110
5,72183743,31560,111
5,53106901,23039,81
5,50156876,21610,76
5,84951920,36106,127
5,60089652,25595,90
5,30987951,13648,48
5,72838052,31560,111
5,62938919,27299,96
5,22274292,9672,34
5,25968403,11376,40
5,74929396,32140,113
5,37432903,16509,58
5,24567795,10808,38
5,23189098,10240,36
5,84900614,36387,128
5,79079873,33835,119
5,85881254,36106,127
5,85856348,36106,127
5,15331545,6829,24
5,4429070,1997,7
5,81122075,34970,123
5,72489508,31279,110
5,83792614,36105,127
5,57445922,25020,88
5,45146617,19334,68
5,83708467,35823,126
5,83884677,35823,126
5,84560255,36106,127
5,32491352,14224,50
5,59434093,25594,90
5,84881408,35823,126
5,68976927,29856,105
5,15621670,6830,24
5,83346929,36106,127
5,72465752,31277,110
5,10364156,4557,16
5,84263748,36106,127
5,84787191,35822,126
5,64622928,27581,97
5,85534694,36384,128
5,85441439,36106,127
5,3138648,1431,5
5,82574591,35255,124
5,50243008,21621,76
5,73001107,31570,111
5,84314675,36106,127
5,85395582,36388,128
5,61040386,25891,91
5,23603155,10240,36
5,72040575,30994,109
5,67270226,28719,101
5,49900224,21621,76
5,68847214,29854,105
5,84703684,36106,127
5,29953821,13085,46
5,65164665,28441,100
5,18056328,7964,28
5,82513185,35255,124
5,73123558,31560,111
5,83278660,34974,123
5,85154230,35823,126
5,63535839,26735,94
5,72058339,30994,109
5,15553431,6829,24
5,71652368,30708,108
5,84858736,36106,127
5,14274382,6263,22
5,4984242,2280,8
5,71123365,30422,107
5,73821126,31560,111
5,85545113,36106,127
5,67523621,29001,102
5,50394832,21903,77
5,13529085,5978,21
5,73372073,35540,125
5,37575442,23316,82
5,58279926,36106,127
5,44299747,25876,91
5,45058180,28152,99
5,28608226,17917,63
5,54660716,33835,119
5,17290532,10808,38
5,35891822,22479,79
5,36649754,22754,80
5,39374186,23316,82
5,37252825,23050,81
5,58723149,36384,128
5,59325389,34970,123
5,44028679,27303,96
5,32784642,20472,72
5,58606069,36106,127
5,49310879,27871,98
5,27571641,17064,60
5,51828523,32130,113
5,24565190,15360,54
5,30936474,13648,48
5,68803372,29571,104
5,68470367,29579,104
5,29148119,12515,44
5,85107102,36106,127
5,80126397,33549,118
5,84752156,35823,126
5,3856135,1714,6
5,63374535,27306,96
5,81563132,34125,120
5,53906972,23036,81
5,76574112,32699,115
5,71329522,29855,105
5,15382020,6830,24
5,49271015,21045,74
5,76591454,32413,114
5,1280583,575,2
5,85193283,35823,126
5,1878445,859,3
5,74465085,31277,110
5,47578670,20474,72
5,53382638,23039,81
5,40750498,17346,61
5,28186124,12233,43
5,73362937,30706,108
5,82688653,34971,123
5,31033126,13648,48
5,85244019,36106,127
5,76678918,32415,114
5,85296066,35823,126
5,47158281,19912,70
5,47580322,20484,72
5,22187950,9672,34
5,71543664,30991,109
5,63488981,27297,96
5,83807022,35823,126
5,21445878,9104,32
5,80021489,33555,118
5,86235359,36106,127
5,66092416,27870,98
5,58604646,25321,89
5,57736457,24465,86
5,59460221,25036,88
5,13493266,5979,21
5,81797182,34970,123
5,42606610,17927,63
5,85388700,35823,126
5,32919375,14219,50
5,4385508,1996,7
5,39387741,16777,59
5,76534818,32983,116
5,50893609,22184,78
5,74837633,32140,113
5,84348870,35823,126
5,84557351,36385,128
5,36791710,15925,56
5,72860604,31274,110
5,84467802,36106,127
5,31167097,13648,48
5,36148244,15925,56
5,25440342,11095,39
5,46533828,20472,72
5,36669761,15925,56
5,83790852,36106,127
5,40455544,17629,62
5,85642305,36106,127
5,79311157,33832,119
5,67549639,29001,102
5,71180022,30435,107
5,61794120,26735,94
5,84269169,35823,126
5,11506819,5126,18
5,62015346,26735,94
5,69218772,29571,104
5,83699150,35538,125
5,62196405,26724,94
5,73278098,31560,111
5,78872323,33557,118
5,84521533,36106,127
5,79914950,34125,120
5,76632451,32987,116
5,73483303,31570,111
5,14187259,6263,22
5,77398969,33264,117
5,74781628,32140,113
5,77307206,33549,118
5,82146426,35822,126
5,79203776,34407,121
5,82965915,36106,127
5,71168650,31281,110
5,78272367,34125,120
5,76983931,33272,117
5,83136604,36106,127
5,29271491,13080,46
5,77366779,33555,118
5,56620173,25027,88
5,63533965,28156,99
5,27802845,12516,44
5,60680312,27020,95
5,68209627,30137,106
5,71084502,31560,111
5,73674551,32140,113
5,43655239,19339,68
5,59742932,26170,92
5,82146216,35823,126
5,57070879,25310,89
5,70093933,30990,109
5,63579892,27868,98
5,66935006,29569,104
5,46550851,20477,72
5,36199359,16209,57
5,38176118,17060,60
5,66420211,29296,103
5,68057673,30144,106
5,77388259,33555,118
5,72263003,31851,112
5,82778403,36106,127
5,47831223,21335,75
5,81636499,35540,125
5,22845174,10247,36
5,71043626,31570,111
5,75807493,33264,117
5,30318726,13648,48
5,82073260,36106,127
5,82622721,35823,126
5,19135201,8544,30
5,82190950,35823,126
5,81698567,35823,126
5,74055587,32140,113
5,83060041,35822,126
5,78383126,33551,118
5,61685387,26735,94
5,55744430,24170,85
5,82262094,36106,127
5,83041436,36106,127
5,82352173,35822,126
5,46545120,20482,72
5,56748935,25020,88
5,82821443,36106,127
5,82922894,36106,127
5,72169348,31560,111
5,51120885,22465,79
5,83373289,36106,127
5,70703487,31277,110
5,55699817,24743,87
5,82952559,36385,128
5,61138151,27020,95
5,77613041,34125,120
5,68655264,30144,106
5,44887280,19912,70
5,78359271,34125,120
5,22796071,10240,36
5,44135880,19627,69
5,82676972,36106,127
5,57833309,25594,90
5,82068090,35823,126
5,82692341,35823,126
5,80291707,35255,124
5,64634109,28718,101
5,42267244,18774,66
5,82442983,36106,127
5,68590704,30144,106
5,49615731,21898,77
5,32027191,14510,51
5,6163784,2853,10
5,82262024,35823,126
5,68703394,30144,106
5,46706132,20767,73
5,65297605,29009,102
5,81956040,35823,126
5,65378606,29001,102
5,82073810,35823,126
5,82538472,36106,127
5,80024225,34970,123
5,76864717,33552,118
5,17555869,7980,28
5,80874671,35538,125
5,73747016,32413,114
5,83011080,36106,127
5,42210928,18774,66
5,81776312,35822,126
5,11308518,5123,18
5,11223869,5125,18
5,81373817,35823,126
5,29059964,13081,46
5,82079261,35823,126
5,44295219,19621,69
5,59961703,26724,94
5,60755622,27020,95
5,64856948,28718,101
5,82961105,36106,127
5,66277823,29286,103
5,78456294,34125,120
5,82664128,35823,126
5,83526797,35823,126
5,15152861,6830,24
5,65085907,28718,101
5,35767589,15925,56
5,57761985,25321,89
5,82247707,35823,126
5,83361306,36383,128
5,21444836,9672,34
5,82730563,36106,127
5,10589528,4842,17
5,73808884,32699,115
5,70339414,31001,109
5,82188546,36106,127
5,56576932,25020,88
5,11202539,5123,18
5,14452687,6830,24
5,26490693,11950,42
5,65698517,29008,102
5,83041516,35538,125
5,648036,290,1
5,596840,290,1
5,5658527,2570,9
5,76298856,33272,117
5,43582311,19334,68
5,10025390,4557,16
5,82500351,36106,127
