OMNIKDTREE,EUCLIDEAN,GNAT,2,4015,122789
k,time,count,disk
5,85144942,35537,125
5,86122196,36387,128
5,85834746,36387,128
5,75347781,32135,113
5,79942050,33838,119
5,34185790,14794,52
5,83965260,35538,125
5,46868156,20472,72
5,79190771,33832,119
5,8833935,3987,14
5,79100471,33832,119
5,11511439,5122,18
5,78444711,36106,127
5,54698969,33547,118
5,52665033,32411,114
5,39396417,23314,82
5,52348078,32411,114
5,58610948,36384,128
5,54887102,33838,119
5,48767369,30143,106
5,57799206,35253,124
5,46780291,29001,102
5,47988999,28154,99
5,59382396,35821,126
5,31029459,19336,68
5,61884730,36105,127
5,59013844,34115,120
5,54160178,33264,117
5,53760437,33265,117
5,58116281,36105,127
5,57423320,33832,119
5,55581314,34115,120
5,58879151,36383,128
5,41040742,24173,85
5,37999015,23882,84
5,43532498,27298,96
5,50628391,31566,111
5,56522791,33832,119
5,30486721,18774,66
5,32769103,20472,72
5,27653866,15649,55
5,58437673,36386,128
5,36629827,20472,72
5,59302035,36385,128
5,16250239,10240,36
5,59386233,35821,126
5,60420984,36384,128
5,46468176,29001,102
5,888467,576,2
5,50212851,31273,110
5,6222475,3987,14
5,58693293,36383,128
5,60766593,36384,128
5,58262766,29855,105
5,78524670,34970,123
5,65884315,29001,102
5,60399343,28158,99
5,7298394,4557,16
5,64402214,35253,124
5,47921372,29569,104
5,61891133,36385,128
5,46605573,29001,102
5,73755002,36106,127
5,76649493,34970,123
5,57201444,34970,123
5,23607122,14787,52
5,46763299,29001,102
5,50376649,31275,110
5,60882119,36387,128
5,55244151,32979,116
5,883597,576,2
5,51363410,32128,113
5,30564847,18774,66
5,53159139,32419,114
5,49412339,30705,108
5,60613475,36383,128
5,23526231,13648,48
5,49498140,29855,105
5,54503191,33838,119
5,44418950,26740,94
5,6281967,3989,14
5,39872601,25020,88
5,45182723,28150,99
5,33226290,19340,68
5,55070015,33264,117
5,62092751,35821,126
5,52375449,32411,114
5,58993326,36385,128
5,58014950,33832,119
5,3124262,2002,7
5,47147180,24737,87
5,47632361,20472,72
5,83000128,36106,127
5,56830358,25021,88
5,82817266,35821,126
5,79936120,34121,120
5,24465804,10812,38
5,83657021,36384,128
5,74377189,32696,115
5,82198906,35821,126
5,83938900,36384,128
5,43802553,19336,68
5,52297894,23032,81
5,78408273,33832,119
5,75423191,32979,116
5,73953425,32411,114
5,72678482,31851,112
5,73332370,32128,113
5,62232152,27306,96
5,84150046,36386,128
5,75150591,32979,116
5,45958820,19912,70
5,38719076,16780,59
5,82388070,35253,124
5,49131363,21045,74
5,86021036,36383,128
5,86229538,36383,128
5,47603856,20472,72
5,74356250,32128,113
5,15464746,6829,24
5,77726383,32987,116
5,37129054,16215,57
5,68417207,29569,104
5,23781961,10240,36
5,84863093,35821,126
5,72513122,30993,109
5,78900557,33549,118
5,79609187,33547,118
5,79920129,33547,118
5,82373833,34970,123
5,80247173,33832,119
5,1265445,576,2
5,59601988,25320,89
5,47046771,20196,71
5,61617159,26456,93
5,83020687,35253,124
5,84704676,35821,126
5,78929401,33547,118
5,84044809,35821,126
5,83325609,35537,125
5,1263661,576,2
5,62336519,26740,94
5,1257710,576,2
5,72222587,30990,109
5,82063070,35253,124
5,79915912,33832,119
5,80427462,33555,118
5,15752395,6826,24
5,82773673,35253,124
5,67135192,29001,102
5,67226283,28719,101
5,78803074,33547,118
5,75701935,32411,114
5,76182527,32411,114
5,78360293,33264,117
5,33910034,14791,52
5,69346922,30422,107
5,79402999,34115,120
5,70330127,30705,108
5,83525795,36106,127
5,78549939,33832,119
5,78563174,33555,118
5,13983958,6261,22
5,65939830,28439,100
5,43119923,18774,66
5,50107794,21615,76
5,76856501,32987,116
5,46417901,19913,70
5,53299373,23314,82
5,25931944,11385,40
5,79600530,33838,119
5,56878148,24454,86
5,23069664,10241,36
5,75024665,32411,114
5,75192880,32411,114
5,66948111,29001,102
5,78010526,33270,117
5,47506625,20472,72
5,84748308,36385,128
5,85522842,36385,128
5,47616300,20472,72
5,57854990,25020,88
5,84961338,36385,128
5,57494984,25020,88
5,71185541,30994,109
5,81469536,35253,124
5,84017097,36106,127
5,72912592,31844,112
5,85092925,36385,128
5,81851083,35253,124
5,62392333,36383,128
5,60684269,36106,127
5,16869071,10809,38
5,52233453,31281,110
5,32662193,20472,72
5,3517590,2282,8
5,42621539,25305,89
5,27431378,17349,61
5,59399889,36383,128
5,42147649,25588,90
5,61038302,35821,126
5,51911829,32128,113
5,58361030,35253,124
5,44975756,26740,94
5,48863540,29009,102
5,57456843,33555,118
5,59053629,34970,123
5,54067704,33264,117
5,51748132,32128,113
5,50154001,27581,97
5,46980206,29001,102
5,21044545,13081,46
5,65072772,36385,128
5,43608731,26740,94
5,54831317,33555,118
5,59195996,32981,116
5,59501018,36385,128
5,49261176,30705,108
5,55235706,33838,119
5,60608396,33832,119
5,52410565,31845,112
5,17906317,10536,37
5,47300166,29009,102
5,62057665,36385,128
5,56473307,35253,124
5,74725362,33549,118
5,45269056,20202,71
5,27597590,12516,44
5,64895800,29001,102
5,75670847,33547,118
5,83012271,36384,128
5,79216019,34687,122
5,82502836,36384,128
5,31676924,14230,50
5,82643901,36385,128
5,83193411,36383,128
5,54509684,24184,85
5,60641909,26741,94
5,61554381,27023,95
5,72230793,31847,112
5,83262470,36387,128
5,77208582,33555,118
5,78594744,33838,119
5,21231906,9397,33
5,82051529,35255,124
5,81253651,35253,124
5,79724051,34970,123
5,82911893,36385,128
5,76624446,33547,118
5,14329987,6548,23
5,76721959,33547,118
5,79809161,34970,123
5,81897310,35538,125
5,80579747,35253,124
5,61551155,27014,95
5,82448574,35823,126
5,67025706,29855,105
5,66888590,36105,127
5,69936056,36383,128
5,83201817,35253,124
5,45504628,19336,68
5,67155710,29001,102
5,83619601,35821,126
5,82063811,35253,124
5,41734164,18200,64
5,80211306,34115,120
5,60307211,25588,90
5,67023192,29008,102
5,44410464,19336,68
5,45484731,19336,68
5,30188631,13365,47
5,75068958,32416,114
5,66604485,28443,100
5,80846077,33555,118
5,67781475,28433,100
5,85620765,35821,126
5,22999082,9960,35
5,82267714,35253,124
5,83745627,35821,126
5,85526728,36386,128
5,77143520,32982,116
5,84043797,35538,125
5,80722165,34115,120
5,77990730,32981,116
5,58887127,25020,88
5,67522319,29009,102
5,43204923,18768,66
5,82203554,34691,122
5,86130302,36106,127
5,84972529,35538,125
5,80108353,33549,118
5,46029532,19905,70
5,68458836,29575,104
5,58917723,25598,90
5,79663218,33555,118
5,57630038,24737,87
5,38310050,16492,58
5,85848924,36383,128
5,26077728,11376,40
5,13046017,5977,21
5,79012847,33547,118
5,84836284,36106,127
5,80864011,34121,120
5,84227763,35538,125
5,84608676,35821,126
5,82521019,35253,124
5,4458976,1998,7
5,85821913,36388,128
5,68616141,35253,124
5,60016676,36388,128
5,57650316,35253,124
5,33316150,20472,72
5,55162067,33549,118
5,38998921,23882,84
5,49773438,30705,108
5,55588317,33832,119
5,58480023,35538,125
5,48993724,29001,102
5,58200930,35253,124
5,58686870,35821,126
5,64110026,36388,128
5,49625039,29001,102
5,55397399,33555,118
5,60157650,34121,120
5,60045991,36383,128
5,4583911,2853,10
5,55653701,34115,120
5,48327844,28725,101
5,25746637,15925,56
5,52455279,30714,108
5,63380458,36386,128
5,57531753,35253,124
5,54924492,32411,114
5,57856152,34115,120
5,16633459,9111,32
5,57091357,34687,122
5,21991742,13648,48
5,876364,576,2
5,800101,576,2
5,59287598,36385,128
5,55843817,33832,119
5,59602800,36385,128
5,58989910,34970,123
5,40731292,25020,88
5,961173,576,2
5,19209192,11958,42
5,61432211,34972,123
5,52993659,32411,114
5,59779271,36383,128
5,59625702,36387,128
5,59518431,36383,128
5,42158951,25889,91
5,61910409,36385,128
5,54615192,33270,117
5,3565189,2286,8
5,46146903,28441,100
5,51460272,29288,103
5,50123665,30994,109
5,55613184,33838,119
5,61410170,36105,127
5,51683531,30705,108
5,33282597,20472,72
5,59225581,36387,128
5,63091765,35821,126
5,59170048,34115,120
5,15257667,6829,24
5,74073330,32132,113
5,82368173,35821,126
5,83656751,36387,128
5,24268253,10809,38
5,57268570,25020,88
5,15839499,7121,25
5,15079002,6829,24
5,78312063,34115,120
5,81517005,35253,124
5,4357546,2002,7
5,54239366,23037,81
5,43935414,18195,64
5,52942393,22747,80
5,86259624,36383,128
