OMNIKDTREE,EUCLIDEAN,HFI,2,4015,200575
k,time,count,disk
5,39211743,24456,86
5,40664239,22480,79
5,41779180,26741,94
5,5422494,2568,9
5,27843613,17366,61
5,6854712,4561,16
5,15248030,10242,36
5,16135746,10819,38
5,14031618,9673,34
5,34528156,23044,81
5,24476004,15359,54
5,3288892,2282,8
5,31686944,21052,74
5,37890364,24180,85
5,40729662,25883,91
5,37398321,25034,88
5,31522556,20198,71
5,38721574,25880,91
5,20902749,14222,50
5,21519186,14512,51
5,35185819,23884,84
5,30721744,20494,72
5,16431861,11110,39
5,35075853,23609,83
5,39436365,26450,93
5,13817655,9393,33
5,36024183,24179,85
5,32414520,21618,76
5,8111851,5691,20
5,29987646,20476,72
5,19874410,13656,48
5,25988061,17649,62
5,45397350,30422,107
5,13679728,9390,33
5,37693675,25326,89
5,26673337,17917,63
5,17655096,11946,42
5,24681992,16792,59
5,8908065,6263,22
5,25532026,17357,61
5,5670560,3992,14
5,37804823,25319,89
5,33773639,22750,80
5,49149059,32982,116
5,18582596,10809,38
5,46773711,29861,105
5,51161865,29294,103
5,27980189,17923,63
5,441839,290,1
5,35303831,22750,80
5,14919945,10243,36
5,42002730,26744,94
5,34637611,23326,82
5,27157305,17930,63
5,30555331,18781,66
5,29710585,19909,70
5,28743262,19346,68
5,3947387,2853,10
5,34595452,23327,82
5,25089465,16789,59
5,28883064,18201,64
5,12278068,8540,30
5,28059969,18783,66
5,10620537,7398,26
5,28343912,19066,67
5,35995188,24179,85
5,18894381,13081,46
5,19424156,13376,47
5,37489101,25589,90
5,17378137,11943,42
5,413145,290,1
5,25302335,17075,60
5,7347917,5128,18
5,5251433,3704,13
5,28091208,19053,67
5,38701055,26163,92
5,10631969,7402,26
5,22150481,15360,54
5,25825988,17643,62
5,15920331,10810,38
5,10940057,7698,27
5,27601869,18500,65
5,37455388,25315,89
5,10623494,7411,26
5,26708944,18217,64
5,20529629,14222,50
5,28103481,19064,67
5,38666140,25881,91
5,23461531,15940,56
5,33585848,22763,80
5,16506912,11394,40
5,17203769,11672,41
5,26107486,17641,62
5,21786098,14803,52
5,47256227,31847,112
5,19202500,13098,46
5,9010116,6260,22
5,31849479,21333,75
5,32209675,21615,76
5,40753355,27586,97
5,43063982,29011,102
5,15028518,10252,36
5,11577192,7981,28
5,22752490,15654,55
5,43419588,29292,103
5,19250360,13081,46
5,15543124,10807,38
5,14907421,10524,37
5,7459547,5412,19
5,37317218,25314,89
5,23967641,16217,57
5,8513233,5980,21
5,15611091,10825,38
5,32433365,21897,77
5,6516627,4562,16
5,41402995,27870,98
5,41498583,27869,98
5,16076394,10816,38
5,19549922,11375,40
5,40405072,27026,95
5,17676666,11962,42
5,9683880,6828,24
5,28365422,18215,64
5,6350686,3704,13
5,39970978,19054,67
5,13165753,8535,30
5,18546890,12804,45
5,10861680,7685,27
5,38285185,25599,90
5,27290967,18211,64
5,31331177,20769,73
5,409649,290,1
5,7469756,5124,18
5,26551659,16502,58
5,17212505,10812,38
5,9551051,6548,23
5,20388134,13939,49
5,41869921,26458,93
5,39424783,24463,86
5,25398305,14796,52
5,422834,290,1
5,36490828,24466,86
5,411081,290,1
5,17517818,11945,42
5,30193021,20481,72
5,23412119,15942,56
5,22799979,14235,50
5,4806629,3419,12
5,40683734,25594,90
5,23971739,16215,57
5,19485130,13373,47
5,38570149,25596,90
5,31826977,21330,75
5,36870230,24461,86
5,20945000,13947,49
5,8443002,5980,21
5,28791843,18216,64
5,24218492,16500,58
5,28337109,19344,68
5,27011492,17637,62
5,28493242,19066,67
5,31841404,21335,75
5,40482799,27301,96
5,3272180,2283,8
5,15943776,10813,38
5,15040100,10241,36
5,12601214,8531,30
5,19692319,12814,45
5,46367450,30431,107
5,4955188,3422,12
5,32373193,21627,76
5,5296537,3705,13
5,5868090,3988,14
5,13888840,8252,29
5,15468764,10813,38
5,13962718,9673,34
5,4753760,3419,12
5,27927882,18492,65
5,45593347,29004,102
5,36884206,24466,86
5,32306317,21611,76
5,32253317,21617,76
5,33917279,22759,80
5,31388184,20763,73
5,12061611,7966,28
5,33723075,21047,74
5,34411286,21630,76
5,39056242,24185,85
5,36281926,23613,83
5,41038321,27015,95
5,41746019,25597,90
5,27502213,18209,64
5,9185746,6262,22
5,17631652,10818,38
5,28146812,18782,66
5,5340531,2855,10
5,18626239,12529,44
5,21826163,14808,52
5,40648730,26170,92
5,11878638,8252,29
5,30723136,20476,72
5,16109687,11096,39
5,23281503,15929,56
5,24931499,16499,58
5,11184155,6828,24
5,16023215,10809,38
5,20830084,14235,50
5,8989217,6260,22
5,20045962,13665,48
5,17733423,12232,43
5,34173150,21626,76
5,10603906,7398,26
5,34371622,22753,80
5,17236973,10245,36
5,19242836,13083,46
5,21568951,14798,52
5,37520820,23321,82
5,32873831,21909,77
5,30369814,20204,71
5,23557120,15935,56
5,15939407,11100,39
5,2409821,1715,6
5,20876391,14234,50
5,40193885,26738,94
5,22196518,15076,53
5,15409252,10531,37
5,5743157,3986,14
5,11280666,7698,27
5,20832628,14225,50
5,19288582,13374,47
5,42222712,27868,98
5,28113170,18782,66
5,40608173,27013,95
5,5778962,3986,14
5,37584130,25026,88
5,39574043,26169,92
5,6265296,4273,15
5,6019304,4272,15
5,27634461,18208,64
5,3628899,2568,9
5,33196226,21904,77
5,22572183,15370,54
5,23718322,15942,56
5,2800095,1998,7
5,6517669,4555,16
5,27154950,18206,64
5,11359314,7969,28
5,44767488,29864,105
5,32623642,21624,76
5,2373884,1715,6
5,30748814,20208,71
5,16915198,11377,40
5,24729571,16227,57
5,41376084,25589,90
5,5727056,3988,14
5,20417960,13649,48
5,30371426,18772,66
5,44600463,27868,98
5,43163208,28164,99
5,21420802,13652,48
5,17253032,11674,41
5,38494188,25030,88
5,32923805,20759,73
5,33753993,22479,79
5,21997303,14795,52
5,17269463,11667,41
5,48106181,32130,113
5,25468858,16796,59
5,26780779,17925,63
5,44400338,28160,99
5,16941267,11387,40
5,17146633,11945,42
5,9198810,6548,23
5,19820169,13381,47
5,23332309,14507,51
5,34364739,23041,81
5,8285927,5704,20
5,37806457,25022,88
5,35681630,21045,74
5,29540979,18203,64
5,26406467,17627,62
5,21843956,14797,52
5,27064952,18211,64
5,22337212,13668,48
5,34380849,21910,77
5,24639030,16500,58
5,4120251,2847,10
5,19086472,13083,46
5,26385788,17637,62
5,24483999,16503,58
5,13895021,9390,33
5,17551783,11961,42
5,17851936,12241,43
5,36390530,24463,86
5,23263880,15656,55
5,12628575,8535,30
5,34292263,23037,81
5,43161043,28435,100
5,26236528,17360,61
5,2406015,1716,6
5,35689345,23899,84
5,12466020,8538,30
5,39712793,26449,93
5,22891763,15373,54
5,16329709,11094,39
5,37367132,25029,88
5,2363515,1712,6
5,28396831,19054,67
5,35959190,23893,84
5,36349212,23890,84
5,20876080,13657,48
5,29768745,19909,70
5,21606140,13385,47
5,17481921,11945,42
5,46468158,30717,108
5,6896961,4841,17
5,19074600,12820,45
5,29450488,19630,69
5,28663341,19063,67
5,27817594,18493,65
5,31157481,20779,73
5,17500596,11951,42
5,13201440,8826,31
5,29499130,19632,69
5,54487385,35538,125
5,30842560,20201,71
5,38337122,25602,90
5,11609562,7966,28
5,28385310,19060,67
5,10265701,7119,25
5,39515833,26449,93
5,23740094,15931,56
5,33535533,22469,79
5,27998884,18773,66
5,4128236,2850,10
5,14217526,9684,34
5,32405793,21614,76
5,395482,290,1
5,387106,290,1
5,32371940,21627,76
5,6588612,4555,16
5,49240922,31850,112
5,20882462,13947,49
5,36814155,24468,86
5,796685,575,2
5,5650522,3992,14
5,29830572,19920,70
5,22391744,15373,54
5,40151496,26732,94
5,31914953,21334,75
5,41114633,27298,96
5,8233128,5690,20
5,35581482,23613,83
5,6517119,4555,16
5,32524256,21621,76
5,16638238,11386,40
5,5636566,3989,14
5,25600886,17348,61
5,23245486,15938,56
5,32213473,21620,76
5,35230613,23613,83
5,17812081,11960,42
5,35613522,23885,84
5,38369092,25313,89
5,34397641,23036,81
5,23259913,15656,55
5,23044128,15654,55
5,34422527,23042,81
5,33068848,22185,78
5,21619565,14510,51
5,34165164,20486,72
5,3449924,2296,8
5,18900724,12528,44
5,27350428,18210,64
5,41144150,27592,97
5,33526535,22183,78
5,8315683,5691,20
5,42891108,27299,96
5,19722455,13385,47
5,44085949,29289,103
5,18345923,12240,43
5,13398038,9109,32
5,43297840,28728,101
5,39189411,26163,92
5,31500975,21062,74
5,5725513,3984,14
5,29551457,19626,69
5,28442667,19342,68
5,36920444,24470,86
5,5246454,3704,13
5,22640250,15366,54
5,32378071,21907,77
5,26516604,17644,62
5,6566610,4558,16
5,18920260,12811,45
5,23749111,16216,57
5,15556820,10534,37
5,30578946,20476,72
5,22669174,15375,54
5,18609157,12798,45
5,33385982,22472,79
5,23367033,15922,56
5,13313941,9105,32
5,22730329,15650,55
5,38418986,24178,85
5,21821043,14796,52
5,41037338,27302,96
5,22741661,13941,49
5,33434193,22471,79
5,10607462,7398,26
5,17815427,12239,43
5,26758777,17924,63
5,42285771,28159,99
5,27340389,17932,63
5,21784334,14788,52
5,14938068,10250,36
5,22642324,15375,54
5,37219836,23604,83
5,32345390,21334,75
5,20255706,13662,48
5,13026882,8819,31
5,39170496,25600,90
5,15831815,10811,38
5,25414315,17068,60
5,8553430,5978,21
5,27376376,18216,64
5,28472964,18781,66
5,11565992,7969,28
5,18938043,12816,45
5,32592844,21050,74
5,27804841,17361,61
5,33482553,20486,72
5,8897304,5975,21
5,19685416,13099,46
5,25200023,16786,59
5,4731939,3415,12
5,9187699,6262,22
5,25532938,17074,60
5,33723856,22758,80
5,8284855,5690,20
5,24150624,16500,58
5,33956994,22471,79
5,39547132,26170,92
5,41052137,27300,96
5,22681647,13951,49
5,51866839,34406,121
5,3669214,2569,9
5,26390166,17363,61
5,22698029,15361,54
5,13096784,9100,32
5,29516652,19907,70
5,23594942,15938,56
5,28873064,19342,68
5,44739826,29579,104
5,38377919,25589,90
5,28407381,19056,67
5,2029979,1433,5
5,30487053,20478,72
5,41258975,27583,97
5,2386698,1716,6
5,8275708,5689,20
5,6768710,4838,17
5,4036233,2851,10
5,33511538,22471,79
5,26011867,17634,62
5,27877977,18780,66
5,24523934,16502,58
5,31738833,19916,70
5,5738416,3984,14
5,39019633,25020,88
5,6548197,4557,16
5,23212934,15658,55
5,36395349,24453,86
5,32528764,21624,76
5,31637412,19625,69
5,14220792,9673,34
5,31490756,21047,74
5,46603002,29005,102
5,19534563,11678,41
5,33992580,22750,80
5,20037568,13379,47
5,40615768,26731,94
5,51143510,33553,118
5,4061991,2849,10
5,30836078,20479,72
5,11511970,7969,28
5,20660586,13081,46
5,28338713,18773,66
5,3239267,2283,8
5,28427269,19072,67
5,18479002,12529,44
5,28893753,19340,68
5,10397379,7125,25
5,3292177,2283,8
5,2018246,1433,5
5,7410735,5123,18
5,29379916,19343,68
5,38341591,25031,88
5,26362253,17649,62
5,39164254,26163,92
5,6109703,4273,15
5,21159932,14240,50
5,40864053,27299,96
5,37443826,24748,87
5,25133669,16787,59
5,22693931,15366,54
5,13624072,9399,33
5,27362951,18494,65
5,2407277,1716,6
5,28743462,19060,67
5,42070937,27875,98
5,11659938,7969,28
5,3962736,2848,10
5,18944556,13079,46
5,27349847,17934,63
5,34059125,22760,80
5,22789330,15377,54
5,3195486,2278,8
5,33201566,22188,78
5,10333840,7115,25
5,14241601,9682,34
5,26790267,18200,64
5,40070815,26743,94
5,37781099,25031,88
5,12681524,8549,30
5,31474747,21052,74
5,42722952,28433,100
5,40746313,27026,95
5,44809997,29864,105
5,21524627,14516,51
5,24872338,16794,59
5,787057,574,2
5,26140849,17635,62
5,39602446,23320,82
5,8305934,5694,20
5,30497743,20206,71
5,16803107,11378,40
5,36888224,23320,82
5,4939608,3415,12
5,21477688,14520,51
5,43937039,29295,103
5,29577847,18776,66
5,14136986,9675,34
5,4126182,2852,10
5,28556491,19068,67
5,40943834,27299,96
5,39243482,25883,91
5,22675506,13954,49
5,41039192,26743,94
5,32804581,20761,73
5,25488374,16798,59
5,41269013,27299,96
5,9942065,6828,24
5,42880687,28444,100
5,6579636,4558,16
5,58342428,34690,122
5,38155752,25029,88
5,44443078,29577,104
5,5743857,3987,14
5,10237659,7115,25
5,23549747,14524,51
5,28926885,19339,68
5,24504969,16506,58
5,21675840,14519,51
5,37106193,24752,87
5,31472041,21062,74
5,43007525,28441,100
5,26469385,17641,62
5,6168264,4272,15
5,19682320,11952,42
5,41525585,25881,91
5,31680422,21051,74
5,25670426,17065,60
5,28995565,19637,69
5,5644210,3988,14
5,19753573,13648,48
5,41328455,27314,96
5,31587548,21049,74
5,16321825,11095,39
5,23737720,15934,56
5,11600095,7980,28
5,14021018,9680,34
5,43470214,29015,102
5,36739204,24457,86
5,5277411,3712,13
5,23186736,15652,55
5,23090104,15654,55
5,29979821,20193,71
5,34276684,22766,80
5,27305824,18216,64
5,6467104,4551,16
5,15231760,10244,36
5,24305284,16510,58
5,22564257,15088,53
5,43821062,27874,98
5,6857938,4555,16
5,24889561,15647,55
5,10985632,7685,27
5,21923204,14797,52
5,33365183,22184,78
5,10863202,7414,26
5,24781819,16784,59
5,9648994,6832,24
5,11770174,8257,29
5,24895732,16786,59
5,17312414,11678,41
5,52129632,34117,120
5,28481260,18773,66
5,6536334,4551,16
5,35267222,23606,83
5,28728634,19340,68
5,46770596,30997,109
5,28437388,18780,66
5,44605564,29575,104
5,43019649,27865,98
5,29687272,18217,64
5,31660024,21054,74
5,25243685,16792,59
5,38911409,25029,88
5,32552900,21625,76
5,8712767,5978,21
5,17657481,10813,38
5,5827805,3986,14
5,37549384,25022,88
5,40629193,27016,95
5,24997373,16789,59
5,24403488,16513,58
5,38303690,25604,90
5,7465057,5123,18
5,8519235,4551,16
5,23572910,15940,56
5,21115269,14238,50
5,5606649,3984,14
5,35021882,23331,82
5,34626320,23043,81
5,6967633,4848,17
