OMNIKDTREE,EUCLIDEAN,IS,2,4015,292490
k,time,count,disk
5,66182687,27865,98
5,28865039,12515,44
5,82593789,34687,122
5,43539412,18500,65
5,57578894,23898,84
5,13635284,5989,21
5,56339970,23885,84
5,37597052,15938,56
5,46509996,19638,69
5,73928260,31280,110
5,12502218,5410,19
5,10903748,4845,17
5,75120297,31852,112
5,21362021,9389,33
5,74233483,31843,112
5,329920723,29580,104
5,59437642,25306,89
5,60818201,25588,90
5,59441850,25033,88
5,24539643,10537,37
5,63398544,27013,95
5,69353707,28999,102
5,30845875,13368,47
5,76857116,32415,114
5,75565432,31559,111
5,52823782,22177,78
5,63571327,26731,94
5,71818702,30147,106
5,46178144,19626,69
5,43735790,18774,66
5,14113932,6268,22
5,55026235,23318,82
5,81317183,34117,120
5,32718860,13946,49
5,53679698,22752,80
5,60260295,25588,90
5,34721999,14785,52
5,6987341,3136,11
5,21929816,9392,33
5,32049674,13657,48
5,16104526,7121,25
5,62722435,26724,94
5,73619311,31273,110
5,87761956,36386,128
5,49809767,21334,75
5,72039517,30422,107
5,72106442,30705,108
5,34003120,14792,52
5,2547920,1141,4
5,49990636,21329,75
5,41791332,17923,63
5,70355666,29569,104
5,17360714,7684,27
5,14435685,6265,22
5,64880163,27305,96
5,67382217,28158,99
5,59915258,25316,89
5,14444462,6261,22
5,41896439,17919,63
5,50533114,21331,75
5,69799594,29570,104
5,60813914,25591,90
5,79731118,33557,118
5,59692570,25317,89
5,25641180,11100,39
5,67051497,28433,100
5,71100213,29570,104
5,28228395,12232,43
5,86522460,36106,127
5,53438976,22744,80
5,2572056,1141,4
5,55368026,23323,82
5,13622620,5989,21
5,46702557,19914,70
5,59742844,25310,89
5,70224792,29571,104
5,44676284,19063,67
5,59449004,25024,88
5,31247229,13372,47
5,50030171,21051,74
5,28247140,12239,43
5,49464309,21044,74
5,73535423,31276,110
5,24497825,10535,37
5,6422110,2853,10
5,73332251,31280,110
5,62858110,26454,93
5,48454734,20474,72
5,68991458,29004,102
5,50365659,21334,75
5,12914332,5700,20
5,48247946,20481,72
5,45601251,19341,68
5,54835567,23033,81
5,87389077,36387,128
5,5893007,2568,9
5,18363356,7965,28
5,72247256,30705,108
5,58852543,25019,88
5,54617318,31845,112
5,72917804,32421,114
5,6502471,2853,10
5,15400205,6829,24
5,64414890,27590,97
5,50300798,21610,76
5,58595321,25026,88
5,48353684,20764,73
5,53201391,22744,80
5,29031942,12517,44
5,76596707,32414,114
5,12901256,5693,20
5,22108241,9675,34
5,30788698,13377,47
5,62161021,26444,93
5,20812450,9109,32
5,55490946,23884,84
5,68465711,29002,102
5,6993813,3140,11
5,52026296,22183,78
5,81872807,34118,120
5,7663990,3419,12
5,18796477,8256,29
5,7028849,3136,11
5,13488719,5975,21
5,30762159,13370,47
5,37715835,16208,57
5,40198344,17059,60
5,46337912,19910,70
5,61098648,25877,91
5,28463446,12513,44
5,58566888,25027,88
5,2502496,1141,4
5,23058073,9961,35
5,35566473,15359,54
5,47943605,20199,71
5,61065276,25874,91
5,51156554,21898,77
5,72434477,30998,109
5,42935689,18486,65
5,44960759,19336,68
5,2561657,1141,4
5,68429293,29296,103
5,2520138,1141,4
5,60253252,25597,90
5,50120650,21610,76
5,7067891,3136,11
5,53540447,22754,80
5,14890760,6549,23
5,28957423,12513,44
5,27740789,12238,43
5,42994710,18493,65
5,40113815,17060,60
5,64170623,27296,96
5,79754592,33548,118
5,7706359,3419,12
5,16994827,7400,26
5,11411581,5127,18
5,62682179,27013,95
5,58253088,25019,88
5,66048536,28441,100
5,28670835,12519,44
5,60087210,25600,90
5,82614679,34685,122
5,35265498,15079,53
5,61353577,25890,91
5,27771427,11952,42
5,43766979,18776,66
5,40248197,17065,60
5,80973019,34118,120
5,3241783,1431,5
5,36666236,15937,56
5,40914597,17357,61
5,11909887,5128,18
5,57415458,24456,86
5,73925335,31280,110
5,46393176,19907,70
5,47734453,20199,71
5,72597203,30705,108
5,59746371,25593,90
5,59979918,25588,90
5,72698182,30705,108
5,66491847,28432,100
5,71102779,30421,107
5,58568050,25027,88
5,42275471,18209,64
5,9704379,4274,15
5,6155008,2851,10
5,79308445,33549,118
5,52588992,22746,80
5,77790948,32979,116
5,72241986,30706,108
5,11405941,5127,18
5,35232807,15079,53
5,6508493,2853,10
5,58392861,25019,88
5,12538806,5416,19
5,14548838,6268,22
5,48196459,20766,73
5,84880550,35821,126
5,46118742,19905,70
5,61301739,26158,92
5,34181634,14794,52
5,58772354,25019,88
5,45682864,19346,68
5,35733265,15370,54
5,53206641,22749,80
5,6519432,2851,10
5,58350191,25032,88
