OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,4015,493897
k,time,count,disk
5,63837035,26731,94
5,58758425,25031,88
5,75122609,31849,112
5,6361225,2851,10
5,60900926,25892,91
5,12459707,5419,19
5,32200176,13935,49
5,31336805,13661,48
5,26863082,11661,41
5,69996742,29854,105
5,45582264,19334,68
5,6281285,2850,10
5,53268626,22753,80
5,67268783,28718,101
5,71993899,30706,108
5,76553323,32701,115
5,44771293,19334,68
5,56091071,24169,85
5,49795679,21325,75
5,52123016,22190,78
5,55224615,23884,84
5,59242073,25315,89
5,28744983,12529,44
5,62806310,27013,95
5,67463158,29002,102
5,20783165,9102,32
5,76872933,32415,114
5,60658741,25892,91
5,15343609,6826,24
5,41942835,18201,64
5,46495196,19911,70
5,59487895,25323,89
5,72661330,30706,108
5,27912230,12237,43
5,67939942,29012,102
5,46269693,19624,69
5,28871751,12512,44
5,52771202,22483,79
5,18891745,8258,29
5,53957769,23047,81
5,12827938,5690,20
5,79198787,33267,117
5,59237475,25311,89
5,83595256,35252,124
5,27994054,12234,43
5,73585655,31563,111
5,79001217,33549,118
5,48260840,20473,72
5,1887672,861,3
5,45495542,19628,69
5,26463532,11375,40
5,80144962,33267,117
5,63028547,27013,95
5,61238028,26162,92
5,46918170,20199,71
5,68373616,29005,102
5,68326287,29013,102
5,12142582,5411,19
5,75607910,32130,113
5,59769262,25597,90
5,36464156,15928,56
5,19410760,8535,30
5,64320030,27597,97
5,19303859,8535,30
5,58867871,25039,88
5,60535329,25882,91
5,28696131,12511,44
5,29729139,13080,46
5,74043865,31275,110
5,22966661,9957,35
5,1318284,578,2
5,40561143,17644,62
5,17897711,7962,28
5,11596247,5124,18
5,49236901,21041,74
5,70044100,30138,106
5,27106949,11946,42
5,34116501,14790,52
5,59233237,25595,90
5,31670983,13661,48
5,21744017,9394,33
5,49124249,20765,73
5,67529122,29000,102
5,24838102,10819,38
5,53244801,22761,80
5,40197761,17349,61
5,51186930,21900,77
5,70441396,30138,106
5,48834757,20769,73
5,61281359,26177,92
5,40796034,17360,61
5,33854951,14788,52
5,57383646,24181,85
5,30995645,13656,48
5,85066036,35821,126
5,37458943,16225,57
5,15510651,6836,24
5,61313991,26158,92
5,52743471,22747,80
5,55389334,31566,111
5,52484895,32412,114
5,23250644,14520,51
5,16431530,10242,36
5,31097106,19059,67
5,45635033,28150,99
5,25439361,15926,56
5,22507099,11661,41
5,17674932,11092,39
5,11622297,7399,26
5,52857864,31275,110
5,36476600,20475,72
5,12638684,7970,28
5,22427239,13949,49
5,42998667,24452,86
5,12663730,7394,26
5,57680673,35252,124
5,51345127,31847,112
5,23808400,14804,52
5,22345657,13938,49
5,56956204,33551,118
5,27246211,16797,59
5,14132135,8827,31
5,38518691,22474,79
5,6883054,4276,15
5,44125160,26160,92
5,12588891,7963,28
5,29929876,18499,65
5,9415015,5975,21
5,51729016,30709,108
5,38469399,23612,83
5,46848049,28731,101
5,1400468,861,3
5,12243693,7686,27
5,28958142,17930,63
5,21994928,13661,48
5,9793857,6262,22
5,19255869,12234,43
5,55502707,33834,119
5,41722402,25879,91
5,20812460,13083,46
5,452630,291,1
5,51766818,31849,112
5,921038,578,2
5,19946625,12511,44
5,27441467,17062,60
5,34071437,21055,74
5,39926342,23334,82
5,8638458,5416,19
5,41687346,25591,90
5,37775636,23318,82
5,25545650,15926,56
5,39297171,23886,84
5,29253176,18195,64
5,51654567,31566,111
5,29012105,17079,60
5,9514922,5985,21
5,40741672,25030,88
5,23448946,14790,52
5,27353342,17059,60
5,36571126,22747,80
5,47135178,27025,95
5,47755261,28152,99
5,51642323,31847,112
5,4079644,2568,9
5,17724385,11097,39
5,29885333,16789,59
5,14392994,8260,29
5,23846592,14788,52
5,53401816,32982,116
5,7794024,4853,17
5,46249245,28445,100
5,6743743,4268,15
5,8970059,5695,20
5,10780076,6826,24
5,24100659,15072,53
5,17231561,10807,38
5,8049923,5123,18
5,42738819,26169,92
5,58277483,34401,121
5,54078925,31852,112
5,44267988,27296,96
5,43030887,26449,93
5,48572295,29854,105
5,41706612,25595,90
5,11596688,7399,26
5,46590746,28725,101
5,41027909,25317,89
5,50616480,30997,109
5,49628416,30429,107
5,50190751,30709,108
5,47135508,29002,102
5,41628826,25596,90
5,17884346,11096,39
5,26018427,16219,57
5,34343667,21333,75
5,5440177,3424,12
5,30050973,17073,60
5,25604761,14791,52
5,57521344,34969,123
5,19129873,11092,39
5,30568524,17059,60
5,20007970,12511,44
5,20890667,13084,46
5,34207652,21041,74
5,15066349,9391,33
5,19790422,11100,39
5,25011528,15655,55
5,8068478,5124,18
5,28444910,17635,62
5,24852890,15356,54
5,43025036,24457,86
5,16219502,9959,35
5,41495446,25590,90
5,22004717,13649,48
5,24173405,15084,53
5,30891821,19062,67
5,47617593,29013,102
5,42069023,25874,91
5,42810964,26171,92
5,32727154,20199,71
5,25109552,15643,55
5,7283667,4566,16
5,31628482,19635,69
5,58113355,35252,124
5,27332182,17060,60
5,29082587,17358,61
5,9119210,5693,20
5,20194440,11095,39
5,36609999,22464,79
5,25452886,15924,56
5,59347461,36105,127
5,21115889,13094,46
5,53794081,32980,116
5,8134233,5125,18
5,39685119,24454,86
5,54532687,31855,112
5,8969529,5694,20
5,10699785,6829,24
5,40076193,24464,86
5,4579132,2851,10
5,36024181,22185,78
5,35073948,21625,76
5,38699179,23611,83
5,6745776,3710,13
5,12090976,7398,26
5,35458880,21899,77
5,11714019,7399,26
5,49948145,30706,108
5,51983274,31564,111
5,4078232,2570,9
5,41253462,24180,85
5,22625370,14218,50
5,43095498,25603,90
5,44220649,27299,96
5,6253814,3983,14
5,26636939,16508,58
5,27616104,17059,60
5,55437124,33834,119
5,65483975,31283,110
5,43361878,19903,70
5,39406316,17081,60
5,76278958,32411,114
5,54853349,23605,83
5,67872566,29287,103
5,43024395,18489,65
5,31687284,13938,49
5,82787300,35253,124
5,46646220,20199,71
5,49673240,21340,75
5,78106708,33265,117
5,38710751,16787,59
5,29586792,13083,46
5,18853404,8256,29
5,42040238,18208,64
5,42247357,18202,64
5,53092806,22747,80
5,15444818,6841,24
5,70268081,29284,103
5,48740590,21045,74
5,63934157,27303,96
5,62333423,26162,92
5,41785541,18196,64
5,57715088,24454,86
5,43944842,18779,66
5,62575758,26732,94
5,48397918,20483,72
5,6977111,3134,11
5,44125080,19061,67
5,47523636,22187,78
5,36397331,22747,80
5,20977779,13088,46
5,35758302,19631,69
5,26433697,15363,54
5,50601271,31281,110
5,39971026,24754,87
5,25455150,14788,52
5,43978254,25874,91
5,57320748,34974,123
5,38362818,23613,83
5,3574999,2281,8
5,49065329,30713,108
5,11732884,7398,26
5,49584924,29568,104
5,39617743,23047,81
5,22024713,13938,49
5,38769201,24173,85
5,3570669,2283,8
5,46552003,29001,102
5,52536462,32698,115
5,50388181,29855,105
5,24935836,13938,49
5,44640317,27869,98
5,30812542,19065,67
5,22206775,13938,49
5,54577021,33554,118
5,9924801,6260,22
5,28945650,17915,63
5,65703026,29008,102
5,57769491,24464,86
5,50317258,21608,76
5,67752381,29012,102
5,33965318,14788,52
5,21544192,9396,33
5,60071970,25602,90
5,86809456,36387,128
5,69238449,29297,103
5,76402601,32411,114
5,16900971,7398,26
5,51175629,22179,78
5,16757571,7399,26
5,65832579,28433,100
5,45311997,19335,68
5,60172479,25879,91
5,42203905,18200,64
5,8270678,3709,13
5,39384655,17069,60
5,62313797,26732,94
5,1268350,578,2
5,1163333,578,2
5,54929081,32131,113
5,8905168,5691,20
5,60096997,36387,128
5,30244697,18787,66
5,45214895,28445,100
5,911981,578,2
5,8478267,5418,19
5,39379366,24752,87
5,35584676,21054,74
5,55744351,34406,121
5,52851052,30145,106
5,38181869,23884,84
5,14439783,9107,32
5,46676136,29295,103
5,11597500,7398,26
5,48176311,29014,102
5,20408552,12805,45
5,5637788,3700,13
5,29858824,19334,68
5,36418270,22747,80
5,35183242,22177,78
5,50187555,31275,110
5,22103752,13944,49
5,39112065,22179,78
5,47793181,29855,105
5,47152260,29575,104
5,38120855,22468,79
5,35818335,22467,79
5,44447535,26444,93
5,41659023,26158,92
5,32928663,20479,72
5,42791127,25314,89
5,5845919,2571,9
5,36855070,15927,56
5,57914283,25022,88
5,77373122,32411,114
5,55485244,23888,84
5,16101271,7115,25
5,68647620,29568,104
5,42643240,18497,65
5,78629118,33549,118
5,49196465,20769,73
5,27747421,11948,42
5,77087616,32982,116
5,75825938,32411,114
5,52896618,22473,79
5,13459844,5975,21
5,47468913,20475,72
5,55036373,23882,84
5,84627512,35822,126
5,9015134,3984,14
5,50454856,21617,76
5,63242809,26731,94
5,62734677,26746,94
5,8841088,3984,14
5,43886162,18783,66
5,51695624,22177,78
5,29134514,12809,45
5,46479507,19908,70
5,39234775,17076,60
5,32709160,14218,50
5,57974335,25022,88
5,41885117,18200,64
5,34242117,14788,52
5,44163983,19057,67
5,58332938,25020,88
5,40260889,17352,61
5,69799513,29568,104
5,36591384,15926,56
5,64776387,27296,96
5,16721995,7398,26
5,31820063,13938,49
5,38727603,16775,59
5,76840592,32982,116
5,56344316,23895,84
5,53605838,22750,80
5,26478690,11662,41
5,55913398,23889,84
5,71509751,33263,117
5,47109309,29011,102
5,31712992,19916,70
5,12433097,7966,28
5,54105105,32701,115
5,20728222,13084,46
5,38533349,24175,85
5,9734153,6270,22
5,42582926,26459,93
5,33109542,20767,73
5,10587194,6826,24
5,26172336,16510,58
5,45731624,28433,100
5,39348648,24465,86
5,46048419,28726,101
5,7988248,5121,18
5,25568593,16228,57
5,25535351,16208,57
5,6099093,3984,14
5,15119968,9683,34
5,41387083,24753,87
5,46644928,29286,103
5,13750649,7398,26
5,28683658,18200,64
5,42665902,26448,93
5,49339934,30716,108
5,50921773,31844,112
5,40953108,21914,77
5,58206330,36105,127
5,3606096,2285,8
5,27239909,17076,60
5,23264110,14788,52
5,10607884,6833,24
5,39863925,25022,88
5,33829122,19903,70
5,31749630,19907,70
5,58438055,36105,127
5,41861653,25020,88
5,35532959,21045,74
5,5264578,2853,10
5,45599587,28433,100
5,44733622,27869,98
5,4364278,2850,10
5,13484040,8535,30
5,7327688,4838,17
5,4682415,3136,11
5,43137116,27296,96
5,25919011,16495,58
5,33029842,20766,73
5,35884989,22475,79
5,55992686,34406,121
5,9926734,6259,22
5,55689819,32412,114
5,10348747,6548,23
5,34100511,21348,75
5,46319047,29002,102
5,46754954,29001,102
5,38928570,23605,83
5,22752560,12234,43
5,32039074,20196,71
5,60498150,35822,126
5,24665969,15371,54
5,31441322,18490,65
5,32116929,19908,70
5,55529327,34122,120
5,59172502,35255,124
5,6182380,3987,14
5,36167079,22747,80
5,12454467,7966,28
5,20466000,13368,47
5,42296118,26448,93
5,4890806,3136,11
5,41463225,24751,87
5,28824622,17930,63
5,51482434,22747,80
5,20533757,9109,32
5,5734339,2568,9
5,9624819,4272,15
5,16694803,7399,26
5,58980583,25591,90
5,75844674,32133,113
5,59090880,25312,89
5,73171559,31563,111
5,10250512,4555,16
5,52135029,22483,79
5,79531391,33834,119
5,72086212,30714,108
5,56774474,24183,85
