OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,4015,285276
k,time,count,disk
5,83139360,35821,126
5,69442260,30422,107
5,83598832,36106,127
5,49091477,21608,76
5,80659817,34972,123
5,37138160,16508,58
5,69265349,30422,107
5,71306769,31287,110
5,66467058,29286,103
5,9956941,4557,16
5,75707035,33264,117
5,13632358,6261,22
5,83144309,36106,127
5,82568899,36106,127
5,83337782,36387,128
5,82828175,36106,127
5,81077281,35537,125
5,83046606,36384,128
5,82898016,35823,126
5,46475640,20472,72
5,80930104,35253,124
5,83291515,36106,127
5,60235607,26451,93
5,82618622,36106,127
5,83166651,36388,128
5,71582356,31560,111
5,82540736,36106,127
5,81336678,35255,124
5,70844781,31276,110
5,80490761,35537,125
5,80616476,35255,124
5,81248000,35538,125
5,83512380,36384,128
5,62601075,27587,97
5,82651945,36106,127
5,68691742,30425,107
5,59475531,26168,92
5,81010706,35256,124
5,46318926,20485,72
5,82478429,35823,126
5,44542282,19634,69
5,80038131,34970,123
5,77784552,34115,120
5,83128399,36385,128
5,22799477,10240,36
5,83350095,36383,128
5,83505456,36384,128
5,77009929,33832,119
5,4859668,2283,8
5,77804901,34115,120
5,9977720,4557,16
5,82960173,36388,128
5,81443808,35538,125
5,77624382,34118,120
5,81640427,35538,125
5,82738568,36106,127
5,82435369,35823,126
5,24676529,11097,39
5,61386696,36106,127
5,61708830,36106,127
5,57046282,33832,119
5,52643722,32128,113
5,62295371,36106,127
5,41339152,25305,89
5,59894547,36106,127
5,24074410,14787,52
5,57556480,33264,117
5,38306121,23316,82
5,60085014,36387,128
5,53725753,31560,111
5,2231977,1426,5
5,61254589,35538,125
5,44848948,27027,95
5,48156072,28150,99
5,46783527,28433,100
5,61542188,36106,127
5,41655907,25305,89
5,56033602,32982,116
5,59143849,35823,126
5,49693777,30148,106
5,40444184,24462,86
5,49901817,29001,102
5,51369752,31275,110
5,45247295,26172,92
5,59424765,35823,126
5,57743100,33832,119
5,59016569,35538,125
5,61973177,36385,128
5,59287227,35538,125
5,4034470,2570,9
5,53488297,31287,110
5,37445768,22744,80
5,60270732,36106,127
5,57984573,32981,116
5,60510973,36387,128
5,56449734,32988,116
5,28621561,17358,61
5,59912340,36106,127
5,58695187,34400,121
5,58667665,35821,126
5,61362100,36106,127
5,49946141,30434,107
5,18491585,10807,38
5,59163926,33549,118
5,59852367,36384,128
5,60706210,35538,125
5,52223064,31566,111
5,54943778,33549,118
5,31478081,19337,68
5,61021571,36106,127
5,61962186,35538,125
5,32639088,19917,70
5,51330028,29855,105
5,53959862,32696,115
5,45851438,27307,96
5,60304295,36384,128
5,54287386,31843,112
5,52605391,30719,108
5,54235449,31277,110
5,60369097,36386,128
5,60706330,34121,120
5,39607464,23894,84
5,60808912,35254,124
5,23744581,13382,47
5,61749287,36106,127
5,45562716,27583,97
5,8113283,5125,18
5,45507724,25588,90
5,65717923,36386,128
5,59201677,35538,125
5,59929682,35823,126
5,2217891,1426,5
5,49522285,28718,101
5,40350047,24462,86
5,50008989,29864,105
5,57001960,32696,115
5,60286562,35538,125
5,60321158,36388,128
5,62348270,36385,128
5,57959206,33832,119
5,1366333,860,3
5,62006258,35823,126
5,2880374,1426,5
5,56792126,33549,118
5,57831806,34970,123
5,58474072,35256,124
5,56491652,32988,116
5,17504342,10812,38
5,81788916,36387,128
5,84572008,35538,125
5,77120907,32981,116
5,86199111,36106,127
5,85934404,36106,127
5,86292435,36106,127
5,81962521,34403,121
5,40360416,17072,60
5,84188538,35538,125
5,76707112,32696,115
5,80676368,33832,119
5,73265775,31277,110
5,85512382,36106,127
5,55731405,23599,83
5,14055792,6261,22
5,37023706,15923,56
5,53973187,23043,81
5,74248247,31281,110
5,79866258,33549,118
5,71573240,30148,106
5,86024663,36383,128
5,19788438,8540,30
5,36740764,15923,56
5,42858913,18199,64
5,36160897,15363,54
5,75395940,32128,113
5,71570794,30422,107
5,67865231,28718,101
5,70746548,30139,106
5,83740658,34970,123
5,86644576,36383,128
5,81381241,33832,119
5,86648003,36384,128
5,86049560,36106,127
5,86076831,36106,127
5,84871139,35538,125
5,68291972,29002,102
5,83472154,34970,123
5,87048465,36106,127
5,80640340,33266,117
5,86381142,36106,127
5,87003650,36384,128
5,86496238,36106,127
5,86092229,36106,127
5,57044700,24170,85
5,76461461,32413,114
5,83860212,34970,123
5,5148470,2282,8
5,74348456,31287,110
5,74574229,31563,111
5,86702395,36106,127
5,60380249,25588,90
5,80357881,33832,119
5,71616901,30422,107
5,71792852,30422,107
5,84415654,35255,124
5,80039954,33549,118
5,80214482,33549,118
5,82334539,34405,121
5,50719973,21608,76
5,73686133,31277,110
5,70295581,29856,105
5,84095304,35538,125
5,66997835,28434,100
5,58921892,25020,88
5,83959689,34689,122
5,72069410,30148,106
5,76164252,31854,112
5,87195170,36106,127
5,84065758,34970,123
5,74511331,31277,110
5,83583994,35538,125
5,11618018,5125,18
5,8605335,3987,14
5,78856834,35255,124
5,59152805,36106,127
5,56488025,33832,119
5,35224501,20472,72
5,34375287,21334,75
5,42873039,26451,93
5,55087588,33832,119
5,64899668,31560,111
5,85915278,36388,128
5,79222471,34687,122
5,61124515,36384,128
5,37769875,21620,76
5,59744165,35538,125
5,59087522,36106,127
5,50418677,30996,109
5,34971826,20476,72
5,58812747,35823,126
5,35440094,20472,72
5,42434839,25020,88
5,57965077,35823,126
5,51087773,31277,110
5,8003637,4556,16
5,35845465,22176,78
5,56401884,34970,123
5,51231522,30422,107
5,58812568,36106,127
5,58855467,36106,127
5,4478333,2851,10
5,58303802,35822,126
5,41170086,25588,90
5,40200906,23599,83
5,61104988,36387,128
5,43777187,27015,95
5,56809929,34689,122
5,55190872,32981,116
5,58002658,35821,126
5,46953306,29001,102
5,52484534,31560,111
5,52656276,32415,114
5,55297531,33832,119
5,59035024,36106,127
5,58637218,36106,127
5,55533234,32988,116
5,58997985,36106,127
5,59586499,36386,128
5,56509305,34687,122
5,58681932,36106,127
5,58800053,36384,128
5,40690345,25021,88
5,39320745,24737,87
5,41313785,24454,86
5,54536805,31854,112
5,46934009,29001,102
5,58614545,36105,127
5,24050063,15081,53
5,38655086,22744,80
5,35443500,19336,68
