OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,4015,347235
k,time,count,disk
5,47276643,19622,69
5,46848860,19621,69
5,54394858,22466,79
5,28393673,11945,42
5,44156007,18484,65
5,13911361,5978,21
5,38972622,16495,58
5,28345243,12231,43
5,35681317,15071,53
5,46799217,19623,69
5,35278592,15071,53
5,10580561,4556,16
5,48225603,19620,69
5,45741101,19335,68
5,37462679,21610,76
5,34607482,21327,75
5,30757159,19054,67
5,47687263,21042,74
5,45037331,19054,67
5,33419192,14504,51
5,48204484,20187,71
5,43217697,18484,65
5,27668303,11659,41
5,48714390,20760,73
5,51581290,21896,77
5,40134221,16780,59
5,49495336,21041,74
5,43849793,18485,65
5,34683245,14788,52
5,45422995,19337,68
5,33131614,14219,50
5,38637133,16494,58
5,57612296,24457,86
5,25969034,11092,39
5,52145908,22182,78
5,45507314,19055,67
5,31802269,13651,48
5,37445487,15923,56
5,18774365,8250,29
5,40202671,17065,60
5,15096274,6544,23
5,49816209,21046,74
5,47502135,20188,71
5,66447121,28152,99
5,34786278,14788,52
5,55539757,23601,83
5,56312807,23887,84
5,38756747,16497,58
5,3223488,1427,5
5,44471199,18768,66
5,29630804,12800,45
5,55054727,23033,81
5,45588365,19337,68
5,38717805,16498,58
5,37775026,16210,57
5,44318482,18768,66
5,45765307,19335,68
5,23692022,10242,36
5,48042680,20191,71
5,38627615,16495,58
5,46445023,19621,69
5,35420216,15071,53
5,52753539,22464,79
5,38770303,16497,58
5,42763586,17917,63
5,48444424,20474,72
5,41571158,17628,62
5,29189977,12518,44
5,58932973,25023,88
5,43325450,18197,64
5,1901597,859,3
5,35908494,15360,54
5,29900781,12796,45
5,30066953,13085,46
5,47416135,19905,70
5,52742228,22466,79
5,32816471,13936,49
5,40717547,17347,61
5,42556447,17917,63
5,29877468,12800,45
5,21236786,9104,32
5,37794693,15928,56
5,47867180,20190,71
5,21451558,9104,32
5,40951115,17348,61
5,47091255,19621,69
5,39201962,16494,58
5,51218620,21609,76
5,40484550,17064,60
5,48746440,20758,73
5,30565649,13084,46
5,31362494,13370,47
5,41585555,17633,62
5,30579556,13085,46
5,64907994,27011,95
5,34346563,14787,52
5,34964002,14786,52
5,49043989,20760,73
5,42244231,17916,63
5,60068202,25021,88
5,57293467,24172,85
5,27518792,11947,42
