OMNIKDTREE,EUCLIDEAN,RANDOM,2,4015,330021
k,time,count,disk
5,33068094,14788,52
5,73045973,32136,113
5,12434950,5693,20
5,40471474,17932,63
5,67114393,29574,104
5,17399245,7971,28
5,64899447,28728,101
5,32245981,14508,51
5,45211618,20193,71
5,58700537,26158,92
5,58130227,25883,91
5,6114402,2850,10
5,66542409,29288,103
5,66641665,29573,104
5,64558016,28717,101
5,24975971,11381,40
5,58826653,26158,92
5,71788533,31846,112
5,67436877,29859,105
5,40304641,17929,63
5,52264781,23317,82
5,73919501,32698,115
5,32267672,14513,51
5,69839908,30994,109
5,40490359,18195,64
5,70365993,31001,109
5,55674169,24739,87
5,66787760,29288,103
5,47168109,21042,74
5,72187872,32136,113
5,55773695,24745,87
5,64941856,28717,101
5,69999326,30991,109
5,30379880,13649,48
5,58925087,26158,92
5,49680562,22182,78
5,30367527,13655,48
5,66334210,29297,103
5,17403673,7971,28
5,45556916,20196,71
5,15560064,7120,25
5,77860295,34118,120
5,58612280,26158,92
5,83223548,36385,128
5,35423222,15924,56
5,49338220,21898,77
5,80576321,35253,124
5,45889991,20480,72
5,2443365,1145,4
5,52433648,23317,82
5,27772718,12513,44
5,77810232,34124,120
5,74429608,32983,116
5,58580261,26158,92
5,63018890,27872,98
5,53518563,23886,84
5,71263999,31284,110
5,14341628,6543,23
5,74857792,32982,116
5,54214108,24170,85
5,65163592,29001,102
5,46120924,20480,72
5,74866809,32979,116
5,60751294,27015,95
5,69757792,30712,108
5,77783541,34118,120
5,40698950,18195,64
5,14255106,6548,23
5,70551952,31278,110
5,68656246,30427,107
5,1221913,574,2
5,60861701,27014,95
5,25956580,11675,41
5,48102763,21343,75
5,43833813,19628,69
5,73426286,32415,114
5,25858728,11664,41
5,50979140,22750,80
5,52333209,23327,82
5,31696771,14233,50
5,25342008,11387,40
5,38091319,17059,60
5,50949232,22748,80
5,21463862,9677,34
5,63273486,27878,98
5,73849089,32698,115
5,52662016,23317,82
5,73738922,32417,114
5,10573347,4844,17
5,64230652,28447,100
5,52850580,23323,82
5,14906429,6825,24
5,70088843,30715,108
5,53253587,23602,83
5,71143582,31562,111
5,45847922,20204,71
5,13745380,6260,22
5,71643270,31562,111
5,53890762,23886,84
5,70782936,31278,110
5,78525423,34406,121
5,42400814,18778,66
5,14968765,6832,24
5,63103918,27595,97
5,59027691,26158,92
5,44050139,19626,69
5,45093176,19913,70
5,49546903,21898,77
5,43565810,19348,68
5,79864465,34970,123
5,59576079,26445,93
5,25434011,11396,40
5,30321932,13649,48
5,47372803,21043,74
5,12411106,5693,20
5,79743829,34689,122
5,81206443,35537,125
5,43102891,19063,67
5,46351898,20480,72
5,56452018,25022,88
5,43661459,19340,68
5,14933930,6826,24
5,64816501,28431,100
5,18132740,8256,29
5,69962317,30992,109
5,40403296,17917,63
5,55439227,24463,86
5,43096631,19052,67
5,75742590,33265,117
5,62529561,27591,97
5,72890511,31851,112
5,1243733,574,2
5,27284913,12232,43
5,24023735,10813,38
5,31862141,14235,50
5,65122936,28717,101
5,68281052,30141,106
5,71695227,31562,111
5,76925732,33551,118
5,47572447,21043,74
5,1234586,574,2
5,60973331,26741,94
5,1267178,574,2
5,40995188,18195,64
