OMNIKDTREE,EUCLIDEAN,SELECTION,2,4015,185230
k,time,count,disk
5,33000267,14218,50
5,60096686,25306,89
5,62214690,27013,95
5,51095177,29001,102
5,49093191,31559,111
5,33549707,21329,75
5,51292868,30992,109
5,45401946,29572,104
5,43597880,28432,100
5,72071013,32982,116
5,69257113,30139,106
5,21627318,9671,34
5,76670932,31842,112
5,63669610,27863,98
5,76740565,33833,119
5,74509757,32697,115
5,75681196,32412,114
5,79418268,33549,118
5,72592151,30992,109
5,23283395,10237,36
5,39982727,17064,60
5,74607591,32128,113
5,66386607,28433,100
5,77916230,33266,117
5,80451827,33549,118
5,76118125,32129,113
5,77221837,32980,116
5,74802217,32130,113
5,70020906,30139,106
5,76254392,32980,116
5,69663906,31275,110
5,52258079,32413,114
5,57772155,34116,120
5,45782649,28435,100
5,57232142,32697,115
5,35568765,22181,78
5,45597262,28433,100
5,52941041,31846,112
5,44432486,24738,87
5,72459582,31275,110
5,50967236,21895,77
5,78098211,33549,118
5,75696755,32981,116
5,79049947,33833,119
5,67925013,29572,104
5,77965843,33551,118
5,64646943,27864,98
5,71162027,30992,109
5,6908162,3134,11
5,39682204,17349,61
5,62910886,27012,95
5,78592789,33549,118
5,75324898,32696,115
5,73219378,32129,113
5,70410096,30706,108
5,74291379,32413,114
5,74682853,32130,113
5,37935887,16492,58
5,76762014,33266,117
5,72958558,31842,112
5,77142619,33265,117
5,72004858,30993,109
5,76243592,32413,114
5,73420525,31846,112
5,74062881,32130,113
5,77751139,33549,118
5,74390405,32413,114
5,7061930,3134,11
5,78439672,33833,119
5,73374368,31559,111
5,5111440,2280,8
5,59753421,26159,92
5,22649997,9954,35
5,69701336,30140,106
5,71550777,30991,109
5,77989928,33549,118
5,70988081,30708,108
5,71035610,30991,109
5,72432381,31559,111
5,69072447,29569,104
5,60196934,25878,91
5,35863298,15638,55
5,71707581,30991,109
5,63024048,27014,95
5,72451927,31559,111
5,75729306,32980,116
5,44752887,19335,68
5,75745818,32979,116
5,5065093,2278,8
5,73992658,32130,113
5,69934033,30422,107
5,13422964,5973,21
5,74403129,32130,113
5,39692553,17063,60
5,80624922,34116,120
5,73061541,30992,109
5,36891558,16212,57
5,76060768,32980,116
5,74722197,32129,113
5,77232507,33266,117
5,78303305,33549,118
5,68590523,29569,104
5,6323414,2847,10
5,74014870,31559,111
5,79293645,33833,119
5,73693437,31843,112
5,72539892,30422,107
5,73531533,30705,108
5,60860469,25592,90
5,78360552,32413,114
5,76783805,32129,113
5,56455184,23601,83
5,65098541,27298,96
5,22885068,9670,34
5,10481966,4551,16
5,81242180,33833,119
5,64479860,27013,95
5,70833341,29571,104
5,74892767,31278,110
5,81223966,33549,118
5,72604003,30422,107
5,59840345,25305,89
5,72191939,31846,112
5,29391776,13081,46
5,73896788,32697,115
5,46783096,20475,72
5,34257375,15355,54
5,49223736,21611,76
5,77542799,33833,119
5,62178832,27296,96
5,74407416,32413,114
5,5619804,2566,9
5,64377267,28151,99
5,76293115,33266,117
5,67892051,29572,104
5,72933882,31845,112
5,74808249,32697,115
5,77208453,33549,118
5,73864608,32412,114
5,63448705,27866,98
5,2504359,1145,4
5,71946338,31559,111
5,4984182,2280,8
5,71694076,31558,111
5,73741687,32414,114
5,72067938,31559,111
5,71746273,31275,110
5,29991241,13367,47
5,73550438,32128,113
5,72264615,31562,111
5,68779237,30137,106
5,75596518,32981,116
5,72945763,31844,112
5,75059690,32697,115
5,70411058,30707,108
5,48832923,21326,75
5,72573064,31845,112
5,71723431,31559,111
5,54959748,24168,85
5,73591495,32414,114
5,74053773,32413,114
5,75087182,32980,116
5,77740239,33833,119
5,67355627,28151,99
5,70813433,29856,105
5,63861489,27293,96
5,68866350,29286,103
5,70794708,30139,106
5,80126447,34116,120
5,3778790,1710,6
5,48164098,20758,73
5,61067247,26157,92
5,35586699,15355,54
5,74593776,31843,112
5,77048162,32980,116
5,69173266,29568,104
5,72146685,30422,107
5,43131736,18485,65
5,80943741,34403,121
5,79174771,33548,118
5,78050001,33264,117
5,75955630,32412,114
5,76359630,32697,115
5,74942130,32129,113
5,67708747,29003,102
5,72171141,30991,109
5,75559146,32130,113
5,78671117,33266,117
5,78146422,33266,117
5,59783058,25589,90
5,77580150,32980,116
5,74945455,32130,113
5,67154980,28718,101
5,69250650,29569,104
5,71154183,30141,106
5,26912304,11661,41
5,72162945,30706,108
5,45827284,19622,69
5,77434957,32980,116
5,69274565,29572,104
5,73154707,31275,110
5,73571969,31274,110
5,76769358,32696,115
5,74861749,31559,111
5,72065623,29856,105
5,72461235,30423,107
5,72673754,30991,109
5,74119546,31560,111
5,71821204,30705,108
5,73946162,31562,111
5,76995662,32696,115
5,73318303,31278,110
5,13014488,5691,20
5,71992265,30423,107
5,70696825,29856,105
5,71214095,30139,106
5,75507030,32128,113
5,72328536,30708,108
5,75215853,32128,113
5,69152377,29572,104
5,33535781,14504,51
5,4442415,1995,7
5,73167470,31275,110
5,79389474,33549,118
5,74671902,32128,113
5,3797505,1710,6
5,54952193,23603,83
5,63068963,26726,94
5,75383197,32130,113
5,66427354,28433,100
5,79543313,33549,118
5,66535567,28433,100
5,79391488,33551,118
5,43806571,18768,66
5,79402889,33266,117
5,79843175,33549,118
5,66845209,28149,99
5,68089311,28719,101
5,35440045,15355,54
5,69211918,29287,103
5,10435629,4554,16
5,73863426,31559,111
5,12919600,5691,20
5,4270633,1996,7
5,71310776,30706,108
5,45930868,19620,69
5,63188657,31561,111
5,56685786,33549,118
5,52720397,32413,114
5,2659449,1712,6
5,52622813,32412,114
5,54272158,32697,115
5,7289296,4554,16
5,53973128,33265,117
5,51552164,30422,107
5,52984933,30706,108
5,49383286,29288,103
5,54769301,33549,118
5,47408000,29285,103
5,53660500,32980,116
5,46790000,28718,101
5,54773838,33549,118
5,47008108,29287,103
5,61153189,32981,116
5,78300781,32413,114
5,77375055,32130,113
5,82562146,33833,119
5,71793362,29855,105
5,76503069,31842,112
5,82309733,33833,119
5,56126377,23320,82
5,74489059,30992,109
5,71130749,29569,104
5,74357373,30706,108
5,78445874,32413,114
5,64486673,26727,94
5,44415755,18484,65
5,17397120,7395,26
5,24093125,10239,36
5,80760396,33266,117
5,75824235,31275,110
5,74543752,31276,110
5,77085501,32129,113
5,72997791,30139,106
5,75165600,31275,110
5,16181851,6827,24
5,55950196,23316,82
5,71755100,29569,104
5,78413563,32130,113
5,76779577,31559,111
5,71610389,29568,104
5,44102126,18768,66
5,71175112,30424,107
5,73766104,31275,110
5,73758379,31275,110
5,74798289,31845,112
5,78647683,33266,117
5,79812307,33549,118
5,74206640,31560,111
5,21473179,9671,34
5,76160716,33266,117
5,74040438,32697,115
5,78913480,33549,118
5,75730679,32130,113
5,75536245,32129,113
5,72707537,30991,109
5,13474200,5974,21
5,74561806,31842,112
5,78791252,33265,117
5,26983197,11660,41
5,74713581,31843,112
5,78238334,32413,114
5,72245700,30706,108
5,73838139,30992,109
5,80154129,33549,118
5,72067266,30707,108
5,20644825,9102,32
5,75758231,32697,115
5,9707764,4269,15
5,76520892,32980,116
5,76509241,32980,116
5,68495985,29568,104
5,66110570,28433,100
5,75565450,32130,113
5,80451767,33833,119
5,76835912,32982,116
5,77857870,33266,117
5,70117649,30138,106
5,70676727,30423,107
5,70743932,29855,105
5,79287844,33549,118
5,73390219,31560,111
5,75469108,32414,114
5,68878293,29572,104
5,4509662,1995,7
5,3807815,1710,6
5,69928012,29856,105
5,1879847,862,3
5,1712373,862,3
5,76484353,32982,116
5,69617530,29856,105
5,80309911,34116,120
5,70977461,30137,106
5,79164371,33549,118
5,1882181,862,3
5,7525319,3415,12
5,74195539,31842,112
5,73674712,31842,112
5,78757408,33266,117
5,74231216,32130,113
5,78152262,33549,118
5,64166762,27581,97
5,21549923,9386,33
5,72434705,30991,109
5,76476518,32980,116
5,69970531,29855,105
5,61513064,26160,92
5,76449247,32698,115
5,72333856,31275,110
5,74009470,32412,114
5,76671425,33266,117
5,68231599,29569,104
5,76416897,33265,117
5,16326593,7395,26
5,73603338,32413,114
5,73055210,31845,112
5,69347392,30139,106
5,75828673,32980,116
5,62742721,33549,118
5,57743471,29568,104
5,71992776,29855,105
5,3250699,1428,5
5,75254156,31842,112
5,75023823,31845,112
5,79387461,33266,117
5,71163900,32698,115
5,52154014,31275,110
5,56866195,33833,119
5,52027186,30991,109
5,55522154,34119,120
5,54307925,32130,113
5,50286450,29569,104
5,55250283,33833,119
5,55283445,33833,119
5,47594029,29569,104
5,49849621,29287,103
5,54464138,33266,117
5,53086924,32413,114
5,57490166,33266,117
5,34986603,21610,76
5,50622751,31275,110
5,53093256,32697,115
5,8935626,5690,20
5,39432866,23316,82
5,28817609,17917,63
5,50771019,31275,110
5,49615351,29285,103
5,50294345,31275,110
5,49799326,29572,104
5,54057555,32130,113
5,54401430,33549,118
5,56738196,33549,118
5,50589258,30991,109
5,60697222,32130,113
5,74815262,32128,113
5,70236080,29855,105
5,79567319,33833,119
