OMNIKDTREE,EUCLIDEAN,SSS,2,4015,305526
k,time,count,disk
5,47246265,28432,100
5,55035830,32991,116
5,59692678,35540,125
5,13724942,8536,30
5,34946698,21055,74
5,9551892,5978,21
5,14400840,9098,32
5,28631819,17643,62
5,40442440,23038,81
5,53711245,32981,116
5,21423355,13366,47
5,4519720,2849,10
5,46315209,27015,95
5,28043877,17350,61
5,40503564,25020,88
5,67911178,34117,120
5,47542341,21043,74
5,70169524,30705,108
5,57003422,23897,84
5,37665810,15943,56
5,56867918,23884,84
5,69028695,29000,102
5,34269057,14511,51
5,76084933,31853,112
5,75642795,31844,112
5,26643510,11375,40
5,81453966,33833,119
5,76051572,31847,112
5,27965410,11946,42
5,45409169,19336,68
5,29768182,12519,44
5,55848576,23321,82
5,83372277,34686,122
5,26526720,11377,40
5,81205020,34685,122
5,26743638,11945,42
5,46489486,20204,71
5,50367942,22176,78
5,17668771,7972,28
5,61573166,26742,94
5,13865516,6265,22
5,59846045,26159,92
5,72882094,31845,112
5,84320697,36385,128
5,61272622,23610,83
5,75586618,32979,116
5,18988969,8531,30
5,34010291,15072,53
5,2475705,1145,4
5,37060354,16491,58
5,44263470,19342,68
5,83328956,36105,127
5,54509984,23882,84
5,47197905,20759,73
5,66730052,29019,102
5,56086222,24461,86
5,49014684,21338,75
5,5021962,2282,8
5,69066254,30137,106
5,41569505,18200,64
5,68355220,29854,105
5,42743306,18769,66
5,76143614,32987,116
5,48195356,21046,74
5,54225439,23608,83
5,80232146,34685,122
5,60543605,26448,93
5,15129216,6825,24
5,81277555,35253,124
5,12522094,5691,20
5,1228975,574,2
5,43590856,19062,67
5,8793329,3985,14
5,17689980,7965,28
5,74668897,32411,114
5,79147058,34117,120
5,46640049,20194,71
5,46590756,20471,72
5,37339057,16496,58
5,46882452,20486,72
5,6253303,2847,10
5,71853344,31275,110
5,78259033,33833,119
5,24401963,10823,38
5,57779428,25316,89
5,50292521,22181,78
5,15124578,6830,24
5,51718836,22748,80
5,29430699,13095,46
5,66465646,29010,102
5,37413286,16499,58
5,42272974,18488,65
5,60218063,26161,92
5,19040996,8532,30
5,79990552,34685,122
5,44169362,19336,68
5,8092604,3701,13
5,69143790,30138,106
5,66547750,29001,102
5,84850330,36386,128
5,81286974,35253,124
5,42274306,18485,65
5,7511263,3417,12
5,25369330,11376,40
5,59162333,25876,91
5,52224736,22744,80
5,36858315,16215,57
5,31396377,13938,49
5,24251532,10812,38
5,60814172,26158,92
5,25576387,11376,40
5,14553667,6552,23
5,35449251,15656,55
5,55877079,24457,86
5,15247528,6827,24
5,80072656,34685,122
5,80372849,34685,122
5,45634561,19923,70
5,51316002,22465,79
5,83087092,35821,126
5,34771018,15360,54
5,17955859,7968,28
5,46293137,20193,71
5,5691349,2568,9
5,34584049,15357,54
5,11364983,5121,18
5,40959780,17925,63
5,33419524,14790,52
5,79188246,34117,120
5,62926286,27298,96
5,64605596,27877,98
5,1258562,574,2
5,17857674,7966,28
5,60637180,26167,92
5,46401291,20203,71
5,32263604,14218,50
5,45562206,19904,70
5,73059787,31847,112
5,58063150,25311,89
5,43929964,19052,67
5,1240568,574,2
5,65683998,28447,100
5,1236289,574,2
5,49251147,21609,76
5,49316419,21608,76
5,38602027,16785,59
5,61199736,26459,93
5,7475927,3415,12
5,41568573,18200,64
5,40977894,17917,63
5,30935963,13651,48
5,73379388,31845,112
5,71563110,30993,109
5,46471011,20480,72
5,40417733,17637,62
5,15889744,7123,25
5,50046168,21892,77
5,48710383,21331,75
5,29385955,13081,46
5,75626985,32981,116
5,58925528,25593,90
5,54965449,23895,84
5,75491360,32981,116
5,11362259,5124,18
5,29610246,13093,46
5,15266684,6840,24
5,24823185,11093,39
5,26524437,11664,41
5,75867737,32981,116
5,8251442,3707,13
5,43243815,18779,66
5,25901608,11378,40
5,8803027,3989,14
5,47061549,20473,72
5,47145426,20471,72
5,40606297,17633,62
5,23216530,10242,36
5,7431203,3417,12
5,62458427,27299,96
5,80600376,34686,122
5,49361715,21613,76
5,50140667,21898,77
5,71202914,30715,108
5,74042342,31844,112
5,31606892,13940,49
5,48941927,21324,75
5,59706985,25876,91
5,81587678,34970,123
5,68526252,29571,104
5,31011956,13649,48
5,81445822,34685,122
5,36887049,16215,57
5,31722900,13938,49
5,21912694,9675,34
5,38966330,17061,60
5,10889782,4851,17
5,37785555,16499,58
5,22519252,9961,35
5,85433574,36385,128
5,13954372,6260,22
5,68995593,29854,105
5,34371258,15073,53
5,54400229,23598,83
5,38786373,16792,59
5,26496735,11666,41
5,33366965,14790,52
5,23750832,10527,37
5,36094522,15923,56
5,40380764,17637,62
5,43257270,18772,66
5,69298741,30137,106
5,24171522,10807,38
5,76276323,32981,116
5,43179986,18784,66
5,57836285,25036,88
5,29031651,12800,45
5,65818762,28443,100
5,49453477,21609,76
5,60757505,26167,92
5,62808474,27306,96
5,40824197,17916,63
5,8165280,3705,13
5,30554157,13651,48
5,84655695,36386,128
5,49195282,21608,76
5,31093018,13662,48
5,12604819,5691,20
5,28956740,12809,45
5,57567871,25025,88
5,48036628,21040,74
5,84738911,36386,128
5,71521281,30994,109
5,54304148,23884,84
5,8086522,3708,13
5,74542611,32411,114
5,84491276,36387,128
5,18358334,8253,29
5,20414773,9098,32
5,57279431,24752,87
5,21186912,9388,33
5,72710783,31561,111
5,36534248,16215,57
5,48683502,21055,74
5,7511885,3415,12
5,43435896,19053,67
5,52194970,22744,80
5,41108540,17921,63
5,84469606,36386,128
5,53549802,23316,82
5,6930214,3139,11
5,72183964,31279,110
5,53413487,23316,82
5,5000332,2285,8
5,77935877,33550,118
5,19751609,8818,31
5,34091634,15078,53
5,60265383,26159,92
5,84233232,36105,127
5,82915830,35255,124
5,67834264,29286,103
5,42637118,18506,65
5,59666920,25876,91
5,29575541,13081,46
5,52219858,22747,80
5,22391171,9961,35
5,41737709,18200,64
5,85370285,36385,128
5,62400599,27021,95
5,46912649,20474,72
5,81990474,35253,124
5,46615522,20202,71
5,47005795,20480,72
5,30875881,13660,48
5,53890081,23325,82
5,60297944,26158,92
5,66792539,29001,102
5,10726105,4842,17
5,66632659,29000,102
5,43012933,18774,66
5,39500943,17354,61
5,84954796,36384,128
5,60361653,26161,92
5,40949091,17916,63
5,36205771,15927,56
5,70405338,30427,107
5,39411565,17067,60
5,19368731,8535,30
5,31726337,13939,49
5,50117883,21623,76
5,68932484,29856,105
5,9447957,4272,15
5,47075355,20488,72
5,30314498,13368,47
5,41835023,18195,64
5,61872958,26737,94
5,37440337,16492,58
5,79436332,34117,120
5,85361659,36385,128
5,50966836,22187,78
5,6261278,2849,10
5,79166135,34117,120
5,49452104,21608,76
5,78324536,33557,118
5,51817462,22468,79
5,48189175,20761,73
5,51655648,22469,79
5,3163867,1429,5
5,50253748,21906,77
5,59961964,26158,92
5,66184879,28447,100
5,20445240,9102,32
5,34363023,15355,54
5,48630694,21340,75
5,38815607,17060,60
5,74610117,32424,114
5,28359640,12519,44
5,45474441,19909,70
5,61877598,27014,95
5,69577714,30149,106
5,68646928,29854,105
5,63518496,27584,97
5,45036961,19625,69
5,41784086,18209,64
5,79846772,34125,120
5,85102312,36387,128
5,67250990,29286,103
5,66962668,29286,103
5,19231433,8535,30
5,29205396,13083,46
5,42928786,18768,66
5,75498563,32981,116
5,34016615,15074,53
5,66685188,29285,103
5,35788217,15924,56
5,8157846,3705,13
5,10076926,4551,16
5,77723859,33549,118
5,653246,291,1
5,569469,291,1
5,77574880,33549,118
5,23117294,10240,36
5,81461572,35253,124
5,37383540,16502,58
5,77500711,33551,118
5,632877,291,1
5,11409967,5134,18
5,57157321,25022,88
5,63596212,27873,98
5,79097116,34117,120
5,48474039,21325,75
5,63674559,27865,98
5,20607425,9098,32
5,78096628,33832,119
5,20484414,9103,32
5,73987919,32137,113
5,25727531,11381,40
5,19144430,8536,30
5,31617823,14218,50
5,42363824,18489,65
5,63153011,27582,97
5,70576699,30705,108
5,42450128,18501,65
5,64827952,28435,100
