OMNIKDTREE,EUCLIDEAN,WDR,2,4015,50394
k,time,count,disk
5,71076969,29568,104
5,69375087,29286,103
5,86059019,35821,126
5,41355023,17348,61
5,60200611,25604,90
5,21683895,9393,33
5,41593130,17918,63
5,53959382,22755,80
5,62169797,26165,92
5,77103938,32698,115
5,31793123,13937,49
5,7676714,3417,12
5,76709948,32411,114
5,40261241,17060,60
5,77181393,32698,115
5,85238560,35252,124
5,55618675,23319,82
5,57655116,24452,86
5,80343667,33550,118
5,57724076,24467,86
5,76704989,32414,114
5,21055546,9104,32
5,49188841,20773,73
5,77315134,32698,115
5,66567027,28433,100
5,33147043,14220,50
5,77102074,32698,115
5,10055196,4274,15
5,30912420,13647,48
5,41853659,18195,64
5,36536181,15927,56
5,70100447,29568,104
5,81200865,34118,120
5,38278640,16501,58
5,83370715,34968,123
5,59208211,25020,88
5,50949385,21614,76
5,26508868,11374,40
5,20624587,9108,32
5,56843214,24184,85
5,24877667,10821,38
5,54308016,23319,82
5,76222664,32414,114
5,87579092,36385,128
5,57908461,24452,86
5,73455883,31278,110
5,85046800,35252,124
5,33209360,14220,50
5,3232976,1427,5
5,55636629,23883,84
5,50217792,21044,74
5,25894625,11377,40
5,45414690,19338,68
5,12826115,5692,20
5,57609270,24173,85
5,70707566,30137,106
5,61496003,26165,92
5,12366102,5411,19
5,69020532,29568,104
5,52569955,22184,78
5,74339752,31278,110
5,51051857,21614,76
5,81117939,34118,120
5,69693844,29568,104
5,61101703,26165,92
5,62927729,26156,92
5,69908526,29568,104
5,37925499,16494,58
5,86932879,36387,128
5,59326934,25593,90
5,1304949,574,2
5,73960179,31283,110
5,30931095,13372,47
5,40212309,17348,61
5,74176455,31278,110
5,83455675,34968,123
5,63348498,26452,93
5,52916235,22468,79
5,41117326,17911,63
5,52046283,22190,78
5,14336459,6272,22
5,57125893,24452,86
5,72828295,30994,109
5,35681047,15086,53
5,50812658,21900,77
5,69234572,29568,104
5,72332916,30708,108
5,49652471,21044,74
5,62511990,26165,92
5,70054400,29584,104
5,36327811,15653,55
5,67387758,28436,100
5,77286089,32698,115
5,66317850,27581,97
5,87934989,36105,127
5,49556973,21051,74
5,10446981,4551,16
5,72930206,30994,109
5,65798586,28149,99
5,77874554,32989,116
5,74305727,31847,112
5,22036336,9674,34
5,24555263,10809,38
5,30074518,13081,46
5,63436383,27299,96
5,54666198,23319,82
5,38069168,16491,58
5,40036670,17060,60
5,34211500,14787,52
5,85026673,35252,124
5,5235864,2286,8
5,30802454,13378,47
5,49096879,20768,73
5,67757211,28717,101
5,23170894,9961,35
5,83910579,35252,124
5,84423611,35252,124
5,25402472,11096,39
5,50528064,21330,75
5,76400799,32128,113
5,46340698,19913,70
5,30406511,13091,46
5,42878672,18212,64
5,14459159,6259,22
5,15516283,6826,24
5,18196602,7964,28
5,47631770,20480,72
5,52241769,21898,77
5,66010663,28150,99
5,25308035,10806,38
5,18029398,7965,28
5,1321610,574,2
5,41114452,17365,61
5,49720700,21334,75
5,51559439,21615,76
5,50481727,21613,76
5,54147907,21044,74
5,79624587,33550,118
5,24773321,10808,38
5,50964403,21614,76
5,1318624,574,2
5,83438071,35252,124
