PMTREE,EUCLIDEAN,CONVEX,2,4015,46887
k,time,count,disk
5,204499039,37002,176
5,222650239,36858,175
5,224495022,36641,173
5,215130154,34857,163
5,211052851,34465,162
5,177753768,31156,144
5,221059322,36261,172
5,173895977,30408,142
5,213156529,35223,167
5,218081434,35501,163
5,218067416,35612,170
5,107095109,19239,87
5,196827409,33665,155
5,223937435,36835,175
5,228825029,37043,177
5,220056221,35662,168
5,226654876,36824,175
5,227266763,36903,176
5,210783034,34657,163
5,205877877,33902,162
5,224648259,36835,175
5,227916023,36975,176
5,165597930,29119,134
5,218934243,36248,174
5,225580899,36835,175
5,223909272,36405,173
5,220209988,35919,170
5,211491242,34750,161
5,219535062,36074,172
5,221386446,36532,175
5,208389752,34110,159
5,215792926,35454,168
5,226756756,37043,177
5,169129409,29720,139
5,211900360,35140,167
5,225388779,37043,177
5,151722025,26989,122
5,210463002,34021,159
5,156409183,27332,127
5,191927180,33077,155
5,161547336,28036,130
5,225068336,36245,172
5,222309939,36835,175
5,177141017,36690,176
5,138242423,35584,169
5,142213928,37070,177
5,138356607,36903,176
5,141248926,36403,173
5,51175538,15552,68
5,141400591,37043,177
5,131976922,34724,160
5,144744417,36937,175
5,141241712,36835,175
5,138723806,35480,168
5,139263038,36410,174
5,147495631,35100,165
5,187955514,34548,164
5,110049103,21709,94
5,194755088,36158,172
5,187926721,34767,161
5,200119597,36903,176
5,195279612,35940,170
5,190727116,35214,165
5,195073726,36006,171
5,186865479,34712,165
5,200894450,37043,177
5,195526455,35704,170
5,202019002,36792,174
5,202696172,37043,177
5,201599134,36471,174
5,72795367,15367,67
5,199666566,36631,175
5,142369128,27813,125
5,189060168,34925,164
5,200919648,36717,176
5,197877849,36248,174
5,187269616,34076,161
5,202150788,36903,176
5,170337355,34646,162
5,113881878,31371,143
5,101804067,28744,130
5,138956974,36180,173
5,141363420,36835,175
5,114785203,30975,145
5,130880113,32964,156
5,197557727,36692,173
5,200072477,36840,175
5,201631494,36824,175
5,196252898,36045,169
5,72762335,15343,69
5,163990481,32315,150
5,196023427,35970,170
5,183433075,34148,161
5,195786252,36480,174
5,200652665,37043,177
5,159500894,31552,145
5,96377601,19535,86
5,198182960,36339,172
5,197812205,36337,172
5,197742103,36466,173
5,146159022,36835,175
5,119317340,32623,151
5,137443752,35668,166
5,207267352,34249,159
5,227693222,36837,175
5,224004297,36248,174
5,216718822,35012,165
5,204065722,35600,168
5,197189164,35197,165
5,203272553,36182,173
5,201402273,35848,170
5,133560183,25842,120
5,173920610,33087,156
5,205885097,37002,176
5,138831206,26686,122
5,204646402,36545,174
5,207470693,37002,176
5,167704482,31884,148
5,198146922,35638,169
5,206203414,36835,175
5,175374788,33512,154
5,149090945,29158,135
5,189450920,34462,161
5,133433796,25832,118
5,197962766,36006,171
5,205623235,36903,176
5,150156645,28577,129
5,205525091,36903,176
5,205384928,36824,175
5,204455673,36372,172
5,211839252,35264,164
5,80492084,15671,68
5,122743209,32685,154
5,116986845,32587,154
5,111817993,31077,142
5,137913524,36471,174
5,140455415,36824,175
5,143861839,36878,175
5,146689617,36835,175
5,143082075,36690,176
5,48372255,14591,64
5,138566068,34853,164
5,50402897,15367,67
5,139152730,35638,169
5,142493501,36550,175
5,124408694,33749,156
5,132979473,34267,159
5,70329408,19716,89
5,144317464,36903,176
5,135921965,34506,161
5,136247347,35125,166
5,149012085,37043,177
5,144031838,37043,177
5,153565432,35230,167
5,130085631,33821,157
5,90006742,25593,118
5,139991755,35591,169
5,142431744,37043,177
5,144296895,37043,177
5,137947226,35275,168
5,134327042,34759,165
5,132829862,34522,164
5,142941430,36340,170
5,124006190,33618,153
5,101136202,28259,125
5,112790127,31336,146
5,103700626,28982,132
5,105095013,28979,134
5,145146089,37043,177
5,99771661,27533,124
5,137267550,35413,164
5,140017773,35423,166
5,68522947,18742,83
5,142858194,36471,174
5,144225330,36405,173
5,141949840,35902,169
5,136673194,34913,164
5,135634716,35070,163
5,143819789,36898,175
5,139776931,35852,169
5,142949896,36977,176
5,146124666,36977,176
5,138826777,36101,172
5,141778297,36337,172
5,138419342,35744,168
5,140309520,35852,169
5,135171156,34003,161
5,140834115,36271,171
5,144561190,36622,175
5,146689094,37043,177
5,139702441,36101,172
5,135105923,34177,160
5,134953587,34629,163
5,122826945,33512,154
5,142424459,36486,173
5,120927891,33132,152
5,118498440,31817,148
5,138985124,35944,170
5,139216578,35922,170
5,142712170,36484,174
5,143561042,37043,177
5,137486211,35240,167
5,145044638,36550,175
5,135559374,34416,163
5,120025897,33226,157
5,117287838,32284,148
5,118044478,33096,153
5,142650033,36384,172
5,136603524,34995,165
5,137230380,34624,166
5,141335726,36035,171
5,139475775,35596,167
5,143943550,36858,175
5,111357467,29733,138
5,107003485,29731,134
5,121593159,32763,152
5,142547019,36840,175
5,143531949,36835,175
5,140370334,35735,167
5,139403659,36002,171
5,105144946,28829,131
5,89703413,24108,107
5,130770866,34028,159
5,144489184,36758,174
5,142697172,36258,172
5,140626815,35724,167
5,123483577,33337,155
5,96693122,27205,125
5,137550140,35480,168
5,142397048,36835,175
5,144006919,36758,174
5,106235773,29275,134
5,142428587,36758,174
5,102720646,27968,128
5,139163498,36471,174
5,145605740,36835,175
5,126513925,33291,153
5,113022422,31926,149
5,139189647,36139,169
5,141028579,35423,166
5,144995094,37210,178
5,132428436,34229,159
5,138369428,35929,171
5,84996297,23382,103
5,131936113,33971,160
5,142429378,36611,173
5,138217342,35704,170
5,143369493,36624,175
5,138157439,34863,163
5,80549790,22621,100
5,148464045,36686,173
5,140348162,35782,169
