PMTREE,EUCLIDEAN,GNAT,2,4015,174518
k,time,count,disk
5,204544645,37099,174
5,201271441,36914,172
5,201179578,36900,171
5,194354216,35765,165
5,191324139,35024,161
5,161874341,31855,144
5,201091974,37058,172
5,162128388,32269,145
5,196221212,36573,169
5,197322618,36365,165
5,201085602,37058,172
5,104895771,20897,88
5,188346710,34472,161
5,200861141,37079,173
5,201559210,37099,174
5,199709048,36914,171
5,200954234,37099,174
5,201383290,37164,174
5,193881138,35889,165
5,188812595,34832,160
5,200022726,37078,173
5,201292409,37079,173
5,153270742,30357,136
5,199144468,37164,174
5,200629415,37099,174
5,200863945,36878,172
5,201083757,37143,173
5,196456211,36250,169
5,198419948,36577,170
5,199094564,37058,172
5,191285435,35436,163
5,196199480,36470,169
5,201337223,37079,173
5,151116148,30054,135
5,194616709,36382,169
5,200153240,37099,174
5,146846753,29466,132
5,190529366,35304,164
5,143655504,28267,125
5,172138126,34378,158
5,99210520,27892,124
5,148260337,36957,172
5,144975662,37164,174
5,145396862,37164,174
5,137986803,36778,171
5,155923070,37099,174
5,220293113,37078,173
5,221157987,37058,172
5,99645375,17901,74
5,220288615,37099,174
5,213734372,35966,163
5,218600456,37058,172
5,219353329,37079,173
5,219497088,36792,170
5,218431148,36778,170
5,218551153,36479,169
5,215324627,35936,165
5,115309928,20750,88
5,218826029,37164,174
5,211328807,35889,165
5,221559950,37164,174
5,217291068,36577,170
5,211629822,35624,164
5,218706163,36914,171
5,213569862,36005,167
5,222106557,37079,173
5,217941548,36577,170
5,221344776,37078,173
5,217556075,37164,174
5,219368036,37099,174
5,91221714,16993,71
5,223303823,37022,171
5,144069018,25921,120
5,204294933,36030,166
5,203603866,37078,173
5,203069965,37184,175
5,194611417,35307,163
5,203547120,37164,174
5,194782999,35639,164
5,161184785,31564,143
5,151598011,29737,136
5,200919368,37058,172
5,202185013,37079,173
5,163187635,31942,144
5,188761487,34865,161
5,201577813,37058,172
5,201857628,37058,172
5,192558163,37079,173
5,135956902,36084,168
5,53880885,16132,67
5,118580095,33473,153
5,139681693,36615,170
5,131654657,34808,162
5,139852574,36864,170
5,143244430,37099,174
5,145428961,32851,151
5,87072205,17615,76
5,200297138,36942,172
5,201133379,36963,173
5,201867646,36900,171
5,201728115,37058,172
5,184597501,34090,156
5,196964733,36144,166
5,193305135,35389,165
5,201685584,37099,174
5,201250648,37058,172
5,195657459,36012,167
5,198290461,36577,170
5,195521926,35845,165
5,199698404,36801,172
5,201750476,37058,172
5,111642343,27428,121
5,126289095,33978,155
5,146634022,37099,174
5,99774638,27809,127
5,139697742,37164,174
5,141344935,37099,174
5,119673348,33107,152
5,136606721,36577,170
5,144572032,37079,173
5,121274743,33762,154
5,107842741,29922,133
5,138191305,35789,166
5,85448157,24298,109
5,141127627,37058,172
5,142138174,37078,173
5,108216642,29803,130
5,140655350,37079,173
5,143426392,37099,174
5,143346071,37058,172
5,137224340,35866,166
5,61888084,17601,73
5,173807788,33120,153
5,193689364,34518,158
5,165543666,31882,144
5,205222333,37058,172
5,205461281,37099,174
5,206397429,37079,173
5,205597546,37164,174
5,205204469,37058,172
5,81207075,16814,69
5,196685408,35843,165
5,89820483,17601,73
5,201225229,36312,169
5,204409577,37079,173
5,191576047,34573,160
5,192633513,34751,158
5,116967318,22670,97
5,205576897,37099,174
5,201631552,36357,168
5,201540752,36312,169
5,207059600,37113,175
5,207506870,37079,173
5,203902034,36562,171
5,188836645,34055,157
5,140098495,26948,120
5,205340583,36699,171
5,206308260,37079,173
5,207039562,37099,174
5,205848427,37058,172
5,197287809,35516,165
5,199033034,35674,164
5,205138373,36872,171
5,189731565,34099,155
5,149647477,28715,130
5,161163253,31164,140
5,159713632,30927,143
5,155767835,30079,137
5,206418376,37099,174
5,143446828,27560,121
5,195371331,35414,162
5,203121558,36408,167
