PMTREE,EUCLIDEAN,HFI,2,4015,292697
k,time,count,disk
5,389813302,33648,157
5,351230388,33370,150
5,271279382,32086,144
5,80624079,16057,62
5,177528409,29163,126
5,168094025,24942,103
5,183933590,30519,137
5,163046253,25355,106
5,181679959,28459,124
5,203535705,32469,147
5,281676664,31325,144
5,68239999,13993,54
5,180851355,28865,126
5,215079026,33670,157
5,278389454,34642,161
5,211542610,31835,146
5,264538613,33846,157
5,222428789,33576,156
5,202245083,29206,127
5,198620140,29429,130
5,204944327,33087,154
5,214140245,33588,152
5,156285595,23185,95
5,208241796,32822,151
5,337167187,33889,157
5,342496287,30925,139
5,309157403,32670,151
5,303528430,32054,142
5,272830192,28803,124
5,319141200,31799,145
5,298854478,29242,128
5,299902326,31206,141
5,445678890,35166,164
5,237410213,23238,96
5,363222111,32005,146
5,309226152,33470,156
5,153324899,20297,84
5,193645695,29971,132
5,128376621,21335,87
5,165451176,27833,121
5,134042774,20774,84
5,192168503,32605,151
5,346392579,33585,156
5,391816721,34146,158
5,314889530,30956,139
5,286366314,34056,158
5,262890058,33960,161
5,262719819,32168,149
5,59284403,12656,48
5,217624343,33639,157
5,194961063,30148,135
5,218046384,33841,157
5,215990066,33684,156
5,227299159,31271,139
5,325062310,31539,140
5,190930620,31499,141
5,214327406,31283,137
5,120092335,18035,72
5,212319188,32792,150
5,207185763,30062,132
5,215879359,33400,155
5,194979619,30446,137
5,287184720,29577,132
5,292031535,29375,131
5,306924834,30772,140
5,420243367,34221,156
5,340502725,31612,143
5,285570551,30730,140
5,427699248,33933,158
5,372389565,32250,147
5,87919179,11803,45
5,228456190,32377,146
5,136632042,21169,88
5,117350640,18227,71
5,223867448,33350,154
5,213728081,33530,155
5,186671907,28049,122
5,197011862,32564,148
5,192216371,30503,133
5,144467077,23968,102
5,128074754,21624,90
5,221554889,31578,143
5,210536752,33257,151
5,159431387,24682,102
5,280689792,29440,131
5,297674405,32238,148
5,330514411,33015,150
5,349193295,33733,158
5,307762516,29967,134
5,319887089,30770,137
5,251624788,26054,111
5,289472542,30075,134
5,299107343,30155,136
5,350764733,32133,143
5,345092970,34376,161
5,143497236,25306,110
5,56536797,11164,43
5,205695056,32288,148
5,219938355,33015,152
5,218438541,33434,151
5,215917059,33366,153
5,183953226,27451,119
5,185492565,29510,131
5,223544352,30538,135
5,411701838,34122,160
5,314254898,32079,145
5,293429067,30129,132
5,297628688,30979,139
5,262507951,28798,127
5,327569796,31951,144
5,319663609,31494,142
5,186535651,20077,82
5,249388441,27039,116
5,329504717,32989,152
5,219962079,22012,92
5,330964355,33402,154
5,395155497,33938,160
5,262361535,26636,114
5,321180075,30708,140
5,420382096,34358,158
5,308878599,27498,119
5,199683826,22520,92
5,331644342,30083,133
5,182010720,18936,78
5,317559119,32230,145
5,347204502,30630,138
5,301706029,29603,130
5,316463204,31260,142
5,308603784,34272,160
5,210379978,32677,148
5,207310998,31605,137
5,54194671,11803,45
5,146518416,25551,108
5,299648288,27793,122
5,291280836,24778,106
5,279486713,29294,129
5,340834127,33265,153
5,376902804,33530,154
5,410140998,33943,158
5,352963580,32160,146
5,67700426,11138,42
5,344466172,30473,135
5,78571076,11626,44
5,221910726,31353,142
5,311497684,33333,154
5,322090432,29855,131
5,310907137,27609,119
5,105082978,15019,59
5,266134365,34089,159
5,208803429,30721,138
5,193569471,30175,137
5,337707801,33911,155
5,339770100,33473,153
5,314826130,33076,148
5,281261453,28724,128
5,190228441,18962,78
5,310367674,31493,144
5,273968107,31892,146
5,206705463,33025,152
5,180795200,30275,135
5,206382215,30406,135
5,176870064,30884,138
5,399641945,33846,155
5,91363061,13079,51
5,219124127,21543,88
5,241268763,25553,108
5,221027038,24117,99
5,225179490,22486,92
5,352928112,34556,160
5,124951763,22215,91
5,208547529,30339,135
5,167154201,27523,119
5,59176119,13032,52
5,206092372,31485,142
5,223672422,31825,147
5,291638527,30798,140
5,220672643,18043,71
5,280407520,29514,131
5,394186257,34574,161
5,270247073,32129,148
5,256160779,34337,159
5,207913990,33517,150
5,246336884,32214,148
5,204526062,32528,148
5,207920603,30956,139
5,198426595,31678,145
5,185322304,30052,133
5,210391830,32250,147
5,214223681,32898,151
5,299628642,34090,157
5,213677986,32530,148
5,200937137,30673,136
5,168721362,28506,125
5,185580670,28633,125
5,205719361,32913,147
5,159756267,26589,112
5,160128707,26054,111
5,215203390,31630,140
5,194213780,32247,148
5,196736885,31403,143
5,212950191,33368,154
5,195080216,30494,136
5,219326787,33055,154
5,181147129,29847,130
5,195135079,26359,110
5,257100252,28312,122
5,320986932,28394,124
5,259976650,29200,128
5,322700578,30290,134
5,345888562,30901,137
5,218555619,32197,148
5,180739905,27949,120
5,211993075,32974,147
5,143311948,21613,94
5,216508178,22649,95
5,199465655,25808,108
5,205989509,32846,147
5,333113869,33232,153
5,226527019,30061,134
5,213782292,32177,144
5,183397482,28855,126
5,112179796,19285,77
5,181417226,29217,128
5,213768837,32896,151
5,208645633,30752,140
5,203996949,29879,132
5,161228229,24971,104
5,136190744,22113,88
5,194363782,31564,141
5,213877000,31918,146
5,200137286,33077,153
5,146719483,25459,106
5,354993337,33867,156
5,126168366,20321,84
5,209026537,33718,157
5,224473326,33202,151
5,119491518,18830,74
5,160068493,24695,103
5,186867224,29901,132
5,122045630,17655,70
5,209374000,32931,149
5,215612397,28689,126
5,199892116,29937,132
5,105857191,18004,72
5,128648762,23166,96
5,203218057,31258,142
5,208364014,31300,142
5,310825993,34394,159
5,319350469,30823,137
5,174728184,17889,72
5,305463371,33076,148
5,302436230,31216,141
5,258432502,28991,128
5,391366024,33892,156
5,222703634,22991,95
5,199248297,23783,103
5,323661381,33292,151
5,355079619,33427,154
5,418891658,33938,156
5,216871740,31016,142
5,174506738,28635,125
5,263483180,33374,154
5,386450350,33427,153
5,312518039,32490,149
5,282337472,27987,121
5,305827392,31424,142
5,434130285,34604,162
5,306528820,31451,140
5,270431318,29929,134
5,343310644,34405,160
5,181053123,27648,119
5,174370672,28689,125
5,171686416,26093,110
5,137541700,25962,114
5,197089937,30669,138
5,216264320,33333,154
5,77305350,16345,65
5,315836346,34099,158
5,202028445,33438,154
5,188262222,30855,138
5,181530929,27148,116
5,170886364,29974,134
5,256362157,31301,140
5,202726815,24514,103
5,392461419,33439,150
5,273520596,27891,120
5,244171900,25769,111
5,207824903,23215,97
5,251696562,27261,115
5,299736292,30289,134
5,207695289,27728,117
5,194895389,29689,131
5,156991559,27734,121
5,198301992,29694,130
5,172353597,27732,119
5,197683170,29993,136
5,222717469,33274,151
5,220206047,32455,150
5,245710517,32372,144
5,61559913,15597,61
5,211803388,32873,149
5,203037889,30388,134
5,200907020,33244,149
5,183856623,28503,128
5,196112473,31086,139
5,218922058,33517,156
5,97478607,11822,46
5,176888557,31426,140
5,218067464,32961,154
5,199113955,31029,139
5,205756100,31907,146
5,197201126,31620,146
5,191134731,28018,120
5,190647026,31169,142
5,267017783,32887,152
5,167898196,27308,116
5,167170731,27712,121
5,199404851,30555,135
5,193988036,31576,142
5,215948145,32222,148
5,206197879,32180,145
5,245219346,30589,138
5,105856770,18181,72
5,198905755,29895,134
5,257199858,33921,157
5,224077722,32039,146
5,197746459,31887,147
5,196042081,29450,130
5,253903653,34362,159
5,212608750,26761,115
5,266114438,33864,155
5,211389281,31602,144
5,197976992,33399,154
5,208292860,33003,152
5,119880075,19236,77
5,172158311,26781,115
5,222051190,32225,146
5,56426509,11461,43
5,56189654,11461,43
5,200482264,32150,148
5,166515472,25804,109
5,198924310,33542,156
5,183330656,29564,133
5,205896313,33767,153
5,54920132,11461,43
5,126340530,19667,79
5,189262669,30872,140
5,225721326,28529,124
5,190731074,32144,150
5,195782875,30869,137
5,283380028,34939,162
5,153784170,24777,102
5,213471328,32683,149
5,121177391,19997,80
5,264524714,31396,137
5,165837178,26833,116
5,158306457,27308,116
5,209746879,32732,149
5,206792806,29971,131
5,201887329,32493,150
5,205023094,32212,151
5,162280163,25902,109
5,253052896,33402,155
5,367557805,34176,157
5,320198742,31423,141
5,301404934,30819,133
5,252004970,28212,120
5,327033458,32049,147
5,325787179,33712,155
5,291015818,30356,136
5,321726758,33054,148
5,183623816,19476,79
5,213282594,23744,102
5,319223031,31433,142
5,326581299,32840,152
5,329590856,32802,148
5,131991655,23366,96
5,370490117,34032,158
5,280597466,28291,123
5,382690163,33863,159
5,295261965,29336,127
5,262880859,22112,94
5,403211552,34237,157
5,403477691,34005,158
5,256158334,25840,110
5,305084418,25965,112
5,313579850,32369,147
5,297009404,31817,144
5,306196806,31888,147
5,259622053,26807,113
5,274077100,29963,133
5,296624122,31662,143
5,322278565,30184,132
5,295258559,29073,128
5,268191385,27901,121
5,280842125,29519,130
5,249074090,25368,105
5,337076754,33522,154
5,315216752,31796,141
5,319555814,31069,140
5,302914186,32695,152
5,324453536,33187,153
5,294201625,29802,132
5,299377028,31456,144
5,330463584,33559,152
5,201768486,32108,145
5,216052332,33826,158
5,210250083,31931,146
5,177223546,31459,143
5,177166148,29243,127
5,217228428,30594,137
5,209727813,32637,151
5,262084234,34207,159
5,209043899,31068,141
5,194484959,30618,136
5,186344542,30149,132
5,192119018,30009,133
5,262891108,31381,139
5,189282154,30544,136
5,180434712,27072,119
5,192511495,30894,138
5,181545125,30945,140
5,201455118,30967,140
5,191575629,30797,137
5,125238601,21109,88
5,183036485,27011,116
5,257973109,32263,146
5,191751038,30381,136
5,169049526,27557,122
5,207464716,31124,138
5,192255625,29934,135
5,197971220,31130,141
5,178924868,28396,125
5,192173441,27521,121
5,202003397,32120,145
5,186696803,22758,93
5,245986786,24724,103
5,329290943,31142,142
5,308106750,31602,141
5,291483885,27043,112
5,354678565,31763,144
5,341050752,31072,139
5,320432941,31121,137
5,318172679,32973,150
5,302780874,27469,118
5,407415350,35183,167
5,123128291,13859,53
5,344131352,32043,144
5,321073893,32224,149
5,327270742,27940,121
5,197863137,31868,145
5,291343862,31969,146
5,354877850,33299,153
5,387488316,33856,156
5,391737830,33597,155
5,340327805,33271,152
5,136138356,16853,67
5,334413005,32450,146
5,355599233,31963,146
5,100051946,14844,57
5,315651758,25707,109
5,220318147,26597,115
5,120634331,14423,56
5,319200729,33676,154
5,311698238,32126,148
5,365680672,33308,151
5,233474045,29180,128
5,198443066,31333,138
5,198238601,27108,117
5,299878639,31160,141
5,286429600,27678,120
5,295739261,29942,131
5,387121136,33930,158
5,305052408,32673,150
5,384227547,33868,157
5,292870156,30348,137
5,260180892,33344,153
5,323514363,32666,147
5,265809806,29319,130
5,222614546,33585,156
5,211162064,26155,113
5,350366834,31401,142
5,371707872,33585,155
5,172855809,18645,72
5,333928947,32539,149
5,330515642,30322,138
5,315232461,31850,146
5,324577539,30224,132
5,106476983,13947,54
5,316197041,29976,134
5,231677513,25152,105
5,334944673,32406,149
5,178909670,17317,72
5,91148908,12006,45
5,111441690,14594,56
5,227862474,23363,95
5,304021944,31333,142
5,327734542,31936,146
5,317980208,31449,141
5,342868092,33213,154
5,241695772,23146,94
5,291822110,28134,122
5,326838290,33824,156
5,342981915,33819,153
5,303124269,30322,134
5,300779649,28165,123
5,296238537,26892,117
5,224822008,26644,116
5,231562046,18412,73
5,312418671,32919,152
5,352286747,33734,157
5,329158144,29274,126
5,236993499,22698,95
5,312097087,32527,149
5,309515603,29844,134
5,359241969,32493,144
5,288316671,29602,132
5,158148851,17614,70
5,419358572,33879,158
5,278428275,28632,124
5,259139427,26031,110
5,346185597,31672,143
5,321584140,33240,155
5,345101903,31660,142
5,276091369,23761,98
5,295732859,30852,140
5,425080440,34636,161
5,425569819,34405,160
5,305112981,34438,161
5,270073777,30254,136
5,308157203,31045,141
5,214167243,18011,72
5,321325254,32508,146
5,357685157,33033,153
5,226947787,22561,93
5,346159788,31040,142
5,230759269,23636,97
5,339991463,32853,151
5,255142197,26513,114
5,204084361,28639,127
5,216180561,32774,153
5,204864015,32440,148
5,189096385,29396,130
5,117585469,18937,80
5,227771573,30208,133
5,381201617,34406,162
5,437505016,34172,161
5,286632520,29784,132
5,315862814,32396,150
5,318698235,32983,152
5,277132733,28664,126
5,326988462,33034,152
5,238003223,24869,102
5,329190916,33772,154
5,188852378,18970,75
5,403404293,34838,163
5,340229901,33625,153
5,362786039,33472,154
5,266371008,26480,110
5,277529818,28286,123
5,268892009,26729,113
5,300403393,33828,156
5,263759648,30401,136
5,308667140,30861,136
5,346124051,31434,140
5,302653556,31596,144
5,443930203,34372,162
5,333566025,30944,138
5,251098297,25113,106
5,285638726,28559,127
5,425954469,33961,158
5,330798983,29929,133
5,289110860,30499,138
5,296789020,30842,138
5,219432254,22255,87
5,312641689,29895,130
5,326165126,31529,143
5,344769440,32214,145
5,190582224,23034,96
5,285339845,29269,129
5,234372710,23951,95
5,294017779,29612,131
5,436128142,33846,157
5,395646484,33884,155
5,187359496,17739,71
5,288618977,30200,135
5,360642988,31126,141
5,383251785,33850,157
5,283937462,30436,137
5,313359646,27529,118
5,165147563,18545,75
5,282745045,29271,128
5,330349758,31918,142
5,312498951,28500,125
5,379460229,34261,157
5,272384913,28109,119
5,287935996,28630,126
5,278007345,29022,126
5,294525322,29932,130
5,326590746,32674,151
5,278248407,27443,117
5,300657800,31856,148
5,310248537,29604,130
5,285245417,27955,121
5,290569749,31018,138
5,181852922,21573,87
5,404976963,34696,160
5,323078725,32590,147
5,259573862,27990,122
5,313159320,32660,147
5,179542086,31864,145
5,273207257,34983,163
5,254391888,30404,136
5,445138330,34687,160
5,321560996,31555,145
5,315963632,30231,138
5,294184993,30713,136
5,305665376,32325,146
5,374021633,33213,154
5,325307887,32045,145
5,297612955,27329,117
5,333492326,30755,137
5,84756433,12103,48
5,420307192,34190,158
5,332657971,33495,154
5,327831844,31097,138
5,186063865,25508,108
5,307425550,33193,154
5,81736505,10928,41
5,314452136,28079,122
5,309175114,31377,141
5,270754354,29394,131
5,262553494,26772,115
5,339980391,33754,155
5,356340423,32786,151
5,247375561,26558,111
5,317519713,32226,148
5,286871419,29026,128
5,314874048,30338,135
5,216160433,23074,99
5,193701417,31007,139
5,199561113,31524,142
5,269812055,34282,157
5,197657230,30592,137
5,187031490,29080,129
5,198609056,32371,148
5,221676395,33082,152
5,209735856,33467,153
5,196874241,30783,138
5,174139908,29484,130
5,216973770,33181,151
5,160669740,25051,107
5,120406874,20270,82
5,178848043,27297,120
5,214342161,25776,105
5,329781432,32466,150
5,306151298,32486,149
5,330143552,31859,146
5,315187445,32571,148
5,230386028,23363,94
5,252198391,27423,120
5,325758724,33103,149
5,312437566,32089,147
5,263525467,33639,157
5,224716039,33570,151
5,197544509,29514,131
5,177662077,31940,145
5,258565440,34102,159
5,194222024,31269,140
5,203265384,30602,138
5,145842416,25543,105
5,190205166,31927,145
5,232977572,32565,148
5,433456297,33966,158
5,325520317,31927,145
5,323966921,31039,137
5,365126821,33360,154
5,361174804,33400,155
5,335239495,33056,154
5,357251552,33379,153
5,339958451,33146,152
5,140306586,18190,75
5,263294163,33635,153
5,214068777,31029,137
5,178655823,30013,133
5,191541384,27863,123
5,182760084,31588,141
5,282638735,34702,160
5,212866141,31099,143
5,224570486,31874,145
5,201245634,32720,147
5,196712988,32363,146
5,193218721,30099,133
5,149920809,23852,100
5,187203653,27889,122
5,153438741,17561,69
5,341255354,30796,137
5,323823521,30013,133
5,191913762,21135,90
5,342665861,32724,152
5,320401250,28083,124
5,356417086,33350,154
5,279825766,27848,123
5,328415599,33537,150
5,296853169,30115,137
5,330993196,30960,139
5,89915645,13187,51
5,319804028,31839,142
5,335036184,31191,140
5,358387644,33497,150
5,255283491,28547,124
5,246397384,25685,108
5,247680013,24597,99
5,154983249,18470,75
5,351291768,31113,139
5,405067353,33905,158
5,179746069,19247,78
5,310121138,32283,147
5,348303521,33729,155
5,115554567,14704,58
5,311025154,31067,142
5,303654552,30211,133
5,320020365,31835,144
5,311650198,30924,135
5,362235434,31709,143
5,299786294,30296,132
5,301391205,31177,137
5,344327119,33636,155
5,295949082,31799,145
5,235584223,29362,131
5,226546593,24872,106
5,228266130,30682,136
5,198570213,30309,136
5,229336328,26933,112
5,287025076,29949,131
5,184724661,28287,121
5,265023538,33200,149
5,212511314,32548,149
5,260212822,33945,157
5,230958463,32930,151
5,112890878,19637,80
5,144272699,22329,91
5,324737847,30813,140
5,294449649,31550,139
5,331051665,31246,141
5,330214996,32924,152
5,225377189,25048,104
5,420587147,33846,157
5,274819401,27952,118
5,298963038,31009,138
5,310453591,30713,139
5,163739571,26372,115
