PMTREE,EUCLIDEAN,IS,2,4015,325355
k,time,count,disk
5,212940063,34264,164
5,184628290,31857,146
5,184409670,32665,154
5,162424679,28616,133
5,160146514,27911,128
5,134403942,23903,109
5,177690379,31508,148
5,143325816,26001,118
5,173207505,30343,141
5,180827086,31783,150
5,173108481,30660,142
5,76955055,14966,63
5,157546946,28035,132
5,190630965,33307,159
5,205339789,33942,163
5,181256872,31739,148
5,191148857,33654,160
5,184626416,32199,150
5,162111402,28405,131
5,164891158,29101,133
5,206234869,33974,162
5,183899211,31708,144
5,136463927,24151,108
5,188618078,32703,155
5,189157710,33500,158
5,184934544,32044,152
5,168267024,29592,136
5,170698467,29735,141
5,175239279,31466,146
5,180638441,32339,154
5,157306624,28092,128
5,166528650,29477,136
5,213543125,34805,169
5,140979382,24685,113
5,175545583,30741,142
5,206292087,34455,165
5,122352694,22196,99
5,167114621,29506,136
5,111837470,20360,90
5,153304513,27524,125
5,116979991,21531,96
5,187321133,32757,156
5,192851052,33575,160
5,190397606,33799,163
5,174216690,31242,146
5,192769628,33724,160
5,205185420,34162,165
5,150495532,26739,118
5,65094595,12523,51
5,209826910,34502,166
5,174178678,30438,141
5,190022412,33246,158
5,191702616,33411,158
5,170595353,30696,143
5,73177244,13997,59
5,166105426,29778,138
5,161946852,29115,131
5,71247172,13579,56
5,177750882,31563,149
5,160446727,28765,133
5,185246299,32338,151
5,176283869,30876,144
5,164616572,29632,138
5,174420442,30776,143
5,163715601,28898,131
5,174488840,30123,132
5,179911837,31221,146
5,186872020,33249,157
5,205437543,34076,163
5,210386611,34244,164
5,61225595,11888,49
5,186610809,32564,153
5,111836058,20571,89
5,164438287,29321,136
5,2654144845,33341,158
5,256494052,32418,152
5,166435405,29008,133
5,191497541,33054,157
5,165592473,29007,134
5,147416462,25759,118
5,89634270,19322,85
5,118770251,31462,146
5,122100360,33559,161
5,120793287,23407,107
5,161893613,28256,128
5,180398059,31615,150
5,185402111,33006,156
5,191624598,33557,160
5,167861632,29493,137
5,160001201,27829,127
5,146857934,25894,117
5,173166718,30600,140
5,158659432,28418,129
5,170537814,30420,138
5,210192587,34583,166
5,149705738,25876,117
5,53335698,10869,44
5,184686798,32411,152
5,173394316,30515,142
5,179096256,31910,150
5,181136946,32236,153
5,151763389,27100,124
5,173076649,30189,140
5,106927084,29046,134
5,117017400,33456,158
5,115463455,32363,153
5,103470557,29813,139
5,107917934,30275,140
5,100803822,28729,132
5,107618040,30666,144
5,112483061,31436,147
5,72236228,20983,95
5,96101968,26910,123
5,116430480,33074,156
5,72839841,21348,93
5,117246470,33034,158
5,121209168,33650,160
5,102462154,26971,122
5,130444209,28645,133
5,175553738,33379,160
5,140685389,27127,124
5,112339832,21982,99
5,148492220,28705,132
5,99866653,19790,87
5,166324216,31582,148
5,174121159,33030,155
5,148595354,28552,133
5,174687652,33487,158
5,124345834,33841,161
5,114272820,31518,147
5,106372874,29820,138
5,41668501,12195,50
5,95783520,27500,125
5,95588565,27185,123
5,93340495,26642,122
5,116287801,32441,153
5,121006306,33292,158
5,116922472,32605,156
5,120069319,33604,160
5,154263182,32492,153
5,57447113,11552,48
5,154312163,28945,133
5,41961981,12195,50
5,117342551,30691,143
5,187641513,32935,156
5,161598107,28840,133
5,161335334,28351,130
5,85832354,16536,70
5,203677708,33973,162
5,164309395,29246,135
5,158647359,28269,128
5,152697232,26697,120
5,176759561,29429,131
5,176162009,30909,147
5,154724867,27473,126
5,114736200,20143,89
5,175603501,30384,140
5,196627297,33689,160
5,205104095,33910,160
5,170678809,30202,139
5,168660702,29844,139
5,168537309,28896,135
5,193610335,33496,160
5,157822250,27982,128
5,89868619,16963,76
5,135518442,23617,107
5,135718758,23586,105
5,120493734,21081,96
5,210408902,34333,165
5,123960390,21483,92
5,169411971,29740,138
5,160226422,28343,131
5,48102336,13886,60
5,116692510,31764,147
5,118194270,31907,150
5,101631145,29099,134
5,100030580,28215,131
5,105054018,30040,140
5,128202181,34079,163
5,116994958,31831,150
5,141258174,34717,168
5,190641994,33201,157
5,165989839,29457,135
5,155422406,28013,128
5,168787139,29803,138
5,172417982,30711,145
5,164935781,28928,132
5,183603273,32097,152
5,184995577,32515,155
5,212830376,34766,167
5,189149122,32346,151
5,167434619,29536,137
5,161457793,28904,133
5,156413236,28202,129
5,184154939,31770,150
5,109814794,19895,86
5,142063956,25894,117
5,166242051,29222,132
5,182294538,31798,151
5,193964960,33231,158
5,176654663,30709,144
5,167689989,29915,138
5,190586138,33699,161
5,161360460,28945,131
5,157497711,27779,126
5,155427665,26999,125
5,160511036,28298,129
5,181203641,31674,148
5,166022018,29289,134
5,172462996,29944,139
5,188563533,32367,152
5,275561615,30960,145
5,3070964992,33366,158
5,121995293,21522,98
5,137106061,24168,111
5,147362379,26274,121
5,184979847,31974,149
5,189291359,32313,152
5,179445771,31025,145
5,125337365,22607,99
5,165276429,28901,135
5,98648827,17602,74
5,162665209,28840,133
5,187559699,32683,154
5,184512509,32241,153
5,174540405,29997,139
5,164106654,28159,130
5,128414378,22752,102
5,172903072,30078,142
5,197942874,33860,160
5,185221260,32113,153
5,130056010,23212,104
5,207130237,34019,162
5,122670218,21499,94
5,188693216,32899,156
5,186383992,32294,153
5,160826237,27981,129
5,145770752,25713,116
5,158975324,30879,145
5,102226923,28876,134
5,122138019,33019,156
5,145463305,28097,129
5,160566158,30691,141
5,79294124,16426,68
5,144038582,27718,126
5,169393205,32393,154
5,150655740,28906,135
5,175150088,33223,158
5,153418214,29364,136
5,80191237,16569,69
5,102237482,19998,88
5,166186356,31680,150
5,169656118,29569,140
5,165958288,29051,129
5,179889774,31238,146
5,133752637,23797,106
5,101244809,18359,80
5,189207400,32810,154
5,194367735,33385,159
5,189817376,32543,155
5,105673030,26098,119
5,119524565,32836,156
5,119640663,33368,160
5,119827053,32837,157
5,92362799,25596,118
5,114211464,31425,145
5,121052843,33390,157
5,107313889,30018,135
5,135006681,28652,132
5,195792038,33879,163
5,160265003,28002,128
5,160473695,27657,124
5,149384664,26021,117
5,140987154,25176,114
5,157535000,29536,134
5,120509754,33358,158
5,80457787,17755,76
5,194921303,34626,166
5,178673993,33339,159
5,157586346,30243,142
5,141179255,27198,126
5,157908271,30270,143
5,165219461,31555,149
5,132222505,25576,117
5,164173950,31261,146
5,143677804,27381,127
5,154602667,29479,138
5,123529090,23943,106
5,130489983,25829,118
5,150556132,29644,136
5,139768286,27556,126
5,150528500,29209,135
5,138088164,27533,126
5,141683591,28117,128
5,144289452,28520,130
5,161268076,31722,148
5,169188020,33097,157
5,156912561,30911,144
5,135783819,26758,119
5,75645085,16010,69
5,165336391,32428,153
5,161948593,31689,147
5,118232861,32792,154
5,95561732,27673,126
5,113427853,31950,151
5,117789769,33720,161
5,41225579,13059,55
5,101446047,29908,138
5,116414047,33065,157
5,111970358,31895,150
5,152451920,33165,156
5,175905637,31227,145
5,158351452,27747,126
5,171050585,29827,137
5,183201539,32208,152
5,161044646,28984,135
5,154087098,27081,120
5,165434886,29863,138
5,189583636,33334,157
5,172787494,30904,145
5,171905499,30508,141
5,156234359,27173,124
5,84651227,16311,72
5,157628105,28270,129
5,187281997,32912,158
5,175704038,30798,143
5,182644693,32027,152
5,161679278,28235,130
5,203475347,33893,162
5,166664893,29103,133
5,162469119,33506,159
5,106483781,30379,142
5,116686719,33092,157
5,118362965,33726,161
5,60979021,17910,75
5,94526190,26535,122
5,143271481,31739,148
5,58911911,11859,49
5,44707193,11859,49
5,112585151,32027,152
5,110899358,31111,145
5,114522758,32554,155
5,103540386,28014,127
5,119177043,32947,154
5,38361754,11859,49
5,92749325,18174,77
5,152274387,28688,128
5,151071449,27221,125
5,179842314,31081,145
5,1134716468,30065,138
5,1851640173,33604,160
5,142826275,25460,114
5,191836113,33241,159
5,165766467,29316,136
5,163918319,29018,135
5,151217372,26938,122
5,162757511,28166,129
5,190321340,33089,157
5,163915404,29576,135
5,182989260,32224,153
5,180997562,31820,150
5,134685998,23996,107
5,207681310,34084,163
5,209368065,34000,164
5,175313855,30939,144
5,147458869,26465,114
5,160261916,27953,128
5,173792871,30318,141
5,190574255,33739,160
5,155107563,27434,126
5,182555165,31805,151
5,102920383,18478,79
5,124120760,22518,100
5,172131612,30962,144
5,180569398,32195,151
5,187145400,33352,159
5,164187043,29249,136
5,190438890,33838,162
5,150597719,27221,125
5,207535576,34546,166
5,153050813,27324,123
5,116292879,21184,96
5,205055702,34316,164
5,185521071,32404,156
5,145494603,26048,115
5,179957419,32123,150
5,185239042,32399,151
5,168691557,29673,140
5,179498969,31446,149
5,149065394,26247,122
5,162554559,28678,132
5,172980756,30070,141
5,174187631,30620,144
5,160175285,28304,131
5,126736459,28745,134
5,105016676,29622,138
5,91416834,26315,118
5,118077078,33649,161
5,101271639,28205,123
5,112242868,30209,141
5,121477930,32805,157
5,115506393,32921,155
5,110245099,30341,139
5,105402480,29365,135
5,110522931,30852,142
5,121396487,32961,157
5,120009083,33105,156
5,109962989,30625,141
5,117024001,31217,146
5,104266960,29812,139
5,106241145,30396,140
5,139008730,31231,146
5,195797527,33720,162
5,162803367,28888,130
5,174328185,30461,141
5,156950462,27338,119
5,159590466,28253,129
5,164019578,28990,135
5,177771877,31363,147
5,146996962,26523,119
5,183843682,32140,150
5,164655272,28949,135
5,162205765,28502,132
5,167895954,29348,138
5,114215250,20586,89
5,153339455,27479,126
5,163474686,29164,130
5,175451893,30926,143
5,156241261,27384,124
5,177190807,30768,143
5,165467696,29328,134
5,175499273,30600,141
5,162564528,28707,134
5,153911218,27542,124
5,177322314,31615,147
5,178319635,31831,147
5,140601990,25382,114
5,172339904,30372,139
5,167768875,29611,139
5,160173249,28135,131
5,189683512,32811,154
5,166669412,28913,134
5,169381331,29555,139
5,183271569,31990,153
5,154755663,27525,128
5,207311125,34458,167
5,69313943,13108,55
5,170075604,29788,135
5,182620617,32640,152
5,144767107,25841,117
5,183034835,32218,154
5,175160998,30988,145
5,180723457,31645,148
5,135388616,33583,159
5,113428433,31122,145
5,125653707,33871,158
5,41661938,12454,51
5,111804265,31698,147
5,104608391,30231,139
5,47945690,14769,62
5,104442599,28684,132
5,115789213,32224,151
5,100017394,28511,132
5,119184857,33130,158
5,107274453,30418,142
5,113086191,32627,154
5,98061003,27905,127
5,108524309,30310,144
5,108400527,30751,144
5,155639520,31572,149
5,163306459,28556,131
5,162776254,29293,135
5,206628152,34416,165
5,181340775,32000,153
5,206940789,34645,167
5,150807873,26575,119
5,189463209,33334,155
5,115232839,31690,152
5,85711275,24801,107
5,129657481,33933,161
5,93132283,26344,118
5,111408031,31098,148
5,124770759,33393,160
5,2852001152,26808,121
5,225039655,33199,158
5,189051215,32695,155
5,181804375,31524,146
5,166876079,29116,136
5,157726006,27525,125
5,166308293,28793,131
5,145216791,25779,119
5,188351873,32651,154
5,104843552,18632,82
5,153670035,27432,125
5,72036682,13404,55
5,157851512,27943,128
5,190418021,33610,159
5,170636165,30361,141
5,172233092,30653,143
5,183978505,32634,155
5,173879271,30047,140
5,151786089,27118,126
5,205320558,33958,163
5,187241819,33278,156
5,168239328,30344,141
5,164308951,29300,137
5,154375168,27292,126
5,144280112,25436,114
5,55870874,10819,44
5,137499617,24694,110
5,188014920,33687,160
5,178414764,31867,151
5,176486775,30061,139
5,192044412,33436,159
5,172355623,30105,141
5,171061062,29984,137
5,162743984,28975,133
5,66170622,12807,52
5,192478116,33571,160
5,181257458,31862,148
5,139263117,24647,110
5,174838411,30936,144
5,186076963,33140,160
5,172005254,30718,145
5,122031928,22140,98
5,172637230,30132,142
5,167008967,34677,166
5,195724880,33399,159
5,196006267,33742,163
5,161100148,28037,129
5,170619645,29828,137
5,87173509,16289,67
5,190382833,32759,156
5,188983608,32638,156
5,120238091,21763,96
5,165053938,29270,133
5,135873315,23923,109
5,187805007,32417,154
5,172924028,30006,140
5,154485976,27627,126
5,182910039,32006,150
5,174211976,30493,141
5,166391429,28948,133
5,99379447,18172,78
5,171164516,30074,140
5,212433747,34717,168
5,217663050,34535,166
5,171982321,29148,134
5,179324821,30863,144
5,192812834,33356,158
5,152349827,27170,125
5,187943274,33000,155
5,128088796,23379,108
5,187941251,32791,159
5,169311268,29966,140
5,193028088,33734,162
5,186345186,32643,156
5,190532463,33026,158
5,151316096,26445,121
5,181125800,31342,146
5,150870170,26787,124
5,211287546,34600,166
5,161224231,28011,127
5,152880933,26675,115
5,176821583,30540,143
5,180653975,30992,144
5,215075685,34749,167
5,175602956,29887,140
5,165592739,28727,132
5,123061952,28545,128
5,119805290,33849,161
5,101982622,28404,131
5,106542399,29790,138
5,108197586,30116,141
5,99889884,27340,124
5,101508452,28884,135
5,105007088,30052,141
5,108843177,30379,143
5,85810451,24699,112
5,116171922,31642,148
5,57386237,17365,73
5,95365192,27490,120
5,118548611,32860,157
5,110966812,31095,142
5,67259256,19607,85
5,108709246,30438,140
5,104039983,29599,136
5,119295844,33064,157
5,105896818,30295,143
5,133154653,27771,129
5,101991729,18422,81
5,157859165,27918,129
5,129582630,23399,101
5,164241554,29249,133
5,188757573,33175,156
5,174448439,31142,147
5,163625186,28788,133
5,168800930,29802,139
5,152885923,27393,123
5,171965199,30575,143
5,149012133,26239,120
5,182927722,31706,148
5,179994748,31557,148
5,167259427,29655,136
5,168611324,30165,141
5,109407656,19219,89
5,188619604,32701,153
5,180614200,31866,148
5,168374710,30304,141
5,181027856,31934,152
5,172798583,30428,142
5,206093617,33931,163
5,171816400,29541,138
5,195610193,33737,162
5,173923474,29932,138
5,163067630,28997,132
5,171537165,30345,142
5,157320214,27761,123
5,701109517,33227,158
5,2655443789,32012,151
5,140459020,25203,114
5,173194104,30726,144
5,68987028,13151,56
5,209094279,34427,166
5,194441239,33690,161
5,168879588,29819,139
5,148223201,26760,123
5,179042641,31406,148
5,53823501,10758,43
5,172729393,30386,142
5,162213767,28963,126
5,166666073,29503,136
5,185022473,32145,149
5,188316284,33261,159
5,190412549,33107,156
5,145481536,26093,119
5,177650197,31264,149
5,163170893,28474,130
5,186935844,32756,153
5,122946274,22043,100
5,179133320,31239,148
5,184536411,32007,149
5,196880466,33505,160
5,163371641,28545,133
5,160231828,28444,130
5,185065263,32529,153
5,193119728,33871,160
5,186830896,32634,156
5,144668330,25600,115
5,163616831,29287,136
5,185961485,32805,157
5,116685975,23748,108
5,160116321,28661,131
5,163317799,29425,134
