PMTREE,EUCLIDEAN,KMEDOIDS,2,4015,402370
k,time,count,disk
5,166904186,31734,139
5,164390639,31988,138
5,167059308,32191,139
5,132928236,26039,109
5,126282713,24592,102
5,112028790,22125,88
5,158340463,30809,131
5,108110645,21293,87
5,138092979,27004,115
5,163385092,31830,137
5,151276444,29543,125
5,49298079,10662,40
5,128748382,25111,104
5,166127449,32243,141
5,170560900,33222,147
5,159209094,31012,133
5,165517153,31958,140
5,168061128,32404,143
5,139215447,27121,116
5,142387069,27592,118
5,168362464,32530,143
5,163635741,31851,137
5,93910072,18693,75
5,165010903,32293,140
5,162181261,32655,145
5,110131539,30880,132
5,112018620,31119,134
5,102136964,29024,121
5,102624017,28465,120
5,105504393,29699,128
5,90789765,25136,105
5,103639403,29090,123
5,135886599,34487,154
5,68269987,18966,76
5,110597613,29878,126
5,110184848,30942,134
5,63019883,18122,71
5,88606758,25864,109
5,54948424,17047,67
5,79156671,23280,98
5,53976129,16719,64
5,112890557,31845,139
5,119654032,33218,147
5,117705855,33190,147
5,107676130,30080,126
5,116575844,33313,149
5,120731723,33518,149
5,107310444,30888,130
5,27204090,8773,32
5,103930990,30074,131
5,121545481,27738,116
5,184620138,32484,142
5,182616577,31867,138
5,170074646,30403,128
5,179339876,31414,132
5,171655142,30582,132
5,158570084,27658,115
5,64050147,12589,46
5,174137953,31067,132
5,154059297,27184,116
5,185605666,32239,140
5,168550786,29303,126
5,161335574,28279,120
5,156839044,28015,119
5,152791759,27654,116
5,182194575,32716,142
5,155619686,27704,119
5,138912077,25113,102
5,186461483,33091,146
5,175959763,31362,136
5,39979979,8215,30
5,178072137,31339,132
5,83304245,17015,68
5,141922498,27678,116
5,162018245,31589,137
5,163972322,32140,139
5,144477903,28427,119
5,176162041,30501,130
5,151131832,26735,112
5,114677890,21184,87
5,90726216,16932,66
5,171228882,30500,129
5,186862035,32837,145
5,121462995,22269,90
5,132967890,24016,99
5,182794060,31851,138
5,182649107,31187,135
5,185168446,32474,144
5,153372057,27619,117
5,146941657,26150,108
5,118577530,21158,86
5,157686134,28326,117
5,144887302,26478,111
5,165496514,29420,125
5,207203474,34203,153
5,109869034,20029,80
5,37420986,7740,28
5,177993008,31422,135
5,179319748,31711,137
5,177870178,31779,135
5,177343388,31943,139
5,122647740,22385,94
5,141394455,25158,102
5,157763629,28373,117
5,184080333,32799,146
5,152612982,27523,118
5,155973990,27889,118
5,154827077,27168,115
5,129290447,23481,93
5,170857826,30073,128
5,174864225,30639,131
5,82317774,16196,62
5,138892829,24717,101
5,179647844,31515,138
5,95812853,17400,68
5,179354813,32184,140
5,183241469,32783,145
5,125051251,22068,90
5,159239649,28051,118
5,186069266,32939,147
5,125357725,22926,95
5,103039356,18493,73
5,148653400,26709,111
5,88571431,16837,67
5,177969834,31213,135
5,147124951,25823,107
5,148754990,26843,112
5,151573901,27096,115
5,189395489,33467,149
5,177962600,30868,132
5,158599517,27866,117
5,41538905,8563,31
5,129573468,23356,96
5,124706003,22521,93
5,120228098,21063,86
5,139911862,25396,103
5,177198516,31483,135
5,182627156,32002,137
5,191230592,32863,143
5,170461752,30352,128
5,37428539,8061,29
5,152656513,27427,114
5,37895547,8215,30
5,151661075,26883,114
5,160698316,28126,121
5,142949824,25026,104
5,140945983,24928,104
5,57509421,11364,44
5,189960229,32740,146
5,159276378,29118,123
5,101324016,28762,120
5,119553451,33036,143
5,119154573,32848,142
5,107233588,30193,126
5,79832749,23228,96
5,51421443,16099,61
5,107687921,30561,130
5,110527480,31764,136
5,109938886,30836,134
5,106343317,29784,124
5,103359777,28890,123
5,99079353,27994,119
5,117939462,32705,143
5,83409012,24346,98
5,50985274,15768,64
5,75651681,22023,90
5,72604983,21244,83
5,49373199,15220,59
5,126585199,33875,152
5,64563500,18388,74
5,98528339,28205,121
5,76422808,22002,87
5,26434145,8856,32
5,101834955,29081,125
5,113525046,31408,135
5,125372543,26741,111
5,146553417,26232,110
5,157651798,27570,116
5,203711608,33818,152
5,173448888,30793,134
5,187229973,33665,150
5,180377031,31978,137
5,173052524,30776,132
5,175556734,30387,129
5,140093232,25313,105
5,168605807,30422,131
5,145732216,25601,106
5,177627540,31302,133
5,177305085,31535,135
5,187743357,33741,150
5,180378293,32129,141
5,155864593,27128,114
5,155548280,27805,115
5,130625752,23924,99
5,183916013,31942,136
5,121078192,21820,85
5,119278836,21455,87
5,164769386,29053,121
5,179495315,31098,133
5,135321647,28602,123
5,166069748,32066,138
5,148623904,29243,123
5,164873783,32179,141
5,147674901,29291,122
5,123701025,24531,104
5,121407250,23959,96
5,116431160,23282,96
5,99360851,19782,78
5,143535914,28196,119
5,125384495,27758,119
5,111822911,31340,135
5,103978377,29690,124
5,113419077,31419,136
5,55844785,16850,68
5,85958506,19982,79
5,118152080,20845,84
5,185692067,32414,139
5,180206761,31861,139
5,162351498,28520,123
5,169968725,29848,124
5,151944044,26578,112
5,76459006,14866,59
5,141142601,25176,106
5,186099750,32361,141
5,163673289,28554,122
5,99203816,26530,112
5,83611941,24002,97
5,53754162,16982,67
5,101677529,29388,125
5,111996977,31090,133
5,119589417,32032,141
5,62503672,18425,72
5,119660672,32864,147
5,59436507,17453,70
5,114179594,32355,142
5,119260190,31141,134
5,134073183,23836,97
5,124273480,22865,94
5,155697318,27796,118
5,99626078,17845,69
5,170725316,30690,132
5,130193230,23878,99
5,163876801,30348,130
5,44565165,13930,55
5,92354059,26362,109
5,107868268,31293,134
5,100106681,28598,122
5,113009037,32423,140
5,104745588,29205,126
5,46655528,13930,55
5,109056608,31437,133
5,97220174,27788,119
5,92800006,26723,115
5,116353134,33114,146
5,141923837,25750,107
5,106771159,19082,76
5,172085638,30401,130
5,188897151,32570,142
5,189240727,33123,144
5,181721573,31985,139
5,144918959,25807,109
5,182443619,32064,139
5,185456223,32834,145
5,176755994,31653,138
5,120287959,21741,88
5,172886782,30282,129
5,191094115,33186,147
5,176353558,30783,128
5,151597904,26497,111
5,193320443,33451,149
5,150040941,26604,111
5,139868729,25375,105
5,130699710,23539,97
5,114670004,20226,81
5,166619148,29091,119
5,185837528,32296,141
5,64996021,12899,49
5,185834763,32521,141
5,177617890,31673,138
5,168340959,30275,130
5,146933951,25908,107
5,161455225,28350,120
5,171336792,30349,130
5,111998460,20503,82
5,179214257,31526,134
5,129513243,23647,101
5,119430509,21114,84
5,97750298,17709,69
5,119913926,21907,90
5,165359863,28656,121
5,132800383,23837,94
5,154963310,28026,118
5,133698739,23529,98
5,148610626,26839,113
5,139253264,25191,105
5,166080656,29629,126
5,185755073,32603,142
5,177667383,31196,133
5,170596902,30052,127
5,62746900,11931,45
5,178964909,31403,134
5,165147365,29636,128
5,182113958,32484,139
5,130567993,23547,98
5,165593461,29140,125
5,189209105,32844,145
5,40393264,8700,32
5,164685778,29340,125
5,179397210,31813,138
5,179249853,31282,135
5,168003395,29710,125
5,172210791,30480,129
5,133423953,23718,100
5,165085518,29472,124
5,179704766,32117,140
5,143209199,25759,108
5,132886614,23352,94
5,166072060,28952,122
5,181358661,31511,135
5,175670394,31115,134
5,166481789,30008,128
5,145685427,26475,110
5,80111772,14942,59
5,117011949,25864,109
5,113984306,32549,143
5,108409984,30999,133
5,111751666,31938,138
5,88939249,24801,102
5,116749526,32102,140
5,94892653,27499,116
5,117177370,33063,146
5,107414605,30588,128
5,115575433,32057,139
5,130901459,30595,132
5,80111520,15016,60
5,124640878,22284,93
5,172019913,30722,134
5,39587592,8215,30
5,38237037,7955,29
5,165272679,31520,136
5,106553199,29426,124
5,112994399,32053,139
5,93110098,25993,107
5,115364046,31900,136
5,24587228,8215,30
5,49673733,15483,61
5,86790737,25217,106
5,79866671,23282,98
5,114184352,31333,135
5,100226194,28185,117
5,119221285,33036,146
5,76469866,22556,91
5,114358919,32379,140
5,94789460,27475,116
5,100135423,28463,118
5,79135239,22414,92
5,50345513,15633,59
5,110137106,31321,135
5,103266420,28654,122
5,112213732,31472,137
5,107736700,30460,130
5,74160982,20333,82
5,117109242,32777,143
5,118125048,33583,146
5,108189830,30799,130
5,91895318,26461,110
5,92319904,26180,109
5,109201570,30478,127
5,116973266,32374,142
5,102027565,29582,123
5,108813310,30527,130
5,54812578,16626,63
5,67082656,19144,75
5,108430412,30433,128
5,113097682,32159,139
5,116380554,32092,138
5,97181559,27789,117
5,121811286,33537,150
5,78226904,23024,97
5,119373911,33643,150
5,92564845,25612,105
5,57713121,17178,67
5,173989960,33168,147
5,185345052,32840,145
5,119372188,21445,88
5,141591823,24766,100
5,181536094,31361,136
5,173594047,30483,130
5,173408718,30911,135
5,114578592,20581,81
5,148755358,26236,108
5,169463735,29700,126
5,158657453,28160,121
5,124142632,22244,88
5,148668624,26059,109
5,159961529,27985,120
5,125171984,22818,93
5,175387994,31242,137
5,170426431,29659,123
5,155597570,27366,117
5,181598300,31474,137
5,185834911,32607,144
5,161629661,28680,122
5,155989484,28028,117
5,183095810,32341,140
5,167770196,29385,125
5,187795180,33080,145
5,173888850,30771,129
5,168631552,29871,127
5,143894735,25509,105
5,162439000,28559,121
5,153338439,27544,114
5,191715319,33732,148
5,148801945,26450,111
5,161989417,28918,122
5,149980466,26995,111
5,161123561,28341,118
5,163408149,28652,124
5,171756227,30495,131
5,128040728,22601,93
5,172568761,30017,128
5,153134296,26982,113
5,152390951,27269,114
5,168776955,29779,125
5,89936230,16837,67
5,136897271,24528,102
5,162478484,28947,122
5,162412018,28387,121
5,132858029,23481,95
5,170586332,29966,129
5,150518646,27141,113
5,166217481,29449,126
5,111028988,20048,78
5,123123068,23658,96
5,166350049,31743,135
5,136117848,26364,110
5,104492731,20568,83
5,147579249,28590,121
5,155838431,30120,128
5,129443671,25324,104
5,162304436,31245,131
5,144628632,28028,114
5,149904615,29005,123
5,170791837,32470,142
5,130124408,25306,105
5,188264250,33867,151
5,38297129,8746,33
5,157870645,29909,124
5,155796433,30058,129
5,124562790,24250,99
5,164812104,31545,137
5,158788437,31008,131
5,158864049,31369,134
5,139837819,32401,142
5,122433654,33632,150
5,112485012,32151,141
5,29066524,9436,35
5,112160232,30937,130
5,106473959,30205,126
5,34096205,10883,41
5,94575086,26141,110
5,117773327,23732,95
5,127036532,25660,108
5,181898812,32507,144
5,164180126,28859,122
5,172515070,30872,133
5,133219487,23541,99
5,167430958,29037,125
5,148100147,26376,110
5,175733009,31013,132
5,142690794,25598,105
5,158928320,27686,118
5,191973090,32974,147
5,179191521,31223,133
5,164518602,33502,148
5,142080507,27917,116
5,146012448,28963,124
5,160197602,31381,133
5,138242975,27346,113
5,163449435,31975,137
5,109678233,21831,92
5,152087841,29956,129
5,166722267,32246,139
5,113548627,22661,91
5,160472939,31618,137
5,149734855,29601,125
5,155886831,30680,130
5,139738243,27727,115
5,115559621,23098,94
5,130401819,25852,107
5,103532879,20746,84
5,157318468,30901,133
5,68081861,14510,57
5,113473766,22676,91
5,37380459,8586,30
5,126821960,25088,105
5,169433326,32886,144
5,150886897,29894,127
5,157001733,30775,132
5,183490870,32614,144
5,127726848,23115,93
5,138871595,25421,107
5,183002915,33047,147
5,165303574,32486,139
5,145360824,28754,121
5,127220688,25094,105
5,114431665,22630,95
5,107951722,21416,85
5,60339179,13004,48
5,139342779,27383,113
5,169086706,32836,146
5,122869130,24241,98
5,130935069,25944,106
5,148521948,29064,126
5,139681956,27616,117
5,149128345,29360,122
5,132324967,26080,109
5,56182649,12165,45
5,170712116,33003,145
5,140380687,27627,116
5,119415659,23812,98
5,151973235,29852,127
5,172606722,33476,148
5,150479792,29596,125
5,100276998,19857,76
5,149738521,29544,125
5,172289396,33695,149
5,169744369,33096,145
5,186821141,34188,152
5,145796231,28515,119
5,146012197,28706,122
5,67562857,14387,55
5,162884995,31848,137
5,163273604,31725,139
5,87168485,17493,70
5,144276158,27807,118
5,104681564,20734,83
5,164759252,31577,140
5,97383287,25758,106
5,84728686,23494,100
5,111334210,31399,136
5,110444250,31504,136
5,92201761,26084,108
5,52607839,15484,58
5,159495153,29751,126
5,206832078,33870,150
5,189094677,32371,142
5,147639090,26208,112
5,173867658,30744,132
5,176441999,31722,137
5,136704758,24350,102
5,166945586,32773,145
5,66547561,19654,79
5,117852124,32525,143
5,100627956,28203,120
5,132157453,34050,151
5,120394625,33178,147
5,118092124,33372,147
5,78177659,22739,91
5,101506384,29325,123
5,81381764,22721,92
5,117984593,33463,148
5,98352805,28504,118
5,98039818,28381,117
5,101257708,28714,123
5,108950215,30301,132
5,116722413,33350,150
5,102127339,28360,119
5,24256707,7566,27
5,88419973,25186,105
5,113925594,32590,146
5,90003184,25149,105
5,111269368,29682,127
5,104087640,29732,127
5,84052546,24285,98
5,95314693,26964,115
5,104625137,29344,125
5,111348677,30515,131
5,65604692,19434,78
5,104266004,30004,127
5,64686419,17864,71
5,95596242,27058,112
5,118766579,33288,147
5,119989245,32976,144
5,55984085,16025,62
5,106066052,29534,124
5,108517003,29552,124
5,122421830,33534,149
5,100631362,29163,124
5,85713664,24776,101
5,43975296,13844,52
5,103652112,27731,114
5,107041112,30065,128
5,89462690,25630,108
5,119578874,32779,144
5,151985137,28267,121
5,139120652,25335,101
5,103689362,27708,118
5,80004898,23528,97
5,174864608,32299,139
5,134215064,24594,101
5,152726509,30097,128
5,131673013,26115,110
5,142403644,28068,118
5,142719436,28200,115
5,72182106,15172,56
5,166194215,32342,141
5,159628923,31308,134
5,149255443,29379,121
5,162234664,31383,134
5,155794857,30424,129
5,173639659,33762,151
5,137990470,27215,115
5,174248743,33780,151
5,154030585,29916,123
5,137850818,26866,111
5,145734155,28688,121
5,154114953,30108,127
5,163556093,31838,140
5,158963795,31127,131
5,122785442,23964,97
5,159468462,30911,135
5,35697731,8329,30
5,169289644,32820,142
5,169691870,32984,147
5,149528105,29179,123
5,117300658,23188,95
5,162397428,31777,140
5,29587993,6882,22
5,151020666,29718,123
5,152779607,29752,124
5,140681270,27573,116
5,131229531,25853,109
5,167953275,32562,141
5,163866386,31812,138
5,119602408,23601,97
5,159608053,31057,131
5,123846734,24536,102
5,141763271,27854,116
5,90038971,17786,71
5,150565101,29631,127
5,159533633,30821,131
5,170014145,32953,144
5,130202723,25716,107
5,137880623,27021,112
5,164682167,32061,139
5,165813890,32212,143
5,166139943,32370,140
5,142199550,28048,117
5,136177307,26985,113
5,163054501,32061,139
5,106854743,21296,90
5,127625306,25323,104
5,144506359,28639,118
5,116113929,22997,95
5,152969454,29965,130
5,150183384,29352,126
5,158791771,31068,132
5,155944036,30441,133
5,88435962,17782,70
5,117525961,23335,97
5,161522987,31435,138
5,161536121,31518,137
5,151660927,29406,128
5,159257446,31147,132
5,141428783,27892,114
5,153135635,29909,126
5,172690036,33460,149
5,151334995,29794,128
5,128438411,25060,102
5,88820565,17781,69
5,158253610,30789,132
5,162867020,31875,138
5,170882723,33301,148
5,161690110,31685,136
5,143741913,28114,122
5,167644326,32662,142
5,163846588,32173,143
5,168743399,33100,147
5,163701846,32225,141
5,161935190,31814,139
5,68390009,14592,57
5,164778697,32495,139
5,141873787,28166,116
5,140597723,27909,117
5,137259237,27071,114
5,155523917,30461,126
5,173108992,33573,149
5,174321678,30990,135
5,158624947,31130,132
5,156490931,30710,131
5,160135794,31330,135
5,154881372,30429,131
5,100581037,19394,76
5,113366994,22551,93
5,93615163,18599,75
5,144068837,28298,118
5,145780711,28565,123
5,87957414,17588,66
5,159144592,31133,133
5,131367468,25738,106
5,167438729,32548,144
5,138077923,27281,113
5,154623898,30367,126
5,134876875,26673,113
5,147273391,28978,125
5,35880864,8305,30
5,152662656,29923,129
5,152012316,29622,126
5,161538005,31267,135
5,127677953,25532,107
5,113347457,22620,93
5,101891646,20326,83
5,97409655,19298,74
5,156794712,30859,131
5,169055042,32975,146
5,70287591,15038,59
5,167653342,32815,142
5,164900164,32086,140
5,50672767,10956,43
5,158689387,31214,134
5,120512796,23975,99
5,157870090,31207,132
5,109777477,25492,106
5,109490238,30790,134
5,93486861,27009,114
5,117473602,30299,128
5,116111626,32635,144
5,112464951,31028,136
5,90889677,26573,112
5,88241516,25411,104
5,102047980,29377,124
5,101492388,28930,123
5,84286073,24573,102
5,124709472,29980,127
5,123421214,24749,103
5,165078519,32401,141
5,161036653,31734,138
5,166936116,32746,145
5,165228581,32356,138
5,143476195,28220,119
5,78774388,16804,65
5,145228824,29025,123
5,147158556,29186,124
5,138362457,27272,115
5,161522054,31709,138
5,106959057,21448,88
5,167772144,32827,146
5,148991206,29419,126
5,151030964,29779,126
5,155795195,30366,127
5,127005402,24974,102
5,154176938,30159,127
5,160086389,31177,131
5,157023180,30790,133
5,150877957,29499,127
5,151468876,29823,124
5,76109417,16001,65
5,156339958,30733,129
5,151500875,29917,126
5,165969131,32498,142
5,144612046,28467,120
5,164176296,32340,139
5,135896649,26783,114
5,161169882,31649,136
5,152995851,30012,128
5,142265331,28029,120
5,154948387,30561,130
5,162575119,31908,141
5,162554533,31638,137
5,157046634,30665,131
5,92908836,21800,89
5,142493450,26229,108
5,160963284,29050,122
5,122409826,21973,91
5,163881341,30048,127
5,180622532,32503,144
5,29578414,6488,22
5,127498918,22872,93
5,75493400,14917,54
5,153034864,27192,116
5,183999571,32346,143
5,171079371,30657,133
5,150154668,27483,117
5,131593141,23476,97
5,74105586,14709,57
5,156657123,27927,116
5,163096318,28755,119
5,165619103,29788,129
5,138501216,25505,106
5,184557157,32697,145
5,156024866,27570,115
5,177503750,31781,137
5,120202052,21783,90
5,182822401,32344,143
5,151810797,26592,109
5,151153934,27111,113
5,173176838,31515,135
5,188107240,33420,150
5,37550738,8123,30
5,179923269,31976,141
5,185826349,33220,147
5,95847441,24208,101
5,114915820,32244,140
5,90904004,24693,101
5,23234628,7951,29
5,102920647,29920,126
5,102784993,29733,126
5,113267687,31577,137
5,109116306,31226,132
5,82356982,23916,100
5,63634293,17853,71
5,112096829,32241,140
5,80216966,23383,97
5,87319796,25404,104
5,110054967,31463,134
5,117772623,33326,147
5,106799948,30733,134
5,91845740,26632,112
5,105192171,25642,108
5,123669800,25732,109
5,103103270,29933,130
5,67710343,20063,79
5,93439332,27357,113
5,140042248,32693,146
5,172843192,31428,135
5,121901021,21836,91
5,53548062,10732,40
5,175196388,30797,131
5,173445583,31359,132
5,155098787,29351,124
5,120243890,23618,97
5,149259578,29240,124
5,108359174,21372,85
5,137025556,26653,113
5,102437040,20087,83
5,138057745,26879,111
5,73433603,15527,60
5,175559610,33667,150
5,160097209,31105,134
5,163885750,31628,137
5,189896567,34086,152
5,64690634,13705,54
5,142937261,27306,115
5,144250447,27653,116
5,170340884,32669,144
5,154726810,30125,128
5,161469804,31256,134
5,132165164,25890,107
5,154949758,30018,127
5,164645555,32060,141
5,142026202,27625,115
5,116992808,23013,94
5,158345901,30525,127
5,79021642,16491,64
5,156509395,29970,128
5,162713850,31304,134
5,162789872,31408,135
5,171286129,32593,142
5,171600238,32619,141
5,152624693,29339,126
5,146885181,28385,117
5,154078522,29652,126
5,172541204,32985,146
5,129398122,25152,104
5,172365694,33317,145
5,151635527,29148,124
5,164463644,31654,136
5,167700408,32154,140
5,153247402,29692,124
5,141238804,27333,116
5,126584569,24516,100
5,144942054,28342,120
5,159958809,31321,132
5,85241935,24577,101
5,108653586,31198,136
5,110721308,31920,140
5,85536629,24368,99
5,121006861,31938,139
5,142364968,25425,104
5,176917357,30786,130
5,183964704,32223,141
5,133699904,24433,100
5,155588164,28286,119
5,163156751,29151,124
5,149914296,31290,135
5,119939298,33100,144
5,63716717,18709,75
5,72646927,18742,72
5,153414156,30033,127
5,94691892,19080,78
5,136682642,26854,114
5,121551463,23828,95
5,172714809,33639,151
5,152176642,29939,125
5,161288344,31525,139
5,157614087,30906,130
5,141602878,27765,115
5,159043160,31434,136
5,159050864,31144,130
5,104557459,20851,84
5,169152333,33242,145
