PMTREE,EUCLIDEAN,MAXSEPARETED,2,4015,12640
k,time,count,disk
5,144729721,37186,174
5,143889464,36922,172
5,141023194,36563,171
5,139076551,35402,162
5,143428889,34783,160
5,141817485,29658,135
5,148060503,37129,173
5,108932349,30440,138
5,134223821,35140,162
5,140699846,36349,168
5,145779732,36408,169
5,72036273,20690,85
5,139972882,34717,157
5,161455896,37186,174
5,143556749,37186,174
5,139711272,36837,171
5,141946146,37186,174
5,166589933,37186,174
5,151747213,34927,161
5,134816764,33952,156
5,146728492,37186,174
5,148551254,37082,173
5,106571186,28370,127
5,145173314,36879,173
5,141294022,37186,174
5,143276022,37186,174
5,142901118,36656,171
5,138391784,36455,166
5,183439338,36929,172
5,200912206,37186,174
5,188042409,34685,160
5,194310334,35812,167
5,203677106,37186,174
5,149232452,29288,132
5,194177395,36159,168
5,202841186,37186,174
5,140859706,27750,122
5,186768377,34802,160
5,132171037,26301,116
5,170080044,33406,155
5,133235486,26827,117
5,200253710,36977,173
5,202685604,37186,174
5,202236342,36962,173
5,194797598,35797,166
5,202593511,37186,174
5,203300018,37186,174
5,192101037,35311,162
5,78452928,16745,69
5,202302005,37186,174
5,193082218,35615,164
5,181390062,37186,174
5,142514391,37186,174
5,139904984,36008,168
5,141220863,36587,170
5,137137950,35978,167
5,133975042,34452,159
5,74765667,21103,87
5,155362538,36761,171
5,188216104,34903,161
5,200045318,37186,174
5,195673982,36187,166
5,188118431,35055,161
5,195191267,36407,169
5,144492344,28944,130
5,198466274,37186,174
5,194822023,36308,168
5,201036297,37186,174
5,198991981,37186,174
5,199500365,37186,174
5,78023621,16745,69
5,193100433,35985,165
5,131927379,26208,114
5,190814021,35601,163
5,198454552,37082,173
5,197519637,36786,172
5,190018146,35109,162
5,200760891,37186,174
5,187036830,35031,161
5,156729193,30958,140
5,138051855,27649,123
5,195044851,36299,170
5,157566324,37186,174
5,108069238,30185,137
5,126192294,34091,157
5,145282126,37158,173
5,143565724,37006,173
5,141907442,37186,174
5,132197145,35437,161
5,55823351,16807,71
5,108025335,31367,142
5,137130675,36216,167
5,128586157,34466,158
5,136715226,36320,167
5,142210651,37082,173
5,111491130,31398,141
5,65656457,17986,76
5,145710420,37089,173
5,145542886,37186,174
5,141140883,36622,169
5,141221544,36570,170
5,147642216,31911,146
5,192503430,35540,163
5,192904173,35945,163
5,199473914,37089,173
5,198570409,36786,172
5,190135296,35197,162
5,196479003,36186,168
5,210101031,35803,165
5,221239659,36388,170
5,221551112,36786,171
5,146296319,25694,110
5,182797642,32167,150
5,223348646,37186,174
5,144140953,26079,112
5,220855136,37129,173
5,220753536,37186,174
5,173064032,31289,142
5,213988478,36017,167
5,224907382,37186,174
5,187603663,32905,150
5,157085300,28518,126
5,212258961,35312,162
5,132292063,23548,104
5,217364234,36688,171
5,222231429,37186,174
5,207454583,34424,157
5,224069069,37186,174
5,222961349,37186,174
5,224875242,36726,169
5,211672660,34429,159
5,85779879,16745,69
5,180510088,32310,147
5,181093834,32451,148
5,170228579,30571,139
