PMTREE,EUCLIDEAN,MAXVARIANCE,2,4015,167704
k,time,count,disk
5,215874767,35638,169
5,200330551,35579,166
5,200035257,36137,172
5,166237741,32185,149
5,170347985,32973,155
5,151506421,29795,134
5,188561150,34436,162
5,154790826,30192,136
5,173132382,33695,158
5,197873029,35743,172
5,189954025,34361,160
5,104136299,20248,88
5,173606501,33301,157
5,194950072,35824,169
5,199807319,36114,173
5,192986306,34903,166
5,198470440,35765,169
5,200239320,36231,174
5,172336948,33232,156
5,186465808,34275,159
5,200401194,36023,171
5,198463867,35633,166
5,150536200,29185,132
5,196001536,35819,173
5,200296807,36417,175
5,190790785,34634,164
5,192237089,35242,169
5,175489025,33821,158
5,170263666,33447,155
5,188973254,35074,165
5,165257790,33132,154
5,131077917,34043,160
5,139946724,36509,178
5,105641253,29450,133
5,129870440,34364,161
5,136508550,35639,169
5,102376176,28728,128
5,118487575,32931,151
5,99582181,27928,124
5,116791061,32617,150
5,98660050,27587,122
5,141338545,36316,171
5,136820065,35863,171
5,143256145,36564,176
5,134879683,34056,158
5,175541242,36694,177
5,200887605,36382,175
5,191594764,34697,163
5,90168432,17577,77
5,197885171,35466,166
5,172284089,32942,154
5,200472396,36334,172
5,200140854,35765,169
5,187601559,33897,160
5,191645308,34582,161
5,175854860,33848,161
5,187120255,34242,159
5,132484927,26020,111
5,197700222,35764,171
5,175207636,33718,158
5,195223395,36012,172
5,173832625,33691,158
5,171247222,33498,157
5,187273914,33915,159
5,173675811,33429,156
5,197417412,36007,170
5,189069665,34146,162
5,169950888,32609,151
5,200765897,36626,177
5,195392541,35338,165
5,79931387,16748,72
5,196290927,35198,163
5,147593455,28639,130
5,167828916,32604,151
5,199281590,35967,172
5,202473472,36380,173
5,172541911,33043,155
5,196530998,35730,171
5,175261136,33718,158
5,156914550,30208,137
5,146203225,28203,126
5,195729063,35616,167
5,200857538,36034,172
5,155064737,29910,136
5,167898036,32629,150
5,195007288,34892,167
5,192807418,34572,163
5,201347728,36207,171
5,175138756,33053,156
5,175263069,33807,158
5,153201731,29911,136
5,168845403,32705,152
5,171741509,33160,153
5,172297633,33175,152
5,202008859,36648,177
5,165623646,31778,144
5,98446168,19459,84
5,195954495,34765,165
5,197456033,35222,169
5,203497032,36334,172
5,201551732,36371,173
5,166289886,31728,145
5,164708618,31663,144
5,171427991,32907,155
5,200258102,36406,174
5,194819324,34941,165
5,174123650,33390,155
5,171076059,33197,155
5,164459842,32028,150
5,190160641,34764,166
5,190111287,34077,160
5,138897802,27119,120
5,166732597,32329,148
5,196042020,35638,169
5,150793089,28957,132
5,200503543,36398,174
5,204085647,36649,176
5,162961309,31357,143
5,173196188,33504,157
5,200894928,36389,173
5,129354351,31850,146
5,102206896,28885,130
5,122919342,33450,156
5,97783283,28055,122
5,130414941,34671,163
5,120667786,33315,154
5,120772101,33582,155
5,122294619,33786,158
5,138476412,36492,174
5,136574562,35344,164
5,124551777,33887,159
5,62682200,18117,79
5,119336357,31762,147
5,120918386,33706,155
5,109423802,30453,137
5,132356385,34508,163
5,138280974,35719,167
5,142466531,36352,172
5,140482026,35913,170
5,134132569,34598,161
5,56534973,16977,72
5,118272350,33097,156
5,57688597,17501,76
5,120066257,33504,157
5,136639163,35820,170
5,119460059,32999,152
5,116595823,32591,151
5,72338525,20880,92
5,140651093,35990,171
5,121061786,33596,157
5,118812483,33217,155
5,136131901,35531,166
5,135752358,35530,168
5,132838759,34616,163
5,121773521,32828,151
5,91318620,26104,114
5,130937631,34183,162
5,135344433,35530,168
5,133531751,33921,158
5,131555942,34305,162
5,121539952,33389,156
5,130584529,34801,164
5,141718467,36474,174
5,114493476,31769,149
5,101266250,28544,130
5,112265426,31307,143
5,109624437,30431,138
5,100952161,28293,127
5,139483742,36722,178
5,102162733,28028,123
5,135879106,35676,167
5,122439030,33153,155
5,61026282,17659,73
5,133433596,34446,162
5,133794715,34916,166
5,122784709,33269,155
5,117419669,32782,152
5,132935802,34592,161
5,139800296,36633,177
5,142041162,36310,171
5,142925042,36070,173
5,138341828,35719,167
5,137766198,34809,165
5,135981928,35004,167
5,131989405,33966,160
5,135987630,35386,165
5,120290407,33235,154
5,143300956,35596,172
5,139607855,35877,168
5,141265927,36033,172
5,141718327,35392,171
5,122694589,33620,157
5,119393865,32625,153
5,114176721,31985,147
5,131402374,34438,160
5,110134525,30154,138
5,132899344,29911,136
5,163873640,32297,149
5,191121402,34885,166
5,194668139,35549,167
5,196058789,35806,170
5,172345450,33467,156
5,193619672,35705,168
5,171150297,33625,156
5,160216255,31981,149
5,163734248,32561,152
5,163869791,32706,149
5,183881744,34460,162
5,165637070,32940,153
5,181668338,34037,161
5,189981892,35108,169
5,171281603,33615,158
5,192178245,35417,167
5,121803837,28453,126
5,106219126,29517,134
5,105378908,29896,137
5,205177604,36051,172
5,217891427,35866,169
5,217441463,35651,168
5,208253186,34009,159
5,189287820,33303,155
5,131469208,25691,113
5,172897196,33275,154
5,197587368,36371,173
5,192590698,35021,165
5,161804425,31140,144
5,159607732,31367,145
5,142377933,28038,125
5,189459823,34337,164
5,195914698,35566,169
5,201557319,36435,175
5,159417675,30552,141
5,199603592,36587,175
5,148565746,28987,127
5,196475090,35578,171
5,200777866,36352,172
5,167701083,32198,148
5,161000086,31743,148
5,191790086,34705,164
5,170973324,33079,154
5,194158021,35483,167
5,169225915,32933,151
5,189830708,34964,163
5,132684169,25931,113
5,171871420,33203,157
5,192336842,35389,166
5,188343417,34231,160
5,201644432,36320,172
5,175503547,33677,158
5,129106884,25453,110
5,151894023,34790,163
5,134607768,34907,167
