PMTREE,EUCLIDEAN,PCA,2,4015,127673
k,time,count,disk
5,192451388,32917,157
5,196206506,33600,160
5,206157364,33914,163
5,176636604,30928,146
5,169886154,30079,140
5,152093356,27735,129
5,187344051,33090,156
5,151589641,27528,127
5,181448806,32234,154
5,185005803,33026,158
5,157146672,28494,135
5,84651078,16089,68
5,165696039,29019,138
5,187492951,32460,156
5,208516732,34288,165
5,186742432,32415,154
5,190552884,33334,162
5,188571115,33472,161
5,178699115,31638,149
5,175372220,31063,145
5,190060129,33830,162
5,187275513,33196,159
5,139100238,24545,110
5,192416211,33287,159
5,192342263,33538,163
5,190545921,33353,160
5,183074807,32691,158
5,186456224,32752,156
5,153749325,32567,156
5,176273823,31079,148
5,170479196,29929,143
5,179900059,31654,151
5,215523173,35864,176
5,145018717,26146,120
5,182132499,32056,154
5,203840254,34099,165
5,131397281,23177,103
5,169089367,29821,143
5,134388755,24637,111
5,153601236,29397,139
5,83239228,24120,107
5,117400598,33458,161
5,128964774,34172,166
5,160976409,34867,168
5,117788797,32535,155
5,132586532,34216,166
5,132527471,34644,166
5,176713867,31071,148
5,66489570,13269,56
5,190323613,33137,159
5,181976876,31612,150
5,193668321,33759,164
5,139670218,32607,155
5,108345222,30758,145
5,118124667,32935,156
5,114543265,32513,155
5,112661563,31922,150
5,54467304,15485,65
5,118419290,33475,160
5,112568248,31837,151
5,137638304,34646,167
5,115450007,32178,154
5,107670866,30325,144
5,121595391,32737,156
5,113914805,31109,149
5,131205750,34166,164
5,180272587,31871,153
5,174531952,30494,146
5,211093448,34939,170
5,194438656,33666,162
5,66084539,12813,53
5,186454120,32493,154
5,129191789,23318,104
5,177239394,31404,148
5,205304050,34029,164
5,191054354,33233,161
5,183927247,31662,149
5,194128052,33279,161
5,175586542,31010,149
5,150372565,27097,124
5,128348266,22483,100
5,147401389,31632,151
5,132633339,34769,166
5,100146753,27880,128
5,103404608,29439,141
5,119640682,33356,160
5,131321317,33951,162
5,121061759,33116,159
5,112718720,31823,150
5,116176370,31810,149
5,92746283,26451,123
5,119873438,31616,150
5,111469325,30585,145
5,118953021,32376,152
5,213543354,35292,170
5,147381020,25776,120
5,67542766,13287,54
5,195179246,33739,161
5,191345991,33261,160
5,189554669,33176,158
5,185885932,33082,162
5,151006655,27215,125
5,172730029,29846,141
5,172017592,30246,145
5,211548581,34666,166
5,188700456,32855,157
5,174462161,31184,148
5,176601565,31898,153
5,147724676,30973,146
5,122287509,32955,157
5,115747685,31397,150
5,82291610,23708,104
5,106734107,29737,140
5,122778943,33468,160
5,83804158,23658,104
5,122291648,33656,163
5,139657323,34529,168
5,105766070,26851,125
5,170160837,32302,154
5,178804461,33836,166
5,144730866,27912,132
5,133191186,25782,117
5,146209451,28198,133
5,104444229,20380,89
5,172478837,33163,159
5,165192331,31355,149
5,155809270,29927,141
5,171586191,32799,158
5,192942377,34607,168
5,170194550,32091,153
5,168087564,31782,151
5,64233354,13549,56
5,156999824,29953,142
5,148709182,28144,129
5,141072179,26913,124
5,170923558,32390,157
5,174692231,33137,160
5,176576889,33527,161
5,174649932,33077,159
5,154901866,29454,140
5,58445350,12445,51
5,168990800,31765,149
5,62850899,13209,55
5,171368373,32138,153
5,157767514,29896,141
5,149044903,28592,136
5,152512130,29202,135
5,91563061,17957,75
5,175065291,33077,159
5,158458541,30384,143
5,148865877,28392,136
5,189495836,33936,164
5,130478043,33798,162
5,121541810,33365,159
5,102215144,27909,134
5,82980441,23178,100
5,113491049,31368,150
5,122104846,32549,158
5,121667326,33399,160
5,143684460,32540,155
5,158928303,31278,148
5,162414025,31841,152
5,186669943,34236,164
5,154275690,30010,141
5,112265738,20736,93
5,145541646,26219,122
5,140128226,25090,116
5,129771507,22675,101
5,216632542,34857,169
5,127684108,23023,102
5,179527045,32022,151
5,177304253,31311,149
5,64362926,12678,57
5,186166978,33087,158
5,186616952,33245,158
5,182394398,32250,153
5,180062219,31404,148
5,180765520,31425,151
5,213008820,34761,170
5,195612909,33372,161
5,214724129,35205,169
5,193110702,33457,160
5,183845671,32552,157
5,183179421,32698,156
5,178077926,31286,149
5,185821029,32298,154
5,174490872,30395,145
5,188929022,33047,158
5,186713895,32863,156
5,210193716,34743,168
5,192493612,32815,159
5,176529990,30938,147
5,175437018,31024,146
5,155024395,27942,132
5,190964964,33031,157
5,168274394,29116,132
5,148642195,26658,124
5,179045471,31952,151
5,191663855,33580,159
5,186536782,32381,155
5,189421246,33843,164
5,173660814,30531,144
5,195389057,33451,160
5,176252869,31417,148
5,169092550,29838,141
5,162335016,28302,131
5,161634411,28679,138
5,176861932,31392,152
5,163106103,29070,138
5,186820734,32484,155
5,179949618,31436,152
5,189788696,32696,156
5,192078613,33484,161
5,126845544,23205,110
5,142839914,24957,114
5,156574633,27852,128
5,204389581,34031,163
5,180421122,31973,153
5,181569428,32064,151
5,188354403,32749,156
5,172100144,29933,142
5,107333430,19709,87
5,163437795,28684,136
5,197792528,33822,163
5,162952604,28638,134
5,169105324,30039,140
5,164269827,28832,135
5,135455865,23903,105
5,185604061,32505,155
5,186071779,33032,159
5,188885109,33344,163
5,145555721,25733,115
5,211046615,34715,169
5,116730157,23199,102
5,169075397,33304,161
5,167890994,33155,160
5,149209630,29647,139
5,141975200,28434,132
5,159128747,31417,148
5,162923440,32097,152
5,170099008,33325,160
5,142594524,28430,135
5,165830786,32914,155
5,91470316,18596,83
5,157873841,31161,146
5,160727909,31699,150
5,167271010,32943,158
5,185746246,34211,166
5,163594078,31904,151
5,91927383,18596,83
5,170200568,32993,158
5,165484908,32430,157
5,154220995,30278,146
5,188346328,34504,167
5,165270014,32036,154
5,126998800,25141,116
5,168399448,32742,158
5,172968313,33669,161
5,185337590,34095,167
5,172678309,33754,162
5,151475742,30010,140
5,172076429,33537,161
5,189813380,34904,167
5,166985193,32505,156
5,134915119,26739,125
5,168210593,32617,156
5,185869097,34081,167
5,168631483,32652,154
5,153542782,30394,145
5,184682600,34127,168
5,153938585,30221,141
5,159632282,31460,148
5,146482841,29041,135
5,125923683,25068,118
5,162297214,31978,149
5,170268826,33334,162
5,97543314,19745,83
5,188862185,34582,166
5,172859970,33495,161
5,163691120,32062,153
5,148851236,28048,132
5,164012263,32234,154
5,157685107,30930,147
5,142980918,28424,131
5,170541978,33322,160
5,147139392,29021,134
5,159423981,31343,147
5,137573278,27354,124
5,143902417,28498,131
5,165649986,32301,154
5,137848324,27141,126
5,155872264,30706,144
5,139729544,27623,130
5,157808488,30985,146
5,148748954,29457,137
5,171417562,33193,158
5,140360429,34170,164
5,119166569,32092,154
5,117153039,32345,153
5,66091150,19042,80
5,121790894,33382,159
5,119530963,32681,156
5,191369801,34610,167
5,166620368,28735,137
5,190186399,32965,158
5,191009795,32783,159
5,68249391,13303,55
5,191672929,32862,157
5,192079503,33458,161
5,183122482,33740,162
5,164267631,32351,154
5,160300806,31530,151
5,148840205,29426,139
5,164672681,32334,155
5,165577159,32584,156
5,164463188,32573,155
5,106296662,28898,134
5,110898200,31292,149
5,170057699,33427,160
5,187575238,32663,158
5,174400641,31208,150
5,172319403,31171,147
5,111823566,19813,88
5,171641712,30309,142
5,203906020,34047,165
5,175853877,31556,151
5,188466901,33301,159
5,178478624,31363,149
5,192984341,33687,164
5,178013041,31034,146
5,204105234,34526,169
5,172334842,30396,145
5,193073789,33573,161
5,189317678,33015,158
5,106580866,19709,87
5,157499648,27697,130
5,186904039,32578,157
5,64171506,12907,52
5,63923321,12907,52
5,183238618,32619,157
5,185649423,32501,156
5,174068908,33850,165
5,149014271,29333,138
5,170371588,33265,162
5,59703910,13008,53
5,99623888,20123,90
5,157767741,31163,148
5,145401971,28902,138
5,165835813,32510,158
5,161813495,31779,152
5,172885866,33855,164
5,140753446,27863,130
5,183867027,34021,163
5,166463772,32436,153
5,160232266,31298,146
5,134538841,26857,126
5,160022774,31319,150
5,167316554,32716,156
5,164206806,32175,153
5,170169127,33151,162
5,166046439,32626,155
5,128997681,25760,118
5,170116719,33192,161
5,188548194,34963,168
5,168955619,33093,158
5,156905151,31058,146
5,149585944,29961,141
5,163898397,32493,154
5,168977681,33510,162
5,159690308,32008,149
5,171182059,33692,163
5,96632543,19631,85
5,120627160,24469,109
5,158220159,31611,149
5,169575573,33476,159
5,182641346,33979,162
5,160190717,31465,150
5,188581665,34857,169
5,144063238,28601,135
5,188152089,34975,170
5,103734874,28931,130
5,79984025,23214,108
5,128446225,33919,167
5,132375171,34005,164
5,103643832,28346,131
5,113198146,32304,154
5,138417341,33066,159
5,163881375,32601,156
5,164008043,32712,159
5,155265212,30821,145
5,143390565,28604,136
5,165006136,32498,155
5,172359127,31368,150
5,168603098,30582,144
5,172457471,30678,145
5,184807011,32286,154
5,158328733,28487,132
5,190103612,34022,165
5,169942741,32855,155
5,166644180,32555,155
5,166692411,32599,157
5,185240134,33976,165
5,166094449,32056,153
5,161909183,31303,150
5,175136299,33856,164
5,173519414,33578,160
5,188078461,34102,166
5,170307035,32592,156
5,170371536,33002,158
5,167534130,32274,156
5,165309245,32124,153
5,165748619,31967,154
5,192953461,34761,170
5,160915818,30674,145
5,168601574,32526,154
5,160496461,30935,146
5,161366665,31423,147
5,171233063,32955,157
5,174365252,33532,161
5,143519717,28163,131
5,171442587,33193,159
5,162825121,31681,149
5,165497037,32302,154
5,161456964,31501,148
5,106441734,21199,92
5,145661877,28470,131
5,173980269,33611,159
5,170851937,33155,158
5,143865175,28276,132
5,168440441,32626,156
5,156329660,30370,145
5,162206500,31398,151
5,175574832,30492,143
5,158941251,28230,131
5,189637537,33557,161
5,185869995,32816,156
5,157849562,27764,127
