PMTREE,EUCLIDEAN,SSS,2,4015,246463
k,time,count,disk
5,218704694,35711,164
5,209922388,34484,154
5,209317304,34568,154
5,180836053,31820,138
5,168629350,29942,127
5,125285704,22118,91
5,191115387,33256,150
5,155625172,27866,118
5,185742473,32857,145
5,192569627,33770,152
5,121316844,21777,90
5,70847152,13647,54
5,175795041,30953,136
5,205854854,34340,157
5,208960373,34542,159
5,189791412,33257,148
5,206745315,34454,159
5,209069607,34386,157
5,175302146,30821,130
5,171762231,30492,131
5,214352493,35074,162
5,192505376,33573,151
5,133433076,24065,102
5,205279484,34039,153
5,209537165,34372,157
5,189966460,33272,152
5,184638590,32584,145
5,177530597,31594,139
5,181643638,32084,142
5,202166439,33854,154
5,160704445,28400,117
5,115599142,20919,86
5,213647540,35612,163
5,135599862,24150,104
5,177233440,31195,135
5,211919106,35407,162
5,84070251,22101,89
5,125958888,28775,123
5,117110377,21718,92
5,170988979,30240,129
5,121124944,21498,90
5,177717388,30512,131
5,208033482,34356,157
5,206966780,34676,159
5,184737184,33278,149
5,205380762,35215,162
5,212170628,35521,164
5,136224796,24090,101
5,52771844,10629,41
5,214138891,36177,167
5,176771002,33002,146
5,185345827,34484,157
5,184780615,34039,155
5,167932662,33068,147
5,166227802,32940,147
5,148709420,33116,146
5,113762194,31810,138
5,48606465,14452,55
5,118858439,33107,147
5,114967846,32593,143
5,129733962,34302,157
5,117137939,32337,144
5,107214153,30941,137
5,104730089,29977,128
5,29544466,9272,37
5,128140671,33850,155
5,121855875,33359,149
5,131590517,34710,157
5,130063651,34502,158
5,137160381,34245,157
5,32139176,10151,39
5,120788070,32898,144
5,68033008,19829,81
5,116219244,32065,139
5,129969364,34293,157
5,126957119,33868,155
5,115557102,32367,142
5,128288839,34404,158
5,114484258,31971,137
5,93868964,27109,113
5,82185703,22176,92
5,127909538,33822,153
5,139015163,34984,160
5,101632676,25542,107
5,107902584,30494,129
5,118068335,33325,152
5,125891038,33970,154
5,133869745,34566,157
5,119329933,32157,142
5,110086915,31224,135
5,90963910,26000,111
5,117730061,33436,148
5,34532037,10794,43
5,120167515,32620,143
5,130648899,35212,161
5,18889977,6548,26
5,33185840,10533,38
5,117879621,32516,147
5,123798200,33440,152
5,112362986,32546,142
5,126005263,34361,157
5,100979479,28910,124
5,115558063,32800,144
5,110339017,31728,138
5,131746610,34510,158
5,118883084,33691,152
5,113604356,32490,142
5,102625539,29659,127
5,87762531,25228,105
5,117868499,33079,148
5,118929061,33199,146
5,73727146,21489,90
5,113759307,29115,126
5,135753209,35167,160
5,75136241,20429,83
5,128322592,34229,156
5,137398458,35184,162
5,102505413,28621,123
5,91500468,26499,110
5,128553936,34372,157
5,89346494,25898,107
5,76183668,21785,93
5,109001206,31159,134
5,68239255,19293,76
5,117145303,33280,148
5,118487993,33311,153
5,118696865,31723,138
5,126968641,34163,157
5,132423449,34339,156
5,115745105,32999,147
5,115515063,31809,139
5,34300723,10744,41
5,101165979,28804,122
5,97142126,27948,119
5,92465839,26611,111
5,117345287,33347,151
5,131994044,34370,157
5,129442976,34153,152
5,131317162,34763,160
5,124636724,33649,152
5,36126279,9649,37
5,115904213,31818,140
5,32102947,10151,39
5,114664526,32568,145
5,127164007,34225,155
5,99954656,28324,118
5,101888124,29441,128
5,51030394,15023,59
5,132084392,35143,162
5,111745377,32089,141
5,79610039,23049,96
5,128800319,34538,157
5,130354807,34196,156
5,118848760,32686,145
5,66604827,19130,78
5,78700001,20591,85
5,108415727,29856,127
5,137843713,35253,162
5,131194954,34376,158
5,116050146,32410,140
5,112332017,32600,144
5,112950238,32404,142
5,130381777,34128,156
5,109961467,30304,130
5,74659226,21065,87
5,93256302,26310,111
5,92549786,26046,109
5,72542573,20950,88
5,134734907,34871,161
5,81638746,21347,88
5,124425687,33418,145
