PMTREE,EUCLIDEAN,WDR,2,4015,922
k,time,count,disk
5,195552939,34401,158
5,176360367,33054,147
5,172218404,32892,149
5,134087027,25847,108
5,156944918,29909,131
5,137104531,26690,112
5,125669398,24280,99
5,138621488,26831,115
5,130299920,25247,110
5,169535869,32243,145
5,163562117,31584,142
5,72849575,15187,60
5,156710738,29940,130
5,175116602,33367,150
5,177382585,33783,154
5,167157075,31922,144
5,174782926,33099,148
5,176269967,33618,152
5,146202446,28261,122
5,162844380,31047,137
5,171451383,34193,155
5,123732433,33808,153
5,85440647,24090,103
5,115493330,32781,146
5,123546285,33784,152
5,97446229,27974,119
5,111898473,31747,143
5,111210132,30677,137
5,100555916,28472,121
5,119594687,32753,149
5,166106533,29432,129
5,175348066,31343,140
5,205648716,34425,158
5,145168395,25333,108
5,180436066,31163,140
5,203835002,33964,155
5,122601882,21476,89
5,164520304,28891,125
5,127520814,23124,98
5,158552304,28522,124
5,129268844,23044,97
5,165069426,32597,148
5,118407509,33544,152
5,129003076,33913,154
5,112613124,31533,140
5,129559560,34091,154
5,130624588,34235,156
5,115770030,32086,143
5,40863242,12718,48
5,134082749,34345,157
5,110753054,31191,137
5,119305845,33481,151
5,123520906,33516,152
5,112107595,31454,140
5,114438421,32328,145
5,114615163,31817,142
5,107999405,30814,136
5,47898427,14931,58
5,113391946,31715,144
5,107548470,30564,135
5,129382758,33913,154
5,110409339,30731,136
5,107621636,30303,133
5,101537568,29031,126
5,107632346,30061,133
5,120742400,33594,152
5,115202725,32091,143
5,111947555,31177,139
5,129303619,33913,154
5,102178521,28366,121
5,42336268,12489,47
5,118592005,32777,148
5,70274102,20616,87
5,91363793,26204,109
5,129487425,33928,151
5,121611232,32887,147
5,109530418,29942,133
5,122549383,33589,152
5,108174113,29903,131
5,89484215,25832,109
5,77672297,22172,97
5,116591702,33015,147
5,133630640,34333,156
5,92284682,26246,111
5,104567684,29565,130
5,115410705,32398,145
5,121941422,33532,150
5,118991986,33440,151
5,117171569,32663,146
5,110734598,30271,134
5,96946792,26917,116
5,115087728,31482,138
5,104493816,29709,130
5,117161441,32907,147
5,127419192,33970,154
5,100359437,26768,114
5,35040364,11015,40
5,118228473,32561,145
5,116986121,32391,145
5,114638616,32533,147
5,117858669,32610,146
5,98583554,27902,121
5,107466134,30399,133
5,93531903,26759,112
5,120509614,33789,152
5,118375499,32477,145
5,104836419,29434,126
5,100543080,28478,122
5,101246542,28234,123
5,113155111,31872,142
5,117965179,31784,143
5,76461895,22159,93
5,103577536,29048,127
5,130811208,34207,156
5,77697474,21575,92
5,124025964,33197,150
5,128758817,33981,155
5,100695086,27539,119
5,111060961,31101,139
5,120764062,33684,153
5,102003812,28170,120
5,83478544,23797,101
5,108045622,29414,129
5,36346185,11358,44
5,127143986,31758,142
5,158363880,27872,118
5,170893485,29852,131
5,184021013,32091,143
5,194664680,33739,152
5,186829504,32048,143
5,178794935,31191,137
5,66547908,12718,48
5,120408784,21653,91
5,155700912,27498,119
5,147552519,25856,109
5,157877337,27742,119
5,189966241,33129,150
5,190438047,32888,149
5,194944774,33553,151
5,671580561,33093,150
5,1633322480,11782,44
5,935926499,29854,130
5,65549274,12718,48
5,174315358,30880,136
5,189042226,33173,150
5,164197198,29343,127
5,160031148,28699,122
5,89927217,16881,70
5,184428808,32823,148
5,176168887,31170,139
5,177690441,31116,138
5,193311589,33482,152
5,194006773,33482,152
5,186191397,32363,146
5,164063135,29385,129
5,119352672,21199,88
5,179478337,31627,142
5,193692504,33589,152
5,192950432,33452,151
5,177740265,31309,140
5,174073733,30798,136
5,172098236,30657,138
5,193282625,33646,153
5,142282547,25108,104
5,117398235,21078,93
5,140337557,25304,106
5,121520411,21460,87
5,103753926,23498,98
5,205446054,34473,157
